Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-0udvfkp0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.6460, Validation Loss: 13.9001
Epoch 2/1000, Train Loss: 1.4653, Validation Loss: 2.1332
Epoch 3/1000, Train Loss: 1.3469, Validation Loss: 2.2409
Epoch 4/1000, Train Loss: 1.3803, Validation Loss: 4.1207
Epoch 5/1000, Train Loss: 52.7522, Validation Loss: 7.0083
Epoch 6/1000, Train Loss: 3.5658, Validation Loss: 3.3701
Epoch 7/1000, Train Loss: 1.3156, Validation Loss: 5.6801
Epoch 8/1000, Train Loss: 1.6584, Validation Loss: 53.0302
Epoch 9/1000, Train Loss: 1.4942, Validation Loss: 1.6978
Epoch 10/1000, Train Loss: 1.7680, Validation Loss: 1.4574
Epoch 11/1000, Train Loss: 1.1197, Validation Loss: 3.5353
Epoch 12/1000, Train Loss: 1960.5782, Validation Loss: 2.6410
Epoch 13/1000, Train Loss: 1.1004, Validation Loss: 4.3009
Epoch 14/1000, Train Loss: 1.1462, Validation Loss: 2.1749
Epoch 15/1000, Train Loss: 1.2037, Validation Loss: 5.5815
Epoch 16/1000, Train Loss: 1.0177, Validation Loss: 3.3565
Epoch 17/1000, Train Loss: 4.1735, Validation Loss: 2.2135
Epoch 18/1000, Train Loss: 0.9992, Validation Loss: 11.0304
Epoch 19/1000, Train Loss: 1.1102, Validation Loss: 1.7241
Epoch 20/1000, Train Loss: 2.6323, Validation Loss: 2.6576
Epoch 21/1000, Train Loss: 0.9725, Validation Loss: 2.1444
Epoch 22/1000, Train Loss: 7.2506, Validation Loss: 1.3654
Epoch 23/1000, Train Loss: 0.9681, Validation Loss: 1.5820
Epoch 24/1000, Train Loss: 2.7216, Validation Loss: 2.9009
Epoch 25/1000, Train Loss: 0.9877, Validation Loss: 1.6338
Epoch 26/1000, Train Loss: 9.0968, Validation Loss: 1.5970
Epoch 27/1000, Train Loss: 0.9580, Validation Loss: 3.4621
Epoch 28/1000, Train Loss: 1.1880, Validation Loss: 1.1692
Epoch 29/1000, Train Loss: 0.9340, Validation Loss: 1.0014
Epoch 30/1000, Train Loss: 3.7968, Validation Loss: 1.8629
Epoch 31/1000, Train Loss: 0.9307, Validation Loss: 4.9587
Epoch 32/1000, Train Loss: 2.0501, Validation Loss: 2.5468
Epoch 33/1000, Train Loss: 0.9764, Validation Loss: 1.6036
Epoch 34/1000, Train Loss: 80.3143, Validation Loss: 3.6031
Epoch 35/1000, Train Loss: 0.8756, Validation Loss: 5.5190
Epoch 36/1000, Train Loss: 1.2914, Validation Loss: 2.8061
Epoch 37/1000, Train Loss: 0.8744, Validation Loss: 1.3782
Epoch 38/1000, Train Loss: 11.3510, Validation Loss: 3.1017
Epoch 39/1000, Train Loss: 0.8707, Validation Loss: 2.5587
Epoch 40/1000, Train Loss: 5.3076, Validation Loss: 4.5999
Epoch 41/1000, Train Loss: 0.9207, Validation Loss: 5.6756
Epoch 42/1000, Train Loss: 1.2087, Validation Loss: 4.1221
Epoch 43/1000, Train Loss: 0.8643, Validation Loss: 5.5218
Epoch 44/1000, Train Loss: 592.0326, Validation Loss: 2.1137
Epoch 45/1000, Train Loss: 0.8421, Validation Loss: 19.0002
Epoch 46/1000, Train Loss: 89.4144, Validation Loss: 1.6735
Epoch 47/1000, Train Loss: 0.8770, Validation Loss: 16.8485
Epoch 48/1000, Train Loss: 0.9073, Validation Loss: 2.8522
Epoch 49/1000, Train Loss: 1.1191, Validation Loss: 2.2587
Epoch 50/1000, Train Loss: 14.1222, Validation Loss: 2.9168
Epoch 51/1000, Train Loss: 0.9249, Validation Loss: 2.0413
Epoch 52/1000, Train Loss: 0.9227, Validation Loss: 2.0541
Epoch 53/1000, Train Loss: 0.8872, Validation Loss: 9.2575
Epoch 54/1000, Train Loss: 0.9020, Validation Loss: 15.9645
Epoch 55/1000, Train Loss: 0.8988, Validation Loss: 3.6239
Epoch 56/1000, Train Loss: 0.9065, Validation Loss: 3.6367
Epoch 57/1000, Train Loss: 0.9732, Validation Loss: 1.0054
