Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-mg2gsiky
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.7073, Validation Loss: 1.3878
Epoch 2/1000, Train Loss: 1.4364, Validation Loss: 1.2745
Epoch 3/1000, Train Loss: 1.3343, Validation Loss: 2.4101
Epoch 4/1000, Train Loss: 1.3076, Validation Loss: 1.3084
Epoch 5/1000, Train Loss: 1.2236, Validation Loss: 1.6130
Epoch 6/1000, Train Loss: 1.2188, Validation Loss: 1.6182
Epoch 7/1000, Train Loss: 1.0975, Validation Loss: 2.6989
Epoch 8/1000, Train Loss: 1.1849, Validation Loss: 1.5967
Epoch 9/1000, Train Loss: 1.1264, Validation Loss: 1.2147
Epoch 10/1000, Train Loss: 1.1048, Validation Loss: 1.2274
Epoch 11/1000, Train Loss: 1.1408, Validation Loss: 1.4220
Epoch 12/1000, Train Loss: 1.1006, Validation Loss: 1.0623
Epoch 13/1000, Train Loss: 1.0715, Validation Loss: 2.1367
Epoch 14/1000, Train Loss: 1.0845, Validation Loss: 4.1249
Epoch 15/1000, Train Loss: 1.0406, Validation Loss: 0.9558
Epoch 16/1000, Train Loss: 1.0168, Validation Loss: 1.5574
Epoch 17/1000, Train Loss: 1.0542, Validation Loss: 1.2504
Epoch 18/1000, Train Loss: 1.0551, Validation Loss: 1.2266
Epoch 19/1000, Train Loss: 0.9733, Validation Loss: 1.2169
Epoch 20/1000, Train Loss: 1.1123, Validation Loss: 1.3989
Epoch 21/1000, Train Loss: 1.0539, Validation Loss: 1.3014
Epoch 22/1000, Train Loss: 0.9699, Validation Loss: 1.5406
Epoch 23/1000, Train Loss: 0.9494, Validation Loss: 2.7499
Epoch 24/1000, Train Loss: 0.9314, Validation Loss: 0.9775
Epoch 25/1000, Train Loss: 1.0081, Validation Loss: 3.0321
Epoch 26/1000, Train Loss: 1.0001, Validation Loss: 1.6636
Epoch 27/1000, Train Loss: 0.9743, Validation Loss: 1.9590
Epoch 28/1000, Train Loss: 0.9191, Validation Loss: 2.0498
Epoch 29/1000, Train Loss: 0.9706, Validation Loss: 1.1704
Epoch 30/1000, Train Loss: 84.5078, Validation Loss: 1.9741
Epoch 31/1000, Train Loss: 1.2843, Validation Loss: 2.0848
Epoch 32/1000, Train Loss: 0.8536, Validation Loss: 1.0530
Epoch 33/1000, Train Loss: 0.9467, Validation Loss: 0.8622
Epoch 34/1000, Train Loss: 0.8714, Validation Loss: 3.6864
Epoch 35/1000, Train Loss: 0.9252, Validation Loss: 2.7422
Epoch 36/1000, Train Loss: 0.9296, Validation Loss: 1.6566
Epoch 37/1000, Train Loss: 0.9293, Validation Loss: 1.4129
Epoch 38/1000, Train Loss: 0.8528, Validation Loss: 1.2338
