Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ddtog5uw
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.6733, Validation Loss: 1.5507
Epoch 2/1000, Train Loss: 1.3727, Validation Loss: 2.3344
Epoch 3/1000, Train Loss: 1.2330, Validation Loss: 1.5684
Epoch 4/1000, Train Loss: 1.1801, Validation Loss: 2.3494
Epoch 5/1000, Train Loss: 1.1885, Validation Loss: 2.3385
Epoch 6/1000, Train Loss: 1.1891, Validation Loss: 1.4337
Epoch 7/1000, Train Loss: 1.1568, Validation Loss: 2.0228
Epoch 8/1000, Train Loss: 1.1915, Validation Loss: 2.6007
Epoch 9/1000, Train Loss: 1.1068, Validation Loss: 3.0773
Epoch 10/1000, Train Loss: 1.1409, Validation Loss: 2.0187
Epoch 11/1000, Train Loss: 1.0835, Validation Loss: 1.5362
Epoch 12/1000, Train Loss: 1.0787, Validation Loss: 1.2638
Epoch 13/1000, Train Loss: 1.0879, Validation Loss: 1.0278
Epoch 14/1000, Train Loss: 1.0188, Validation Loss: 1.0592
Epoch 15/1000, Train Loss: 1.0310, Validation Loss: 2.3224
Epoch 16/1000, Train Loss: 0.9908, Validation Loss: 2.6593
Epoch 17/1000, Train Loss: 0.9917, Validation Loss: 2.3196
Epoch 18/1000, Train Loss: 0.9600, Validation Loss: 2.2345
Epoch 19/1000, Train Loss: 0.9342, Validation Loss: 0.8337
Epoch 20/1000, Train Loss: 1.2990, Validation Loss: 1.1234
Epoch 21/1000, Train Loss: 0.9726, Validation Loss: 1.8477
Epoch 22/1000, Train Loss: 0.9370, Validation Loss: 3.0326
Epoch 23/1000, Train Loss: 0.9256, Validation Loss: 0.7956
Epoch 24/1000, Train Loss: 0.9095, Validation Loss: 0.8211
Epoch 25/1000, Train Loss: 0.8995, Validation Loss: 2.5875
Epoch 26/1000, Train Loss: 0.8862, Validation Loss: 4.5220
Epoch 27/1000, Train Loss: 0.9719, Validation Loss: 0.9016
Epoch 28/1000, Train Loss: 0.9140, Validation Loss: 1.3219
Epoch 29/1000, Train Loss: 0.8652, Validation Loss: 3.9084
Epoch 30/1000, Train Loss: 0.8579, Validation Loss: 1.1188
Epoch 31/1000, Train Loss: 0.8683, Validation Loss: 2.4342
Epoch 32/1000, Train Loss: 0.8779, Validation Loss: 1.5225
Epoch 33/1000, Train Loss: 0.9024, Validation Loss: 1.4974
Epoch 34/1000, Train Loss: 0.8467, Validation Loss: 1.0162
Epoch 35/1000, Train Loss: 0.8730, Validation Loss: 0.8142
Epoch 36/1000, Train Loss: 0.8549, Validation Loss: 2.5334
Epoch 37/1000, Train Loss: 0.8844, Validation Loss: 2.5610
Epoch 38/1000, Train Loss: 0.8566, Validation Loss: 2.4910
