Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-wkvgr8mz
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.1063, Validation Loss: 2.8040
Epoch 2/1000, Train Loss: 1.3696, Validation Loss: 2.0540
Epoch 3/1000, Train Loss: 1.2963, Validation Loss: 1.3438
Epoch 4/1000, Train Loss: 1.1988, Validation Loss: 1.1372
Epoch 5/1000, Train Loss: 1.1734, Validation Loss: 1.1051
Epoch 6/1000, Train Loss: 1.1356, Validation Loss: 2.2499
Epoch 7/1000, Train Loss: 1.0640, Validation Loss: 1.9409
Epoch 8/1000, Train Loss: 1.0317, Validation Loss: 3.0236
Epoch 9/1000, Train Loss: 0.9841, Validation Loss: 2.3291
Epoch 10/1000, Train Loss: 0.9468, Validation Loss: 1.2749
Epoch 11/1000, Train Loss: 0.9382, Validation Loss: 1.3057
Epoch 12/1000, Train Loss: 0.9135, Validation Loss: 0.8164
Epoch 13/1000, Train Loss: 0.8901, Validation Loss: 1.5463
Epoch 14/1000, Train Loss: 0.8598, Validation Loss: 2.3818
Epoch 15/1000, Train Loss: 0.8295, Validation Loss: 0.8070
Epoch 16/1000, Train Loss: 0.8173, Validation Loss: 2.1633
Epoch 17/1000, Train Loss: 0.8156, Validation Loss: 2.8536
Epoch 18/1000, Train Loss: 0.8112, Validation Loss: 0.8316
Epoch 19/1000, Train Loss: 0.7850, Validation Loss: 1.0109
Epoch 20/1000, Train Loss: 0.7751, Validation Loss: 1.1679
Epoch 21/1000, Train Loss: 0.7951, Validation Loss: 1.1162
Epoch 22/1000, Train Loss: 0.7633, Validation Loss: 0.8321
Epoch 23/1000, Train Loss: 0.7419, Validation Loss: 1.7682
Epoch 24/1000, Train Loss: 0.7467, Validation Loss: 1.2586
Epoch 25/1000, Train Loss: 0.7396, Validation Loss: 1.8911
Epoch 26/1000, Train Loss: 0.7268, Validation Loss: 1.0021
Epoch 27/1000, Train Loss: 0.6993, Validation Loss: 1.0354
Epoch 28/1000, Train Loss: 0.7009, Validation Loss: 0.7007
Epoch 29/1000, Train Loss: 0.7049, Validation Loss: 3.2428
Epoch 30/1000, Train Loss: 0.6896, Validation Loss: 1.2266
Epoch 31/1000, Train Loss: 0.6973, Validation Loss: 0.8355
Epoch 32/1000, Train Loss: 0.6704, Validation Loss: 0.9778
Epoch 33/1000, Train Loss: 0.6790, Validation Loss: 3.0486
Epoch 34/1000, Train Loss: 0.6531, Validation Loss: 1.1479
Epoch 35/1000, Train Loss: 0.6656, Validation Loss: 0.8839
Epoch 36/1000, Train Loss: 0.6670, Validation Loss: 3.1087
Epoch 37/1000, Train Loss: 0.6582, Validation Loss: 1.5248
Epoch 38/1000, Train Loss: 0.6564, Validation Loss: 1.0636
Epoch 39/1000, Train Loss: 0.6395, Validation Loss: 1.1003
Epoch 40/1000, Train Loss: 0.6433, Validation Loss: 0.8584
Epoch 41/1000, Train Loss: 0.6353, Validation Loss: 1.4389
Epoch 42/1000, Train Loss: 0.6337, Validation Loss: 3.3896
Epoch 43/1000, Train Loss: 0.6351, Validation Loss: 0.6843
Epoch 44/1000, Train Loss: 0.6138, Validation Loss: 1.0837
Epoch 45/1000, Train Loss: 0.6074, Validation Loss: 1.6129
Epoch 46/1000, Train Loss: 0.6177, Validation Loss: 3.2741
Epoch 47/1000, Train Loss: 0.6072, Validation Loss: 0.7901
Epoch 48/1000, Train Loss: 0.5972, Validation Loss: 1.2112
Epoch 49/1000, Train Loss: 0.5951, Validation Loss: 0.8924
Epoch 50/1000, Train Loss: 0.6254, Validation Loss: 2.4844
Epoch 51/1000, Train Loss: 0.5976, Validation Loss: 2.3113
Epoch 52/1000, Train Loss: 0.5840, Validation Loss: 2.8497
Epoch 53/1000, Train Loss: 0.5842, Validation Loss: 1.4704
Epoch 54/1000, Train Loss: 0.5848, Validation Loss: 0.6036
Epoch 55/1000, Train Loss: 0.5786, Validation Loss: 1.2651
Epoch 56/1000, Train Loss: 0.5832, Validation Loss: 1.1849
Epoch 57/1000, Train Loss: 0.5754, Validation Loss: 1.1856
Epoch 58/1000, Train Loss: 0.5768, Validation Loss: 1.2120
Epoch 59/1000, Train Loss: 0.5824, Validation Loss: 1.1445
Epoch 60/1000, Train Loss: 0.5727, Validation Loss: 1.5325
Epoch 61/1000, Train Loss: 0.5658, Validation Loss: 0.5890
Epoch 62/1000, Train Loss: 0.5602, Validation Loss: 1.5643
Epoch 63/1000, Train Loss: 0.5829, Validation Loss: 0.9001
Epoch 64/1000, Train Loss: 0.5738, Validation Loss: 0.8541
Epoch 65/1000, Train Loss: 0.5561, Validation Loss: 0.7517
Epoch 66/1000, Train Loss: 0.5531, Validation Loss: 1.2815
Epoch 67/1000, Train Loss: 0.5511, Validation Loss: 1.5974
Epoch 68/1000, Train Loss: 0.5562, Validation Loss: 0.7090
Epoch 69/1000, Train Loss: 0.5454, Validation Loss: 1.9108
Epoch 70/1000, Train Loss: 0.5499, Validation Loss: 1.5027
