Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-xg2mkbxd
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.3062, Validation Loss: 1.2996
Epoch 2/1000, Train Loss: 1.2853, Validation Loss: 4.5577
Epoch 3/1000, Train Loss: 1.1880, Validation Loss: 2.8420
Epoch 4/1000, Train Loss: 1.1297, Validation Loss: 1.2289
Epoch 5/1000, Train Loss: 1.0862, Validation Loss: 4.4809
Epoch 6/1000, Train Loss: 1.0710, Validation Loss: 1.0605
Epoch 7/1000, Train Loss: 3.4161, Validation Loss: 3.9468
Epoch 8/1000, Train Loss: 1.0242, Validation Loss: 1.4111
Epoch 9/1000, Train Loss: 1.1925, Validation Loss: 4.5126
Epoch 10/1000, Train Loss: 0.9497, Validation Loss: 1.4966
Epoch 11/1000, Train Loss: 0.9338, Validation Loss: 2.6520
Epoch 12/1000, Train Loss: 2.4945, Validation Loss: 1.1651
Epoch 13/1000, Train Loss: 0.8795, Validation Loss: 3.6147
Epoch 14/1000, Train Loss: 0.9262, Validation Loss: 0.8813
Epoch 15/1000, Train Loss: 0.8409, Validation Loss: 2.1991
Epoch 16/1000, Train Loss: 2.9654, Validation Loss: 0.9201
Epoch 17/1000, Train Loss: 0.8255, Validation Loss: 4.4042
Epoch 18/1000, Train Loss: 0.8042, Validation Loss: 2.2572
Epoch 19/1000, Train Loss: 0.8203, Validation Loss: 4.2913
Epoch 20/1000, Train Loss: 0.7818, Validation Loss: 1.1861
Epoch 21/1000, Train Loss: 0.8013, Validation Loss: 1334.4804
Epoch 22/1000, Train Loss: 1.0915, Validation Loss: 1.8470
Epoch 23/1000, Train Loss: 3.6257, Validation Loss: 2.1513
Epoch 24/1000, Train Loss: 0.7557, Validation Loss: 0.8180
Epoch 25/1000, Train Loss: 1.0608, Validation Loss: 1.5348
Epoch 26/1000, Train Loss: 0.7465, Validation Loss: 0.9113
Epoch 27/1000, Train Loss: 0.7341, Validation Loss: 0.8727
Epoch 28/1000, Train Loss: 5.4592, Validation Loss: 1.7513
Epoch 29/1000, Train Loss: 0.7303, Validation Loss: 1.2656
Epoch 30/1000, Train Loss: 0.7437, Validation Loss: 3.0143
Epoch 31/1000, Train Loss: 0.7218, Validation Loss: 2.7821
Epoch 32/1000, Train Loss: 0.7327, Validation Loss: 2.4766
Epoch 33/1000, Train Loss: 0.7236, Validation Loss: 2.7481
Epoch 34/1000, Train Loss: 0.7250, Validation Loss: 8.4501
Epoch 35/1000, Train Loss: 0.7257, Validation Loss: 3.5271
Epoch 36/1000, Train Loss: 0.7223, Validation Loss: 1.5556
Epoch 37/1000, Train Loss: 0.7975, Validation Loss: 0.9262
Epoch 38/1000, Train Loss: 0.7114, Validation Loss: 1.8293
Epoch 39/1000, Train Loss: 0.7257, Validation Loss: 1.5877
Epoch 40/1000, Train Loss: 0.7048, Validation Loss: 2.0592
Epoch 41/1000, Train Loss: 0.7262, Validation Loss: 1.0571
Epoch 42/1000, Train Loss: 0.7632, Validation Loss: 2.5881
Epoch 43/1000, Train Loss: 0.7115, Validation Loss: 1.4112
Epoch 44/1000, Train Loss: 0.7061, Validation Loss: 2.0450
Epoch 45/1000, Train Loss: 0.7068, Validation Loss: 0.9893
Epoch 46/1000, Train Loss: 0.7008, Validation Loss: 5.9453
Epoch 47/1000, Train Loss: 0.7155, Validation Loss: 11.8030
Epoch 48/1000, Train Loss: 0.6988, Validation Loss: 1.1023
Epoch 49/1000, Train Loss: 0.6986, Validation Loss: 2.2807
Epoch 50/1000, Train Loss: 0.7065, Validation Loss: 6.9068
Epoch 51/1000, Train Loss: 0.6982, Validation Loss: 2.4344
Epoch 52/1000, Train Loss: 0.6992, Validation Loss: 1.5421
Epoch 53/1000, Train Loss: 0.6756, Validation Loss: 2.7129
Epoch 54/1000, Train Loss: 0.7082, Validation Loss: 2.1042
Epoch 55/1000, Train Loss: 0.6813, Validation Loss: 1.4577
Epoch 56/1000, Train Loss: 0.7696, Validation Loss: 1.4267
Epoch 57/1000, Train Loss: 0.6762, Validation Loss: 1.2279
Epoch 58/1000, Train Loss: 0.6791, Validation Loss: 0.7508
Epoch 59/1000, Train Loss: 0.9457, Validation Loss: 0.9916
Epoch 60/1000, Train Loss: 0.6958, Validation Loss: 1.1421
Epoch 61/1000, Train Loss: 0.6825, Validation Loss: 2.7429
Epoch 62/1000, Train Loss: 0.6802, Validation Loss: 2.1890
Epoch 63/1000, Train Loss: 0.6830, Validation Loss: 1.9505
Epoch 64/1000, Train Loss: 0.6754, Validation Loss: 0.8726
Epoch 65/1000, Train Loss: 0.6653, Validation Loss: 1.5607
Epoch 66/1000, Train Loss: 0.6726, Validation Loss: 0.7483
Epoch 67/1000, Train Loss: 0.6663, Validation Loss: 0.7970
Epoch 68/1000, Train Loss: 0.6561, Validation Loss: 1.9717
Epoch 69/1000, Train Loss: 0.6783, Validation Loss: 7.5477
Epoch 70/1000, Train Loss: 0.6656, Validation Loss: 5.6436
Epoch 71/1000, Train Loss: 0.6870, Validation Loss: 1.0613
Epoch 72/1000, Train Loss: 0.6549, Validation Loss: 2.6331
Epoch 73/1000, Train Loss: 0.6646, Validation Loss: 0.7370
Epoch 74/1000, Train Loss: 0.6742, Validation Loss: 1.5997
Epoch 75/1000, Train Loss: 0.6515, Validation Loss: 2.4672
Epoch 76/1000, Train Loss: 0.6567, Validation Loss: 0.9952
Epoch 77/1000, Train Loss: 0.7089, Validation Loss: 1.4264
