Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-gm0x6xsu
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.1461, Validation Loss: 2.7529
Epoch 2/1000, Train Loss: 1.4902, Validation Loss: 1.3049
Epoch 3/1000, Train Loss: 1.3511, Validation Loss: 5.2816
Epoch 4/1000, Train Loss: 1.2792, Validation Loss: 10.0354
Epoch 5/1000, Train Loss: 1.1649, Validation Loss: 1.2651
Epoch 6/1000, Train Loss: 1.1055, Validation Loss: 1.7991
Epoch 7/1000, Train Loss: 1.0390, Validation Loss: 0.9355
Epoch 8/1000, Train Loss: 1.0045, Validation Loss: 1.6652
Epoch 9/1000, Train Loss: 0.9741, Validation Loss: 1.3363
Epoch 10/1000, Train Loss: 0.9621, Validation Loss: 2.2816
Epoch 11/1000, Train Loss: 0.9158, Validation Loss: 0.8540
Epoch 12/1000, Train Loss: 0.8919, Validation Loss: 0.8596
Epoch 13/1000, Train Loss: 0.8894, Validation Loss: 1.9015
Epoch 14/1000, Train Loss: 0.8515, Validation Loss: 1.7033
Epoch 15/1000, Train Loss: 0.8349, Validation Loss: 2.1652
Epoch 16/1000, Train Loss: 0.8230, Validation Loss: 0.8983
Epoch 17/1000, Train Loss: 0.8072, Validation Loss: 1.1584
Epoch 18/1000, Train Loss: 0.7890, Validation Loss: 1.5287
Epoch 19/1000, Train Loss: 0.7680, Validation Loss: 2.7432
Epoch 20/1000, Train Loss: 0.7638, Validation Loss: 1.2783
Epoch 21/1000, Train Loss: 0.7427, Validation Loss: 0.6990
Epoch 22/1000, Train Loss: 0.7355, Validation Loss: 1.1654
Epoch 23/1000, Train Loss: 0.7142, Validation Loss: 1.0545
Epoch 24/1000, Train Loss: 0.7115, Validation Loss: 1.0164
Epoch 25/1000, Train Loss: 0.6983, Validation Loss: 0.7853
Epoch 26/1000, Train Loss: 0.6836, Validation Loss: 0.8937
Epoch 27/1000, Train Loss: 0.6804, Validation Loss: 1.5828
Epoch 28/1000, Train Loss: 0.6786, Validation Loss: 0.6937
Epoch 29/1000, Train Loss: 0.6618, Validation Loss: 0.9539
Epoch 30/1000, Train Loss: 0.6663, Validation Loss: 1.1912
Epoch 31/1000, Train Loss: 0.6482, Validation Loss: 1.1401
Epoch 32/1000, Train Loss: 0.6594, Validation Loss: 0.7974
Epoch 33/1000, Train Loss: 0.6377, Validation Loss: 1.0123
Epoch 34/1000, Train Loss: 0.6366, Validation Loss: 0.6940
Epoch 35/1000, Train Loss: 0.6352, Validation Loss: 0.7437
Epoch 36/1000, Train Loss: 0.6228, Validation Loss: 0.6151
Epoch 37/1000, Train Loss: 0.6269, Validation Loss: 0.6217
Epoch 38/1000, Train Loss: 0.6199, Validation Loss: 0.9360
Epoch 39/1000, Train Loss: 0.6251, Validation Loss: 0.9956
Epoch 40/1000, Train Loss: 0.6045, Validation Loss: 0.6301
Epoch 41/1000, Train Loss: 0.6070, Validation Loss: 0.9509
Epoch 42/1000, Train Loss: 0.6034, Validation Loss: 0.9225
Epoch 43/1000, Train Loss: 0.6041, Validation Loss: 1.5475
Epoch 44/1000, Train Loss: 0.6016, Validation Loss: 1.4517
Epoch 45/1000, Train Loss: 0.5954, Validation Loss: 1.0919
Epoch 46/1000, Train Loss: 0.5919, Validation Loss: 0.6768
Epoch 47/1000, Train Loss: 0.5899, Validation Loss: 0.5821
Epoch 48/1000, Train Loss: 0.5941, Validation Loss: 1.5381
Epoch 49/1000, Train Loss: 0.5892, Validation Loss: 1.0136
Epoch 50/1000, Train Loss: 0.5826, Validation Loss: 1.9246
Epoch 51/1000, Train Loss: 0.5831, Validation Loss: 0.8069
Epoch 52/1000, Train Loss: 0.5862, Validation Loss: 0.6526
Epoch 53/1000, Train Loss: 0.5763, Validation Loss: 0.6187
Epoch 54/1000, Train Loss: 0.5843, Validation Loss: 1.1516
Epoch 55/1000, Train Loss: 0.5741, Validation Loss: 0.9526
Epoch 56/1000, Train Loss: 0.5691, Validation Loss: 0.6641
Epoch 57/1000, Train Loss: 0.5684, Validation Loss: 0.5536
Epoch 58/1000, Train Loss: 0.5691, Validation Loss: 0.7391
Epoch 59/1000, Train Loss: 0.5617, Validation Loss: 1.0216
Epoch 60/1000, Train Loss: 0.5666, Validation Loss: 0.6539
Epoch 61/1000, Train Loss: 0.5658, Validation Loss: 2.4947
Epoch 62/1000, Train Loss: 0.5627, Validation Loss: 0.5852
Epoch 63/1000, Train Loss: 0.5523, Validation Loss: 0.9322
Epoch 64/1000, Train Loss: 0.5648, Validation Loss: 1.2062
Epoch 65/1000, Train Loss: 0.5572, Validation Loss: 1.0091
Epoch 66/1000, Train Loss: 0.5505, Validation Loss: 1.2606
Epoch 67/1000, Train Loss: 0.5481, Validation Loss: 0.9468
Epoch 68/1000, Train Loss: 0.5484, Validation Loss: 0.7859
Epoch 69/1000, Train Loss: 0.5470, Validation Loss: 0.5416
Epoch 70/1000, Train Loss: 0.5434, Validation Loss: 0.6006
Epoch 71/1000, Train Loss: 0.5404, Validation Loss: 0.9795
Epoch 72/1000, Train Loss: 0.5387, Validation Loss: 1.0952
Epoch 73/1000, Train Loss: 0.5387, Validation Loss: 1.2851
Epoch 74/1000, Train Loss: 0.5378, Validation Loss: 0.8554
Epoch 75/1000, Train Loss: 0.5335, Validation Loss: 0.9427
Epoch 76/1000, Train Loss: 0.5380, Validation Loss: 0.5682
Epoch 77/1000, Train Loss: 0.5404, Validation Loss: 0.5669
Epoch 78/1000, Train Loss: 0.5340, Validation Loss: 0.7303
Epoch 79/1000, Train Loss: 0.5282, Validation Loss: 0.5144
Epoch 80/1000, Train Loss: 0.5313, Validation Loss: 0.6141
Epoch 81/1000, Train Loss: 0.5239, Validation Loss: 0.8625
Epoch 82/1000, Train Loss: 0.5317, Validation Loss: 0.7192
Epoch 83/1000, Train Loss: 0.5246, Validation Loss: 0.7267
Epoch 84/1000, Train Loss: 0.5240, Validation Loss: 0.6771
Epoch 85/1000, Train Loss: 0.5208, Validation Loss: 0.6625
Epoch 86/1000, Train Loss: 0.5158, Validation Loss: 0.6010
Epoch 87/1000, Train Loss: 0.5176, Validation Loss: 0.6324
Epoch 88/1000, Train Loss: 0.5197, Validation Loss: 0.9323
Epoch 89/1000, Train Loss: 0.5120, Validation Loss: 0.8776
Epoch 90/1000, Train Loss: 0.5118, Validation Loss: 0.7242
Epoch 91/1000, Train Loss: 0.5119, Validation Loss: 0.8429
Epoch 92/1000, Train Loss: 0.5144, Validation Loss: 0.6755
Epoch 93/1000, Train Loss: 0.5096, Validation Loss: 1.2244
Epoch 94/1000, Train Loss: 0.5103, Validation Loss: 0.9027
Epoch 95/1000, Train Loss: 0.5096, Validation Loss: 1.3243
Epoch 96/1000, Train Loss: 0.5025, Validation Loss: 1.9223
Epoch 97/1000, Train Loss: 0.5050, Validation Loss: 0.7252
Epoch 98/1000, Train Loss: 0.5073, Validation Loss: 1.0310
Epoch 99/1000, Train Loss: 0.5059, Validation Loss: 0.7485
Epoch 100/1000, Train Loss: 0.4976, Validation Loss: 0.9070
Epoch 101/1000, Train Loss: 0.4999, Validation Loss: 0.7047
Epoch 102/1000, Train Loss: 0.4940, Validation Loss: 0.5410
Epoch 103/1000, Train Loss: 0.5030, Validation Loss: 0.8191
Epoch 104/1000, Train Loss: 0.4969, Validation Loss: 0.8595
Epoch 105/1000, Train Loss: 0.4990, Validation Loss: 0.9496
Epoch 106/1000, Train Loss: 0.4955, Validation Loss: 0.8255
Epoch 107/1000, Train Loss: 0.4889, Validation Loss: 1.6532
Epoch 108/1000, Train Loss: 0.4945, Validation Loss: 0.7076
Epoch 109/1000, Train Loss: 0.4871, Validation Loss: 0.8668
Epoch 110/1000, Train Loss: 0.4882, Validation Loss: 0.6978
Epoch 111/1000, Train Loss: 0.4877, Validation Loss: 2.2397
Epoch 112/1000, Train Loss: 0.4927, Validation Loss: 0.8092
Epoch 113/1000, Train Loss: 0.4950, Validation Loss: 0.7779
Epoch 114/1000, Train Loss: 0.4995, Validation Loss: 1.7648
Epoch 115/1000, Train Loss: 0.4872, Validation Loss: 0.9618
Epoch 116/1000, Train Loss: 0.4915, Validation Loss: 0.5776
Epoch 117/1000, Train Loss: 0.4861, Validation Loss: 0.4834
Epoch 118/1000, Train Loss: 0.4816, Validation Loss: 0.5753
Epoch 119/1000, Train Loss: 0.4858, Validation Loss: 1.0152
Epoch 120/1000, Train Loss: 0.4840, Validation Loss: 0.7282
Epoch 121/1000, Train Loss: 0.4903, Validation Loss: 1.2399
Epoch 122/1000, Train Loss: 0.4815, Validation Loss: 0.6535
Epoch 123/1000, Train Loss: 0.4869, Validation Loss: 0.7619
Epoch 124/1000, Train Loss: 0.4806, Validation Loss: 0.7766
Epoch 125/1000, Train Loss: 0.4838, Validation Loss: 0.4786
Epoch 126/1000, Train Loss: 0.4906, Validation Loss: 2.7774
Epoch 127/1000, Train Loss: 0.4835, Validation Loss: 0.5902
Epoch 128/1000, Train Loss: 0.4751, Validation Loss: 0.7120
Epoch 129/1000, Train Loss: 0.4818, Validation Loss: 0.6000
Epoch 130/1000, Train Loss: 0.4792, Validation Loss: 0.9227
Epoch 131/1000, Train Loss: 0.4796, Validation Loss: 0.5084
Epoch 132/1000, Train Loss: 0.4722, Validation Loss: 0.8325
Epoch 133/1000, Train Loss: 0.4781, Validation Loss: 0.4587
Epoch 134/1000, Train Loss: 0.4800, Validation Loss: 0.5667
Epoch 135/1000, Train Loss: 0.4704, Validation Loss: 0.6316
Epoch 136/1000, Train Loss: 0.4744, Validation Loss: 1.4160
Epoch 137/1000, Train Loss: 0.4755, Validation Loss: 0.7716
Epoch 138/1000, Train Loss: 0.4732, Validation Loss: 0.8272
Epoch 139/1000, Train Loss: 0.4746, Validation Loss: 0.9883
Epoch 140/1000, Train Loss: 0.4736, Validation Loss: 0.7177
Epoch 141/1000, Train Loss: 0.4740, Validation Loss: 0.6582
Epoch 142/1000, Train Loss: 0.4717, Validation Loss: 0.8976
Epoch 143/1000, Train Loss: 0.4762, Validation Loss: 0.8986
Epoch 144/1000, Train Loss: 0.4670, Validation Loss: 0.4865
Epoch 145/1000, Train Loss: 0.4676, Validation Loss: 0.8286
Epoch 146/1000, Train Loss: 0.4646, Validation Loss: 1.0839
Epoch 147/1000, Train Loss: 0.4597, Validation Loss: 0.8878
Epoch 148/1000, Train Loss: 0.4724, Validation Loss: 0.8822
Epoch 149/1000, Train Loss: 0.4628, Validation Loss: 0.5620
Epoch 150/1000, Train Loss: 0.4692, Validation Loss: 0.5605
Epoch 151/1000, Train Loss: 0.4610, Validation Loss: 1.1669
Epoch 152/1000, Train Loss: 0.4640, Validation Loss: 0.5551
Epoch 153/1000, Train Loss: 0.4581, Validation Loss: 1.4340
Epoch 154/1000, Train Loss: 0.4632, Validation Loss: 0.5179
