Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-hvm2avxz
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.1722, Validation Loss: 11.3837
Epoch 2/1000, Train Loss: 1.7228, Validation Loss: 3.4183
Epoch 3/1000, Train Loss: 1.5754, Validation Loss: 2.1861
Epoch 4/1000, Train Loss: 1.4014, Validation Loss: 2.8490
Epoch 5/1000, Train Loss: 1.4763, Validation Loss: 11.0919
Epoch 6/1000, Train Loss: 1.3455, Validation Loss: 3.3390
Epoch 7/1000, Train Loss: 1.2397, Validation Loss: 2.9157
Epoch 8/1000, Train Loss: 1.1483, Validation Loss: 3.9282
Epoch 9/1000, Train Loss: 1.1118, Validation Loss: 1.1708
Epoch 10/1000, Train Loss: 1.1333, Validation Loss: 3.3774
Epoch 11/1000, Train Loss: 1.0530, Validation Loss: 0.8958
Epoch 12/1000, Train Loss: 1.0173, Validation Loss: 1.6357
Epoch 13/1000, Train Loss: 1.0593, Validation Loss: 10.0012
Epoch 14/1000, Train Loss: 0.9949, Validation Loss: 4.1256
Epoch 15/1000, Train Loss: 1.0061, Validation Loss: 1.5608
Epoch 16/1000, Train Loss: 1.0603, Validation Loss: 6.0191
Epoch 17/1000, Train Loss: 0.9754, Validation Loss: 1.1449
Epoch 18/1000, Train Loss: 0.9686, Validation Loss: 2.1091
Epoch 19/1000, Train Loss: 0.9683, Validation Loss: 1.4585
Epoch 20/1000, Train Loss: 0.9244, Validation Loss: 4.0559
Epoch 21/1000, Train Loss: 0.9573, Validation Loss: 2.0682
Epoch 22/1000, Train Loss: 0.9083, Validation Loss: 1.3232
Epoch 23/1000, Train Loss: 0.9073, Validation Loss: 2.1719
Epoch 24/1000, Train Loss: 0.9173, Validation Loss: 1.9393
Epoch 25/1000, Train Loss: 0.8555, Validation Loss: 1.2621
Epoch 26/1000, Train Loss: 0.8895, Validation Loss: 1.5610
Epoch 27/1000, Train Loss: 0.8484, Validation Loss: 4.2685
Epoch 28/1000, Train Loss: 0.8606, Validation Loss: 5.1154
Epoch 29/1000, Train Loss: 0.8672, Validation Loss: 0.7735
Epoch 30/1000, Train Loss: 0.8237, Validation Loss: 1.1368
Epoch 31/1000, Train Loss: 0.8255, Validation Loss: 0.7266
Epoch 32/1000, Train Loss: 0.7930, Validation Loss: 0.9261
Epoch 33/1000, Train Loss: 0.8174, Validation Loss: 0.7583
Epoch 34/1000, Train Loss: 0.8154, Validation Loss: 0.9937
Epoch 35/1000, Train Loss: 0.8441, Validation Loss: 0.8330
Epoch 36/1000, Train Loss: 0.8378, Validation Loss: 2.3427
Epoch 37/1000, Train Loss: 0.8232, Validation Loss: 1.2113
Epoch 38/1000, Train Loss: 0.8465, Validation Loss: 0.9230
Epoch 39/1000, Train Loss: 0.7599, Validation Loss: 1.0417
Epoch 40/1000, Train Loss: 0.7626, Validation Loss: 3.0469
Epoch 41/1000, Train Loss: 0.7587, Validation Loss: 0.7400
Epoch 42/1000, Train Loss: 0.8781, Validation Loss: 3.1776
Epoch 43/1000, Train Loss: 0.7566, Validation Loss: 4.3685
Epoch 44/1000, Train Loss: 0.7464, Validation Loss: 0.9188
Epoch 45/1000, Train Loss: 0.7211, Validation Loss: 0.6895
Epoch 46/1000, Train Loss: 0.7324, Validation Loss: 1.4174
Epoch 47/1000, Train Loss: 0.7021, Validation Loss: 2.0344
Epoch 48/1000, Train Loss: 0.6806, Validation Loss: 0.6610
Epoch 49/1000, Train Loss: 0.7139, Validation Loss: 0.8107
Epoch 50/1000, Train Loss: 0.6983, Validation Loss: 1.6026
Epoch 51/1000, Train Loss: 0.6741, Validation Loss: 2.2859
Epoch 52/1000, Train Loss: 0.6759, Validation Loss: 0.6610
Epoch 53/1000, Train Loss: 0.6819, Validation Loss: 0.6943
Epoch 54/1000, Train Loss: 0.6410, Validation Loss: 0.5974
Epoch 55/1000, Train Loss: 0.6458, Validation Loss: 2.0970
Epoch 56/1000, Train Loss: 0.6472, Validation Loss: 0.6546
Epoch 57/1000, Train Loss: 0.6401, Validation Loss: 1.5869
Epoch 58/1000, Train Loss: 0.6636, Validation Loss: 1.0226
Epoch 59/1000, Train Loss: 0.6276, Validation Loss: 1.3474
Epoch 60/1000, Train Loss: 0.6393, Validation Loss: 1.0087
Epoch 61/1000, Train Loss: 0.6415, Validation Loss: 1.2083
Epoch 62/1000, Train Loss: 0.6404, Validation Loss: 0.6422
Epoch 63/1000, Train Loss: 0.6336, Validation Loss: 1.2740
Epoch 64/1000, Train Loss: 0.6695, Validation Loss: 1.6619
Epoch 65/1000, Train Loss: 0.6115, Validation Loss: 0.7762
Epoch 66/1000, Train Loss: 0.6028, Validation Loss: 1.7075
Epoch 67/1000, Train Loss: 0.6172, Validation Loss: 1.8383
Epoch 68/1000, Train Loss: 0.6218, Validation Loss: 1.8923
Epoch 69/1000, Train Loss: 0.6236, Validation Loss: 1.2264
Epoch 70/1000, Train Loss: 0.6141, Validation Loss: 1.1741
Epoch 71/1000, Train Loss: 0.6006, Validation Loss: 0.8295
