Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-wfrr2qb7
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.9571, Validation Loss: 2.5739
Epoch 2/1000, Train Loss: 1.4166, Validation Loss: 6.3655
Epoch 3/1000, Train Loss: 1.2120, Validation Loss: 1.3239
Epoch 4/1000, Train Loss: 1.2050, Validation Loss: 2.2468
Epoch 5/1000, Train Loss: 1.1406, Validation Loss: 2.1887
Epoch 6/1000, Train Loss: 1.1178, Validation Loss: 0.9959
Epoch 7/1000, Train Loss: 1.1001, Validation Loss: 1.7219
Epoch 8/1000, Train Loss: 1.0163, Validation Loss: 4.0146
Epoch 9/1000, Train Loss: 1.0318, Validation Loss: 1.1058
Epoch 10/1000, Train Loss: 1.0220, Validation Loss: 2.9837
Epoch 11/1000, Train Loss: 1.0017, Validation Loss: 1.6632
Epoch 12/1000, Train Loss: 0.9979, Validation Loss: 2.5988
Epoch 13/1000, Train Loss: 1.0035, Validation Loss: 2.2518
Epoch 14/1000, Train Loss: 1.0182, Validation Loss: 1.0480
Epoch 15/1000, Train Loss: 1.0219, Validation Loss: 1.3069
Epoch 16/1000, Train Loss: 0.9916, Validation Loss: 2.0402
Epoch 17/1000, Train Loss: 1.0175, Validation Loss: 0.8134
Epoch 18/1000, Train Loss: 1.1034, Validation Loss: 2.0044
Epoch 19/1000, Train Loss: 0.9557, Validation Loss: 1.0170
Epoch 20/1000, Train Loss: 0.9886, Validation Loss: 1.6873
Epoch 21/1000, Train Loss: 0.9809, Validation Loss: 0.9045
Epoch 22/1000, Train Loss: 0.9288, Validation Loss: 2.4443
Epoch 23/1000, Train Loss: 1.0875, Validation Loss: 0.9646
Epoch 24/1000, Train Loss: 1.0108, Validation Loss: 1.2047
Epoch 25/1000, Train Loss: 0.9809, Validation Loss: 2.5157
Epoch 26/1000, Train Loss: 0.9748, Validation Loss: 1.3314
Epoch 27/1000, Train Loss: 0.9451, Validation Loss: 3.6393
Epoch 28/1000, Train Loss: 1.5997, Validation Loss: 735.9489
Epoch 29/1000, Train Loss: 1.3806, Validation Loss: 4.0680
Epoch 30/1000, Train Loss: 1.0421, Validation Loss: 0.8982
Epoch 31/1000, Train Loss: 1.0375, Validation Loss: 1.6351
Epoch 32/1000, Train Loss: 0.9459, Validation Loss: 2.0711
Epoch 33/1000, Train Loss: 0.9685, Validation Loss: 1.0871
Epoch 34/1000, Train Loss: 0.9528, Validation Loss: 1.0357
Epoch 35/1000, Train Loss: 0.9417, Validation Loss: 0.8993
Epoch 36/1000, Train Loss: 0.9379, Validation Loss: 1.2208
Epoch 37/1000, Train Loss: 0.9301, Validation Loss: 2.0362
Epoch 38/1000, Train Loss: 1.0245, Validation Loss: 1.1493
Epoch 39/1000, Train Loss: 0.9695, Validation Loss: 1.2487
Epoch 40/1000, Train Loss: 0.9451, Validation Loss: 1.0738
Epoch 41/1000, Train Loss: 1.1327, Validation Loss: 4.4547
Epoch 42/1000, Train Loss: 0.9282, Validation Loss: 3.5216
Epoch 43/1000, Train Loss: 0.9464, Validation Loss: 2.5512
Epoch 44/1000, Train Loss: 0.8985, Validation Loss: 1.2438
Epoch 45/1000, Train Loss: 0.9717, Validation Loss: 1.8442
Epoch 46/1000, Train Loss: 0.9176, Validation Loss: 2.1700
