Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-y490162l
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.3386, Validation Loss: 2.2703
Epoch 2/1000, Train Loss: 1.5297, Validation Loss: 1.2021
Epoch 3/1000, Train Loss: 1.2792, Validation Loss: 1.5821
Epoch 4/1000, Train Loss: 1.1971, Validation Loss: 1.3585
Epoch 5/1000, Train Loss: 1.1472, Validation Loss: 1.4001
Epoch 6/1000, Train Loss: 1.1139, Validation Loss: 1.2509
Epoch 7/1000, Train Loss: 1.1078, Validation Loss: 2.4481
Epoch 8/1000, Train Loss: 1.0937, Validation Loss: 1.0543
Epoch 9/1000, Train Loss: 1.0802, Validation Loss: 1.1395
Epoch 10/1000, Train Loss: 1.1033, Validation Loss: 1.2138
Epoch 11/1000, Train Loss: 1.0725, Validation Loss: 2.3451
Epoch 12/1000, Train Loss: 1.0724, Validation Loss: 1.0341
Epoch 13/1000, Train Loss: 1.0870, Validation Loss: 0.9984
Epoch 14/1000, Train Loss: 1.0886, Validation Loss: 1.7533
Epoch 15/1000, Train Loss: 1.0602, Validation Loss: 1.4107
Epoch 16/1000, Train Loss: 1.0579, Validation Loss: 1.5791
Epoch 17/1000, Train Loss: 1.0365, Validation Loss: 1.1946
Epoch 18/1000, Train Loss: 0.9997, Validation Loss: 1.4367
Epoch 19/1000, Train Loss: 1.0260, Validation Loss: 1.1132
Epoch 20/1000, Train Loss: 7.0832, Validation Loss: 6.4375
Epoch 21/1000, Train Loss: 1.1063, Validation Loss: 1.0482
Epoch 22/1000, Train Loss: 0.9768, Validation Loss: 2.6828
Epoch 23/1000, Train Loss: 0.9422, Validation Loss: 0.8673
Epoch 24/1000, Train Loss: 0.9388, Validation Loss: 1.9142
Epoch 25/1000, Train Loss: 0.9690, Validation Loss: 0.9907
Epoch 26/1000, Train Loss: 1.0347, Validation Loss: 1.5057
Epoch 27/1000, Train Loss: 1.0297, Validation Loss: 0.8113
Epoch 28/1000, Train Loss: 0.9213, Validation Loss: 1.5588
Epoch 29/1000, Train Loss: 0.9639, Validation Loss: 0.8434
Epoch 30/1000, Train Loss: 0.9553, Validation Loss: 3.1846
Epoch 31/1000, Train Loss: 0.9469, Validation Loss: 1.0394
Epoch 32/1000, Train Loss: 0.9666, Validation Loss: 1.6551
Epoch 33/1000, Train Loss: 0.9249, Validation Loss: 2.0491
Epoch 34/1000, Train Loss: 0.9295, Validation Loss: 8.0934
Epoch 35/1000, Train Loss: 0.8736, Validation Loss: 1.4368
Epoch 36/1000, Train Loss: 0.9712, Validation Loss: 1.5867
Epoch 37/1000, Train Loss: 0.8900, Validation Loss: 1.0438
Epoch 38/1000, Train Loss: 0.9121, Validation Loss: 2.0132
Epoch 39/1000, Train Loss: 0.9913, Validation Loss: 0.9842
Epoch 40/1000, Train Loss: 0.9023, Validation Loss: 1.2885
Epoch 41/1000, Train Loss: 0.8721, Validation Loss: 0.7951
Epoch 42/1000, Train Loss: 1.8373, Validation Loss: 7.4881
Epoch 43/1000, Train Loss: 0.9531, Validation Loss: 2.9229
Epoch 44/1000, Train Loss: 0.8753, Validation Loss: 2.4412
Epoch 45/1000, Train Loss: 0.9018, Validation Loss: 1.1193
Epoch 46/1000, Train Loss: 0.8358, Validation Loss: 0.7910
Epoch 47/1000, Train Loss: 0.8454, Validation Loss: 0.8131
Epoch 48/1000, Train Loss: 0.8414, Validation Loss: 2.3628
Epoch 49/1000, Train Loss: 0.8493, Validation Loss: 1.8507
Epoch 50/1000, Train Loss: 0.9743, Validation Loss: 0.8238
Epoch 51/1000, Train Loss: 0.8099, Validation Loss: 1.3542
Epoch 52/1000, Train Loss: 0.8066, Validation Loss: 0.7391
Epoch 53/1000, Train Loss: 0.7727, Validation Loss: 1.3803
Epoch 54/1000, Train Loss: 0.7642, Validation Loss: 0.8226
Epoch 55/1000, Train Loss: 0.7910, Validation Loss: 0.7564
Epoch 56/1000, Train Loss: 0.7505, Validation Loss: 0.8807
Epoch 57/1000, Train Loss: 0.7518, Validation Loss: 0.7348
Epoch 58/1000, Train Loss: 0.7559, Validation Loss: 0.9634
Epoch 59/1000, Train Loss: 0.7336, Validation Loss: 0.7647
Epoch 60/1000, Train Loss: 0.7262, Validation Loss: 1.8082
Epoch 61/1000, Train Loss: 0.7521, Validation Loss: 1.0736
Epoch 62/1000, Train Loss: 0.7041, Validation Loss: 2.3464
Epoch 63/1000, Train Loss: 0.7245, Validation Loss: 0.8144
Epoch 64/1000, Train Loss: 0.7148, Validation Loss: 1.1589
Epoch 65/1000, Train Loss: 0.6835, Validation Loss: 0.9519
Epoch 66/1000, Train Loss: 0.7023, Validation Loss: 1.3123
Epoch 67/1000, Train Loss: 0.7021, Validation Loss: 0.8659
Epoch 68/1000, Train Loss: 0.6863, Validation Loss: 1.8752
Epoch 69/1000, Train Loss: 0.6953, Validation Loss: 1.3005
Epoch 70/1000, Train Loss: 0.6730, Validation Loss: 2.3991
Epoch 71/1000, Train Loss: 0.6811, Validation Loss: 0.9554
Epoch 72/1000, Train Loss: 0.7406, Validation Loss: 1.0653
Epoch 73/1000, Train Loss: 0.7051, Validation Loss: 1.5091
Epoch 74/1000, Train Loss: 0.6703, Validation Loss: 0.9270
Epoch 75/1000, Train Loss: 0.6895, Validation Loss: 1.6758
Epoch 76/1000, Train Loss: 0.6580, Validation Loss: 1.3583
Epoch 77/1000, Train Loss: 0.6595, Validation Loss: 0.9951
Epoch 78/1000, Train Loss: 0.7018, Validation Loss: 1.5551
Epoch 79/1000, Train Loss: 0.6730, Validation Loss: 0.6812
Epoch 80/1000, Train Loss: 0.6881, Validation Loss: 1.7728
