Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-yzaxuk2e
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.0914, Validation Loss: 1.2420
Epoch 2/1000, Train Loss: 1.3741, Validation Loss: 1.2392
Epoch 3/1000, Train Loss: 1.2822, Validation Loss: 1.4315
Epoch 4/1000, Train Loss: 1.2212, Validation Loss: 2.5215
Epoch 5/1000, Train Loss: 1.1918, Validation Loss: 1.4808
Epoch 6/1000, Train Loss: 8.0663, Validation Loss: 2.0300
Epoch 7/1000, Train Loss: 1.2152, Validation Loss: 2.1570
Epoch 8/1000, Train Loss: 1.1136, Validation Loss: 10.5450
Epoch 9/1000, Train Loss: 1.5292, Validation Loss: 2.9256
Epoch 10/1000, Train Loss: 1.1062, Validation Loss: 0.9912
Epoch 11/1000, Train Loss: 1.1050, Validation Loss: 1.0823
Epoch 12/1000, Train Loss: 1.0554, Validation Loss: 1.8790
Epoch 13/1000, Train Loss: 1.0552, Validation Loss: 1.0027
Epoch 14/1000, Train Loss: 1.0099, Validation Loss: 2.5950
Epoch 15/1000, Train Loss: 1.1643, Validation Loss: 2.8269
Epoch 16/1000, Train Loss: 33.3762, Validation Loss: 1.1459
Epoch 17/1000, Train Loss: 1.0216, Validation Loss: 0.8911
Epoch 18/1000, Train Loss: 0.9634, Validation Loss: 1.1118
Epoch 19/1000, Train Loss: 0.9625, Validation Loss: 3.6989
Epoch 20/1000, Train Loss: 13.4141, Validation Loss: 1.7903
Epoch 21/1000, Train Loss: 0.9581, Validation Loss: 4.0207
Epoch 22/1000, Train Loss: 0.9238, Validation Loss: 1.2658
Epoch 23/1000, Train Loss: 0.9394, Validation Loss: 1.9423
Epoch 24/1000, Train Loss: 0.8999, Validation Loss: 0.9417
Epoch 25/1000, Train Loss: 59.9836, Validation Loss: 2.5928
Epoch 26/1000, Train Loss: 0.8917, Validation Loss: 0.8813
Epoch 27/1000, Train Loss: 0.8843, Validation Loss: 1.5886
Epoch 28/1000, Train Loss: 3.6334, Validation Loss: 3.9859
Epoch 29/1000, Train Loss: 0.9504, Validation Loss: 1.4195
Epoch 30/1000, Train Loss: 0.8809, Validation Loss: 1.3286
Epoch 31/1000, Train Loss: 128.5817, Validation Loss: 2.9836
Epoch 32/1000, Train Loss: 1.3121, Validation Loss: 4.0816
Epoch 33/1000, Train Loss: 0.8817, Validation Loss: 2.2359
Epoch 34/1000, Train Loss: 0.8770, Validation Loss: 1.1783
Epoch 35/1000, Train Loss: 57.1045, Validation Loss: 2.1380
Epoch 36/1000, Train Loss: 0.8468, Validation Loss: 1.1486
Epoch 37/1000, Train Loss: 0.8572, Validation Loss: 0.9180
Epoch 38/1000, Train Loss: 0.8638, Validation Loss: 1.3054
Epoch 39/1000, Train Loss: 0.8483, Validation Loss: 1.1633
Epoch 40/1000, Train Loss: 0.9008, Validation Loss: 0.8897
Epoch 41/1000, Train Loss: 0.8626, Validation Loss: 2.7787
Epoch 42/1000, Train Loss: 4.9411, Validation Loss: 2.2546
Epoch 43/1000, Train Loss: 0.8126, Validation Loss: 2.2325
Epoch 44/1000, Train Loss: 0.8220, Validation Loss: 1.7136
Epoch 45/1000, Train Loss: 0.7835, Validation Loss: 1.1137
Epoch 46/1000, Train Loss: 0.8185, Validation Loss: 2.6942
Epoch 47/1000, Train Loss: 0.7985, Validation Loss: 2.9377
Epoch 48/1000, Train Loss: 0.7953, Validation Loss: 3.0708
Epoch 49/1000, Train Loss: 1.0810, Validation Loss: 2.8921
