Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-pu3ofzut
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.0265, Validation Loss: 1.2910
Epoch 2/1000, Train Loss: 1.3953, Validation Loss: 1.8209
Epoch 3/1000, Train Loss: 1.2462, Validation Loss: 2.1254
Epoch 4/1000, Train Loss: 1.1899, Validation Loss: 2.3645
Epoch 5/1000, Train Loss: 1.1186, Validation Loss: 1.5632
Epoch 6/1000, Train Loss: 1.0868, Validation Loss: 3.2886
Epoch 7/1000, Train Loss: 1.1211, Validation Loss: 1.4739
Epoch 8/1000, Train Loss: 1.0974, Validation Loss: 1.3814
Epoch 9/1000, Train Loss: 1.1227, Validation Loss: 2.4137
Epoch 10/1000, Train Loss: 1.1293, Validation Loss: 4.2884
Epoch 11/1000, Train Loss: 1.0788, Validation Loss: 2.8321
Epoch 12/1000, Train Loss: 1.1369, Validation Loss: 1.1620
Epoch 13/1000, Train Loss: 1.0727, Validation Loss: 2.6331
Epoch 14/1000, Train Loss: 1.1068, Validation Loss: 1.1946
Epoch 15/1000, Train Loss: 1.2463, Validation Loss: 3.0078
Epoch 16/1000, Train Loss: 1.0677, Validation Loss: 6.4160
Epoch 17/1000, Train Loss: 1.1288, Validation Loss: 3.3991
Epoch 18/1000, Train Loss: 1.0656, Validation Loss: 2.0737
Epoch 19/1000, Train Loss: 1.0548, Validation Loss: 4.1937
Epoch 20/1000, Train Loss: 1.0313, Validation Loss: 1.5431
Epoch 21/1000, Train Loss: 1.0581, Validation Loss: 2.5213
Epoch 22/1000, Train Loss: 1.0472, Validation Loss: 2.3082
Epoch 23/1000, Train Loss: 1.0239, Validation Loss: 6.7693
Epoch 24/1000, Train Loss: 1.0936, Validation Loss: 3.9830
Epoch 25/1000, Train Loss: 0.9921, Validation Loss: 3.3562
Epoch 26/1000, Train Loss: 117.2865, Validation Loss: 4.6932
Epoch 27/1000, Train Loss: 1.2739, Validation Loss: 3.6426
Epoch 28/1000, Train Loss: 1.0153, Validation Loss: 1.9338
Epoch 29/1000, Train Loss: 0.9985, Validation Loss: 2.8426
Epoch 30/1000, Train Loss: 0.9321, Validation Loss: 2.6567
Epoch 31/1000, Train Loss: 0.9401, Validation Loss: 0.8701
Epoch 32/1000, Train Loss: 1.0181, Validation Loss: 0.9402
Epoch 33/1000, Train Loss: 4.2621, Validation Loss: 2.6995
Epoch 34/1000, Train Loss: 0.9753, Validation Loss: 1.0656
Epoch 35/1000, Train Loss: 1.0264, Validation Loss: 1.3345
Epoch 36/1000, Train Loss: 0.9579, Validation Loss: 0.8550
Epoch 37/1000, Train Loss: 0.9776, Validation Loss: 2.0631
Epoch 38/1000, Train Loss: 0.9579, Validation Loss: 1.7308
Epoch 39/1000, Train Loss: 0.9863, Validation Loss: 1.2874
Epoch 40/1000, Train Loss: 0.8970, Validation Loss: 2.3114
Epoch 41/1000, Train Loss: 0.8858, Validation Loss: 1.6526
Epoch 42/1000, Train Loss: 0.9841, Validation Loss: 1.7114
Epoch 43/1000, Train Loss: 0.8913, Validation Loss: 1.2677
Epoch 44/1000, Train Loss: 0.9414, Validation Loss: 4.9644
Epoch 45/1000, Train Loss: 1.1347, Validation Loss: 2.3728
Epoch 46/1000, Train Loss: 0.8913, Validation Loss: 4.8401
Epoch 47/1000, Train Loss: 0.8923, Validation Loss: 1.2129
Epoch 48/1000, Train Loss: 14.3169, Validation Loss: 1.4206
Epoch 49/1000, Train Loss: 0.8595, Validation Loss: 1.2148
Epoch 50/1000, Train Loss: 0.9513, Validation Loss: 3.7217
Epoch 51/1000, Train Loss: 0.9250, Validation Loss: 3.3730
Epoch 52/1000, Train Loss: 0.8780, Validation Loss: 1.8363
Epoch 53/1000, Train Loss: 0.8923, Validation Loss: 0.9384
Epoch 54/1000, Train Loss: 0.8785, Validation Loss: 0.7661
Epoch 55/1000, Train Loss: 0.9226, Validation Loss: 2.2371
Epoch 56/1000, Train Loss: 0.8892, Validation Loss: 0.9045
Epoch 57/1000, Train Loss: 0.9798, Validation Loss: 1.1981
Epoch 58/1000, Train Loss: 0.8835, Validation Loss: 1.3901
Epoch 59/1000, Train Loss: 0.9745, Validation Loss: 2.4571
Epoch 60/1000, Train Loss: 0.9219, Validation Loss: 1.8676
Epoch 61/1000, Train Loss: 0.8976, Validation Loss: 2.5099
Epoch 62/1000, Train Loss: 0.8923, Validation Loss: 1.2350
Epoch 63/1000, Train Loss: 2.4730, Validation Loss: 1.6673
Epoch 64/1000, Train Loss: 0.8960, Validation Loss: 0.8034
Epoch 65/1000, Train Loss: 0.8073, Validation Loss: 1.5074
Epoch 66/1000, Train Loss: 0.8239, Validation Loss: 1.0151
Epoch 67/1000, Train Loss: 0.8482, Validation Loss: 2.3098
Epoch 68/1000, Train Loss: 0.8856, Validation Loss: 1.1134
Epoch 69/1000, Train Loss: 0.8456, Validation Loss: 2.2383
Epoch 70/1000, Train Loss: 0.8588, Validation Loss: 1.4234
Epoch 71/1000, Train Loss: 0.8448, Validation Loss: 0.9582
Epoch 72/1000, Train Loss: 0.8515, Validation Loss: 1.9538
Epoch 73/1000, Train Loss: 0.8366, Validation Loss: 1.1088
Epoch 74/1000, Train Loss: 0.9187, Validation Loss: 1.1650
Epoch 75/1000, Train Loss: 5.6233, Validation Loss: 1.6659
Epoch 76/1000, Train Loss: 0.8740, Validation Loss: 1.1109
Epoch 77/1000, Train Loss: 0.8182, Validation Loss: 1.2947
Epoch 78/1000, Train Loss: 1.0089, Validation Loss: 1.4564
Epoch 79/1000, Train Loss: 0.8532, Validation Loss: 1.2301
Epoch 80/1000, Train Loss: 0.8618, Validation Loss: 1.1088
Epoch 81/1000, Train Loss: 127.0973, Validation Loss: 5.8884
Epoch 82/1000, Train Loss: 0.9583, Validation Loss: 1.8770
Epoch 83/1000, Train Loss: 0.8601, Validation Loss: 1.6737
Epoch 84/1000, Train Loss: 0.8350, Validation Loss: 1.6614
Epoch 85/1000, Train Loss: 0.8770, Validation Loss: 3.7535
Epoch 86/1000, Train Loss: 0.8222, Validation Loss: 2.8612
Epoch 87/1000, Train Loss: 0.8736, Validation Loss: 2.2561
Epoch 88/1000, Train Loss: 0.8751, Validation Loss: 3.3238
Epoch 89/1000, Train Loss: 0.8142, Validation Loss: 1.2478
Epoch 90/1000, Train Loss: 0.8558, Validation Loss: 1.5888
Epoch 91/1000, Train Loss: 0.8163, Validation Loss: 1.3499
Epoch 92/1000, Train Loss: 1.1629, Validation Loss: 1.4668
Epoch 93/1000, Train Loss: 0.8251, Validation Loss: 2.4110
Epoch 94/1000, Train Loss: 0.8821, Validation Loss: 6.9393
Epoch 95/1000, Train Loss: 0.9019, Validation Loss: 0.8948
Epoch 96/1000, Train Loss: 0.8186, Validation Loss: 1.1507
Epoch 97/1000, Train Loss: 0.8315, Validation Loss: 0.9327
Epoch 98/1000, Train Loss: 0.9693, Validation Loss: 1.8443
Epoch 99/1000, Train Loss: 0.8722, Validation Loss: 1.4514
Epoch 100/1000, Train Loss: 0.8516, Validation Loss: 1.1581
Epoch 101/1000, Train Loss: 0.8944, Validation Loss: 4.0540
Epoch 102/1000, Train Loss: 0.9035, Validation Loss: 2.8658
Epoch 103/1000, Train Loss: 0.7843, Validation Loss: 2.5746
Epoch 104/1000, Train Loss: 0.8163, Validation Loss: 2.0071
Epoch 105/1000, Train Loss: 0.8261, Validation Loss: 1.8425
Epoch 106/1000, Train Loss: 0.7818, Validation Loss: 0.9281
Epoch 107/1000, Train Loss: 110.9548, Validation Loss: 1.0943
Epoch 108/1000, Train Loss: 0.9969, Validation Loss: 3.5199
Epoch 109/1000, Train Loss: 0.9010, Validation Loss: 1.5801
Epoch 110/1000, Train Loss: 0.8200, Validation Loss: 2.5335
Epoch 111/1000, Train Loss: 0.8509, Validation Loss: 0.7728
Epoch 112/1000, Train Loss: 0.8525, Validation Loss: 1.4350
Epoch 113/1000, Train Loss: 0.8124, Validation Loss: 2.3251
Epoch 114/1000, Train Loss: 0.7573, Validation Loss: 1.9006
Epoch 115/1000, Train Loss: 0.8060, Validation Loss: 1.9367
Epoch 116/1000, Train Loss: 0.8449, Validation Loss: 1.3172
Epoch 117/1000, Train Loss: 0.7689, Validation Loss: 1.5290
Epoch 118/1000, Train Loss: 0.8247, Validation Loss: 7.4210
Epoch 119/1000, Train Loss: 13.4977, Validation Loss: 6.6556
Epoch 120/1000, Train Loss: 6.2541, Validation Loss: 6.0906
Epoch 121/1000, Train Loss: 5.1976, Validation Loss: 3.5051
Epoch 122/1000, Train Loss: 0.9399, Validation Loss: 1.1207
Epoch 123/1000, Train Loss: 0.8759, Validation Loss: 1.5692
Epoch 124/1000, Train Loss: 0.8400, Validation Loss: 1.9094
Epoch 125/1000, Train Loss: 0.8270, Validation Loss: 1.3125
Epoch 126/1000, Train Loss: 0.7935, Validation Loss: 1.4985
Epoch 127/1000, Train Loss: 0.8278, Validation Loss: 8.4463
Epoch 128/1000, Train Loss: 0.8614, Validation Loss: 0.7431
Epoch 129/1000, Train Loss: 1.0449, Validation Loss: 4.5327
Epoch 130/1000, Train Loss: 0.8163, Validation Loss: 1.0583
Epoch 131/1000, Train Loss: 0.8378, Validation Loss: 1.4396
