Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-uurqq8fa
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.2400, Validation Loss: 7.9187
Epoch 2/1000, Train Loss: 1.5753, Validation Loss: 3.3868
Epoch 3/1000, Train Loss: 1.4255, Validation Loss: 1.5701
Epoch 4/1000, Train Loss: 1.7016, Validation Loss: 2.3470
Epoch 5/1000, Train Loss: 1.4109, Validation Loss: 3.2661
Epoch 6/1000, Train Loss: 1.3514, Validation Loss: 3.7632
Epoch 7/1000, Train Loss: 1.1583, Validation Loss: 3.9670
Epoch 8/1000, Train Loss: 1.1469, Validation Loss: 1.3437
Epoch 9/1000, Train Loss: 1.0714, Validation Loss: 4.4677
Epoch 10/1000, Train Loss: 1.0772, Validation Loss: 1.9217
Epoch 11/1000, Train Loss: 1.0109, Validation Loss: 1.4126
Epoch 12/1000, Train Loss: 0.9702, Validation Loss: 1.7983
Epoch 13/1000, Train Loss: 0.9767, Validation Loss: 0.9964
Epoch 14/1000, Train Loss: 0.9156, Validation Loss: 1.7224
Epoch 15/1000, Train Loss: 0.9389, Validation Loss: 1.2090
Epoch 16/1000, Train Loss: 0.8834, Validation Loss: 3.5835
Epoch 17/1000, Train Loss: 0.9007, Validation Loss: 1.4186
Epoch 18/1000, Train Loss: 0.8780, Validation Loss: 1.8782
Epoch 19/1000, Train Loss: 0.8495, Validation Loss: 1.1727
Epoch 20/1000, Train Loss: 0.8388, Validation Loss: 1.6446
Epoch 21/1000, Train Loss: 0.8028, Validation Loss: 1.2040
Epoch 22/1000, Train Loss: 0.7900, Validation Loss: 1.2466
Epoch 23/1000, Train Loss: 0.8248, Validation Loss: 0.9597
Epoch 24/1000, Train Loss: 0.7756, Validation Loss: 1.5168
Epoch 25/1000, Train Loss: 0.7740, Validation Loss: 2.5727
Epoch 26/1000, Train Loss: 0.7706, Validation Loss: 1.3133
Epoch 27/1000, Train Loss: 0.7631, Validation Loss: 3.5416
Epoch 28/1000, Train Loss: 0.7280, Validation Loss: 0.6686
Epoch 29/1000, Train Loss: 0.7357, Validation Loss: 1.5045
Epoch 30/1000, Train Loss: 0.7341, Validation Loss: 1.0949
Epoch 31/1000, Train Loss: 0.7133, Validation Loss: 0.8224
Epoch 32/1000, Train Loss: 0.6865, Validation Loss: 1.5409
