Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-qjgdqafp
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 26.0060, Validation Loss: 2.9752
Epoch 2/1000, Train Loss: 1.4659, Validation Loss: 1.7876
Epoch 3/1000, Train Loss: 1.2925, Validation Loss: 3.0093
Epoch 4/1000, Train Loss: 1.2063, Validation Loss: 2.3838
Epoch 5/1000, Train Loss: 1.1934, Validation Loss: 0.9995
Epoch 6/1000, Train Loss: 1.1807, Validation Loss: 2.6812
Epoch 7/1000, Train Loss: 1.1660, Validation Loss: 1.6734
Epoch 8/1000, Train Loss: 1.1546, Validation Loss: 1.2081
Epoch 9/1000, Train Loss: 1.2428, Validation Loss: 1.2236
Epoch 10/1000, Train Loss: 1.1801, Validation Loss: 1.1666
Epoch 11/1000, Train Loss: 1.1474, Validation Loss: 1.1613
Epoch 12/1000, Train Loss: 1.1835, Validation Loss: 1.3392
Epoch 13/1000, Train Loss: 1.1795, Validation Loss: 2.2347
Epoch 14/1000, Train Loss: 1.1240, Validation Loss: 1.4895
Epoch 15/1000, Train Loss: 1.0777, Validation Loss: 0.9927
Epoch 16/1000, Train Loss: 1.1299, Validation Loss: 1.6814
Epoch 17/1000, Train Loss: 1.1629, Validation Loss: 2.6434
Epoch 18/1000, Train Loss: 1.1444, Validation Loss: 1.2048
Epoch 19/1000, Train Loss: 36.1830, Validation Loss: 2.7000
Epoch 20/1000, Train Loss: 1.3574, Validation Loss: 3.5317
Epoch 21/1000, Train Loss: 1.1076, Validation Loss: 1.3331
Epoch 22/1000, Train Loss: 1.0531, Validation Loss: 1.0042
Epoch 23/1000, Train Loss: 1.0803, Validation Loss: 3.9690
Epoch 24/1000, Train Loss: 1.0797, Validation Loss: 1.4152
Epoch 25/1000, Train Loss: 1.0587, Validation Loss: 1.1192
Epoch 26/1000, Train Loss: 0.9459, Validation Loss: 1.2065
Epoch 27/1000, Train Loss: 1.2843, Validation Loss: 1.1026
Epoch 28/1000, Train Loss: 1.1613, Validation Loss: 2.2537
Epoch 29/1000, Train Loss: 1.0296, Validation Loss: 1.3116
Epoch 30/1000, Train Loss: 1.0504, Validation Loss: 1.8689
Epoch 31/1000, Train Loss: 0.9944, Validation Loss: 2.4710
Epoch 32/1000, Train Loss: 2.5131, Validation Loss: 4.7199
Epoch 33/1000, Train Loss: 1.0634, Validation Loss: 0.9061
Epoch 34/1000, Train Loss: 0.9522, Validation Loss: 1.2964
Epoch 35/1000, Train Loss: 0.9542, Validation Loss: 1.3214
