Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-09yzfbww
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.3024, Validation Loss: 2.7138
Epoch 2/1000, Train Loss: 1.3443, Validation Loss: 1.9745
Epoch 3/1000, Train Loss: 1.2431, Validation Loss: 2.3143
Epoch 4/1000, Train Loss: 1.1766, Validation Loss: 1.4400
Epoch 5/1000, Train Loss: 1.1534, Validation Loss: 3.9455
Epoch 6/1000, Train Loss: 1.1134, Validation Loss: 1.7453
Epoch 7/1000, Train Loss: 1.0889, Validation Loss: 1.2669
Epoch 8/1000, Train Loss: 1.0661, Validation Loss: 2.4163
Epoch 9/1000, Train Loss: 1.0670, Validation Loss: 2.3319
Epoch 10/1000, Train Loss: 1.0740, Validation Loss: 1.7347
Epoch 11/1000, Train Loss: 1.0581, Validation Loss: 1.3266
Epoch 12/1000, Train Loss: 1.0644, Validation Loss: 1.9002
Epoch 13/1000, Train Loss: 1.0128, Validation Loss: 2.3232
Epoch 14/1000, Train Loss: 1.0186, Validation Loss: 1.9030
Epoch 15/1000, Train Loss: 1.0322, Validation Loss: 3.7822
Epoch 16/1000, Train Loss: 1.0214, Validation Loss: 1.3909
Epoch 17/1000, Train Loss: 1.0269, Validation Loss: 1.1322
Epoch 18/1000, Train Loss: 0.9788, Validation Loss: 1.2723
Epoch 19/1000, Train Loss: 0.9774, Validation Loss: 0.9631
Epoch 20/1000, Train Loss: 19.3827, Validation Loss: 1.7686
Epoch 21/1000, Train Loss: 0.9943, Validation Loss: 2.5018
Epoch 22/1000, Train Loss: 0.9510, Validation Loss: 2.5839
Epoch 23/1000, Train Loss: 0.9713, Validation Loss: 1.6459
Epoch 24/1000, Train Loss: 0.9020, Validation Loss: 4.3995
