Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-j24v53xi
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.7941, Validation Loss: 2.4128
Epoch 2/1000, Train Loss: 1.9183, Validation Loss: 2.2582
Epoch 3/1000, Train Loss: 1.6871, Validation Loss: 2.0264
Epoch 4/1000, Train Loss: 1.4690, Validation Loss: 2.5683
Epoch 5/1000, Train Loss: 1.3415, Validation Loss: 5.9336
Epoch 6/1000, Train Loss: 39.5075, Validation Loss: 6.3075
Epoch 7/1000, Train Loss: 7.2223, Validation Loss: 1.7597
Epoch 8/1000, Train Loss: 107.5021, Validation Loss: 2.6177
Epoch 9/1000, Train Loss: 1.2425, Validation Loss: 3.5368
Epoch 10/1000, Train Loss: 6.0923, Validation Loss: 1593.7010
Epoch 11/1000, Train Loss: 1.2036, Validation Loss: 1.2215
Epoch 12/1000, Train Loss: 1.1591, Validation Loss: 1.1652
Epoch 13/1000, Train Loss: 1.4472, Validation Loss: 1.0409
Epoch 14/1000, Train Loss: 1.1347, Validation Loss: 1.0014
Epoch 15/1000, Train Loss: 1.1331, Validation Loss: 1.4201
Epoch 16/1000, Train Loss: 1.5487, Validation Loss: 3.8074
Epoch 17/1000, Train Loss: 1.2100, Validation Loss: 1.2639
Epoch 18/1000, Train Loss: 5.0706, Validation Loss: 3.3973
Epoch 19/1000, Train Loss: 1.1150, Validation Loss: 2.6637
Epoch 20/1000, Train Loss: 1.3159, Validation Loss: 1.1174
Epoch 21/1000, Train Loss: 3.4603, Validation Loss: 1.5545
Epoch 22/1000, Train Loss: 2.9179, Validation Loss: 137.4596
Epoch 23/1000, Train Loss: 7.7840, Validation Loss: 5.6696
Epoch 24/1000, Train Loss: 1.0792, Validation Loss: 1.4946
Epoch 25/1000, Train Loss: 1.0705, Validation Loss: 1.9900
Epoch 26/1000, Train Loss: 4.5501, Validation Loss: 1.0698
Epoch 27/1000, Train Loss: 57.0359, Validation Loss: 3.5716
Epoch 28/1000, Train Loss: 2.2574, Validation Loss: 3.0500
Epoch 29/1000, Train Loss: 1.0257, Validation Loss: 1.2945
Epoch 30/1000, Train Loss: 1.3467, Validation Loss: 2.2188
Epoch 31/1000, Train Loss: 1.7758, Validation Loss: 1.0563
Epoch 32/1000, Train Loss: 1.1555, Validation Loss: 2.2760
Epoch 33/1000, Train Loss: 1.1182, Validation Loss: 1.1943
Epoch 34/1000, Train Loss: 1.1127, Validation Loss: 3.4279
Epoch 35/1000, Train Loss: 2.5775, Validation Loss: 1.9752
Epoch 36/1000, Train Loss: 1.1899, Validation Loss: 1.4121
Epoch 37/1000, Train Loss: 1.0299, Validation Loss: 2.4218
Epoch 38/1000, Train Loss: 1.0103, Validation Loss: 1.5472
Epoch 39/1000, Train Loss: 1.0527, Validation Loss: 1.8075
Epoch 40/1000, Train Loss: 7543.0392, Validation Loss: 3.2701
Epoch 41/1000, Train Loss: 0.9726, Validation Loss: 1.1714
Epoch 42/1000, Train Loss: 1.1817, Validation Loss: 1.9714
Epoch 43/1000, Train Loss: 1.0078, Validation Loss: 1.5778
Epoch 44/1000, Train Loss: 4.9219, Validation Loss: 0.9246
Epoch 45/1000, Train Loss: 1.3321, Validation Loss: 0.9880
Epoch 46/1000, Train Loss: 1.2811, Validation Loss: 4.0371
Epoch 47/1000, Train Loss: 0.9840, Validation Loss: 3.4043
Epoch 48/1000, Train Loss: 1.0113, Validation Loss: 1.8441
Epoch 49/1000, Train Loss: 1.0505, Validation Loss: 3.4016
Epoch 50/1000, Train Loss: 1.4502, Validation Loss: 3.6861
Epoch 51/1000, Train Loss: 0.9615, Validation Loss: 1.4374
Epoch 52/1000, Train Loss: 4.2473, Validation Loss: 3.1389
Epoch 53/1000, Train Loss: 21.8985, Validation Loss: 1.8702
Epoch 54/1000, Train Loss: 0.9929, Validation Loss: 3.4497
Epoch 55/1000, Train Loss: 1.1168, Validation Loss: 1.8285
Epoch 56/1000, Train Loss: 1.3624, Validation Loss: 1.3937
Epoch 57/1000, Train Loss: 0.9843, Validation Loss: 4.2111
Epoch 58/1000, Train Loss: 2.1244, Validation Loss: 1.0537
Epoch 59/1000, Train Loss: 2.4535, Validation Loss: 1.3868
Epoch 60/1000, Train Loss: 0.9978, Validation Loss: 0.9697
Epoch 61/1000, Train Loss: 11.0209, Validation Loss: 1.4667
Epoch 62/1000, Train Loss: 1.0202, Validation Loss: 1.1814
Epoch 63/1000, Train Loss: 1.4353, Validation Loss: 2.9898
Epoch 64/1000, Train Loss: 727.9618, Validation Loss: 1.2770
Epoch 65/1000, Train Loss: 1.0086, Validation Loss: 1.6106
Epoch 66/1000, Train Loss: 0.9443, Validation Loss: 4.3930
Epoch 67/1000, Train Loss: 2.1162, Validation Loss: 1.6556
Epoch 68/1000, Train Loss: 0.9652, Validation Loss: 2.3269
Epoch 69/1000, Train Loss: 337.1184, Validation Loss: 1.5253
Epoch 70/1000, Train Loss: 0.9423, Validation Loss: 1.7839
Epoch 71/1000, Train Loss: 586.1162, Validation Loss: 1.8886
Epoch 72/1000, Train Loss: 55.8403, Validation Loss: 1.5000
Epoch 73/1000, Train Loss: 0.9485, Validation Loss: 1.3888
Epoch 74/1000, Train Loss: 0.9605, Validation Loss: 0.8521
Epoch 75/1000, Train Loss: 3.7205, Validation Loss: 3.5867
Epoch 76/1000, Train Loss: 1.5912, Validation Loss: 2.0393
Epoch 77/1000, Train Loss: 0.9425, Validation Loss: 0.9544
Epoch 78/1000, Train Loss: 44.7994, Validation Loss: 2.7568
Epoch 79/1000, Train Loss: 1.0986, Validation Loss: 1.2831
Epoch 80/1000, Train Loss: 12.2233, Validation Loss: 1.8160
