Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-6nktdh36
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 4.0759, Validation Loss: 1.8282
Epoch 2/1000, Train Loss: 1.4730, Validation Loss: 3.0998
Epoch 3/1000, Train Loss: 1.3039, Validation Loss: 1.9675
Epoch 4/1000, Train Loss: 1.1661, Validation Loss: 1.9714
Epoch 5/1000, Train Loss: 1.1451, Validation Loss: 1.6112
Epoch 6/1000, Train Loss: 1.0820, Validation Loss: 1.6992
Epoch 7/1000, Train Loss: 1.0584, Validation Loss: 1.1728
Epoch 8/1000, Train Loss: 1.0696, Validation Loss: 3.9161
Epoch 9/1000, Train Loss: 1.0945, Validation Loss: 2.5623
Epoch 10/1000, Train Loss: 1.0855, Validation Loss: 2.7671
Epoch 11/1000, Train Loss: 0.9912, Validation Loss: 1.5949
Epoch 12/1000, Train Loss: 0.9739, Validation Loss: 2.6958
Epoch 13/1000, Train Loss: 0.9186, Validation Loss: 1.2083
Epoch 14/1000, Train Loss: 0.9040, Validation Loss: 5.2646
Epoch 15/1000, Train Loss: 0.9962, Validation Loss: 3.4799
Epoch 16/1000, Train Loss: 0.9324, Validation Loss: 1.2932
Epoch 17/1000, Train Loss: 0.9829, Validation Loss: 0.9260
Epoch 18/1000, Train Loss: 0.9344, Validation Loss: 3.7074
Epoch 19/1000, Train Loss: 0.9276, Validation Loss: 3.7977
Epoch 20/1000, Train Loss: 0.8976, Validation Loss: 3.5598
Epoch 21/1000, Train Loss: 0.8864, Validation Loss: 2.6036
Epoch 22/1000, Train Loss: 0.8985, Validation Loss: 1.4616
Epoch 23/1000, Train Loss: 0.8425, Validation Loss: 3.9163
Epoch 24/1000, Train Loss: 0.8467, Validation Loss: 2.7348
Epoch 25/1000, Train Loss: 1.3249, Validation Loss: 4.3170
Epoch 26/1000, Train Loss: 0.8624, Validation Loss: 1.4030
Epoch 27/1000, Train Loss: 0.7756, Validation Loss: 1.0825
Epoch 28/1000, Train Loss: 0.7819, Validation Loss: 1.3092
Epoch 29/1000, Train Loss: 0.7393, Validation Loss: 0.9608
Epoch 30/1000, Train Loss: 0.7535, Validation Loss: 1.6516
Epoch 31/1000, Train Loss: 0.7418, Validation Loss: 2.9793
Epoch 32/1000, Train Loss: 0.7137, Validation Loss: 2.3327
Epoch 33/1000, Train Loss: 0.7228, Validation Loss: 1.4342
Epoch 34/1000, Train Loss: 0.7264, Validation Loss: 0.6793
Epoch 35/1000, Train Loss: 0.6912, Validation Loss: 1.8289
Epoch 36/1000, Train Loss: 0.7224, Validation Loss: 0.8189
Epoch 37/1000, Train Loss: 0.6912, Validation Loss: 1.6695
Epoch 38/1000, Train Loss: 0.6803, Validation Loss: 1.4054
Epoch 39/1000, Train Loss: 0.6655, Validation Loss: 2.3178
Epoch 40/1000, Train Loss: 0.6659, Validation Loss: 0.8771
Epoch 41/1000, Train Loss: 0.7102, Validation Loss: 1.9886
Epoch 42/1000, Train Loss: 0.7077, Validation Loss: 3.2015
Epoch 43/1000, Train Loss: 0.6507, Validation Loss: 1.9695
Epoch 44/1000, Train Loss: 0.6597, Validation Loss: 1.2464
Epoch 45/1000, Train Loss: 0.6836, Validation Loss: 1.6030
Epoch 46/1000, Train Loss: 0.6790, Validation Loss: 2.2643
Epoch 47/1000, Train Loss: 0.6514, Validation Loss: 2.7306
Epoch 48/1000, Train Loss: 0.6501, Validation Loss: 2.7385
Epoch 49/1000, Train Loss: 0.6419, Validation Loss: 2.8860
Epoch 50/1000, Train Loss: 0.6592, Validation Loss: 1.7982
Epoch 51/1000, Train Loss: 0.6328, Validation Loss: 2.4532
Epoch 52/1000, Train Loss: 0.6256, Validation Loss: 1.5489
Epoch 53/1000, Train Loss: 0.6546, Validation Loss: 1.6502
Epoch 54/1000, Train Loss: 0.6658, Validation Loss: 0.6768
Epoch 55/1000, Train Loss: 0.6316, Validation Loss: 1.9108
Epoch 56/1000, Train Loss: 0.6233, Validation Loss: 1.5673
Epoch 57/1000, Train Loss: 0.6200, Validation Loss: 1.6475
Epoch 58/1000, Train Loss: 0.6299, Validation Loss: 1.4077
Epoch 59/1000, Train Loss: 0.6309, Validation Loss: 0.7685
Epoch 60/1000, Train Loss: 0.6185, Validation Loss: 0.7911
Epoch 61/1000, Train Loss: 0.6076, Validation Loss: 1.6167
Epoch 62/1000, Train Loss: 0.6263, Validation Loss: 0.6884
Epoch 63/1000, Train Loss: 0.6029, Validation Loss: 3.5897
Epoch 64/1000, Train Loss: 0.6017, Validation Loss: 0.7989
Epoch 65/1000, Train Loss: 0.6089, Validation Loss: 0.8675
Epoch 66/1000, Train Loss: 0.6065, Validation Loss: 1.8130
Epoch 67/1000, Train Loss: 0.6048, Validation Loss: 2.5551
Epoch 68/1000, Train Loss: 0.8214, Validation Loss: 1.0485
Epoch 69/1000, Train Loss: 0.6218, Validation Loss: 1.3308
Epoch 70/1000, Train Loss: 0.6196, Validation Loss: 1.5661
