Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-zyrtr4kq
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.0554, Validation Loss: 1.8464
Epoch 2/1000, Train Loss: 1.3174, Validation Loss: 1.9694
Epoch 3/1000, Train Loss: 1.1882, Validation Loss: 1.7854
Epoch 4/1000, Train Loss: 1.1636, Validation Loss: 1.6371
Epoch 5/1000, Train Loss: 1.1042, Validation Loss: 2.2941
Epoch 6/1000, Train Loss: 1.0744, Validation Loss: 1.5135
Epoch 7/1000, Train Loss: 1.0665, Validation Loss: 2.3026
Epoch 8/1000, Train Loss: 1.0088, Validation Loss: 4.3645
Epoch 9/1000, Train Loss: 1.0340, Validation Loss: 2.1773
Epoch 10/1000, Train Loss: 1.0009, Validation Loss: 1.2479
Epoch 11/1000, Train Loss: 0.9642, Validation Loss: 2.2145
Epoch 12/1000, Train Loss: 0.9440, Validation Loss: 3.2657
Epoch 13/1000, Train Loss: 0.9138, Validation Loss: 2.9148
Epoch 14/1000, Train Loss: 0.9111, Validation Loss: 3.4251
Epoch 15/1000, Train Loss: 0.9196, Validation Loss: 1.1309
Epoch 16/1000, Train Loss: 0.8708, Validation Loss: 1.5751
Epoch 17/1000, Train Loss: 0.8720, Validation Loss: 0.8673
Epoch 18/1000, Train Loss: 0.8425, Validation Loss: 1.6986
Epoch 19/1000, Train Loss: 0.8550, Validation Loss: 1.0747
Epoch 20/1000, Train Loss: 0.8478, Validation Loss: 1.3038
Epoch 21/1000, Train Loss: 0.8307, Validation Loss: 1.1406
Epoch 22/1000, Train Loss: 0.8026, Validation Loss: 2.5708
Epoch 23/1000, Train Loss: 0.8097, Validation Loss: 1.7619
Epoch 24/1000, Train Loss: 0.7990, Validation Loss: 0.9360
Epoch 25/1000, Train Loss: 0.8003, Validation Loss: 2.3862
Epoch 26/1000, Train Loss: 0.8001, Validation Loss: 1.1170
Epoch 27/1000, Train Loss: 0.7803, Validation Loss: 0.7402
Epoch 28/1000, Train Loss: 0.7662, Validation Loss: 0.7628
Epoch 29/1000, Train Loss: 0.7744, Validation Loss: 1.4115
Epoch 30/1000, Train Loss: 0.7480, Validation Loss: 1.7394
Epoch 31/1000, Train Loss: 0.7454, Validation Loss: 1.6156
Epoch 32/1000, Train Loss: 0.7370, Validation Loss: 1.2903
Epoch 33/1000, Train Loss: 0.7394, Validation Loss: 0.9774
Epoch 34/1000, Train Loss: 0.7379, Validation Loss: 1.3393
Epoch 35/1000, Train Loss: 0.7207, Validation Loss: 1.0037
Epoch 36/1000, Train Loss: 0.7260, Validation Loss: 1.0818
Epoch 37/1000, Train Loss: 0.7191, Validation Loss: 1.7695
Epoch 38/1000, Train Loss: 0.7035, Validation Loss: 1.0137
Epoch 39/1000, Train Loss: 0.6882, Validation Loss: 1.3789
Epoch 40/1000, Train Loss: 0.7076, Validation Loss: 1.2669
Epoch 41/1000, Train Loss: 0.6743, Validation Loss: 0.9629
Epoch 42/1000, Train Loss: 0.6707, Validation Loss: 1.2395
Epoch 43/1000, Train Loss: 0.6622, Validation Loss: 0.8743
Epoch 44/1000, Train Loss: 0.6626, Validation Loss: 2.5201
Epoch 45/1000, Train Loss: 0.6598, Validation Loss: 1.7719
Epoch 46/1000, Train Loss: 0.6602, Validation Loss: 0.8406
Epoch 47/1000, Train Loss: 0.6603, Validation Loss: 0.8718
Epoch 48/1000, Train Loss: 0.6550, Validation Loss: 1.4465
Epoch 49/1000, Train Loss: 0.6512, Validation Loss: 0.8435
Epoch 50/1000, Train Loss: 0.6379, Validation Loss: 1.5866
Epoch 51/1000, Train Loss: 0.6328, Validation Loss: 1.0362
Epoch 52/1000, Train Loss: 0.6332, Validation Loss: 0.7094
Epoch 53/1000, Train Loss: 0.6370, Validation Loss: 1.6199
Epoch 54/1000, Train Loss: 0.6324, Validation Loss: 1.0399
Epoch 55/1000, Train Loss: 0.6348, Validation Loss: 1.4756
Epoch 56/1000, Train Loss: 0.6236, Validation Loss: 0.8959
Epoch 57/1000, Train Loss: 0.6255, Validation Loss: 5.7113
Epoch 58/1000, Train Loss: 0.6164, Validation Loss: 1.8303
Epoch 59/1000, Train Loss: 0.6174, Validation Loss: 1.4798
Epoch 60/1000, Train Loss: 0.6218, Validation Loss: 1.6850
Epoch 61/1000, Train Loss: 0.6259, Validation Loss: 2.0811
Epoch 62/1000, Train Loss: 0.6084, Validation Loss: 0.9367
Epoch 63/1000, Train Loss: 0.6120, Validation Loss: 3.2178
Epoch 64/1000, Train Loss: 0.6161, Validation Loss: 3.5328
Epoch 65/1000, Train Loss: 0.6143, Validation Loss: 0.7567
Epoch 66/1000, Train Loss: 0.6064, Validation Loss: 1.8326
Epoch 67/1000, Train Loss: 0.6032, Validation Loss: 1.2495
Epoch 68/1000, Train Loss: 0.5980, Validation Loss: 4.4961
Epoch 69/1000, Train Loss: 0.5911, Validation Loss: 0.6276
Epoch 70/1000, Train Loss: 0.5988, Validation Loss: 1.5886
Epoch 71/1000, Train Loss: 0.5938, Validation Loss: 1.5107
Epoch 72/1000, Train Loss: 0.5914, Validation Loss: 1.1379
Epoch 73/1000, Train Loss: 0.5908, Validation Loss: 0.8344
Epoch 74/1000, Train Loss: 0.5908, Validation Loss: 0.6542
Epoch 75/1000, Train Loss: 0.5946, Validation Loss: 1.5889
Epoch 76/1000, Train Loss: 0.5881, Validation Loss: 1.5204
Epoch 77/1000, Train Loss: 0.5847, Validation Loss: 1.0645
Epoch 78/1000, Train Loss: 0.6928, Validation Loss: 0.9108
Epoch 79/1000, Train Loss: 0.5839, Validation Loss: 5.4296
Epoch 80/1000, Train Loss: 0.5801, Validation Loss: 1.0653
Epoch 81/1000, Train Loss: 0.6191, Validation Loss: 1.3083
Epoch 82/1000, Train Loss: 0.5851, Validation Loss: 2.5979
Epoch 83/1000, Train Loss: 0.5839, Validation Loss: 1.8476
Epoch 84/1000, Train Loss: 0.5815, Validation Loss: 1.6519
Epoch 85/1000, Train Loss: 0.5794, Validation Loss: 1.7583
Epoch 86/1000, Train Loss: 0.6001, Validation Loss: 0.7983
Epoch 87/1000, Train Loss: 0.5798, Validation Loss: 0.6352
Epoch 88/1000, Train Loss: 0.5767, Validation Loss: 0.7165
Epoch 89/1000, Train Loss: 0.5816, Validation Loss: 0.9917
Epoch 90/1000, Train Loss: 0.5785, Validation Loss: 1.4527
Epoch 91/1000, Train Loss: 0.5783, Validation Loss: 2.1395
Epoch 92/1000, Train Loss: 0.5711, Validation Loss: 0.9718
Epoch 93/1000, Train Loss: 0.5871, Validation Loss: 0.6768
Epoch 94/1000, Train Loss: 0.5717, Validation Loss: 0.7975
Epoch 95/1000, Train Loss: 0.5736, Validation Loss: 1.4109
Epoch 96/1000, Train Loss: 0.5834, Validation Loss: 0.9646
Epoch 97/1000, Train Loss: 0.5688, Validation Loss: 5.5926
Epoch 98/1000, Train Loss: 0.5683, Validation Loss: 1.0342
Epoch 99/1000, Train Loss: 0.5624, Validation Loss: 5.2503
Epoch 100/1000, Train Loss: 0.5650, Validation Loss: 1.1240
Epoch 101/1000, Train Loss: 0.5676, Validation Loss: 3.8559
Epoch 102/1000, Train Loss: 0.5703, Validation Loss: 1.1987
Epoch 103/1000, Train Loss: 0.5600, Validation Loss: 4.0901
Epoch 104/1000, Train Loss: 0.5602, Validation Loss: 1.5618
Epoch 105/1000, Train Loss: 0.5562, Validation Loss: 1.0237
Epoch 106/1000, Train Loss: 0.5601, Validation Loss: 4.6910
Epoch 107/1000, Train Loss: 0.5606, Validation Loss: 1.3713
Epoch 108/1000, Train Loss: 0.5817, Validation Loss: 2.3672
Epoch 109/1000, Train Loss: 0.5562, Validation Loss: 1.6382
Epoch 110/1000, Train Loss: 0.5585, Validation Loss: 1.5300
Epoch 111/1000, Train Loss: 0.5584, Validation Loss: 2.1996
Epoch 112/1000, Train Loss: 0.5530, Validation Loss: 2.5685
Epoch 113/1000, Train Loss: 0.5578, Validation Loss: 0.8227
Epoch 114/1000, Train Loss: 0.5611, Validation Loss: 1.5202
Epoch 115/1000, Train Loss: 0.5555, Validation Loss: 0.9910
Epoch 116/1000, Train Loss: 0.5472, Validation Loss: 1.2394
Epoch 117/1000, Train Loss: 0.5542, Validation Loss: 0.9130
Epoch 118/1000, Train Loss: 0.5572, Validation Loss: 1.3073
Epoch 119/1000, Train Loss: 0.5475, Validation Loss: 0.5300
Epoch 120/1000, Train Loss: 0.5516, Validation Loss: 0.7615
Epoch 121/1000, Train Loss: 0.5564, Validation Loss: 0.6044
Epoch 122/1000, Train Loss: 0.5488, Validation Loss: 3.1553
Epoch 123/1000, Train Loss: 0.5449, Validation Loss: 1.4502
Epoch 124/1000, Train Loss: 0.5507, Validation Loss: 3.2688
Epoch 125/1000, Train Loss: 0.5458, Validation Loss: 1.2472
Epoch 126/1000, Train Loss: 0.5472, Validation Loss: 0.6824
Epoch 127/1000, Train Loss: 0.5489, Validation Loss: 1.0943
Epoch 128/1000, Train Loss: 0.5513, Validation Loss: 1.3397
Epoch 129/1000, Train Loss: 0.5442, Validation Loss: 1.5583
Epoch 130/1000, Train Loss: 0.5455, Validation Loss: 1.3661
Epoch 131/1000, Train Loss: 0.5439, Validation Loss: 1.8659
Epoch 132/1000, Train Loss: 0.5471, Validation Loss: 1.3999
Epoch 133/1000, Train Loss: 0.5371, Validation Loss: 3.3243
Epoch 134/1000, Train Loss: 0.5462, Validation Loss: 1.1394
Epoch 135/1000, Train Loss: 0.5443, Validation Loss: 1.3241
Epoch 136/1000, Train Loss: 0.5483, Validation Loss: 1.9406
Epoch 137/1000, Train Loss: 0.5429, Validation Loss: 0.6227
Epoch 138/1000, Train Loss: 0.5420, Validation Loss: 1.4466
Epoch 139/1000, Train Loss: 0.5331, Validation Loss: 0.6838
Epoch 140/1000, Train Loss: 0.5372, Validation Loss: 1.9403
Epoch 141/1000, Train Loss: 0.5367, Validation Loss: 1.0476
Epoch 142/1000, Train Loss: 0.5291, Validation Loss: 2.0457
Epoch 143/1000, Train Loss: 0.5275, Validation Loss: 0.9783
Epoch 144/1000, Train Loss: 0.5362, Validation Loss: 2.1456
Epoch 145/1000, Train Loss: 0.5291, Validation Loss: 0.9262
