Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-x67lfm6w
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.0218, Validation Loss: 6.5760
Epoch 2/1000, Train Loss: 1.7062, Validation Loss: 14.5555
Epoch 3/1000, Train Loss: 1.4755, Validation Loss: 2.2018
Epoch 4/1000, Train Loss: 1.3620, Validation Loss: 1.8118
Epoch 5/1000, Train Loss: 1.2662, Validation Loss: 16.5510
Epoch 6/1000, Train Loss: 1.2511, Validation Loss: 2.5416
Epoch 7/1000, Train Loss: 1.2396, Validation Loss: 2.0980
Epoch 8/1000, Train Loss: 1.1714, Validation Loss: 1.2410
Epoch 9/1000, Train Loss: 1.1354, Validation Loss: 2.0586
Epoch 10/1000, Train Loss: 1.0944, Validation Loss: 2.0917
Epoch 11/1000, Train Loss: 1.1563, Validation Loss: 1.6721
Epoch 12/1000, Train Loss: 0.9795, Validation Loss: 1.0175
Epoch 13/1000, Train Loss: 1.0020, Validation Loss: 1.9556
Epoch 14/1000, Train Loss: 0.9723, Validation Loss: 2.0849
Epoch 15/1000, Train Loss: 0.9424, Validation Loss: 1.6256
Epoch 16/1000, Train Loss: 0.8882, Validation Loss: 0.9181
Epoch 17/1000, Train Loss: 0.8850, Validation Loss: 3.1237
Epoch 18/1000, Train Loss: 0.9101, Validation Loss: 4.6143
Epoch 19/1000, Train Loss: 0.8648, Validation Loss: 2.8821
Epoch 20/1000, Train Loss: 0.8571, Validation Loss: 1.1329
Epoch 21/1000, Train Loss: 0.8214, Validation Loss: 2.1174
Epoch 22/1000, Train Loss: 0.8559, Validation Loss: 0.7851
Epoch 23/1000, Train Loss: 0.8897, Validation Loss: 2.1116
Epoch 24/1000, Train Loss: 0.8383, Validation Loss: 1.6063
Epoch 25/1000, Train Loss: 0.8081, Validation Loss: 2.4637
Epoch 26/1000, Train Loss: 0.8377, Validation Loss: 3.2632
Epoch 27/1000, Train Loss: 0.8099, Validation Loss: 0.7004
Epoch 28/1000, Train Loss: 0.8080, Validation Loss: 1.0033
Epoch 29/1000, Train Loss: 0.7846, Validation Loss: 0.7878
Epoch 30/1000, Train Loss: 0.7747, Validation Loss: 1.7506
Epoch 31/1000, Train Loss: 0.7699, Validation Loss: 0.6928
Epoch 32/1000, Train Loss: 0.7742, Validation Loss: 2.3872
Epoch 33/1000, Train Loss: 0.7619, Validation Loss: 1.7449
Epoch 34/1000, Train Loss: 0.7625, Validation Loss: 1.0626
Epoch 35/1000, Train Loss: 0.7261, Validation Loss: 0.8703
Epoch 36/1000, Train Loss: 0.7027, Validation Loss: 0.9926
Epoch 37/1000, Train Loss: 0.7262, Validation Loss: 1.0872
Epoch 38/1000, Train Loss: 0.7055, Validation Loss: 0.7211
Epoch 39/1000, Train Loss: 0.6781, Validation Loss: 0.7294
Epoch 40/1000, Train Loss: 0.6830, Validation Loss: 1.3421
Epoch 41/1000, Train Loss: 0.7124, Validation Loss: 2.5653
Epoch 42/1000, Train Loss: 0.7148, Validation Loss: 3.6754
Epoch 43/1000, Train Loss: 0.6606, Validation Loss: 0.6584
Epoch 44/1000, Train Loss: 0.6661, Validation Loss: 1.9097
Epoch 45/1000, Train Loss: 0.6784, Validation Loss: 1.8092
Epoch 46/1000, Train Loss: 0.6505, Validation Loss: 4.1779
Epoch 47/1000, Train Loss: 0.6615, Validation Loss: 2.5752
Epoch 48/1000, Train Loss: 0.6556, Validation Loss: 4.4912
Epoch 49/1000, Train Loss: 0.6563, Validation Loss: 2.4573
Epoch 50/1000, Train Loss: 0.6629, Validation Loss: 1.5805
Epoch 51/1000, Train Loss: 0.6330, Validation Loss: 2.2109
Epoch 52/1000, Train Loss: 0.6231, Validation Loss: 0.8022
Epoch 53/1000, Train Loss: 0.6121, Validation Loss: 2.9607
Epoch 54/1000, Train Loss: 0.6138, Validation Loss: 0.6400
Epoch 55/1000, Train Loss: 0.6087, Validation Loss: 0.7011
Epoch 56/1000, Train Loss: 0.6235, Validation Loss: 0.6139
Epoch 57/1000, Train Loss: 0.5998, Validation Loss: 1.0452
Epoch 58/1000, Train Loss: 0.6055, Validation Loss: 0.8421
Epoch 59/1000, Train Loss: 0.5915, Validation Loss: 2.8079
Epoch 60/1000, Train Loss: 0.5804, Validation Loss: 0.8543
Epoch 61/1000, Train Loss: 0.6143, Validation Loss: 1.5843
Epoch 62/1000, Train Loss: 0.6270, Validation Loss: 3.2169
Epoch 63/1000, Train Loss: 0.5895, Validation Loss: 2.0416
Epoch 64/1000, Train Loss: 0.6097, Validation Loss: 1.2256
Epoch 65/1000, Train Loss: 0.5852, Validation Loss: 2.1192
Epoch 66/1000, Train Loss: 0.5788, Validation Loss: 1.4611
Epoch 67/1000, Train Loss: 0.6043, Validation Loss: 1.8208
Epoch 68/1000, Train Loss: 0.5728, Validation Loss: 0.6100
Epoch 69/1000, Train Loss: 0.6107, Validation Loss: 1.0382
Epoch 70/1000, Train Loss: 0.5907, Validation Loss: 2.2574
Epoch 71/1000, Train Loss: 0.5791, Validation Loss: 1.5586
Epoch 72/1000, Train Loss: 0.5648, Validation Loss: 1.3848
Epoch 73/1000, Train Loss: 0.5724, Validation Loss: 1.2209
Epoch 74/1000, Train Loss: 0.5711, Validation Loss: 1.4770
Epoch 75/1000, Train Loss: 0.5671, Validation Loss: 1.7339
Epoch 76/1000, Train Loss: 0.5550, Validation Loss: 0.9508
Epoch 77/1000, Train Loss: 0.5585, Validation Loss: 3.0828
Epoch 78/1000, Train Loss: 0.5499, Validation Loss: 0.8360
Epoch 79/1000, Train Loss: 0.5469, Validation Loss: 0.5373
Epoch 80/1000, Train Loss: 0.5513, Validation Loss: 2.4746
Epoch 81/1000, Train Loss: 0.5540, Validation Loss: 1.9692
Epoch 82/1000, Train Loss: 0.5382, Validation Loss: 0.7602
Epoch 83/1000, Train Loss: 0.5495, Validation Loss: 0.8994
Epoch 84/1000, Train Loss: 0.5688, Validation Loss: 2.7754
Epoch 85/1000, Train Loss: 0.5377, Validation Loss: 1.4339
Epoch 86/1000, Train Loss: 0.5479, Validation Loss: 3.2800
Epoch 87/1000, Train Loss: 0.5389, Validation Loss: 0.6747
Epoch 88/1000, Train Loss: 0.5412, Validation Loss: 0.9716
Epoch 89/1000, Train Loss: 0.5323, Validation Loss: 0.7017
Epoch 90/1000, Train Loss: 0.5291, Validation Loss: 3.0133
Epoch 91/1000, Train Loss: 0.5477, Validation Loss: 0.8541
Epoch 92/1000, Train Loss: 0.5397, Validation Loss: 1.2960
Epoch 93/1000, Train Loss: 0.5192, Validation Loss: 1.6038
Epoch 94/1000, Train Loss: 0.5410, Validation Loss: 1.4016
Epoch 95/1000, Train Loss: 0.5167, Validation Loss: 2.2928
Epoch 96/1000, Train Loss: 0.5086, Validation Loss: 1.3260
Epoch 97/1000, Train Loss: 0.5240, Validation Loss: 0.8419
Epoch 98/1000, Train Loss: 0.5159, Validation Loss: 0.7776
Epoch 99/1000, Train Loss: 0.5277, Validation Loss: 0.7629
Epoch 100/1000, Train Loss: 0.5205, Validation Loss: 1.6539
Epoch 101/1000, Train Loss: 0.5031, Validation Loss: 0.6113
Epoch 102/1000, Train Loss: 0.5079, Validation Loss: 0.5264
Epoch 103/1000, Train Loss: 0.5035, Validation Loss: 7.6374
Epoch 104/1000, Train Loss: 0.4989, Validation Loss: 0.6354
Epoch 105/1000, Train Loss: 0.5404, Validation Loss: 1.5132
Epoch 106/1000, Train Loss: 0.5095, Validation Loss: 1.4342
Epoch 107/1000, Train Loss: 0.5111, Validation Loss: 1.9481
Epoch 108/1000, Train Loss: 0.5063, Validation Loss: 0.9821
Epoch 109/1000, Train Loss: 0.4947, Validation Loss: 0.9347
Epoch 110/1000, Train Loss: 0.5021, Validation Loss: 1.0155
Epoch 111/1000, Train Loss: 0.4973, Validation Loss: 3.8602
Epoch 112/1000, Train Loss: 0.5028, Validation Loss: 0.5696
Epoch 113/1000, Train Loss: 0.5065, Validation Loss: 0.5863
Epoch 114/1000, Train Loss: 0.5099, Validation Loss: 0.7042
Epoch 115/1000, Train Loss: 0.5024, Validation Loss: 6.9506
Epoch 116/1000, Train Loss: 0.4956, Validation Loss: 0.8141
Epoch 117/1000, Train Loss: 0.5098, Validation Loss: 0.4900
Epoch 118/1000, Train Loss: 0.4984, Validation Loss: 0.5588
Epoch 119/1000, Train Loss: 0.4901, Validation Loss: 0.5121
Epoch 120/1000, Train Loss: 0.5025, Validation Loss: 0.6120
Epoch 121/1000, Train Loss: 0.4964, Validation Loss: 2.7858
Epoch 122/1000, Train Loss: 0.4973, Validation Loss: 1.3709
Epoch 123/1000, Train Loss: 0.4866, Validation Loss: 1.3296
Epoch 124/1000, Train Loss: 0.4916, Validation Loss: 1.4154
Epoch 125/1000, Train Loss: 0.4952, Validation Loss: 0.7732
Epoch 126/1000, Train Loss: 0.4896, Validation Loss: 0.8465
Epoch 127/1000, Train Loss: 0.4911, Validation Loss: 2.6372
Epoch 128/1000, Train Loss: 0.4846, Validation Loss: 0.7967
Epoch 129/1000, Train Loss: 0.4861, Validation Loss: 0.6396
Epoch 130/1000, Train Loss: 0.4754, Validation Loss: 1.8797
Epoch 131/1000, Train Loss: 0.4742, Validation Loss: 0.5456
Epoch 132/1000, Train Loss: 0.4940, Validation Loss: 1.2384
Epoch 133/1000, Train Loss: 0.4825, Validation Loss: 1.7827
Epoch 134/1000, Train Loss: 0.4828, Validation Loss: 0.8421
Epoch 135/1000, Train Loss: 0.4823, Validation Loss: 0.7324
Epoch 136/1000, Train Loss: 0.4781, Validation Loss: 0.9466
Epoch 137/1000, Train Loss: 0.4785, Validation Loss: 0.8629
Epoch 138/1000, Train Loss: 0.4815, Validation Loss: 2.4441
Epoch 139/1000, Train Loss: 0.4753, Validation Loss: 0.6538
Epoch 140/1000, Train Loss: 0.4922, Validation Loss: 0.5615
Epoch 141/1000, Train Loss: 0.4845, Validation Loss: 0.6976
Epoch 142/1000, Train Loss: 0.4762, Validation Loss: 2.8840
Epoch 143/1000, Train Loss: 0.4744, Validation Loss: 3.1222
Epoch 144/1000, Train Loss: 0.4855, Validation Loss: 2.9280
Epoch 145/1000, Train Loss: 0.4812, Validation Loss: 1.0064
Epoch 146/1000, Train Loss: 0.4716, Validation Loss: 0.7931
Epoch 147/1000, Train Loss: 0.4662, Validation Loss: 0.9891
Epoch 148/1000, Train Loss: 0.4769, Validation Loss: 1.0384
Epoch 149/1000, Train Loss: 0.4732, Validation Loss: 2.4245
Epoch 150/1000, Train Loss: 0.4684, Validation Loss: 4.2006
Epoch 151/1000, Train Loss: 0.4739, Validation Loss: 0.8090
Epoch 152/1000, Train Loss: 0.4771, Validation Loss: 1.7675
Epoch 153/1000, Train Loss: 0.4778, Validation Loss: 0.7183
Epoch 154/1000, Train Loss: 0.4603, Validation Loss: 2.8171
Epoch 155/1000, Train Loss: 0.4597, Validation Loss: 1.1905
Epoch 156/1000, Train Loss: 0.4609, Validation Loss: 1.1651
