Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-9rawr5m0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.7296, Validation Loss: 1.3014
Epoch 2/1000, Train Loss: 1.6655, Validation Loss: 4.0403
Epoch 3/1000, Train Loss: 1.4006, Validation Loss: 1.3735
Epoch 4/1000, Train Loss: 1.2916, Validation Loss: 2.3653
Epoch 5/1000, Train Loss: 1.1577, Validation Loss: 1.2387
Epoch 6/1000, Train Loss: 1.1719, Validation Loss: 1.4527
Epoch 7/1000, Train Loss: 1.0731, Validation Loss: 1.4285
Epoch 8/1000, Train Loss: 1.0952, Validation Loss: 1.0936
Epoch 9/1000, Train Loss: 1.1332, Validation Loss: 6.3464
Epoch 10/1000, Train Loss: 1.0471, Validation Loss: 2.5308
Epoch 11/1000, Train Loss: 1.0028, Validation Loss: 0.9086
Epoch 12/1000, Train Loss: 1.0174, Validation Loss: 4.9250
Epoch 13/1000, Train Loss: 0.9935, Validation Loss: 2.2056
Epoch 14/1000, Train Loss: 0.9569, Validation Loss: 1.3227
Epoch 15/1000, Train Loss: 0.9282, Validation Loss: 1.1968
Epoch 16/1000, Train Loss: 1.0127, Validation Loss: 0.9707
Epoch 17/1000, Train Loss: 0.9025, Validation Loss: 1.4561
Epoch 18/1000, Train Loss: 0.8475, Validation Loss: 1.0147
Epoch 19/1000, Train Loss: 0.8935, Validation Loss: 1.4921
Epoch 20/1000, Train Loss: 0.8884, Validation Loss: 4.3130
Epoch 21/1000, Train Loss: 0.9309, Validation Loss: 3.1307
Epoch 22/1000, Train Loss: 0.8455, Validation Loss: 2.8013
Epoch 23/1000, Train Loss: 0.8700, Validation Loss: 1.4635
Epoch 24/1000, Train Loss: 0.8429, Validation Loss: 12.6009
Epoch 25/1000, Train Loss: 0.8450, Validation Loss: 1.1958
Epoch 26/1000, Train Loss: 0.8146, Validation Loss: 2.4946
Epoch 27/1000, Train Loss: 0.8544, Validation Loss: 2.9001
Epoch 28/1000, Train Loss: 0.8245, Validation Loss: 1.8442
Epoch 29/1000, Train Loss: 0.7821, Validation Loss: 1.5198
Epoch 30/1000, Train Loss: 0.8404, Validation Loss: 6.7163
Epoch 31/1000, Train Loss: 0.8040, Validation Loss: 2.3929
Epoch 32/1000, Train Loss: 0.7938, Validation Loss: 1.0892
Epoch 33/1000, Train Loss: 0.8386, Validation Loss: 1.0069
Epoch 34/1000, Train Loss: 0.7939, Validation Loss: 5.6134
Epoch 35/1000, Train Loss: 0.7754, Validation Loss: 3.0754
Epoch 36/1000, Train Loss: 0.8004, Validation Loss: 2.7790
Epoch 37/1000, Train Loss: 0.7815, Validation Loss: 1.3832
Epoch 38/1000, Train Loss: 0.7728, Validation Loss: 2.2918
Epoch 39/1000, Train Loss: 0.7470, Validation Loss: 0.7152
Epoch 40/1000, Train Loss: 0.7454, Validation Loss: 2.0719
Epoch 41/1000, Train Loss: 0.7934, Validation Loss: 12.6009
Epoch 42/1000, Train Loss: 0.7394, Validation Loss: 0.8894
Epoch 43/1000, Train Loss: 0.7508, Validation Loss: 1.6888
Epoch 44/1000, Train Loss: 0.7530, Validation Loss: 1.2193
Epoch 45/1000, Train Loss: 0.7608, Validation Loss: 0.9564
Epoch 46/1000, Train Loss: 0.9624, Validation Loss: 16.1830
Epoch 47/1000, Train Loss: 0.7977, Validation Loss: 3.0834
Epoch 48/1000, Train Loss: 0.7240, Validation Loss: 1.1601
Epoch 49/1000, Train Loss: 0.7139, Validation Loss: 2.1076
Epoch 50/1000, Train Loss: 0.7135, Validation Loss: 2.2175
Epoch 51/1000, Train Loss: 0.7094, Validation Loss: 0.9550
Epoch 52/1000, Train Loss: 0.7032, Validation Loss: 2.1471
Epoch 53/1000, Train Loss: 0.7175, Validation Loss: 0.7279
Epoch 54/1000, Train Loss: 0.7136, Validation Loss: 2.6326
Epoch 55/1000, Train Loss: 0.6880, Validation Loss: 6.8355
Epoch 56/1000, Train Loss: 0.6985, Validation Loss: 5.7455
Epoch 57/1000, Train Loss: 0.7138, Validation Loss: 0.8346
Epoch 58/1000, Train Loss: 0.6949, Validation Loss: 1.7761
Epoch 59/1000, Train Loss: 0.6647, Validation Loss: 2.0722
Epoch 60/1000, Train Loss: 0.6715, Validation Loss: 2.8009
Epoch 61/1000, Train Loss: 0.6872, Validation Loss: 1.4841
Epoch 62/1000, Train Loss: 0.6990, Validation Loss: 1.8420
Epoch 63/1000, Train Loss: 0.7072, Validation Loss: 0.7716
Epoch 64/1000, Train Loss: 0.8062, Validation Loss: 4.0399
Epoch 65/1000, Train Loss: 0.6862, Validation Loss: 0.9349
Epoch 66/1000, Train Loss: 0.6652, Validation Loss: 0.9631
Epoch 67/1000, Train Loss: 0.6601, Validation Loss: 2.9284
Epoch 68/1000, Train Loss: 0.6708, Validation Loss: 1.1573
Epoch 69/1000, Train Loss: 0.6386, Validation Loss: 0.9132
Epoch 70/1000, Train Loss: 0.6303, Validation Loss: 1.7539
Epoch 71/1000, Train Loss: 0.6422, Validation Loss: 1.0475
Epoch 72/1000, Train Loss: 0.6344, Validation Loss: 4.3899
Epoch 73/1000, Train Loss: 1.0228, Validation Loss: 1.0779
Epoch 74/1000, Train Loss: 0.6916, Validation Loss: 1.4345
Epoch 75/1000, Train Loss: 0.6428, Validation Loss: 6.9290
Epoch 76/1000, Train Loss: 0.6592, Validation Loss: 2.8077
Epoch 77/1000, Train Loss: 0.6291, Validation Loss: 1.6952
Epoch 78/1000, Train Loss: 0.6306, Validation Loss: 0.6193
Epoch 79/1000, Train Loss: 0.6361, Validation Loss: 1.0434
Epoch 80/1000, Train Loss: 0.6188, Validation Loss: 0.9903
Epoch 81/1000, Train Loss: 0.6602, Validation Loss: 0.8250
Epoch 82/1000, Train Loss: 0.6088, Validation Loss: 11.8308
Epoch 83/1000, Train Loss: 0.6047, Validation Loss: 0.5868
Epoch 84/1000, Train Loss: 0.6092, Validation Loss: 2.6777
Epoch 85/1000, Train Loss: 0.6032, Validation Loss: 1.4949
Epoch 86/1000, Train Loss: 0.6225, Validation Loss: 3.7802
Epoch 87/1000, Train Loss: 0.6125, Validation Loss: 0.8790
Epoch 88/1000, Train Loss: 0.5894, Validation Loss: 4.7127
Epoch 89/1000, Train Loss: 0.6700, Validation Loss: 0.8623
Epoch 90/1000, Train Loss: 0.5988, Validation Loss: 4.9202
Epoch 91/1000, Train Loss: 0.6022, Validation Loss: 1.4844
Epoch 92/1000, Train Loss: 0.5821, Validation Loss: 2.3270
Epoch 93/1000, Train Loss: 0.5971, Validation Loss: 0.8397
Epoch 94/1000, Train Loss: 0.5981, Validation Loss: 1.2960
Epoch 95/1000, Train Loss: 0.6084, Validation Loss: 1.0212
Epoch 96/1000, Train Loss: 0.5889, Validation Loss: 0.5790
Epoch 97/1000, Train Loss: 0.5717, Validation Loss: 1.5386
Epoch 98/1000, Train Loss: 0.5653, Validation Loss: 2.2206
Epoch 99/1000, Train Loss: 0.5910, Validation Loss: 0.9043
Epoch 100/1000, Train Loss: 0.5909, Validation Loss: 0.6593
Epoch 101/1000, Train Loss: 0.5699, Validation Loss: 1.1452
Epoch 102/1000, Train Loss: 0.5513, Validation Loss: 1.0876
Epoch 103/1000, Train Loss: 0.5570, Validation Loss: 1.8818
Epoch 104/1000, Train Loss: 0.7593, Validation Loss: 1.5274
Epoch 105/1000, Train Loss: 0.5888, Validation Loss: 0.6445
Epoch 106/1000, Train Loss: 0.5508, Validation Loss: 1.0032
Epoch 107/1000, Train Loss: 0.5659, Validation Loss: 1.3552
Epoch 108/1000, Train Loss: 0.5637, Validation Loss: 3.6733
Epoch 109/1000, Train Loss: 0.5605, Validation Loss: 0.8924
Epoch 110/1000, Train Loss: 0.5460, Validation Loss: 2.1461
Epoch 111/1000, Train Loss: 0.5463, Validation Loss: 1.0612
Epoch 112/1000, Train Loss: 0.5525, Validation Loss: 1.2708
Epoch 113/1000, Train Loss: 0.5269, Validation Loss: 0.7521
Epoch 114/1000, Train Loss: 0.5326, Validation Loss: 0.7476
Epoch 115/1000, Train Loss: 0.5355, Validation Loss: 0.6165
Epoch 116/1000, Train Loss: 0.5233, Validation Loss: 4.8625
Epoch 117/1000, Train Loss: 0.5454, Validation Loss: 2.3587
Epoch 118/1000, Train Loss: 0.5198, Validation Loss: 3.9751
Epoch 119/1000, Train Loss: 0.5172, Validation Loss: 13.5458
Epoch 120/1000, Train Loss: 0.5104, Validation Loss: 0.9439
Epoch 121/1000, Train Loss: 0.5169, Validation Loss: 0.7266
Epoch 122/1000, Train Loss: 0.5210, Validation Loss: 1.0951
Epoch 123/1000, Train Loss: 0.5145, Validation Loss: 1.4848
Epoch 124/1000, Train Loss: 0.5019, Validation Loss: 3.6954
Epoch 125/1000, Train Loss: 0.5252, Validation Loss: 0.6441
Epoch 126/1000, Train Loss: 0.5052, Validation Loss: 0.6537
Epoch 127/1000, Train Loss: 0.5046, Validation Loss: 0.5361
Epoch 128/1000, Train Loss: 0.5018, Validation Loss: 42.3860
Epoch 129/1000, Train Loss: 0.6113, Validation Loss: 9.4110
Epoch 130/1000, Train Loss: 0.5108, Validation Loss: 1.1945
Epoch 131/1000, Train Loss: 0.4943, Validation Loss: 0.6630
Epoch 132/1000, Train Loss: 0.5071, Validation Loss: 2.3679
Epoch 133/1000, Train Loss: 0.5048, Validation Loss: 5.6205
Epoch 134/1000, Train Loss: 0.5080, Validation Loss: 0.5812
Epoch 135/1000, Train Loss: 0.4996, Validation Loss: 2.7522
Epoch 136/1000, Train Loss: 0.4918, Validation Loss: 1.4589
Epoch 137/1000, Train Loss: 0.4883, Validation Loss: 1.2763
Epoch 138/1000, Train Loss: 0.4963, Validation Loss: 0.9192
Epoch 139/1000, Train Loss: 0.5034, Validation Loss: 1.7547
Epoch 140/1000, Train Loss: 0.4929, Validation Loss: 0.4848
Epoch 141/1000, Train Loss: 0.4898, Validation Loss: 1.8411
Epoch 142/1000, Train Loss: 0.4914, Validation Loss: 1.2560
Epoch 143/1000, Train Loss: 0.4996, Validation Loss: 2.4443
Epoch 144/1000, Train Loss: 0.4938, Validation Loss: 1.9991
Epoch 145/1000, Train Loss: 0.4932, Validation Loss: 1.7823
Epoch 146/1000, Train Loss: 0.4911, Validation Loss: 0.6814
Epoch 147/1000, Train Loss: 0.4823, Validation Loss: 3.6288
Epoch 148/1000, Train Loss: 0.4789, Validation Loss: 1.5480
Epoch 149/1000, Train Loss: 0.4876, Validation Loss: 4.2553
Epoch 150/1000, Train Loss: 0.4830, Validation Loss: 3.9076
Epoch 151/1000, Train Loss: 0.4932, Validation Loss: 1.1603
Epoch 152/1000, Train Loss: 0.4704, Validation Loss: 2.3922
Epoch 153/1000, Train Loss: 0.4715, Validation Loss: 0.7712
Epoch 154/1000, Train Loss: 0.4817, Validation Loss: 0.9236
