Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-y9g3nol4
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.9011, Validation Loss: 5.4580
Epoch 2/1000, Train Loss: 1.4015, Validation Loss: 1.6421
Epoch 3/1000, Train Loss: 1.2474, Validation Loss: 7.5328
Epoch 4/1000, Train Loss: 1.2158, Validation Loss: 1.7056
Epoch 5/1000, Train Loss: 1.1597, Validation Loss: 1.1580
Epoch 6/1000, Train Loss: 1.1873, Validation Loss: 3.5970
Epoch 7/1000, Train Loss: 1.0826, Validation Loss: 2.6423
Epoch 8/1000, Train Loss: 1.0595, Validation Loss: 3.7673
Epoch 9/1000, Train Loss: 1.3607, Validation Loss: 2.1234
Epoch 10/1000, Train Loss: 1.0257, Validation Loss: 1.6466
Epoch 11/1000, Train Loss: 1.0662, Validation Loss: 1.3916
Epoch 12/1000, Train Loss: 1.0191, Validation Loss: 8.9442
Epoch 13/1000, Train Loss: 1.0217, Validation Loss: 1.5980
Epoch 14/1000, Train Loss: 0.9822, Validation Loss: 1.2183
Epoch 15/1000, Train Loss: 2.6155, Validation Loss: 1.0435
Epoch 16/1000, Train Loss: 0.9758, Validation Loss: 2.9164
Epoch 17/1000, Train Loss: 0.9812, Validation Loss: 1.9458
Epoch 18/1000, Train Loss: 4.7873, Validation Loss: 1.1643
Epoch 19/1000, Train Loss: 0.9476, Validation Loss: 1.1722
Epoch 20/1000, Train Loss: 0.9523, Validation Loss: 1.6204
Epoch 21/1000, Train Loss: 0.9547, Validation Loss: 3.3611
Epoch 22/1000, Train Loss: 0.9272, Validation Loss: 1.1994
Epoch 23/1000, Train Loss: 0.9574, Validation Loss: 1.9553
Epoch 24/1000, Train Loss: 0.9348, Validation Loss: 3.0017
Epoch 25/1000, Train Loss: 2009.5215, Validation Loss: 0.8931
Epoch 26/1000, Train Loss: 0.9083, Validation Loss: 2.4184
Epoch 27/1000, Train Loss: 0.9332, Validation Loss: 0.9517
Epoch 28/1000, Train Loss: 1.0097, Validation Loss: 1.1282
Epoch 29/1000, Train Loss: 0.9160, Validation Loss: 1.6611
Epoch 30/1000, Train Loss: 0.9807, Validation Loss: 2.1381
Epoch 31/1000, Train Loss: 0.9621, Validation Loss: 0.9148
Epoch 32/1000, Train Loss: 0.9045, Validation Loss: 1.2862
Epoch 33/1000, Train Loss: 0.9119, Validation Loss: 3.6150
Epoch 34/1000, Train Loss: 0.8869, Validation Loss: 0.8626
Epoch 35/1000, Train Loss: 1.7232, Validation Loss: 1.1889
Epoch 36/1000, Train Loss: 0.9036, Validation Loss: 0.9856
Epoch 37/1000, Train Loss: 0.9120, Validation Loss: 1.3578
Epoch 38/1000, Train Loss: 0.8906, Validation Loss: 1.2559
Epoch 39/1000, Train Loss: 0.9669, Validation Loss: 2.9563
Epoch 40/1000, Train Loss: 0.8741, Validation Loss: 3.3473
Epoch 41/1000, Train Loss: 0.8858, Validation Loss: 3.1525
Epoch 42/1000, Train Loss: 1.0690, Validation Loss: 3.4067
Epoch 43/1000, Train Loss: 0.8647, Validation Loss: 1.4210
Epoch 44/1000, Train Loss: 0.8556, Validation Loss: 0.7641
