Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-f01gsnjn
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 10.0151, Validation Loss: 5.3295
Epoch 2/1000, Train Loss: 1.4564, Validation Loss: 4.3611
Epoch 3/1000, Train Loss: 1.2860, Validation Loss: 1.6350
Epoch 4/1000, Train Loss: 1.2942, Validation Loss: 1.0801
Epoch 5/1000, Train Loss: 1.2194, Validation Loss: 4.7516
Epoch 6/1000, Train Loss: 1.2208, Validation Loss: 1.4482
Epoch 7/1000, Train Loss: 1.1221, Validation Loss: 1.5150
Epoch 8/1000, Train Loss: 1.1618, Validation Loss: 3.1590
Epoch 9/1000, Train Loss: 1.1043, Validation Loss: 1.3656
Epoch 10/1000, Train Loss: 1.0756, Validation Loss: 1.3815
Epoch 11/1000, Train Loss: 1.0839, Validation Loss: 10.8084
Epoch 12/1000, Train Loss: 1.0275, Validation Loss: 1.4941
Epoch 13/1000, Train Loss: 0.9640, Validation Loss: 2.3742
Epoch 14/1000, Train Loss: 0.9567, Validation Loss: 2.6947
Epoch 15/1000, Train Loss: 0.9076, Validation Loss: 2.1835
Epoch 16/1000, Train Loss: 1.0439, Validation Loss: 1.1467
Epoch 17/1000, Train Loss: 1.0526, Validation Loss: 1.0171
Epoch 18/1000, Train Loss: 0.9073, Validation Loss: 1.6522
Epoch 19/1000, Train Loss: 0.9691, Validation Loss: 3.3098
Epoch 20/1000, Train Loss: 0.9344, Validation Loss: 2.4358
Epoch 21/1000, Train Loss: 0.8403, Validation Loss: 2.8212
Epoch 22/1000, Train Loss: 0.9462, Validation Loss: 8.2050
Epoch 23/1000, Train Loss: 0.9064, Validation Loss: 0.9966
Epoch 24/1000, Train Loss: 0.8457, Validation Loss: 3.8437
Epoch 25/1000, Train Loss: 0.8575, Validation Loss: 1.9236
Epoch 26/1000, Train Loss: 0.7790, Validation Loss: 4.4970
Epoch 27/1000, Train Loss: 0.9900, Validation Loss: 147.8838
Epoch 28/1000, Train Loss: 1545.3921, Validation Loss: 2.4691
Epoch 29/1000, Train Loss: 1.0289, Validation Loss: 4.1360
Epoch 30/1000, Train Loss: 0.8249, Validation Loss: 1.1894
Epoch 31/1000, Train Loss: 0.8117, Validation Loss: 3.5319
Epoch 32/1000, Train Loss: 0.7786, Validation Loss: 1.1135
Epoch 33/1000, Train Loss: 0.7871, Validation Loss: 0.9653
Epoch 34/1000, Train Loss: 0.7576, Validation Loss: 3.8783
Epoch 35/1000, Train Loss: 0.8473, Validation Loss: 0.9905
Epoch 36/1000, Train Loss: 1.1814, Validation Loss: 3.0340
Epoch 37/1000, Train Loss: 0.8165, Validation Loss: 1.6332
Epoch 38/1000, Train Loss: 0.7520, Validation Loss: 2.2341
Epoch 39/1000, Train Loss: 0.7196, Validation Loss: 4.1529
Epoch 40/1000, Train Loss: 0.7690, Validation Loss: 1.2965
Epoch 41/1000, Train Loss: 0.7902, Validation Loss: 2.0558
