Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-mjr9ngbs
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.2856, Validation Loss: 3.2700
Epoch 2/1000, Train Loss: 131.9466, Validation Loss: 2.8307
Epoch 3/1000, Train Loss: 1.3930, Validation Loss: 1.2128
Epoch 4/1000, Train Loss: 1.3087, Validation Loss: 1.0298
Epoch 5/1000, Train Loss: 33.9179, Validation Loss: 2.5039
Epoch 6/1000, Train Loss: 1.3340, Validation Loss: 1.5969
Epoch 7/1000, Train Loss: 1.4991, Validation Loss: 1.6868
Epoch 8/1000, Train Loss: 1.2628, Validation Loss: 2.9804
Epoch 9/1000, Train Loss: 1.4085, Validation Loss: 2.3133
Epoch 10/1000, Train Loss: 89.4364, Validation Loss: 1.6397
Epoch 11/1000, Train Loss: 1.2126, Validation Loss: 1.9704
Epoch 12/1000, Train Loss: 1.0841, Validation Loss: 3.5735
Epoch 13/1000, Train Loss: 2.3906, Validation Loss: 2.1083
Epoch 14/1000, Train Loss: 19.5915, Validation Loss: 1.1545
Epoch 15/1000, Train Loss: 1.0805, Validation Loss: 1.7564
Epoch 16/1000, Train Loss: 1.0862, Validation Loss: 2.2254
Epoch 17/1000, Train Loss: 308.9254, Validation Loss: 1.2414
Epoch 18/1000, Train Loss: 1.0398, Validation Loss: 3.3445
Epoch 19/1000, Train Loss: 1.9765, Validation Loss: 1.6847
Epoch 20/1000, Train Loss: 1.0496, Validation Loss: 3.0458
Epoch 21/1000, Train Loss: 26.7497, Validation Loss: 2.3186
Epoch 22/1000, Train Loss: 1.0045, Validation Loss: 3.5192
Epoch 23/1000, Train Loss: 1.0407, Validation Loss: 0.9240
Epoch 24/1000, Train Loss: 1.0256, Validation Loss: 1.1846
Epoch 25/1000, Train Loss: 0.9838, Validation Loss: 3.4996
Epoch 26/1000, Train Loss: 1.1059, Validation Loss: 0.8827
Epoch 27/1000, Train Loss: 1.1819, Validation Loss: 1.5704
Epoch 28/1000, Train Loss: 0.9425, Validation Loss: 1.7767
Epoch 29/1000, Train Loss: 0.9477, Validation Loss: 1.3444
Epoch 30/1000, Train Loss: 0.9485, Validation Loss: 0.7773
Epoch 31/1000, Train Loss: 5.9817, Validation Loss: 1.4355
Epoch 32/1000, Train Loss: 0.9784, Validation Loss: 5.3137
Epoch 33/1000, Train Loss: 1.1147, Validation Loss: 2.2492
Epoch 34/1000, Train Loss: 0.9024, Validation Loss: 3.7883
Epoch 35/1000, Train Loss: 1.2832, Validation Loss: 1.8549
Epoch 36/1000, Train Loss: 0.8950, Validation Loss: 2.9353
Epoch 37/1000, Train Loss: 4.2000, Validation Loss: 1.4645
Epoch 38/1000, Train Loss: 0.8654, Validation Loss: 1.4937
Epoch 39/1000, Train Loss: 0.8609, Validation Loss: 3.0665
Epoch 40/1000, Train Loss: 2.6742, Validation Loss: 1.2402
Epoch 41/1000, Train Loss: 3.3684, Validation Loss: 1.2998
Epoch 42/1000, Train Loss: 0.8549, Validation Loss: 1.1591
Epoch 43/1000, Train Loss: 0.8086, Validation Loss: 6.0926
Epoch 44/1000, Train Loss: 12.0557, Validation Loss: 0.7627
Epoch 45/1000, Train Loss: 0.8257, Validation Loss: 2.1448
Epoch 46/1000, Train Loss: 0.8372, Validation Loss: 0.7878
Epoch 47/1000, Train Loss: 0.8748, Validation Loss: 5.6986
Epoch 48/1000, Train Loss: 161.1102, Validation Loss: 3.7422
Epoch 49/1000, Train Loss: 0.8201, Validation Loss: 1.1003
Epoch 50/1000, Train Loss: 1.0611, Validation Loss: 71.9127
Epoch 51/1000, Train Loss: 0.8538, Validation Loss: 2.2601
Epoch 52/1000, Train Loss: 0.8243, Validation Loss: 1.8567
Epoch 53/1000, Train Loss: 0.9202, Validation Loss: 4.7426
Epoch 54/1000, Train Loss: 0.8159, Validation Loss: 2.2795
Epoch 55/1000, Train Loss: 0.8299, Validation Loss: 2.6158
Epoch 56/1000, Train Loss: 1.0260, Validation Loss: 1.1526
Epoch 57/1000, Train Loss: 0.8326, Validation Loss: 1.9113
Epoch 58/1000, Train Loss: 62.4878, Validation Loss: 3.6568
Epoch 59/1000, Train Loss: 1.4708, Validation Loss: 1.9140
Epoch 60/1000, Train Loss: 0.8579, Validation Loss: 4.3690
Epoch 61/1000, Train Loss: 0.8006, Validation Loss: 1.7534
Epoch 62/1000, Train Loss: 0.8186, Validation Loss: 0.9298
Epoch 63/1000, Train Loss: 42.1879, Validation Loss: 3.2464
