Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-fcgsqxph
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.7300, Validation Loss: 1.3491
Epoch 2/1000, Train Loss: 1.4573, Validation Loss: 1.4458
Epoch 3/1000, Train Loss: 1.3697, Validation Loss: 1.7636
Epoch 4/1000, Train Loss: 1.3449, Validation Loss: 2.4762
Epoch 5/1000, Train Loss: 1.3006, Validation Loss: 7.3047
Epoch 6/1000, Train Loss: 1.2149, Validation Loss: 2.3012
Epoch 7/1000, Train Loss: 1.1277, Validation Loss: 1.2041
Epoch 8/1000, Train Loss: 1.1009, Validation Loss: 1.1074
Epoch 9/1000, Train Loss: 1.0596, Validation Loss: 1.0813
Epoch 10/1000, Train Loss: 0.9713, Validation Loss: 1.4104
Epoch 11/1000, Train Loss: 1.0095, Validation Loss: 1.3431
Epoch 12/1000, Train Loss: 0.9683, Validation Loss: 1.4747
Epoch 13/1000, Train Loss: 0.9556, Validation Loss: 2.2034
Epoch 14/1000, Train Loss: 0.9368, Validation Loss: 1.0411
Epoch 15/1000, Train Loss: 0.8669, Validation Loss: 2.8160
Epoch 16/1000, Train Loss: 0.8426, Validation Loss: 1.9682
Epoch 17/1000, Train Loss: 0.8423, Validation Loss: 0.8587
Epoch 18/1000, Train Loss: 0.8277, Validation Loss: 0.7973
Epoch 19/1000, Train Loss: 0.8107, Validation Loss: 2.3951
Epoch 20/1000, Train Loss: 0.8176, Validation Loss: 2.3676
Epoch 21/1000, Train Loss: 0.7789, Validation Loss: 2.3942
Epoch 22/1000, Train Loss: 0.7884, Validation Loss: 0.9881
Epoch 23/1000, Train Loss: 0.7624, Validation Loss: 1.1184
Epoch 24/1000, Train Loss: 0.7477, Validation Loss: 1.5870
Epoch 25/1000, Train Loss: 0.7423, Validation Loss: 0.7407
Epoch 26/1000, Train Loss: 0.7514, Validation Loss: 1.6871
Epoch 27/1000, Train Loss: 0.7424, Validation Loss: 2.1481
Epoch 28/1000, Train Loss: 0.7680, Validation Loss: 1.8412
Epoch 29/1000, Train Loss: 0.7193, Validation Loss: 2.4615
Epoch 30/1000, Train Loss: 0.7033, Validation Loss: 1.0560
Epoch 31/1000, Train Loss: 0.7215, Validation Loss: 1.3866
Epoch 32/1000, Train Loss: 0.7114, Validation Loss: 1.9702
Epoch 33/1000, Train Loss: 0.7245, Validation Loss: 0.8365
Epoch 34/1000, Train Loss: 0.6701, Validation Loss: 0.7455
Epoch 35/1000, Train Loss: 0.6941, Validation Loss: 1.7011
Epoch 36/1000, Train Loss: 0.6833, Validation Loss: 0.8500
Epoch 37/1000, Train Loss: 0.6692, Validation Loss: 1.4075
Epoch 38/1000, Train Loss: 0.6761, Validation Loss: 1.5518
Epoch 39/1000, Train Loss: 0.6688, Validation Loss: 1.3960
Epoch 40/1000, Train Loss: 0.6667, Validation Loss: 1.2000
Epoch 41/1000, Train Loss: 0.6707, Validation Loss: 0.6131
Epoch 42/1000, Train Loss: 0.6348, Validation Loss: 1.6354
Epoch 43/1000, Train Loss: 0.6238, Validation Loss: 0.9916
Epoch 44/1000, Train Loss: 0.6695, Validation Loss: 0.7756
Epoch 45/1000, Train Loss: 0.6364, Validation Loss: 1.0079
Epoch 46/1000, Train Loss: 0.6559, Validation Loss: 3.2027
Epoch 47/1000, Train Loss: 0.6907, Validation Loss: 1.0461
Epoch 48/1000, Train Loss: 0.6444, Validation Loss: 0.8140
Epoch 49/1000, Train Loss: 0.6382, Validation Loss: 0.8497
Epoch 50/1000, Train Loss: 0.6524, Validation Loss: 0.6746
Epoch 51/1000, Train Loss: 0.6222, Validation Loss: 0.9433
Epoch 52/1000, Train Loss: 0.6057, Validation Loss: 0.7615
Epoch 53/1000, Train Loss: 0.6298, Validation Loss: 0.6902
Epoch 54/1000, Train Loss: 0.6203, Validation Loss: 0.6379
Epoch 55/1000, Train Loss: 0.6360, Validation Loss: 0.7360
Epoch 56/1000, Train Loss: 0.6005, Validation Loss: 1.1918
Epoch 57/1000, Train Loss: 0.6118, Validation Loss: 0.5728
Epoch 58/1000, Train Loss: 0.6079, Validation Loss: 0.8122
Epoch 59/1000, Train Loss: 0.6167, Validation Loss: 0.5833
Epoch 60/1000, Train Loss: 0.6214, Validation Loss: 0.8896
Epoch 61/1000, Train Loss: 0.5818, Validation Loss: 1.2903
Epoch 62/1000, Train Loss: 0.5823, Validation Loss: 0.7208
Epoch 63/1000, Train Loss: 0.5885, Validation Loss: 0.7583
Epoch 64/1000, Train Loss: 0.5755, Validation Loss: 0.7732
Epoch 65/1000, Train Loss: 0.5921, Validation Loss: 0.5485
Epoch 66/1000, Train Loss: 0.5932, Validation Loss: 0.6612
Epoch 67/1000, Train Loss: 0.6032, Validation Loss: 1.8351
Epoch 68/1000, Train Loss: 0.5846, Validation Loss: 1.0206
Epoch 69/1000, Train Loss: 0.5919, Validation Loss: 0.7043
Epoch 70/1000, Train Loss: 0.5692, Validation Loss: 0.7135
Epoch 71/1000, Train Loss: 0.5722, Validation Loss: 0.5920
Epoch 72/1000, Train Loss: 0.5587, Validation Loss: 0.6396
Epoch 73/1000, Train Loss: 0.5687, Validation Loss: 0.6201
Epoch 74/1000, Train Loss: 0.5728, Validation Loss: 0.6844
Epoch 75/1000, Train Loss: 0.5489, Validation Loss: 0.4928
Epoch 76/1000, Train Loss: 0.5604, Validation Loss: 0.5873
Epoch 77/1000, Train Loss: 0.5536, Validation Loss: 0.5968
Epoch 78/1000, Train Loss: 0.5621, Validation Loss: 1.2919
Epoch 79/1000, Train Loss: 0.5606, Validation Loss: 1.0501
Epoch 80/1000, Train Loss: 0.5451, Validation Loss: 1.0205
Epoch 81/1000, Train Loss: 0.5544, Validation Loss: 1.1171
Epoch 82/1000, Train Loss: 0.5558, Validation Loss: 0.5453
Epoch 83/1000, Train Loss: 0.5705, Validation Loss: 0.5749
Epoch 84/1000, Train Loss: 0.5361, Validation Loss: 0.8282
Epoch 85/1000, Train Loss: 0.5336, Validation Loss: 0.9178
Epoch 86/1000, Train Loss: 0.5359, Validation Loss: 1.4282
Epoch 87/1000, Train Loss: 0.5721, Validation Loss: 0.9668
Epoch 88/1000, Train Loss: 0.5337, Validation Loss: 1.0214
Epoch 89/1000, Train Loss: 0.5267, Validation Loss: 0.9034
Epoch 90/1000, Train Loss: 0.5354, Validation Loss: 0.7524
Epoch 91/1000, Train Loss: 0.5323, Validation Loss: 0.7153
Epoch 92/1000, Train Loss: 0.5420, Validation Loss: 0.6298
