Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-zowk1ifp
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3567, Validation Loss: 3.6001
Epoch 2/1000, Train Loss: 1.4639, Validation Loss: 4.5202
Epoch 3/1000, Train Loss: 1.4228, Validation Loss: 5.2008
Epoch 4/1000, Train Loss: 1.2671, Validation Loss: 3.1072
Epoch 5/1000, Train Loss: 1.2144, Validation Loss: 2.7802
Epoch 6/1000, Train Loss: 1.1260, Validation Loss: 4.2928
Epoch 7/1000, Train Loss: 1.1167, Validation Loss: 1.3653
Epoch 8/1000, Train Loss: 1.0518, Validation Loss: 1.5022
Epoch 9/1000, Train Loss: 0.9888, Validation Loss: 0.8598
Epoch 10/1000, Train Loss: 0.9863, Validation Loss: 0.9824
Epoch 11/1000, Train Loss: 0.9547, Validation Loss: 1.4545
Epoch 12/1000, Train Loss: 0.9103, Validation Loss: 0.9303
Epoch 13/1000, Train Loss: 0.9052, Validation Loss: 2.5326
Epoch 14/1000, Train Loss: 0.8734, Validation Loss: 3.4275
Epoch 15/1000, Train Loss: 0.8775, Validation Loss: 1.4425
Epoch 16/1000, Train Loss: 0.8758, Validation Loss: 2.4193
Epoch 17/1000, Train Loss: 0.8452, Validation Loss: 1.6200
Epoch 18/1000, Train Loss: 0.8649, Validation Loss: 0.7794
Epoch 19/1000, Train Loss: 0.8335, Validation Loss: 1.4918
Epoch 20/1000, Train Loss: 0.8104, Validation Loss: 1.3655
Epoch 21/1000, Train Loss: 0.8272, Validation Loss: 0.8454
Epoch 22/1000, Train Loss: 0.8006, Validation Loss: 0.7972
Epoch 23/1000, Train Loss: 0.7802, Validation Loss: 3.9071
Epoch 24/1000, Train Loss: 0.7676, Validation Loss: 1.7968
Epoch 25/1000, Train Loss: 0.7727, Validation Loss: 1.9665
Epoch 26/1000, Train Loss: 0.7532, Validation Loss: 3.2818
Epoch 27/1000, Train Loss: 0.7568, Validation Loss: 0.7343
Epoch 28/1000, Train Loss: 0.7542, Validation Loss: 2.3318
Epoch 29/1000, Train Loss: 0.7399, Validation Loss: 1.0628
Epoch 30/1000, Train Loss: 0.7510, Validation Loss: 0.6837
Epoch 31/1000, Train Loss: 0.7181, Validation Loss: 1.0025
Epoch 32/1000, Train Loss: 0.7236, Validation Loss: 1.4358
Epoch 33/1000, Train Loss: 0.7597, Validation Loss: 0.8635
Epoch 34/1000, Train Loss: 0.7039, Validation Loss: 2.4293
Epoch 35/1000, Train Loss: 0.7231, Validation Loss: 0.7359
Epoch 36/1000, Train Loss: 0.7150, Validation Loss: 1.0645
Epoch 37/1000, Train Loss: 0.7281, Validation Loss: 1.1370
Epoch 38/1000, Train Loss: 0.7444, Validation Loss: 1.0607
Epoch 39/1000, Train Loss: 0.6967, Validation Loss: 1.2616
Epoch 40/1000, Train Loss: 0.7023, Validation Loss: 1.4326
Epoch 41/1000, Train Loss: 0.7160, Validation Loss: 0.8023
Epoch 42/1000, Train Loss: 0.6976, Validation Loss: 0.6577
Epoch 43/1000, Train Loss: 0.6968, Validation Loss: 0.8962
Epoch 44/1000, Train Loss: 0.6784, Validation Loss: 0.6868
Epoch 45/1000, Train Loss: 0.6828, Validation Loss: 0.7206
Epoch 46/1000, Train Loss: 0.6794, Validation Loss: 0.7476
Epoch 47/1000, Train Loss: 0.6703, Validation Loss: 1.5328
Epoch 48/1000, Train Loss: 0.6838, Validation Loss: 1.0583
Epoch 49/1000, Train Loss: 0.6714, Validation Loss: 0.7229
Epoch 50/1000, Train Loss: 0.6824, Validation Loss: 1.2587
Epoch 51/1000, Train Loss: 0.6437, Validation Loss: 1.5221
Epoch 52/1000, Train Loss: 0.6556, Validation Loss: 0.8495
Epoch 53/1000, Train Loss: 0.6609, Validation Loss: 0.7570
Epoch 54/1000, Train Loss: 0.6403, Validation Loss: 1.2362
Epoch 55/1000, Train Loss: 0.6338, Validation Loss: 2.2305
Epoch 56/1000, Train Loss: 0.6433, Validation Loss: 0.6589
Epoch 57/1000, Train Loss: 0.6422, Validation Loss: 0.8525
Epoch 58/1000, Train Loss: 0.6170, Validation Loss: 0.7817
Epoch 59/1000, Train Loss: 0.6462, Validation Loss: 0.8195
Epoch 60/1000, Train Loss: 0.6446, Validation Loss: 0.6203
Epoch 61/1000, Train Loss: 0.6594, Validation Loss: 0.7525
Epoch 62/1000, Train Loss: 0.6283, Validation Loss: 0.6040
Epoch 63/1000, Train Loss: 0.6093, Validation Loss: 1.4478
Epoch 64/1000, Train Loss: 0.6140, Validation Loss: 0.9093
Epoch 65/1000, Train Loss: 0.6151, Validation Loss: 0.6202
Epoch 66/1000, Train Loss: 0.6100, Validation Loss: 1.0962
Epoch 67/1000, Train Loss: 0.6108, Validation Loss: 0.6604
Epoch 68/1000, Train Loss: 0.6006, Validation Loss: 2.2863
Epoch 69/1000, Train Loss: 0.5993, Validation Loss: 0.7183
Epoch 70/1000, Train Loss: 0.5988, Validation Loss: 1.3368
Epoch 71/1000, Train Loss: 0.6145, Validation Loss: 1.0614
Epoch 72/1000, Train Loss: 0.5953, Validation Loss: 1.2859
Epoch 73/1000, Train Loss: 0.6046, Validation Loss: 0.8804
Epoch 74/1000, Train Loss: 0.5921, Validation Loss: 0.6683
Epoch 75/1000, Train Loss: 0.5844, Validation Loss: 0.7069
Epoch 76/1000, Train Loss: 0.5859, Validation Loss: 0.5667
Epoch 77/1000, Train Loss: 0.5884, Validation Loss: 0.8363
Epoch 78/1000, Train Loss: 0.6033, Validation Loss: 1.2883
Epoch 79/1000, Train Loss: 0.6103, Validation Loss: 0.6418
Epoch 80/1000, Train Loss: 0.5935, Validation Loss: 0.6416
Epoch 81/1000, Train Loss: 0.5843, Validation Loss: 0.7554
Epoch 82/1000, Train Loss: 0.5835, Validation Loss: 0.5929
Epoch 83/1000, Train Loss: 0.5810, Validation Loss: 0.9333
Epoch 84/1000, Train Loss: 0.5793, Validation Loss: 0.7436
Epoch 85/1000, Train Loss: 0.5856, Validation Loss: 0.9360
Epoch 86/1000, Train Loss: 0.5733, Validation Loss: 1.3387
Epoch 87/1000, Train Loss: 0.6056, Validation Loss: 0.9577
Epoch 88/1000, Train Loss: 0.6020, Validation Loss: 0.7398
Epoch 89/1000, Train Loss: 0.5687, Validation Loss: 1.0263
Epoch 90/1000, Train Loss: 0.5693, Validation Loss: 0.8727
Epoch 91/1000, Train Loss: 0.5625, Validation Loss: 0.6156
Epoch 92/1000, Train Loss: 0.5696, Validation Loss: 1.3918
Epoch 93/1000, Train Loss: 0.5597, Validation Loss: 0.9230
Epoch 94/1000, Train Loss: 0.5625, Validation Loss: 1.7438
Epoch 95/1000, Train Loss: 0.5706, Validation Loss: 0.6306
Epoch 96/1000, Train Loss: 0.5740, Validation Loss: 1.4478
Epoch 97/1000, Train Loss: 0.5606, Validation Loss: 0.9055
Epoch 98/1000, Train Loss: 0.5596, Validation Loss: 0.8367
Epoch 99/1000, Train Loss: 0.5570, Validation Loss: 0.7732
Epoch 100/1000, Train Loss: 0.5614, Validation Loss: 0.9697
Epoch 101/1000, Train Loss: 0.5621, Validation Loss: 0.7362
Epoch 102/1000, Train Loss: 0.5543, Validation Loss: 0.6646
Epoch 103/1000, Train Loss: 0.5593, Validation Loss: 2.0771
Epoch 104/1000, Train Loss: 0.5510, Validation Loss: 0.5152
Epoch 105/1000, Train Loss: 0.5557, Validation Loss: 0.6434
Epoch 106/1000, Train Loss: 0.5578, Validation Loss: 0.7844
Epoch 107/1000, Train Loss: 0.5456, Validation Loss: 0.8401
Epoch 108/1000, Train Loss: 0.5533, Validation Loss: 0.7863
Epoch 109/1000, Train Loss: 0.5390, Validation Loss: 0.7879
Epoch 110/1000, Train Loss: 0.5508, Validation Loss: 1.3038
Epoch 111/1000, Train Loss: 0.5504, Validation Loss: 0.8301
Epoch 112/1000, Train Loss: 0.5463, Validation Loss: 0.6264
Epoch 113/1000, Train Loss: 0.5395, Validation Loss: 0.7114
Epoch 114/1000, Train Loss: 0.5425, Validation Loss: 0.7360
Epoch 115/1000, Train Loss: 0.5707, Validation Loss: 1.3245
Epoch 116/1000, Train Loss: 0.5402, Validation Loss: 0.6494
Epoch 117/1000, Train Loss: 0.5480, Validation Loss: 0.9062
Epoch 118/1000, Train Loss: 0.5386, Validation Loss: 1.3055
Epoch 119/1000, Train Loss: 0.5371, Validation Loss: 0.5367
Epoch 120/1000, Train Loss: 0.5527, Validation Loss: 0.9909
Epoch 121/1000, Train Loss: 0.5339, Validation Loss: 0.7813
Epoch 122/1000, Train Loss: 0.5358, Validation Loss: 1.3927
Epoch 123/1000, Train Loss: 0.5338, Validation Loss: 1.7837
Epoch 124/1000, Train Loss: 0.5428, Validation Loss: 0.6263
Epoch 125/1000, Train Loss: 0.5308, Validation Loss: 1.5408
Epoch 126/1000, Train Loss: 0.5289, Validation Loss: 0.9199
Epoch 127/1000, Train Loss: 0.5341, Validation Loss: 0.4998
Epoch 128/1000, Train Loss: 0.5389, Validation Loss: 0.5298
Epoch 129/1000, Train Loss: 0.5267, Validation Loss: 0.7122
Epoch 130/1000, Train Loss: 0.5305, Validation Loss: 0.8841
Epoch 131/1000, Train Loss: 0.5294, Validation Loss: 0.8569
Epoch 132/1000, Train Loss: 0.5396, Validation Loss: 0.7603
Epoch 133/1000, Train Loss: 0.5231, Validation Loss: 0.7300
Epoch 134/1000, Train Loss: 0.5232, Validation Loss: 0.7491
Epoch 135/1000, Train Loss: 0.5235, Validation Loss: 0.6730
Epoch 136/1000, Train Loss: 0.5204, Validation Loss: 0.5202
Epoch 137/1000, Train Loss: 0.5265, Validation Loss: 0.9908
Epoch 138/1000, Train Loss: 0.5286, Validation Loss: 0.7650
Epoch 139/1000, Train Loss: 0.5450, Validation Loss: 0.8889
Epoch 140/1000, Train Loss: 0.5165, Validation Loss: 0.9989
Epoch 141/1000, Train Loss: 0.5261, Validation Loss: 0.8590
Epoch 142/1000, Train Loss: 0.5334, Validation Loss: 0.4982
Epoch 143/1000, Train Loss: 0.5332, Validation Loss: 0.8657
Epoch 144/1000, Train Loss: 0.5239, Validation Loss: 0.9635
Epoch 145/1000, Train Loss: 0.5289, Validation Loss: 0.6091
Epoch 146/1000, Train Loss: 0.5201, Validation Loss: 1.5784
Epoch 147/1000, Train Loss: 0.5253, Validation Loss: 0.5176
Epoch 148/1000, Train Loss: 0.5185, Validation Loss: 0.5125
Epoch 149/1000, Train Loss: 0.5326, Validation Loss: 1.4130
Epoch 150/1000, Train Loss: 0.5246, Validation Loss: 0.7214
Epoch 151/1000, Train Loss: 0.5440, Validation Loss: 0.9381
Epoch 152/1000, Train Loss: 0.5284, Validation Loss: 0.5900
Epoch 153/1000, Train Loss: 0.5050, Validation Loss: 0.6916
Epoch 154/1000, Train Loss: 0.5208, Validation Loss: 0.9896
Epoch 155/1000, Train Loss: 0.5172, Validation Loss: 0.6807
Epoch 156/1000, Train Loss: 0.5334, Validation Loss: 1.1289
Epoch 157/1000, Train Loss: 0.5147, Validation Loss: 1.1070
Epoch 158/1000, Train Loss: 0.5145, Validation Loss: 0.7644
Epoch 159/1000, Train Loss: 0.5089, Validation Loss: 1.0206
Epoch 160/1000, Train Loss: 0.5242, Validation Loss: 1.0087
Epoch 161/1000, Train Loss: 0.5167, Validation Loss: 0.6268
Epoch 162/1000, Train Loss: 0.5307, Validation Loss: 0.8761
Epoch 163/1000, Train Loss: 0.5134, Validation Loss: 1.1392
Epoch 164/1000, Train Loss: 0.5044, Validation Loss: 0.6152
Epoch 165/1000, Train Loss: 0.5088, Validation Loss: 0.6067
Epoch 166/1000, Train Loss: 0.5220, Validation Loss: 0.6792
