Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ka9rqxt3
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.1324, Validation Loss: 3.1021
Epoch 2/1000, Train Loss: 1.3632, Validation Loss: 1.1617
Epoch 3/1000, Train Loss: 1.2589, Validation Loss: 1.2563
Epoch 4/1000, Train Loss: 1.2148, Validation Loss: 2.4897
Epoch 5/1000, Train Loss: 1.2205, Validation Loss: 1.4019
Epoch 6/1000, Train Loss: 1.1339, Validation Loss: 3.5843
Epoch 7/1000, Train Loss: 1.1508, Validation Loss: 1.8019
Epoch 8/1000, Train Loss: 1.1161, Validation Loss: 2.0694
Epoch 9/1000, Train Loss: 1.2002, Validation Loss: 2.2720
Epoch 10/1000, Train Loss: 1.1302, Validation Loss: 1.5417
Epoch 11/1000, Train Loss: 1.0949, Validation Loss: 5.8466
Epoch 12/1000, Train Loss: 1.1185, Validation Loss: 1.3848
Epoch 13/1000, Train Loss: 1.0741, Validation Loss: 1.3104
Epoch 14/1000, Train Loss: 1.0571, Validation Loss: 1.2540
Epoch 15/1000, Train Loss: 1.0733, Validation Loss: 2.2090
Epoch 16/1000, Train Loss: 1.1043, Validation Loss: 1.2276
Epoch 17/1000, Train Loss: 1.0177, Validation Loss: 0.9179
Epoch 18/1000, Train Loss: 0.9925, Validation Loss: 5.7054
Epoch 19/1000, Train Loss: 0.9662, Validation Loss: 1.7017
Epoch 20/1000, Train Loss: 1.0156, Validation Loss: 0.9945
Epoch 21/1000, Train Loss: 0.9721, Validation Loss: 2.9465
Epoch 22/1000, Train Loss: 0.9760, Validation Loss: 0.9490
Epoch 23/1000, Train Loss: 311.9552, Validation Loss: 1.5487
Epoch 24/1000, Train Loss: 0.9636, Validation Loss: 4.5805
Epoch 25/1000, Train Loss: 0.9463, Validation Loss: 2.1280
Epoch 26/1000, Train Loss: 0.8907, Validation Loss: 0.8034
Epoch 27/1000, Train Loss: 1.0778, Validation Loss: 1.1940
Epoch 28/1000, Train Loss: 0.8672, Validation Loss: 0.9297
Epoch 29/1000, Train Loss: 0.9108, Validation Loss: 0.8059
Epoch 30/1000, Train Loss: 1.0243, Validation Loss: 4.5730
Epoch 31/1000, Train Loss: 0.8444, Validation Loss: 0.9494
Epoch 32/1000, Train Loss: 0.8307, Validation Loss: 1.9032
Epoch 33/1000, Train Loss: 0.8034, Validation Loss: 0.7571
Epoch 34/1000, Train Loss: 0.8014, Validation Loss: 1.3583
Epoch 35/1000, Train Loss: 0.8120, Validation Loss: 2.0996
Epoch 36/1000, Train Loss: 0.7835, Validation Loss: 0.6589
Epoch 37/1000, Train Loss: 0.8195, Validation Loss: 1.2521
Epoch 38/1000, Train Loss: 0.8275, Validation Loss: 4.1851
Epoch 39/1000, Train Loss: 2.1343, Validation Loss: 6.3629
Epoch 40/1000, Train Loss: 0.7660, Validation Loss: 1.0969
Epoch 41/1000, Train Loss: 1.0826, Validation Loss: 0.9582
Epoch 42/1000, Train Loss: 0.7772, Validation Loss: 2.8430
Epoch 43/1000, Train Loss: 0.7827, Validation Loss: 1.2018
Epoch 44/1000, Train Loss: 0.7439, Validation Loss: 2.9384
Epoch 45/1000, Train Loss: 0.7437, Validation Loss: 2.6386
Epoch 46/1000, Train Loss: 0.7699, Validation Loss: 2.4892
Epoch 47/1000, Train Loss: 0.9047, Validation Loss: 4.7778
Epoch 48/1000, Train Loss: 0.8347, Validation Loss: 0.8726
Epoch 49/1000, Train Loss: 0.7629, Validation Loss: 1.8970
Epoch 50/1000, Train Loss: 0.7402, Validation Loss: 0.9777
Epoch 51/1000, Train Loss: 0.7814, Validation Loss: 0.7518
Epoch 52/1000, Train Loss: 0.7752, Validation Loss: 1.0615
Epoch 53/1000, Train Loss: 0.7422, Validation Loss: 1.6319
Epoch 54/1000, Train Loss: 0.7865, Validation Loss: 1.4855
Epoch 55/1000, Train Loss: 0.7678, Validation Loss: 3.6063
Epoch 56/1000, Train Loss: 0.7485, Validation Loss: 0.8154
Epoch 57/1000, Train Loss: 0.7588, Validation Loss: 1.3658
Epoch 58/1000, Train Loss: 0.7741, Validation Loss: 2.1523
Epoch 59/1000, Train Loss: 0.7309, Validation Loss: 1.1816
Epoch 60/1000, Train Loss: 0.7507, Validation Loss: 0.8579
Epoch 61/1000, Train Loss: 0.7542, Validation Loss: 1.4769
Epoch 62/1000, Train Loss: 0.7518, Validation Loss: 0.9358
Epoch 63/1000, Train Loss: 0.7672, Validation Loss: 0.8573
Epoch 64/1000, Train Loss: 0.7541, Validation Loss: 3.8849
Epoch 65/1000, Train Loss: 0.7492, Validation Loss: 1.6380
Epoch 66/1000, Train Loss: 0.7341, Validation Loss: 0.9227
Epoch 67/1000, Train Loss: 0.7263, Validation Loss: 2.2531
Epoch 68/1000, Train Loss: 0.7330, Validation Loss: 1.0459
Epoch 69/1000, Train Loss: 0.7580, Validation Loss: 0.7766
Epoch 70/1000, Train Loss: 0.7348, Validation Loss: 2.4218
Epoch 71/1000, Train Loss: 0.7242, Validation Loss: 2.2824
Epoch 72/1000, Train Loss: 0.8482, Validation Loss: 0.7164
Epoch 73/1000, Train Loss: 0.7401, Validation Loss: 1.7309
Epoch 74/1000, Train Loss: 0.7462, Validation Loss: 1.5952
Epoch 75/1000, Train Loss: 0.7521, Validation Loss: 1.1723
Epoch 76/1000, Train Loss: 0.9659, Validation Loss: 8.3097
Epoch 77/1000, Train Loss: 0.7634, Validation Loss: 0.6024
Epoch 78/1000, Train Loss: 0.7089, Validation Loss: 0.6790
Epoch 79/1000, Train Loss: 0.7808, Validation Loss: 0.8300
Epoch 80/1000, Train Loss: 0.7493, Validation Loss: 2.0113
Epoch 81/1000, Train Loss: 0.7335, Validation Loss: 1.1724
Epoch 82/1000, Train Loss: 0.7492, Validation Loss: 6.3171
Epoch 83/1000, Train Loss: 0.8675, Validation Loss: 3.0192
Epoch 84/1000, Train Loss: 0.7244, Validation Loss: 2.0809
Epoch 85/1000, Train Loss: 0.7278, Validation Loss: 1.4686
Epoch 86/1000, Train Loss: 0.7128, Validation Loss: 0.7060
Epoch 87/1000, Train Loss: 0.7305, Validation Loss: 1.1003
Epoch 88/1000, Train Loss: 0.7247, Validation Loss: 1.3859
Epoch 89/1000, Train Loss: 0.7779, Validation Loss: 4.9329
Epoch 90/1000, Train Loss: 0.7725, Validation Loss: 0.7322
Epoch 91/1000, Train Loss: 0.7111, Validation Loss: 2.0330
Epoch 92/1000, Train Loss: 0.7324, Validation Loss: 1.1407
Epoch 93/1000, Train Loss: 0.8310, Validation Loss: 1.6790
Epoch 94/1000, Train Loss: 0.7172, Validation Loss: 1.2026
Epoch 95/1000, Train Loss: 0.7947, Validation Loss: 1.0698
Epoch 96/1000, Train Loss: 0.7255, Validation Loss: 0.9777
Epoch 97/1000, Train Loss: 0.7136, Validation Loss: 2.6554
Epoch 98/1000, Train Loss: 0.7634, Validation Loss: 2.0892
Epoch 99/1000, Train Loss: 0.7256, Validation Loss: 5.3639
Epoch 100/1000, Train Loss: 0.7329, Validation Loss: 2.9793
Epoch 101/1000, Train Loss: 0.7404, Validation Loss: 2.3147
Epoch 102/1000, Train Loss: 0.8460, Validation Loss: 0.9524
Epoch 103/1000, Train Loss: 0.7418, Validation Loss: 1.7216
Epoch 104/1000, Train Loss: 0.7268, Validation Loss: 0.6997
Epoch 105/1000, Train Loss: 0.7147, Validation Loss: 2.0818
Epoch 106/1000, Train Loss: 0.7207, Validation Loss: 1.2196
Epoch 107/1000, Train Loss: 0.7279, Validation Loss: 2.0589
Epoch 108/1000, Train Loss: 0.7245, Validation Loss: 0.6886
Epoch 109/1000, Train Loss: 0.6976, Validation Loss: 1.0715
Epoch 110/1000, Train Loss: 0.9618, Validation Loss: 1.6085
Epoch 111/1000, Train Loss: 0.6902, Validation Loss: 1.9077
Epoch 112/1000, Train Loss: 0.7352, Validation Loss: 0.8036
Epoch 113/1000, Train Loss: 0.7178, Validation Loss: 2.9860
