Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-9t0auqtv
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.2316, Validation Loss: 3.4716
Epoch 2/1000, Train Loss: 1.5377, Validation Loss: 2.1219
Epoch 3/1000, Train Loss: 1.3574, Validation Loss: 2.8622
Epoch 4/1000, Train Loss: 1.2216, Validation Loss: 4.0525
Epoch 5/1000, Train Loss: 1.1188, Validation Loss: 1.0514
Epoch 6/1000, Train Loss: 1.0781, Validation Loss: 1.5269
Epoch 7/1000, Train Loss: 1.0379, Validation Loss: 2.8914
Epoch 8/1000, Train Loss: 1.0015, Validation Loss: 1.5220
Epoch 9/1000, Train Loss: 0.9658, Validation Loss: 4.3182
Epoch 10/1000, Train Loss: 0.9610, Validation Loss: 6.2693
Epoch 11/1000, Train Loss: 0.9524, Validation Loss: 15.8581
Epoch 12/1000, Train Loss: 0.9465, Validation Loss: 1.0479
Epoch 13/1000, Train Loss: 0.8972, Validation Loss: 0.9906
Epoch 14/1000, Train Loss: 0.9036, Validation Loss: 1.3476
Epoch 15/1000, Train Loss: 0.8985, Validation Loss: 1.7630
Epoch 16/1000, Train Loss: 0.8849, Validation Loss: 1.1744
Epoch 17/1000, Train Loss: 0.8681, Validation Loss: 3.3203
Epoch 18/1000, Train Loss: 0.8446, Validation Loss: 3.4964
Epoch 19/1000, Train Loss: 0.8512, Validation Loss: 1.4403
Epoch 20/1000, Train Loss: 0.8338, Validation Loss: 1.0886
Epoch 21/1000, Train Loss: 0.8271, Validation Loss: 11.4978
Epoch 22/1000, Train Loss: 0.8161, Validation Loss: 2.1618
Epoch 23/1000, Train Loss: 0.8186, Validation Loss: 0.9186
Epoch 24/1000, Train Loss: 0.8045, Validation Loss: 5.0896
Epoch 25/1000, Train Loss: 0.7789, Validation Loss: 3.2850
Epoch 26/1000, Train Loss: 0.7666, Validation Loss: 2.5767
Epoch 27/1000, Train Loss: 0.7545, Validation Loss: 0.7462
Epoch 28/1000, Train Loss: 0.7519, Validation Loss: 1.1961
Epoch 29/1000, Train Loss: 0.7369, Validation Loss: 1.4886
Epoch 30/1000, Train Loss: 0.7270, Validation Loss: 0.7910
Epoch 31/1000, Train Loss: 0.7320, Validation Loss: 1.5174
Epoch 32/1000, Train Loss: 0.7210, Validation Loss: 1.3245
Epoch 33/1000, Train Loss: 0.7138, Validation Loss: 1.1064
Epoch 34/1000, Train Loss: 0.6942, Validation Loss: 3.0061
Epoch 35/1000, Train Loss: 0.6899, Validation Loss: 1.0384
Epoch 36/1000, Train Loss: 0.6902, Validation Loss: 0.9560
Epoch 37/1000, Train Loss: 0.6866, Validation Loss: 1.4310
Epoch 38/1000, Train Loss: 0.6762, Validation Loss: 1.2304
Epoch 39/1000, Train Loss: 0.6728, Validation Loss: 1.1030
Epoch 40/1000, Train Loss: 0.6679, Validation Loss: 1.0401
Epoch 41/1000, Train Loss: 0.6708, Validation Loss: 1.0626
Epoch 42/1000, Train Loss: 0.6723, Validation Loss: 1.1423
Epoch 43/1000, Train Loss: 0.6511, Validation Loss: 0.7284
Epoch 44/1000, Train Loss: 0.6548, Validation Loss: 2.0699
Epoch 45/1000, Train Loss: 0.6525, Validation Loss: 1.1739
Epoch 46/1000, Train Loss: 0.6493, Validation Loss: 1.0103
Epoch 47/1000, Train Loss: 0.6452, Validation Loss: 3.9080
Epoch 48/1000, Train Loss: 0.6359, Validation Loss: 0.6553
Epoch 49/1000, Train Loss: 0.6381, Validation Loss: 4.3290
Epoch 50/1000, Train Loss: 0.6351, Validation Loss: 1.0697
Epoch 51/1000, Train Loss: 0.6219, Validation Loss: 1.0276
Epoch 52/1000, Train Loss: 0.6189, Validation Loss: 1.6018
Epoch 53/1000, Train Loss: 0.6211, Validation Loss: 0.6935
Epoch 54/1000, Train Loss: 0.6183, Validation Loss: 1.7947
Epoch 55/1000, Train Loss: 0.6182, Validation Loss: 1.3481
Epoch 56/1000, Train Loss: 0.6108, Validation Loss: 1.8643
Epoch 57/1000, Train Loss: 0.6088, Validation Loss: 0.8127
Epoch 58/1000, Train Loss: 0.6019, Validation Loss: 2.6825
Epoch 59/1000, Train Loss: 0.5975, Validation Loss: 1.6924
Epoch 60/1000, Train Loss: 0.6044, Validation Loss: 0.8197
Epoch 61/1000, Train Loss: 0.5974, Validation Loss: 0.9519
Epoch 62/1000, Train Loss: 0.5966, Validation Loss: 1.4193
Epoch 63/1000, Train Loss: 0.5922, Validation Loss: 0.6114
Epoch 64/1000, Train Loss: 0.5983, Validation Loss: 1.3787
Epoch 65/1000, Train Loss: 0.5836, Validation Loss: 2.7860
Epoch 66/1000, Train Loss: 0.5925, Validation Loss: 1.5147
Epoch 67/1000, Train Loss: 0.5909, Validation Loss: 1.0558
Epoch 68/1000, Train Loss: 0.5953, Validation Loss: 1.0601
Epoch 69/1000, Train Loss: 0.5801, Validation Loss: 0.7182
Epoch 70/1000, Train Loss: 0.5783, Validation Loss: 1.1479
Epoch 71/1000, Train Loss: 0.5741, Validation Loss: 1.7591
Epoch 72/1000, Train Loss: 0.5796, Validation Loss: 1.4609
Epoch 73/1000, Train Loss: 0.5851, Validation Loss: 1.0915
Epoch 74/1000, Train Loss: 0.5734, Validation Loss: 0.5950
Epoch 75/1000, Train Loss: 0.5679, Validation Loss: 0.8832
Epoch 76/1000, Train Loss: 0.5722, Validation Loss: 0.9277
Epoch 77/1000, Train Loss: 0.5627, Validation Loss: 0.6494
Epoch 78/1000, Train Loss: 0.5641, Validation Loss: 0.7458
Epoch 79/1000, Train Loss: 0.5637, Validation Loss: 0.5930
Epoch 80/1000, Train Loss: 0.5681, Validation Loss: 0.9120
Epoch 81/1000, Train Loss: 0.5618, Validation Loss: 1.2830
Epoch 82/1000, Train Loss: 0.5591, Validation Loss: 0.9141
Epoch 83/1000, Train Loss: 0.5608, Validation Loss: 1.0703
Epoch 84/1000, Train Loss: 0.5620, Validation Loss: 1.1442
Epoch 85/1000, Train Loss: 0.5541, Validation Loss: 0.6854
Epoch 86/1000, Train Loss: 0.5580, Validation Loss: 1.6677
Epoch 87/1000, Train Loss: 0.5541, Validation Loss: 0.7979
Epoch 88/1000, Train Loss: 0.5574, Validation Loss: 1.2475
Epoch 89/1000, Train Loss: 0.5537, Validation Loss: 1.2966
Epoch 90/1000, Train Loss: 0.5484, Validation Loss: 0.6354
