Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-x2wzfid0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 9.9140, Validation Loss: 2.4672
Epoch 2/1000, Train Loss: 1.9043, Validation Loss: 4.5275
Epoch 3/1000, Train Loss: 1.9431, Validation Loss: 2.7200
Epoch 4/1000, Train Loss: 5.1366, Validation Loss: 6.0983
Epoch 5/1000, Train Loss: 2.7475, Validation Loss: 1.4171
Epoch 6/1000, Train Loss: 1.4273, Validation Loss: 2.2314
Epoch 7/1000, Train Loss: 1.7812, Validation Loss: 1.1348
Epoch 8/1000, Train Loss: 5.2565, Validation Loss: 4.5643
Epoch 9/1000, Train Loss: 1.3480, Validation Loss: 2.1214
Epoch 10/1000, Train Loss: 1.7484, Validation Loss: 1.8349
Epoch 11/1000, Train Loss: 23.3763, Validation Loss: 4.9714
Epoch 12/1000, Train Loss: 36.7156, Validation Loss: 1.4773
Epoch 13/1000, Train Loss: 1.7691, Validation Loss: 1.7344
Epoch 14/1000, Train Loss: 1.3378, Validation Loss: 2.3370
Epoch 15/1000, Train Loss: 1.6213, Validation Loss: 7.8880
Epoch 16/1000, Train Loss: 25.6070, Validation Loss: 2.6542
Epoch 17/1000, Train Loss: 1.2128, Validation Loss: 2.3577
Epoch 18/1000, Train Loss: 1.3722, Validation Loss: 2.3844
Epoch 19/1000, Train Loss: 63.6973, Validation Loss: 1.2578
Epoch 20/1000, Train Loss: 1.1870, Validation Loss: 1.9363
Epoch 21/1000, Train Loss: 620.6952, Validation Loss: 3.1346
Epoch 22/1000, Train Loss: 1.1280, Validation Loss: 6.0276
Epoch 23/1000, Train Loss: 1.3782, Validation Loss: 12351.3782
Epoch 24/1000, Train Loss: 6.6952, Validation Loss: 1.3425
Epoch 25/1000, Train Loss: 4.5884, Validation Loss: 1.2503
Epoch 26/1000, Train Loss: 1.9671, Validation Loss: 6.7275
Epoch 27/1000, Train Loss: 733.2805, Validation Loss: 1.1941
Epoch 28/1000, Train Loss: 2.0912, Validation Loss: 3.6673
Epoch 29/1000, Train Loss: 1.2562, Validation Loss: 1.6323
Epoch 30/1000, Train Loss: 1.2689, Validation Loss: 1.0258
Epoch 31/1000, Train Loss: 30.8559, Validation Loss: 416.0661
Epoch 32/1000, Train Loss: 313.0748, Validation Loss: 1.0963
Epoch 33/1000, Train Loss: 1.2087, Validation Loss: 2.2633
Epoch 34/1000, Train Loss: 1.1189, Validation Loss: 1.0773
Epoch 35/1000, Train Loss: 38.4873, Validation Loss: 2.0772
Epoch 36/1000, Train Loss: 6297.2965, Validation Loss: 1.3804
Epoch 37/1000, Train Loss: 1.2870, Validation Loss: 1.6814
Epoch 38/1000, Train Loss: 1.2782, Validation Loss: 1.9945
Epoch 39/1000, Train Loss: 8.3238, Validation Loss: 3.1078
Epoch 40/1000, Train Loss: 4.6398, Validation Loss: 57.8837
Epoch 41/1000, Train Loss: 2.4108, Validation Loss: 1.4288
Epoch 42/1000, Train Loss: 1.2158, Validation Loss: 2.6142
Epoch 43/1000, Train Loss: 2.5508, Validation Loss: 1.7388
Epoch 44/1000, Train Loss: 120.1888, Validation Loss: 1.3806
Epoch 45/1000, Train Loss: 129.2299, Validation Loss: 1.2898
Epoch 46/1000, Train Loss: 1.1875, Validation Loss: 1.5874
Epoch 47/1000, Train Loss: 2.7993, Validation Loss: 2.9801
Epoch 48/1000, Train Loss: 1.4862, Validation Loss: 2.6178
Epoch 49/1000, Train Loss: 2.2744, Validation Loss: 2.7594
Epoch 50/1000, Train Loss: 2.3417, Validation Loss: 623.2150
Epoch 51/1000, Train Loss: 2.1429, Validation Loss: 2.3230
Epoch 52/1000, Train Loss: 1.0913, Validation Loss: 1.4799
Epoch 53/1000, Train Loss: 1.1011, Validation Loss: 2.2342
Epoch 54/1000, Train Loss: 1.0620, Validation Loss: 2.1165
Epoch 55/1000, Train Loss: 5.5741, Validation Loss: 3.3087
Epoch 56/1000, Train Loss: 1.2027, Validation Loss: 2.2779
Epoch 57/1000, Train Loss: 1.7779, Validation Loss: 3.0522
Epoch 58/1000, Train Loss: 8.3119, Validation Loss: 4.5401
Epoch 59/1000, Train Loss: 295.7819, Validation Loss: 54.9330
Epoch 60/1000, Train Loss: 1.4135, Validation Loss: 5.7055
Epoch 61/1000, Train Loss: 1.1634, Validation Loss: 142.6891
Epoch 62/1000, Train Loss: 17.8894, Validation Loss: 3.0490
Epoch 63/1000, Train Loss: 45.1787, Validation Loss: 2.7625
Epoch 64/1000, Train Loss: 1.4461, Validation Loss: 35.5393
Epoch 65/1000, Train Loss: 1.0703, Validation Loss: 18.3606
Epoch 66/1000, Train Loss: 88.7656, Validation Loss: 2.5466
Epoch 67/1000, Train Loss: 1.2234, Validation Loss: 1.7204
Epoch 68/1000, Train Loss: 1.0692, Validation Loss: 3.6345
Epoch 69/1000, Train Loss: 2.9649, Validation Loss: 11.8787
Epoch 70/1000, Train Loss: 1.4402, Validation Loss: 5.7041
Epoch 71/1000, Train Loss: 1.6093, Validation Loss: 7.3528
Epoch 72/1000, Train Loss: 1.4750, Validation Loss: 1.2163
Epoch 73/1000, Train Loss: 1.1495, Validation Loss: 7.3670
Epoch 74/1000, Train Loss: 1.1552, Validation Loss: 28.9479
Epoch 75/1000, Train Loss: 1.6904, Validation Loss: 5.2801
Epoch 76/1000, Train Loss: 15.5735, Validation Loss: 2.6912
Epoch 77/1000, Train Loss: 1.1155, Validation Loss: 2.6719
Epoch 78/1000, Train Loss: 407.0132, Validation Loss: 1.6979
Epoch 79/1000, Train Loss: 3.7650, Validation Loss: 3.0137
Epoch 80/1000, Train Loss: 1.0372, Validation Loss: 0.9288
Epoch 81/1000, Train Loss: 1.1400, Validation Loss: 1.0462
Epoch 82/1000, Train Loss: 1.1621, Validation Loss: 1.7420
Epoch 83/1000, Train Loss: 1.6950, Validation Loss: 1.5964
Epoch 84/1000, Train Loss: 4.4699, Validation Loss: 1.4068
Epoch 85/1000, Train Loss: 1.2868, Validation Loss: 1.4058
Epoch 86/1000, Train Loss: 955.0707, Validation Loss: 9.2143
Epoch 87/1000, Train Loss: 6.9272, Validation Loss: 5.5903
Epoch 88/1000, Train Loss: 1.0776, Validation Loss: 2.4078
Epoch 89/1000, Train Loss: 49.2948, Validation Loss: 1.1863
Epoch 90/1000, Train Loss: 29648.5901, Validation Loss: 33.3893
Epoch 91/1000, Train Loss: 1.0755, Validation Loss: 3.0907
