Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-977sgcrb
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6962, Validation Loss: 1.7515
Epoch 2/1000, Train Loss: 1.6793, Validation Loss: 1.8196
Epoch 3/1000, Train Loss: 1.5535, Validation Loss: 1.6081
Epoch 4/1000, Train Loss: 1.5424, Validation Loss: 4.6566
Epoch 5/1000, Train Loss: 1.3648, Validation Loss: 1.6199
Epoch 6/1000, Train Loss: 1.2643, Validation Loss: 1.2192
Epoch 7/1000, Train Loss: 1.2180, Validation Loss: 2.8707
Epoch 8/1000, Train Loss: 1.1835, Validation Loss: 3.6322
Epoch 9/1000, Train Loss: 1.0764, Validation Loss: 2.1720
Epoch 10/1000, Train Loss: 1.0542, Validation Loss: 1.6523
Epoch 11/1000, Train Loss: 1.0447, Validation Loss: 1.4265
Epoch 12/1000, Train Loss: 1.0118, Validation Loss: 1.7644
Epoch 13/1000, Train Loss: 0.9944, Validation Loss: 2.4809
Epoch 14/1000, Train Loss: 1.0607, Validation Loss: 2.8729
Epoch 15/1000, Train Loss: 1.0105, Validation Loss: 1.7475
Epoch 16/1000, Train Loss: 1.0076, Validation Loss: 1.7917
Epoch 17/1000, Train Loss: 1.0004, Validation Loss: 1.6766
Epoch 18/1000, Train Loss: 0.9242, Validation Loss: 1.3062
Epoch 19/1000, Train Loss: 0.9669, Validation Loss: 1.6161
Epoch 20/1000, Train Loss: 0.8893, Validation Loss: 1.7455
Epoch 21/1000, Train Loss: 0.8540, Validation Loss: 1.1711
Epoch 22/1000, Train Loss: 0.8396, Validation Loss: 2.4377
Epoch 23/1000, Train Loss: 0.9068, Validation Loss: 0.9362
Epoch 24/1000, Train Loss: 0.8384, Validation Loss: 1.7285
Epoch 25/1000, Train Loss: 0.8162, Validation Loss: 2.6708
Epoch 26/1000, Train Loss: 0.7822, Validation Loss: 3.3375
Epoch 27/1000, Train Loss: 0.7947, Validation Loss: 0.7914
Epoch 28/1000, Train Loss: 0.7642, Validation Loss: 1.0084
Epoch 29/1000, Train Loss: 0.7515, Validation Loss: 1.7152
Epoch 30/1000, Train Loss: 0.7459, Validation Loss: 1.2993
Epoch 31/1000, Train Loss: 0.7255, Validation Loss: 2.8850
