Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-15qig22g
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.2516, Validation Loss: 1.2357
Epoch 2/1000, Train Loss: 1.3672, Validation Loss: 1.3558
Epoch 3/1000, Train Loss: 1.2952, Validation Loss: 1.7742
Epoch 4/1000, Train Loss: 1.2353, Validation Loss: 1.4541
Epoch 5/1000, Train Loss: 1.1997, Validation Loss: 2.9025
Epoch 6/1000, Train Loss: 1.1425, Validation Loss: 1.8779
Epoch 7/1000, Train Loss: 1.0933, Validation Loss: 1.0616
Epoch 8/1000, Train Loss: 1.0353, Validation Loss: 1.8672
Epoch 9/1000, Train Loss: 1.0158, Validation Loss: 1.4464
Epoch 10/1000, Train Loss: 0.9780, Validation Loss: 0.8726
Epoch 11/1000, Train Loss: 0.9662, Validation Loss: 1.2906
Epoch 12/1000, Train Loss: 0.9530, Validation Loss: 1.7259
Epoch 13/1000, Train Loss: 0.9386, Validation Loss: 2.1650
Epoch 14/1000, Train Loss: 0.9524, Validation Loss: 3.4159
Epoch 15/1000, Train Loss: 0.9218, Validation Loss: 0.9191
Epoch 16/1000, Train Loss: 0.9057, Validation Loss: 1.3574
Epoch 17/1000, Train Loss: 0.9098, Validation Loss: 2.2940
Epoch 18/1000, Train Loss: 0.8753, Validation Loss: 0.9419
Epoch 19/1000, Train Loss: 0.8529, Validation Loss: 0.7647
Epoch 20/1000, Train Loss: 0.8458, Validation Loss: 1.5413
Epoch 21/1000, Train Loss: 0.8193, Validation Loss: 1.1645
Epoch 22/1000, Train Loss: 0.8149, Validation Loss: 3.0657
Epoch 23/1000, Train Loss: 0.8039, Validation Loss: 1.0893
Epoch 24/1000, Train Loss: 0.7769, Validation Loss: 1.3238
Epoch 25/1000, Train Loss: 0.8705, Validation Loss: 1.9622
Epoch 26/1000, Train Loss: 0.7853, Validation Loss: 1.1912
Epoch 27/1000, Train Loss: 0.7964, Validation Loss: 0.9455
Epoch 28/1000, Train Loss: 0.7861, Validation Loss: 1.2290
Epoch 29/1000, Train Loss: 0.7630, Validation Loss: 0.8556
Epoch 30/1000, Train Loss: 0.7588, Validation Loss: 1.6828
Epoch 31/1000, Train Loss: 0.7656, Validation Loss: 0.7119
Epoch 32/1000, Train Loss: 0.7117, Validation Loss: 0.6516
Epoch 33/1000, Train Loss: 0.7304, Validation Loss: 0.7807
Epoch 34/1000, Train Loss: 0.6939, Validation Loss: 0.8408
Epoch 35/1000, Train Loss: 0.6923, Validation Loss: 1.4661
