Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-xyh3wmvg
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.0588, Validation Loss: 1.8675
Epoch 2/1000, Train Loss: 2.1035, Validation Loss: 1.6781
Epoch 3/1000, Train Loss: 1.6817, Validation Loss: 1.6853
Epoch 4/1000, Train Loss: 1.6204, Validation Loss: 2.3566
Epoch 5/1000, Train Loss: 1.6427, Validation Loss: 3.3180
Epoch 6/1000, Train Loss: 1.6106, Validation Loss: 2.3783
Epoch 7/1000, Train Loss: 1.3966, Validation Loss: 3.0941
Epoch 8/1000, Train Loss: 1.2422, Validation Loss: 3.8195
Epoch 9/1000, Train Loss: 1.2140, Validation Loss: 1.5826
Epoch 10/1000, Train Loss: 1.1513, Validation Loss: 2.1230
Epoch 11/1000, Train Loss: 1.1506, Validation Loss: 1.1539
Epoch 12/1000, Train Loss: 1.1758, Validation Loss: 2.1001
Epoch 13/1000, Train Loss: 1.0695, Validation Loss: 1.0383
Epoch 14/1000, Train Loss: 1.0795, Validation Loss: 2.2173
Epoch 15/1000, Train Loss: 1.0581, Validation Loss: 2.1226
Epoch 16/1000, Train Loss: 1.0137, Validation Loss: 2.2225
Epoch 17/1000, Train Loss: 1.0216, Validation Loss: 5.5458
Epoch 18/1000, Train Loss: 1.0486, Validation Loss: 2.0738
Epoch 19/1000, Train Loss: 1.0149, Validation Loss: 2.6343
Epoch 20/1000, Train Loss: 0.9865, Validation Loss: 1.8635
Epoch 21/1000, Train Loss: 0.9841, Validation Loss: 1.0095
Epoch 22/1000, Train Loss: 0.9578, Validation Loss: 1.9092
Epoch 23/1000, Train Loss: 0.9503, Validation Loss: 0.9458
Epoch 24/1000, Train Loss: 0.9308, Validation Loss: 1.8412
Epoch 25/1000, Train Loss: 0.9146, Validation Loss: 3.0762
Epoch 26/1000, Train Loss: 0.9149, Validation Loss: 2.1657
Epoch 27/1000, Train Loss: 0.8948, Validation Loss: 4.2382
Epoch 28/1000, Train Loss: 0.9257, Validation Loss: 0.9006
Epoch 29/1000, Train Loss: 0.8793, Validation Loss: 2.8320
Epoch 30/1000, Train Loss: 0.8915, Validation Loss: 0.8383
Epoch 31/1000, Train Loss: 0.8869, Validation Loss: 1.9565
Epoch 32/1000, Train Loss: 0.8837, Validation Loss: 0.8002
Epoch 33/1000, Train Loss: 0.8588, Validation Loss: 1.6634
Epoch 34/1000, Train Loss: 0.8475, Validation Loss: 0.8088
Epoch 35/1000, Train Loss: 0.8551, Validation Loss: 3.1473
Epoch 36/1000, Train Loss: 0.8491, Validation Loss: 0.9699
Epoch 37/1000, Train Loss: 0.8172, Validation Loss: 2.4075
Epoch 38/1000, Train Loss: 0.8448, Validation Loss: 0.9126
Epoch 39/1000, Train Loss: 0.8073, Validation Loss: 0.8893
Epoch 40/1000, Train Loss: 0.7850, Validation Loss: 6.4216
Epoch 41/1000, Train Loss: 1.7837, Validation Loss: 0.9031
