Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-baz0luuz
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.7570, Validation Loss: 2.1308
Epoch 2/1000, Train Loss: 1.3668, Validation Loss: 1.9385
Epoch 3/1000, Train Loss: 1.1823, Validation Loss: 2.0509
Epoch 4/1000, Train Loss: 1.1079, Validation Loss: 1.0702
Epoch 5/1000, Train Loss: 1.1290, Validation Loss: 8.2568
Epoch 6/1000, Train Loss: 1.0316, Validation Loss: 1.4726
Epoch 7/1000, Train Loss: 1.0198, Validation Loss: 2.2564
Epoch 8/1000, Train Loss: 1.0070, Validation Loss: 2.3023
Epoch 9/1000, Train Loss: 0.9655, Validation Loss: 2.2900
Epoch 10/1000, Train Loss: 0.9885, Validation Loss: 2.1245
Epoch 11/1000, Train Loss: 1.0129, Validation Loss: 1.1576
Epoch 12/1000, Train Loss: 0.9687, Validation Loss: 3.3518
Epoch 13/1000, Train Loss: 0.9852, Validation Loss: 1.2976
Epoch 14/1000, Train Loss: 0.9302, Validation Loss: 1.5290
Epoch 15/1000, Train Loss: 0.9011, Validation Loss: 1.5463
Epoch 16/1000, Train Loss: 0.9263, Validation Loss: 2.0610
Epoch 17/1000, Train Loss: 0.9118, Validation Loss: 1.6186
Epoch 18/1000, Train Loss: 0.8514, Validation Loss: 2.5135
Epoch 19/1000, Train Loss: 0.8538, Validation Loss: 1.1773
Epoch 20/1000, Train Loss: 0.8772, Validation Loss: 1.2819
Epoch 21/1000, Train Loss: 0.8341, Validation Loss: 3.0575
Epoch 22/1000, Train Loss: 0.8383, Validation Loss: 1.4433
Epoch 23/1000, Train Loss: 0.8298, Validation Loss: 3.8692
Epoch 24/1000, Train Loss: 0.8043, Validation Loss: 1.3018
Epoch 25/1000, Train Loss: 0.7301, Validation Loss: 1.5082
Epoch 26/1000, Train Loss: 0.7865, Validation Loss: 2.1493
Epoch 27/1000, Train Loss: 0.7735, Validation Loss: 0.9937
Epoch 28/1000, Train Loss: 1394.7563, Validation Loss: 5645.9377
Epoch 29/1000, Train Loss: 0.8345, Validation Loss: 2.9906
Epoch 30/1000, Train Loss: 0.7132, Validation Loss: 2.5220
Epoch 31/1000, Train Loss: 0.7484, Validation Loss: 2.0223
Epoch 32/1000, Train Loss: 0.7123, Validation Loss: 1.2579
Epoch 33/1000, Train Loss: 0.7044, Validation Loss: 1.3892
Epoch 34/1000, Train Loss: 0.6990, Validation Loss: 1.4793
Epoch 35/1000, Train Loss: 0.7011, Validation Loss: 1.2754
