Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-m0k5y6ro
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.1717, Validation Loss: 3.0843
Epoch 2/1000, Train Loss: 1.7021, Validation Loss: 2.2155
Epoch 3/1000, Train Loss: 1.6230, Validation Loss: 2.7170
Epoch 4/1000, Train Loss: 1.4447, Validation Loss: 2.2002
Epoch 5/1000, Train Loss: 1.3520, Validation Loss: 5.3435
Epoch 6/1000, Train Loss: 1.3662, Validation Loss: 1.1027
Epoch 7/1000, Train Loss: 1.2595, Validation Loss: 3.6844
Epoch 8/1000, Train Loss: 1.1357, Validation Loss: 1.1957
Epoch 9/1000, Train Loss: 1.1159, Validation Loss: 1.5888
Epoch 10/1000, Train Loss: 1.0846, Validation Loss: 0.9893
Epoch 11/1000, Train Loss: 1.0892, Validation Loss: 1.2166
Epoch 12/1000, Train Loss: 1.0886, Validation Loss: 1.9999
Epoch 13/1000, Train Loss: 0.9926, Validation Loss: 3.5184
Epoch 14/1000, Train Loss: 0.9936, Validation Loss: 1.1913
Epoch 15/1000, Train Loss: 0.9809, Validation Loss: 1.9294
Epoch 16/1000, Train Loss: 0.9601, Validation Loss: 1.7397
Epoch 17/1000, Train Loss: 0.9904, Validation Loss: 2.8007
Epoch 18/1000, Train Loss: 1.0197, Validation Loss: 1.2044
Epoch 19/1000, Train Loss: 0.9928, Validation Loss: 3.3770
Epoch 20/1000, Train Loss: 0.9691, Validation Loss: 0.8243
Epoch 21/1000, Train Loss: 0.9677, Validation Loss: 1.5074
Epoch 22/1000, Train Loss: 0.9119, Validation Loss: 1.2819
Epoch 23/1000, Train Loss: 0.9965, Validation Loss: 0.9491
Epoch 24/1000, Train Loss: 0.9395, Validation Loss: 0.7787
Epoch 25/1000, Train Loss: 0.9758, Validation Loss: 1.4304
Epoch 26/1000, Train Loss: 0.9118, Validation Loss: 2.3971
Epoch 27/1000, Train Loss: 0.9396, Validation Loss: 1.0207
Epoch 28/1000, Train Loss: 0.8836, Validation Loss: 1.0240
Epoch 29/1000, Train Loss: 0.8502, Validation Loss: 0.9175
