Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-5cc31rf0
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.9971, Validation Loss: 2.1537
Epoch 2/1000, Train Loss: 2.0350, Validation Loss: 3.8218
Epoch 3/1000, Train Loss: 1.6489, Validation Loss: 2.0175
Epoch 4/1000, Train Loss: 1.4896, Validation Loss: 2.0171
Epoch 5/1000, Train Loss: 1.3315, Validation Loss: 1.0845
Epoch 6/1000, Train Loss: 1.3581, Validation Loss: 4.4912
Epoch 7/1000, Train Loss: 1.2189, Validation Loss: 8.4376
Epoch 8/1000, Train Loss: 1.1677, Validation Loss: 4.8515
Epoch 9/1000, Train Loss: 1.2360, Validation Loss: 2.5981
Epoch 10/1000, Train Loss: 1.1378, Validation Loss: 3.8645
Epoch 11/1000, Train Loss: 1.1289, Validation Loss: 2.4209
Epoch 12/1000, Train Loss: 1.0840, Validation Loss: 2.6647
Epoch 13/1000, Train Loss: 1.0607, Validation Loss: 1.4406
Epoch 14/1000, Train Loss: 1.0338, Validation Loss: 1.6865
Epoch 15/1000, Train Loss: 1.0063, Validation Loss: 3.0522
Epoch 16/1000, Train Loss: 1.0055, Validation Loss: 5.8195
Epoch 17/1000, Train Loss: 0.9889, Validation Loss: 1.4801
Epoch 18/1000, Train Loss: 0.9375, Validation Loss: 2.6453
Epoch 19/1000, Train Loss: 1.0082, Validation Loss: 1.9695
Epoch 20/1000, Train Loss: 1.0018, Validation Loss: 3.1921
Epoch 21/1000, Train Loss: 0.9012, Validation Loss: 1.0312
Epoch 22/1000, Train Loss: 0.9424, Validation Loss: 2.4001
Epoch 23/1000, Train Loss: 0.9217, Validation Loss: 4.0844
Epoch 24/1000, Train Loss: 0.9023, Validation Loss: 1.7091
Epoch 25/1000, Train Loss: 0.8986, Validation Loss: 1.0711
Epoch 26/1000, Train Loss: 0.8529, Validation Loss: 1.4707
Epoch 27/1000, Train Loss: 0.9151, Validation Loss: 2.1484
Epoch 28/1000, Train Loss: 0.8307, Validation Loss: 2.1663
Epoch 29/1000, Train Loss: 0.8511, Validation Loss: 1.4961
Epoch 30/1000, Train Loss: 0.8524, Validation Loss: 1.2937
Epoch 31/1000, Train Loss: 0.8554, Validation Loss: 1.0664
Epoch 32/1000, Train Loss: 0.8187, Validation Loss: 1.5340
Epoch 33/1000, Train Loss: 0.8605, Validation Loss: 2.4409
Epoch 34/1000, Train Loss: 0.8461, Validation Loss: 1.5289
Epoch 35/1000, Train Loss: 0.8258, Validation Loss: 2.3557
Epoch 36/1000, Train Loss: 0.8244, Validation Loss: 1.8561
Epoch 37/1000, Train Loss: 0.7718, Validation Loss: 1.3951
Epoch 38/1000, Train Loss: 0.8027, Validation Loss: 2.0958
Epoch 39/1000, Train Loss: 0.8135, Validation Loss: 1.8835
Epoch 40/1000, Train Loss: 0.7703, Validation Loss: 3.2993
Epoch 41/1000, Train Loss: 0.7768, Validation Loss: 1.0926
Epoch 42/1000, Train Loss: 0.7806, Validation Loss: 2.7609
Epoch 43/1000, Train Loss: 0.7617, Validation Loss: 0.9852
Epoch 44/1000, Train Loss: 0.8095, Validation Loss: 1.3251
Epoch 45/1000, Train Loss: 0.7751, Validation Loss: 0.9070
Epoch 46/1000, Train Loss: 0.8215, Validation Loss: 1.6035
Epoch 47/1000, Train Loss: 0.7917, Validation Loss: 3.9579
Epoch 48/1000, Train Loss: 0.7746, Validation Loss: 1.0636
Epoch 49/1000, Train Loss: 0.7185, Validation Loss: 0.9028
Epoch 50/1000, Train Loss: 0.7357, Validation Loss: 0.7359
Epoch 51/1000, Train Loss: 0.7450, Validation Loss: 1.9316
Epoch 52/1000, Train Loss: 0.7773, Validation Loss: 3.1846
Epoch 53/1000, Train Loss: 0.7530, Validation Loss: 1.0500
Epoch 54/1000, Train Loss: 0.7510, Validation Loss: 1.3890
Epoch 55/1000, Train Loss: 0.7149, Validation Loss: 1.0421
Epoch 56/1000, Train Loss: 0.6944, Validation Loss: 0.7440
Epoch 57/1000, Train Loss: 0.6992, Validation Loss: 1.4876
Epoch 58/1000, Train Loss: 0.7304, Validation Loss: 2.2490
Epoch 59/1000, Train Loss: 0.6877, Validation Loss: 1.1208
Epoch 60/1000, Train Loss: 0.7057, Validation Loss: 1.0535
Epoch 61/1000, Train Loss: 0.7388, Validation Loss: 0.7687
Epoch 62/1000, Train Loss: 0.7184, Validation Loss: 1.2900
Epoch 63/1000, Train Loss: 0.7407, Validation Loss: 0.9805
Epoch 64/1000, Train Loss: 0.6883, Validation Loss: 1.6307
Epoch 65/1000, Train Loss: 0.7014, Validation Loss: 1.0951
Epoch 66/1000, Train Loss: 0.6726, Validation Loss: 0.8688
Epoch 67/1000, Train Loss: 0.6932, Validation Loss: 1.4106
Epoch 68/1000, Train Loss: 0.6758, Validation Loss: 0.9627
Epoch 69/1000, Train Loss: 0.6726, Validation Loss: 0.6857
Epoch 70/1000, Train Loss: 0.6671, Validation Loss: 2.2654
Epoch 71/1000, Train Loss: 0.7730, Validation Loss: 0.6763
Epoch 72/1000, Train Loss: 0.6527, Validation Loss: 0.7066
Epoch 73/1000, Train Loss: 0.6538, Validation Loss: 0.7326
Epoch 74/1000, Train Loss: 0.6355, Validation Loss: 0.7030
Epoch 75/1000, Train Loss: 0.6837, Validation Loss: 0.5915
Epoch 76/1000, Train Loss: 0.6377, Validation Loss: 2.5325
Epoch 77/1000, Train Loss: 0.6454, Validation Loss: 0.9709
Epoch 78/1000, Train Loss: 0.6361, Validation Loss: 0.7595
Epoch 79/1000, Train Loss: 0.6480, Validation Loss: 0.7013
Epoch 80/1000, Train Loss: 0.6798, Validation Loss: 1.0814
Epoch 81/1000, Train Loss: 0.6494, Validation Loss: 1.3320
Epoch 82/1000, Train Loss: 0.6334, Validation Loss: 0.5908
Epoch 83/1000, Train Loss: 0.6689, Validation Loss: 1.0324
Epoch 84/1000, Train Loss: 0.6720, Validation Loss: 1.7634
Epoch 85/1000, Train Loss: 0.6673, Validation Loss: 0.7551
Epoch 86/1000, Train Loss: 0.6549, Validation Loss: 1.0662
Epoch 87/1000, Train Loss: 0.6596, Validation Loss: 0.7095
Epoch 88/1000, Train Loss: 0.6844, Validation Loss: 1.3785
Epoch 89/1000, Train Loss: 0.6534, Validation Loss: 1.8248
Epoch 90/1000, Train Loss: 0.6284, Validation Loss: 1.1623
Epoch 91/1000, Train Loss: 0.6607, Validation Loss: 0.7186
Epoch 92/1000, Train Loss: 0.6573, Validation Loss: 1.2440
Epoch 93/1000, Train Loss: 0.6600, Validation Loss: 1.1921
Epoch 94/1000, Train Loss: 0.6293, Validation Loss: 2.4393
Epoch 95/1000, Train Loss: 0.6043, Validation Loss: 1.6052
Epoch 96/1000, Train Loss: 0.6251, Validation Loss: 1.1226
Epoch 97/1000, Train Loss: 0.6251, Validation Loss: 3.7788
Epoch 98/1000, Train Loss: 0.7046, Validation Loss: 7.8590
Epoch 99/1000, Train Loss: 0.6339, Validation Loss: 1.7544
Epoch 100/1000, Train Loss: 0.6207, Validation Loss: 0.9807
Epoch 101/1000, Train Loss: 0.6221, Validation Loss: 1.7903
Epoch 102/1000, Train Loss: 0.6218, Validation Loss: 1.1549
