Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-iaa5mwzm
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.5453, Validation Loss: 1.3903
Epoch 2/1000, Train Loss: 1.5130, Validation Loss: 1.8824
Epoch 3/1000, Train Loss: 1.3441, Validation Loss: 1.8516
Epoch 4/1000, Train Loss: 1.2426, Validation Loss: 5.0207
Epoch 5/1000, Train Loss: 1.1964, Validation Loss: 1.3659
Epoch 6/1000, Train Loss: 1.1676, Validation Loss: 2.6201
Epoch 7/1000, Train Loss: 1.1010, Validation Loss: 2.9936
Epoch 8/1000, Train Loss: 1.0751, Validation Loss: 2.9135
Epoch 9/1000, Train Loss: 2.1471, Validation Loss: 1.0985
Epoch 10/1000, Train Loss: 1.0055, Validation Loss: 1.5591
Epoch 11/1000, Train Loss: 0.9803, Validation Loss: 0.9676
Epoch 12/1000, Train Loss: 0.9587, Validation Loss: 1.4025
Epoch 13/1000, Train Loss: 0.9427, Validation Loss: 1.2581
Epoch 14/1000, Train Loss: 0.9411, Validation Loss: 2.9203
Epoch 15/1000, Train Loss: 1.5460, Validation Loss: 1.0728
Epoch 16/1000, Train Loss: 0.9180, Validation Loss: 2.5838
Epoch 17/1000, Train Loss: 0.9435, Validation Loss: 1.8469
Epoch 18/1000, Train Loss: 0.8976, Validation Loss: 1.9598
Epoch 19/1000, Train Loss: 0.9027, Validation Loss: 1.9070
Epoch 20/1000, Train Loss: 0.9632, Validation Loss: 0.8949
Epoch 21/1000, Train Loss: 0.8796, Validation Loss: 1.0348
Epoch 22/1000, Train Loss: 0.8692, Validation Loss: 1.5332
Epoch 23/1000, Train Loss: 0.8710, Validation Loss: 1.4586
Epoch 24/1000, Train Loss: 14.1061, Validation Loss: 0.9706
Epoch 25/1000, Train Loss: 0.9013, Validation Loss: 2.0754
Epoch 26/1000, Train Loss: 0.8436, Validation Loss: 1.1743
Epoch 27/1000, Train Loss: 0.8638, Validation Loss: 1.1352
Epoch 28/1000, Train Loss: 0.8482, Validation Loss: 3.0614
Epoch 29/1000, Train Loss: 0.9488, Validation Loss: 1.4845
Epoch 30/1000, Train Loss: 0.8376, Validation Loss: 0.7457
Epoch 31/1000, Train Loss: 0.8231, Validation Loss: 2.7412
Epoch 32/1000, Train Loss: 0.7928, Validation Loss: 3.1772
Epoch 33/1000, Train Loss: 0.8028, Validation Loss: 2.4521
Epoch 34/1000, Train Loss: 0.7679, Validation Loss: 3.9246
Epoch 35/1000, Train Loss: 0.7538, Validation Loss: 2.0899
