Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-cobv0vm4
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.6196, Validation Loss: 2.8012
Epoch 2/1000, Train Loss: 1.4784, Validation Loss: 3.7502
Epoch 3/1000, Train Loss: 1.3763, Validation Loss: 3.3356
Epoch 4/1000, Train Loss: 1.3927, Validation Loss: 3.1987
Epoch 5/1000, Train Loss: 1.2258, Validation Loss: 1.5360
Epoch 6/1000, Train Loss: 1.1584, Validation Loss: 1.6156
Epoch 7/1000, Train Loss: 1.0875, Validation Loss: 2.1372
Epoch 8/1000, Train Loss: 1.0810, Validation Loss: 3.5959
Epoch 9/1000, Train Loss: 1.0327, Validation Loss: 1.1318
Epoch 10/1000, Train Loss: 1.0222, Validation Loss: 2.5491
Epoch 11/1000, Train Loss: 1.0059, Validation Loss: 2.1775
Epoch 12/1000, Train Loss: 0.9903, Validation Loss: 1.8577
Epoch 13/1000, Train Loss: 0.9645, Validation Loss: 1.9612
Epoch 14/1000, Train Loss: 0.9315, Validation Loss: 1.5895
Epoch 15/1000, Train Loss: 0.8788, Validation Loss: 1.4584
Epoch 16/1000, Train Loss: 0.8721, Validation Loss: 0.7744
Epoch 17/1000, Train Loss: 0.8638, Validation Loss: 0.9223
Epoch 18/1000, Train Loss: 0.8553, Validation Loss: 0.9138
Epoch 19/1000, Train Loss: 0.8296, Validation Loss: 0.7513
Epoch 20/1000, Train Loss: 0.7825, Validation Loss: 2.4380
Epoch 21/1000, Train Loss: 0.7716, Validation Loss: 0.7353
Epoch 22/1000, Train Loss: 0.7958, Validation Loss: 0.8716
Epoch 23/1000, Train Loss: 0.7753, Validation Loss: 1.0329
Epoch 24/1000, Train Loss: 0.7329, Validation Loss: 0.8055
Epoch 25/1000, Train Loss: 1.1497, Validation Loss: 1.2571
Epoch 26/1000, Train Loss: 0.7521, Validation Loss: 2.3305
Epoch 27/1000, Train Loss: 0.7424, Validation Loss: 1.6918
Epoch 28/1000, Train Loss: 0.7221, Validation Loss: 2.6430
Epoch 29/1000, Train Loss: 0.7003, Validation Loss: 2.6257
Epoch 30/1000, Train Loss: 0.6948, Validation Loss: 1.3465
Epoch 31/1000, Train Loss: 0.7145, Validation Loss: 5.3337
Epoch 32/1000, Train Loss: 0.6910, Validation Loss: 1.4241
Epoch 33/1000, Train Loss: 0.6803, Validation Loss: 1.3069
Epoch 34/1000, Train Loss: 0.6721, Validation Loss: 1.0297
Epoch 35/1000, Train Loss: 0.6842, Validation Loss: 0.7324
Epoch 36/1000, Train Loss: 0.6653, Validation Loss: 1.0302
Epoch 37/1000, Train Loss: 0.6540, Validation Loss: 4.4839
Epoch 38/1000, Train Loss: 0.6609, Validation Loss: 4.7970
Epoch 39/1000, Train Loss: 0.6536, Validation Loss: 0.8037
Epoch 40/1000, Train Loss: 0.6625, Validation Loss: 1.5347
Epoch 41/1000, Train Loss: 0.6645, Validation Loss: 2.2379
Epoch 42/1000, Train Loss: 0.6312, Validation Loss: 1.6377
Epoch 43/1000, Train Loss: 0.6424, Validation Loss: 1.0270
Epoch 44/1000, Train Loss: 0.8139, Validation Loss: 2.1500
Epoch 45/1000, Train Loss: 0.6446, Validation Loss: 1.6577
Epoch 46/1000, Train Loss: 0.6372, Validation Loss: 0.9694
Epoch 47/1000, Train Loss: 0.6393, Validation Loss: 1.6264
Epoch 48/1000, Train Loss: 0.6275, Validation Loss: 2.7254
Epoch 49/1000, Train Loss: 1.0880, Validation Loss: 0.6907
Epoch 50/1000, Train Loss: 0.6203, Validation Loss: 1.9401
Epoch 51/1000, Train Loss: 0.6202, Validation Loss: 0.6827
Epoch 52/1000, Train Loss: 0.6222, Validation Loss: 2.5743
Epoch 53/1000, Train Loss: 0.6071, Validation Loss: 1.0769
Epoch 54/1000, Train Loss: 0.6047, Validation Loss: 0.6747
Epoch 55/1000, Train Loss: 0.6208, Validation Loss: 0.7692
Epoch 56/1000, Train Loss: 0.6198, Validation Loss: 4.1779
Epoch 57/1000, Train Loss: 0.6153, Validation Loss: 1.8106
Epoch 58/1000, Train Loss: 0.6149, Validation Loss: 1.1702
Epoch 59/1000, Train Loss: 0.6125, Validation Loss: 0.8041
Epoch 60/1000, Train Loss: 0.5954, Validation Loss: 0.7613
Epoch 61/1000, Train Loss: 0.6012, Validation Loss: 2.6116
Epoch 62/1000, Train Loss: 0.5908, Validation Loss: 3.4853
Epoch 63/1000, Train Loss: 0.5981, Validation Loss: 3.8425
Epoch 64/1000, Train Loss: 0.5894, Validation Loss: 1.3199
Epoch 65/1000, Train Loss: 0.5801, Validation Loss: 0.8298
Epoch 66/1000, Train Loss: 0.5872, Validation Loss: 0.6653
Epoch 67/1000, Train Loss: 0.5753, Validation Loss: 3.1043
Epoch 68/1000, Train Loss: 0.5858, Validation Loss: 1.9823
Epoch 69/1000, Train Loss: 0.5769, Validation Loss: 2.5408
Epoch 70/1000, Train Loss: 0.6320, Validation Loss: 1.0163
Epoch 71/1000, Train Loss: 0.5796, Validation Loss: 0.6518
Epoch 72/1000, Train Loss: 0.5790, Validation Loss: 1.1315
Epoch 73/1000, Train Loss: 0.5700, Validation Loss: 2.1074
Epoch 74/1000, Train Loss: 0.5846, Validation Loss: 1.4716
Epoch 75/1000, Train Loss: 0.5720, Validation Loss: 1.6854
Epoch 76/1000, Train Loss: 0.5686, Validation Loss: 0.7384
Epoch 77/1000, Train Loss: 0.5615, Validation Loss: 1.8613
Epoch 78/1000, Train Loss: 5.4024, Validation Loss: 0.8054
Epoch 79/1000, Train Loss: 0.5827, Validation Loss: 2.6501
Epoch 80/1000, Train Loss: 0.5709, Validation Loss: 1.7734
Epoch 81/1000, Train Loss: 0.5616, Validation Loss: 0.7151
Epoch 82/1000, Train Loss: 0.5591, Validation Loss: 1.0824
Epoch 83/1000, Train Loss: 0.5637, Validation Loss: 2.9703
Epoch 84/1000, Train Loss: 0.5640, Validation Loss: 0.9718
