Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-5it2ckah
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6933, Validation Loss: 1.7479
Epoch 2/1000, Train Loss: 2.3241, Validation Loss: 2.4871
Epoch 3/1000, Train Loss: 1.5781, Validation Loss: 1.5517
Epoch 4/1000, Train Loss: 1.5627, Validation Loss: 5.5086
Epoch 5/1000, Train Loss: 1.9061, Validation Loss: 3.5099
Epoch 6/1000, Train Loss: 1.6303, Validation Loss: 14.5954
Epoch 7/1000, Train Loss: 1.6242, Validation Loss: 4.2193
Epoch 8/1000, Train Loss: 1.4079, Validation Loss: 2.4382
Epoch 9/1000, Train Loss: 1.5283, Validation Loss: 3.8728
Epoch 10/1000, Train Loss: 1.4410, Validation Loss: 1.0452
Epoch 11/1000, Train Loss: 1.4081, Validation Loss: 2.4454
Epoch 12/1000, Train Loss: 1.2559, Validation Loss: 1.4004
Epoch 13/1000, Train Loss: 1.3967, Validation Loss: 5.1121
Epoch 14/1000, Train Loss: 1.5605, Validation Loss: 1.1912
Epoch 15/1000, Train Loss: 1.4300, Validation Loss: 1.5691
Epoch 16/1000, Train Loss: 1.3226, Validation Loss: 2.6255
Epoch 17/1000, Train Loss: 1.4758, Validation Loss: 8.4282
Epoch 18/1000, Train Loss: 1.1523, Validation Loss: 2.9675
Epoch 19/1000, Train Loss: 1.2056, Validation Loss: 1.3118
Epoch 20/1000, Train Loss: 1.2185, Validation Loss: 2.1706
Epoch 21/1000, Train Loss: 1.1918, Validation Loss: 1.9586
Epoch 22/1000, Train Loss: 1.1558, Validation Loss: 0.9431
Epoch 23/1000, Train Loss: 1.0938, Validation Loss: 2.1439
Epoch 24/1000, Train Loss: 1.1466, Validation Loss: 1.9893
Epoch 25/1000, Train Loss: 1.1482, Validation Loss: 2.9302
Epoch 26/1000, Train Loss: 1.1736, Validation Loss: 1.3097
Epoch 27/1000, Train Loss: 1.0188, Validation Loss: 2.8898
Epoch 28/1000, Train Loss: 1.0868, Validation Loss: 1.3424
Epoch 29/1000, Train Loss: 1.0456, Validation Loss: 1.9211
Epoch 30/1000, Train Loss: 1.0248, Validation Loss: 1.2072
Epoch 31/1000, Train Loss: 0.9652, Validation Loss: 1.7309
Epoch 32/1000, Train Loss: 0.9914, Validation Loss: 1.8968
Epoch 33/1000, Train Loss: 0.9665, Validation Loss: 4.9124
Epoch 34/1000, Train Loss: 1.0320, Validation Loss: 2.0204
Epoch 35/1000, Train Loss: 0.9704, Validation Loss: 4.9673
Epoch 36/1000, Train Loss: 0.9366, Validation Loss: 2.5279
Epoch 37/1000, Train Loss: 0.9557, Validation Loss: 1.8564
