Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-vgpt0hru
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 115.3158, Validation Loss: 2.2315
Epoch 2/1000, Train Loss: 2.0195, Validation Loss: 1.6647
Epoch 3/1000, Train Loss: 1.6748, Validation Loss: 2.6739
Epoch 4/1000, Train Loss: 1.4384, Validation Loss: 3.3100
Epoch 5/1000, Train Loss: 1.4485, Validation Loss: 1.1575
Epoch 6/1000, Train Loss: 1.4496, Validation Loss: 1.7192
Epoch 7/1000, Train Loss: 1.3569, Validation Loss: 1.6055
Epoch 8/1000, Train Loss: 1.3933, Validation Loss: 2.1629
Epoch 9/1000, Train Loss: 1.3021, Validation Loss: 1.5366
Epoch 10/1000, Train Loss: 1.2645, Validation Loss: 1.7739
Epoch 11/1000, Train Loss: 1.2746, Validation Loss: 2.7171
Epoch 12/1000, Train Loss: 1.4516, Validation Loss: 3.2903
Epoch 13/1000, Train Loss: 1.2999, Validation Loss: 7.9762
Epoch 14/1000, Train Loss: 2.1343, Validation Loss: 24.8324
Epoch 15/1000, Train Loss: 1.2692, Validation Loss: 1.6026
Epoch 16/1000, Train Loss: 1.7114, Validation Loss: 3.4791
Epoch 17/1000, Train Loss: 1.1967, Validation Loss: 3.0084
Epoch 18/1000, Train Loss: 1.1708, Validation Loss: 1.6246
Epoch 19/1000, Train Loss: 1.2729, Validation Loss: 2.5214
Epoch 20/1000, Train Loss: 1.1310, Validation Loss: 1.7666
Epoch 21/1000, Train Loss: 1.1134, Validation Loss: 0.9776
Epoch 22/1000, Train Loss: 1.3067, Validation Loss: 24.9660
Epoch 23/1000, Train Loss: 1.0893, Validation Loss: 1.5123
Epoch 24/1000, Train Loss: 1.1146, Validation Loss: 2.1156
Epoch 25/1000, Train Loss: 1.1251, Validation Loss: 2.1091
Epoch 26/1000, Train Loss: 1.1944, Validation Loss: 1.2482
Epoch 27/1000, Train Loss: 34.5545, Validation Loss: 2.5438
Epoch 28/1000, Train Loss: 2.2474, Validation Loss: 2.0396
Epoch 29/1000, Train Loss: 1.1289, Validation Loss: 0.8883
Epoch 30/1000, Train Loss: 85.8660, Validation Loss: 2.5560
Epoch 31/1000, Train Loss: 1.0863, Validation Loss: 1.9872
Epoch 32/1000, Train Loss: 1.1085, Validation Loss: 1.6263
Epoch 33/1000, Train Loss: 1.1392, Validation Loss: 4.6060
Epoch 34/1000, Train Loss: 1.0781, Validation Loss: 2.3702
Epoch 35/1000, Train Loss: 1.1075, Validation Loss: 10.5515
Epoch 36/1000, Train Loss: 1.0894, Validation Loss: 7.5048
Epoch 37/1000, Train Loss: 6.7410, Validation Loss: 0.9386
Epoch 38/1000, Train Loss: 1.2164, Validation Loss: 1.4513
Epoch 39/1000, Train Loss: 25.6601, Validation Loss: 4.6663
Epoch 40/1000, Train Loss: 1.3737, Validation Loss: 5.0386
Epoch 41/1000, Train Loss: 1.0118, Validation Loss: 1.3790
Epoch 42/1000, Train Loss: 1.0802, Validation Loss: 4.7201
Epoch 43/1000, Train Loss: 1.1638, Validation Loss: 1.0975
Epoch 44/1000, Train Loss: 1.0650, Validation Loss: 3.9070
Epoch 45/1000, Train Loss: 0.9761, Validation Loss: 0.9568
Epoch 46/1000, Train Loss: 0.9771, Validation Loss: 1.7317
Epoch 47/1000, Train Loss: 1.0099, Validation Loss: 2.8379
Epoch 48/1000, Train Loss: 0.9645, Validation Loss: 2.0185
Epoch 49/1000, Train Loss: 0.9178, Validation Loss: 1.8282
Epoch 50/1000, Train Loss: 25.4474, Validation Loss: 6.1969
Epoch 51/1000, Train Loss: 6.3197, Validation Loss: 6.2785
Epoch 52/1000, Train Loss: 6.2749, Validation Loss: 6.3981
Epoch 53/1000, Train Loss: 7.3131, Validation Loss: 6.7536
Epoch 54/1000, Train Loss: 6.2303, Validation Loss: 6.0649
Epoch 55/1000, Train Loss: 6.2544, Validation Loss: 6.1048
Epoch 56/1000, Train Loss: 6.2449, Validation Loss: 6.0635
Epoch 57/1000, Train Loss: 352.0821, Validation Loss: 6.0956
Epoch 58/1000, Train Loss: 6.2036, Validation Loss: 6.2701
Epoch 59/1000, Train Loss: 6.4225, Validation Loss: 6.0616
Epoch 60/1000, Train Loss: 6.2659, Validation Loss: 6.2569
Epoch 61/1000, Train Loss: 6.2659, Validation Loss: 6.0978
Epoch 62/1000, Train Loss: 7.1217, Validation Loss: 6.0828
Epoch 63/1000, Train Loss: 6.2358, Validation Loss: 6.2629
Epoch 64/1000, Train Loss: 11.5771, Validation Loss: 6.0638
Epoch 65/1000, Train Loss: 31.3051, Validation Loss: 7.7277
Epoch 66/1000, Train Loss: 6.3011, Validation Loss: 6.4185
Epoch 67/1000, Train Loss: 6.2036, Validation Loss: 6.0931
Epoch 68/1000, Train Loss: 22.3396, Validation Loss: 6.0756
Epoch 69/1000, Train Loss: 6.2269, Validation Loss: 6.1459
Epoch 70/1000, Train Loss: 6.2001, Validation Loss: 6.0673
Epoch 71/1000, Train Loss: 6.2199, Validation Loss: 6.0809
Epoch 72/1000, Train Loss: 108.5155, Validation Loss: 6.0739
Epoch 73/1000, Train Loss: 7.3406, Validation Loss: 6.0993
Epoch 74/1000, Train Loss: 6.2692, Validation Loss: 6.1338
Epoch 75/1000, Train Loss: 6.7036, Validation Loss: 6.0720
Epoch 76/1000, Train Loss: 9.3338, Validation Loss: 6.1739
