Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-sx2engan
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.4333, Validation Loss: 4.5445
Epoch 2/1000, Train Loss: 1.8521, Validation Loss: 5.3381
Epoch 3/1000, Train Loss: 4.6327, Validation Loss: 2.7699
Epoch 4/1000, Train Loss: 1.6285, Validation Loss: 2.2181
Epoch 5/1000, Train Loss: 2.8864, Validation Loss: 6.1606
Epoch 6/1000, Train Loss: 1.4838, Validation Loss: 2.2592
Epoch 7/1000, Train Loss: 11.1403, Validation Loss: 3.0320
Epoch 8/1000, Train Loss: 1.2868, Validation Loss: 3.6988
Epoch 9/1000, Train Loss: 1.9851, Validation Loss: 2.5956
Epoch 10/1000, Train Loss: 1.3499, Validation Loss: 4.4272
Epoch 11/1000, Train Loss: 35.8232, Validation Loss: 1.3899
Epoch 12/1000, Train Loss: 181.4321, Validation Loss: 615.0397
Epoch 13/1000, Train Loss: 132.2595, Validation Loss: 3.7105
Epoch 14/1000, Train Loss: 1.7872, Validation Loss: 2.5022
Epoch 15/1000, Train Loss: 2.5180, Validation Loss: 1.2278
Epoch 16/1000, Train Loss: 1.3808, Validation Loss: 1.8254
Epoch 17/1000, Train Loss: 65.3154, Validation Loss: 1.3532
Epoch 18/1000, Train Loss: 1.2177, Validation Loss: 10.1481
Epoch 19/1000, Train Loss: 1.1062, Validation Loss: 1.2704
Epoch 20/1000, Train Loss: 4.0574, Validation Loss: 2.0200
Epoch 21/1000, Train Loss: 1.8583, Validation Loss: 8.8510
Epoch 22/1000, Train Loss: 1.2718, Validation Loss: 1.6740
Epoch 23/1000, Train Loss: 1.1557, Validation Loss: 1.6610
Epoch 24/1000, Train Loss: 1.2455, Validation Loss: 2.2934
Epoch 25/1000, Train Loss: 244.7252, Validation Loss: 1.7945
Epoch 26/1000, Train Loss: 1.8826, Validation Loss: 328374.3101
Epoch 27/1000, Train Loss: 2.7572, Validation Loss: 2.1044
Epoch 28/1000, Train Loss: 1.2315, Validation Loss: 5.9959
Epoch 29/1000, Train Loss: 10.9773, Validation Loss: 3.1012
Epoch 30/1000, Train Loss: 1.2568, Validation Loss: 3.7210
Epoch 31/1000, Train Loss: 4.9872, Validation Loss: 3.1676
Epoch 32/1000, Train Loss: 1.7682, Validation Loss: 3.3211
Epoch 33/1000, Train Loss: 1.2147, Validation Loss: 5.6414
Epoch 34/1000, Train Loss: 1.2413, Validation Loss: 3.8935
Epoch 35/1000, Train Loss: 2.1604, Validation Loss: 10.9698
Epoch 36/1000, Train Loss: 2.5389, Validation Loss: 6.9725
Epoch 37/1000, Train Loss: 2.4786, Validation Loss: 3.2182
Epoch 38/1000, Train Loss: 1.4427, Validation Loss: 1.7305
Epoch 39/1000, Train Loss: 3.7676, Validation Loss: 7.5973
Epoch 40/1000, Train Loss: 1.1193, Validation Loss: 1.9246
Epoch 41/1000, Train Loss: 1.2251, Validation Loss: 5.2604
Epoch 42/1000, Train Loss: 1.8487, Validation Loss: 2.3758
Epoch 43/1000, Train Loss: 1.1274, Validation Loss: 1.2335
Epoch 44/1000, Train Loss: 1.4809, Validation Loss: 3.2157
Epoch 45/1000, Train Loss: 1.1562, Validation Loss: 2.4943
Epoch 46/1000, Train Loss: 2042.1399, Validation Loss: 5.1203
Epoch 47/1000, Train Loss: 32.7673, Validation Loss: 7.4308
Epoch 48/1000, Train Loss: 1.2041, Validation Loss: 4.9523
Epoch 49/1000, Train Loss: 1.1810, Validation Loss: 2.6888
Epoch 50/1000, Train Loss: 1.3076, Validation Loss: 1.9040
Epoch 51/1000, Train Loss: 1.4406, Validation Loss: 2.1467
Epoch 52/1000, Train Loss: 1.1730, Validation Loss: 2.7933
Epoch 53/1000, Train Loss: 1.2851, Validation Loss: 8.8821
Epoch 54/1000, Train Loss: 3.4907, Validation Loss: 1.1944
Epoch 55/1000, Train Loss: 1.0703, Validation Loss: 7.4491
Epoch 56/1000, Train Loss: 1.6144, Validation Loss: 4.3711
Epoch 57/1000, Train Loss: 1.5343, Validation Loss: 1.1409
Epoch 58/1000, Train Loss: 10.1434, Validation Loss: 4.0081
Epoch 59/1000, Train Loss: 1.1665, Validation Loss: 2.4794
Epoch 60/1000, Train Loss: 2282.5411, Validation Loss: 7.0522
Epoch 61/1000, Train Loss: 1.1652, Validation Loss: 5.4961
Epoch 62/1000, Train Loss: 1.0573, Validation Loss: 12.5878
Epoch 63/1000, Train Loss: 36.4945, Validation Loss: 2.5931
Epoch 64/1000, Train Loss: 1.2015, Validation Loss: 29.2905
Epoch 65/1000, Train Loss: 2.1659, Validation Loss: 2.7659
Epoch 66/1000, Train Loss: 1.1653, Validation Loss: 1.7214
Epoch 67/1000, Train Loss: 1.1858, Validation Loss: 4.7193
Epoch 68/1000, Train Loss: 1.1949, Validation Loss: 2802.9569
Epoch 69/1000, Train Loss: 1.0249, Validation Loss: 1.1951
Epoch 70/1000, Train Loss: 2.0666, Validation Loss: 3.8412
Epoch 71/1000, Train Loss: 1.3212, Validation Loss: 4.7634
Epoch 72/1000, Train Loss: 1.2066, Validation Loss: 2.5760
Epoch 73/1000, Train Loss: 32.2111, Validation Loss: 1.2457
Epoch 74/1000, Train Loss: 1.0515, Validation Loss: 2.2295
Epoch 75/1000, Train Loss: 1.2439, Validation Loss: 0.9030
Epoch 76/1000, Train Loss: 1.4462, Validation Loss: 3.3105
Epoch 77/1000, Train Loss: 2.0973, Validation Loss: 2.4772
Epoch 78/1000, Train Loss: 2.5478, Validation Loss: 15.4829
Epoch 79/1000, Train Loss: 1.0448, Validation Loss: 2.1886
Epoch 80/1000, Train Loss: 3.1689, Validation Loss: 0.9368
Epoch 81/1000, Train Loss: 1.1549, Validation Loss: 3.6178
Epoch 82/1000, Train Loss: 1.2965, Validation Loss: 1.9785
Epoch 83/1000, Train Loss: 1.0018, Validation Loss: 2.8775
Epoch 84/1000, Train Loss: 1.1325, Validation Loss: 1.1134
Epoch 85/1000, Train Loss: 1.0777, Validation Loss: 2.9469
Epoch 86/1000, Train Loss: 1.1110, Validation Loss: 7.4068
Epoch 87/1000, Train Loss: 1.2872, Validation Loss: 3.8457
Epoch 88/1000, Train Loss: 541.8584, Validation Loss: 6.4485
Epoch 89/1000, Train Loss: 285.4895, Validation Loss: 0.9894
Epoch 90/1000, Train Loss: 1.0496, Validation Loss: 3.7905
Epoch 91/1000, Train Loss: 8.6826, Validation Loss: 1.0250
Epoch 92/1000, Train Loss: 1.1441, Validation Loss: 1.3202
Epoch 93/1000, Train Loss: 1.0674, Validation Loss: 4.8388
Epoch 94/1000, Train Loss: 8.4094, Validation Loss: 7.0236
Epoch 95/1000, Train Loss: 1.0513, Validation Loss: 201.3124
Epoch 96/1000, Train Loss: 9.5033, Validation Loss: 1.4230
Epoch 97/1000, Train Loss: 2.7754, Validation Loss: 3.1389
Epoch 98/1000, Train Loss: 3.0228, Validation Loss: 2.7127
Epoch 99/1000, Train Loss: 1.7420, Validation Loss: 2.8541
Epoch 100/1000, Train Loss: 22.9798, Validation Loss: 1.6477
Epoch 101/1000, Train Loss: 1.0224, Validation Loss: 6.0093
Epoch 102/1000, Train Loss: 1.1938, Validation Loss: 2.8908
Epoch 103/1000, Train Loss: 1.0015, Validation Loss: 4.6251
Epoch 104/1000, Train Loss: 17.1604, Validation Loss: 2.6084
Epoch 105/1000, Train Loss: 1.0418, Validation Loss: 2.6009
Epoch 106/1000, Train Loss: 6481.4241, Validation Loss: 4.2332
Epoch 107/1000, Train Loss: 6.7985, Validation Loss: 2.0486
Epoch 108/1000, Train Loss: 1.0732, Validation Loss: 3.2610
Epoch 109/1000, Train Loss: 1.2160, Validation Loss: 1.1423
Epoch 110/1000, Train Loss: 54.5779, Validation Loss: 3.1890
Epoch 111/1000, Train Loss: 1.0821, Validation Loss: 1.1001
Epoch 112/1000, Train Loss: 18.6675, Validation Loss: 4.4684
Epoch 113/1000, Train Loss: 3.6576, Validation Loss: 1.2386
Epoch 114/1000, Train Loss: 1.0354, Validation Loss: 3.4390
Epoch 115/1000, Train Loss: 1.0737, Validation Loss: 1.1181
Epoch 116/1000, Train Loss: 1.2313, Validation Loss: 1.4172
Epoch 117/1000, Train Loss: 1.9059, Validation Loss: 3.0621
Epoch 118/1000, Train Loss: 13.9939, Validation Loss: 4.6437
Epoch 119/1000, Train Loss: 1.0684, Validation Loss: 6.8826
Epoch 120/1000, Train Loss: 2.2311, Validation Loss: 3.5581
Epoch 121/1000, Train Loss: 1.2816, Validation Loss: 2.8379
Epoch 122/1000, Train Loss: 1.9432, Validation Loss: 2.4541
Epoch 123/1000, Train Loss: 1.0298, Validation Loss: 2.9328
Epoch 124/1000, Train Loss: 1.7453, Validation Loss: 3.1293
Epoch 125/1000, Train Loss: 1.1640, Validation Loss: 1.1420
Epoch 126/1000, Train Loss: 7.4327, Validation Loss: 2.0888
Epoch 127/1000, Train Loss: 1.0845, Validation Loss: 1.2887
Epoch 128/1000, Train Loss: 18.0919, Validation Loss: 4.5465
Epoch 129/1000, Train Loss: 1.1067, Validation Loss: 1.8465
Epoch 130/1000, Train Loss: 1.1947, Validation Loss: 1.7013
Epoch 131/1000, Train Loss: 1.4505, Validation Loss: 2.4310
Epoch 132/1000, Train Loss: 1.1770, Validation Loss: 2.2697
Epoch 133/1000, Train Loss: 1.3362, Validation Loss: 3.4997
Epoch 134/1000, Train Loss: 1.0464, Validation Loss: 0.8198
Epoch 135/1000, Train Loss: 1.4953, Validation Loss: 1.1503
Epoch 136/1000, Train Loss: 1.2547, Validation Loss: 1.1965
Epoch 137/1000, Train Loss: 1.3416, Validation Loss: 4.9447
Epoch 138/1000, Train Loss: 1.0766, Validation Loss: 1.5764
Epoch 139/1000, Train Loss: 4.7491, Validation Loss: 2.0379
Epoch 140/1000, Train Loss: 1.1565, Validation Loss: 3.0021
Epoch 141/1000, Train Loss: 1.0975, Validation Loss: 2.4123
Epoch 142/1000, Train Loss: 1.0548, Validation Loss: 3.1195
Epoch 143/1000, Train Loss: 1.7633, Validation Loss: 2.5449
Epoch 144/1000, Train Loss: 1.2255, Validation Loss: 1.0304
Epoch 145/1000, Train Loss: 1.0392, Validation Loss: 8.1540
Epoch 146/1000, Train Loss: 2.3614, Validation Loss: 1.8984
Epoch 147/1000, Train Loss: 1.6917, Validation Loss: 1.9348
Epoch 148/1000, Train Loss: 1.1804, Validation Loss: 10.6433
Epoch 149/1000, Train Loss: 2.0725, Validation Loss: 1.6841
Epoch 150/1000, Train Loss: 1.1030, Validation Loss: 16.4777
Epoch 151/1000, Train Loss: 1.5058, Validation Loss: 3.6090
Epoch 152/1000, Train Loss: 2.4704, Validation Loss: 4.0250
Epoch 153/1000, Train Loss: 1.0559, Validation Loss: 1.0339
Epoch 154/1000, Train Loss: 1.1070, Validation Loss: 2.1118
Epoch 155/1000, Train Loss: 1.5195, Validation Loss: 1.5880
Epoch 156/1000, Train Loss: 48.3449, Validation Loss: 3.8139
Epoch 157/1000, Train Loss: 1.2714, Validation Loss: 2.7662
Epoch 158/1000, Train Loss: 1.1895, Validation Loss: 4.6778
Epoch 159/1000, Train Loss: 7.5247, Validation Loss: 2.0044
Epoch 160/1000, Train Loss: 1.1599, Validation Loss: 4.0766
Epoch 161/1000, Train Loss: 3.7673, Validation Loss: 3.2645
Epoch 162/1000, Train Loss: 1.4349, Validation Loss: 1.1194
Epoch 163/1000, Train Loss: 2.1863, Validation Loss: 1.2225
Epoch 164/1000, Train Loss: 1.0155, Validation Loss: 1.7882
Epoch 165/1000, Train Loss: 1.4389, Validation Loss: 4.9872
Epoch 166/1000, Train Loss: 1.0704, Validation Loss: 5.0763
Epoch 167/1000, Train Loss: 1.0367, Validation Loss: 5.1524
Epoch 168/1000, Train Loss: 1.5522, Validation Loss: 1.5834
Epoch 169/1000, Train Loss: 1.4296, Validation Loss: 7.6452
Epoch 170/1000, Train Loss: 13.6901, Validation Loss: 6.3885
Epoch 171/1000, Train Loss: 1.0950, Validation Loss: 6.0336
Epoch 172/1000, Train Loss: 1.0312, Validation Loss: 5.6614
Epoch 173/1000, Train Loss: 1.5316, Validation Loss: 1.9703
Epoch 174/1000, Train Loss: 1.0958, Validation Loss: 5.3061
Epoch 175/1000, Train Loss: 1.4550, Validation Loss: 4.2559
Epoch 176/1000, Train Loss: 1.1057, Validation Loss: 19.2288
Epoch 177/1000, Train Loss: 1.1848, Validation Loss: 1.5590
Epoch 178/1000, Train Loss: 3.5908, Validation Loss: 1.4713
Epoch 179/1000, Train Loss: 1.0738, Validation Loss: 13.1350
Epoch 180/1000, Train Loss: 1.0594, Validation Loss: 3.6319
Epoch 181/1000, Train Loss: 36.4437, Validation Loss: 2.7877
Epoch 182/1000, Train Loss: 1.7367, Validation Loss: 2.6785
Epoch 183/1000, Train Loss: 1.2330, Validation Loss: 24.1788
Epoch 184/1000, Train Loss: 1.0811, Validation Loss: 5.3804
Epoch 185/1000, Train Loss: 1.3281, Validation Loss: 2.7894
Epoch 186/1000, Train Loss: 1.2151, Validation Loss: 1.0842
Epoch 187/1000, Train Loss: 6113.6920, Validation Loss: 4.6376
Epoch 188/1000, Train Loss: 1.0184, Validation Loss: 1.7915
Epoch 189/1000, Train Loss: 27.8130, Validation Loss: 3.1693
Epoch 190/1000, Train Loss: 45459.6641, Validation Loss: 6.7506
Epoch 191/1000, Train Loss: 1.0360, Validation Loss: 1.2808
Epoch 192/1000, Train Loss: 1.0146, Validation Loss: 5.1649
Epoch 193/1000, Train Loss: 1.4088, Validation Loss: 7.7030
Epoch 194/1000, Train Loss: 2.9768, Validation Loss: 5.0680
Epoch 195/1000, Train Loss: 1.1577, Validation Loss: 1.3835
Epoch 196/1000, Train Loss: 1.1257, Validation Loss: 4.3855
Epoch 197/1000, Train Loss: 2.0618, Validation Loss: 2.6797
Epoch 198/1000, Train Loss: 1.6651, Validation Loss: 1.5820
Epoch 199/1000, Train Loss: 1.0552, Validation Loss: 1.1846
Epoch 200/1000, Train Loss: 538.9259, Validation Loss: 10.2841
Epoch 201/1000, Train Loss: 1.1631, Validation Loss: 5.3495
Epoch 202/1000, Train Loss: 2.4899, Validation Loss: 3.2880
Epoch 203/1000, Train Loss: 1.0412, Validation Loss: 18.0869
Epoch 204/1000, Train Loss: 3.4625, Validation Loss: 1.3704
Epoch 205/1000, Train Loss: 1.0840, Validation Loss: 5.2203
Epoch 206/1000, Train Loss: 13.0000, Validation Loss: 1.6445
Epoch 207/1000, Train Loss: 1.0601, Validation Loss: 5.5306
Epoch 208/1000, Train Loss: 1.3468, Validation Loss: 3.5093
Epoch 209/1000, Train Loss: 1.0741, Validation Loss: 1.8433
Epoch 210/1000, Train Loss: 2.8692, Validation Loss: 2.8137
Epoch 211/1000, Train Loss: 11.0342, Validation Loss: 1.6492
Epoch 212/1000, Train Loss: 2.0932, Validation Loss: 1.1147
Epoch 213/1000, Train Loss: 1.0397, Validation Loss: 29.1184
Epoch 214/1000, Train Loss: 20.2483, Validation Loss: 1.4800
Epoch 215/1000, Train Loss: 1.3515, Validation Loss: 16.8450
Epoch 216/1000, Train Loss: 1.0381, Validation Loss: 5.8284
