Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-29imrkb8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 16.4175, Validation Loss: 2.7204
Epoch 2/1000, Train Loss: 1.6117, Validation Loss: 1.8682
Epoch 3/1000, Train Loss: 1.4267, Validation Loss: 1.1584
Epoch 4/1000, Train Loss: 1.5224, Validation Loss: 5.3967
Epoch 5/1000, Train Loss: 1.4238, Validation Loss: 2.6314
Epoch 6/1000, Train Loss: 1.2985, Validation Loss: 3.4010
Epoch 7/1000, Train Loss: 1.3049, Validation Loss: 2.4003
Epoch 8/1000, Train Loss: 1.1905, Validation Loss: 1.6390
Epoch 9/1000, Train Loss: 1.2016, Validation Loss: 3.3150
Epoch 10/1000, Train Loss: 1.2172, Validation Loss: 1.0170
Epoch 11/1000, Train Loss: 1.2113, Validation Loss: 1.1786
Epoch 12/1000, Train Loss: 1.1787, Validation Loss: 2.1887
Epoch 13/1000, Train Loss: 1.1946, Validation Loss: 1.4419
Epoch 14/1000, Train Loss: 1.2810, Validation Loss: 1.1021
Epoch 15/1000, Train Loss: 1.1787, Validation Loss: 0.9779
Epoch 16/1000, Train Loss: 1.1016, Validation Loss: 3.2851
Epoch 17/1000, Train Loss: 1.1220, Validation Loss: 1.1958
Epoch 18/1000, Train Loss: 1.1466, Validation Loss: 1.5503
Epoch 19/1000, Train Loss: 1.1094, Validation Loss: 2.5856
Epoch 20/1000, Train Loss: 1.0664, Validation Loss: 0.9649
Epoch 21/1000, Train Loss: 1.0414, Validation Loss: 0.9389
Epoch 22/1000, Train Loss: 1.1652, Validation Loss: 10.6657
Epoch 23/1000, Train Loss: 1.3684, Validation Loss: 1.2977
Epoch 24/1000, Train Loss: 1.0881, Validation Loss: 2.5784
Epoch 25/1000, Train Loss: 1.1716, Validation Loss: 2.3245
Epoch 26/1000, Train Loss: 1.0716, Validation Loss: 1.5816
Epoch 27/1000, Train Loss: 1.1122, Validation Loss: 4.7286
Epoch 28/1000, Train Loss: 1.0348, Validation Loss: 1.1025
Epoch 29/1000, Train Loss: 1.0546, Validation Loss: 4.2466
Epoch 30/1000, Train Loss: 1.2651, Validation Loss: 1.0226
Epoch 31/1000, Train Loss: 1.1172, Validation Loss: 2.5570
Epoch 32/1000, Train Loss: 1.0359, Validation Loss: 4.1961
Epoch 33/1000, Train Loss: 1.0060, Validation Loss: 1.1612
Epoch 34/1000, Train Loss: 1.0197, Validation Loss: 1.7038
Epoch 35/1000, Train Loss: 0.9117, Validation Loss: 1.6379
Epoch 36/1000, Train Loss: 0.9640, Validation Loss: 2.5419
Epoch 37/1000, Train Loss: 1.2968, Validation Loss: 1.5240
Epoch 38/1000, Train Loss: 0.9517, Validation Loss: 1.4008
Epoch 39/1000, Train Loss: 0.9667, Validation Loss: 2.3334
Epoch 40/1000, Train Loss: 1.3099, Validation Loss: 1.6346
Epoch 41/1000, Train Loss: 1.0975, Validation Loss: 1.8705
Epoch 42/1000, Train Loss: 0.9634, Validation Loss: 2.6225
Epoch 43/1000, Train Loss: 0.9856, Validation Loss: 5.7171
Epoch 44/1000, Train Loss: 0.9089, Validation Loss: 1.4661
Epoch 45/1000, Train Loss: 1.6336, Validation Loss: 1.1927
Epoch 46/1000, Train Loss: 0.9761, Validation Loss: 1.5052
Epoch 47/1000, Train Loss: 0.9521, Validation Loss: 2.1088
Epoch 48/1000, Train Loss: 0.9436, Validation Loss: 0.9442
Epoch 49/1000, Train Loss: 1.3745, Validation Loss: 2.5525
Epoch 50/1000, Train Loss: 0.9342, Validation Loss: 19.3702
Epoch 51/1000, Train Loss: 1.0020, Validation Loss: 2.3508
Epoch 52/1000, Train Loss: 0.8907, Validation Loss: 1.0828
Epoch 53/1000, Train Loss: 1.6066, Validation Loss: 10.8361
Epoch 54/1000, Train Loss: 0.9839, Validation Loss: 2.3183
Epoch 55/1000, Train Loss: 0.8902, Validation Loss: 2.2909
Epoch 56/1000, Train Loss: 0.9133, Validation Loss: 0.8538
Epoch 57/1000, Train Loss: 1.0708, Validation Loss: 1.4043
Epoch 58/1000, Train Loss: 1.7400, Validation Loss: 1.5613
Epoch 59/1000, Train Loss: 1.1256, Validation Loss: 3.8735
Epoch 60/1000, Train Loss: 0.9075, Validation Loss: 1.9237
Epoch 61/1000, Train Loss: 0.8897, Validation Loss: 1.9403
Epoch 62/1000, Train Loss: 0.8903, Validation Loss: 1.6787
Epoch 63/1000, Train Loss: 0.8554, Validation Loss: 2.1642
Epoch 64/1000, Train Loss: 0.9065, Validation Loss: 2.4028
Epoch 65/1000, Train Loss: 0.8888, Validation Loss: 5.7364
Epoch 66/1000, Train Loss: 0.8588, Validation Loss: 0.8728
