Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-qokttop8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.8546, Validation Loss: 1.4962
Epoch 2/1000, Train Loss: 1.5015, Validation Loss: 1.6522
Epoch 3/1000, Train Loss: 1.2874, Validation Loss: 3.0070
Epoch 4/1000, Train Loss: 1.1578, Validation Loss: 1.9483
Epoch 5/1000, Train Loss: 1.0671, Validation Loss: 1.2666
Epoch 6/1000, Train Loss: 1.0115, Validation Loss: 3.1639
Epoch 7/1000, Train Loss: 1.0807, Validation Loss: 1.5102
Epoch 8/1000, Train Loss: 1.0251, Validation Loss: 1.4650
Epoch 9/1000, Train Loss: 1.0068, Validation Loss: 2.3784
Epoch 10/1000, Train Loss: 0.9813, Validation Loss: 1.1594
Epoch 11/1000, Train Loss: 0.9697, Validation Loss: 10.5576
Epoch 12/1000, Train Loss: 0.9739, Validation Loss: 2.4053
Epoch 13/1000, Train Loss: 0.9714, Validation Loss: 0.9420
Epoch 14/1000, Train Loss: 0.9253, Validation Loss: 1.0110
Epoch 15/1000, Train Loss: 0.9128, Validation Loss: 2.6343
Epoch 16/1000, Train Loss: 0.9118, Validation Loss: 15.5916
Epoch 17/1000, Train Loss: 0.9134, Validation Loss: 2.2756
Epoch 18/1000, Train Loss: 0.9207, Validation Loss: 1.1588
Epoch 19/1000, Train Loss: 0.8631, Validation Loss: 1.1587
Epoch 20/1000, Train Loss: 0.8318, Validation Loss: 0.7593
Epoch 21/1000, Train Loss: 0.8526, Validation Loss: 1.8249
Epoch 22/1000, Train Loss: 0.8326, Validation Loss: 1.7152
Epoch 23/1000, Train Loss: 0.8498, Validation Loss: 1.2898
Epoch 24/1000, Train Loss: 0.8461, Validation Loss: 2.2432
Epoch 25/1000, Train Loss: 0.7961, Validation Loss: 7.8540
Epoch 26/1000, Train Loss: 0.7708, Validation Loss: 0.8177
Epoch 27/1000, Train Loss: 0.7655, Validation Loss: 2.0691
Epoch 28/1000, Train Loss: 0.8005, Validation Loss: 0.8914
Epoch 29/1000, Train Loss: 0.7011, Validation Loss: 1.2179
Epoch 30/1000, Train Loss: 0.7255, Validation Loss: 4.3366
Epoch 31/1000, Train Loss: 1.7633, Validation Loss: 1.3712
Epoch 32/1000, Train Loss: 0.7227, Validation Loss: 1.2973
Epoch 33/1000, Train Loss: 0.7042, Validation Loss: 5.2040
Epoch 34/1000, Train Loss: 0.6963, Validation Loss: 0.9836
Epoch 35/1000, Train Loss: 0.6807, Validation Loss: 1.2506
Epoch 36/1000, Train Loss: 0.6866, Validation Loss: 3.2129
Epoch 37/1000, Train Loss: 0.6740, Validation Loss: 1.0267
Epoch 38/1000, Train Loss: 0.7602, Validation Loss: 1.9814
Epoch 39/1000, Train Loss: 0.6845, Validation Loss: 0.9121
Epoch 40/1000, Train Loss: 0.6502, Validation Loss: 2.1211
Epoch 41/1000, Train Loss: 0.6913, Validation Loss: 0.8756
Epoch 42/1000, Train Loss: 0.6485, Validation Loss: 1.5870
Epoch 43/1000, Train Loss: 0.7062, Validation Loss: 1.0779
Epoch 44/1000, Train Loss: 0.6584, Validation Loss: 1.7525
Epoch 45/1000, Train Loss: 0.6707, Validation Loss: 4.0721
Epoch 46/1000, Train Loss: 0.6564, Validation Loss: 0.9293
Epoch 47/1000, Train Loss: 0.6402, Validation Loss: 1.3589
Epoch 48/1000, Train Loss: 0.6433, Validation Loss: 2.2112
Epoch 49/1000, Train Loss: 0.8302, Validation Loss: 5.9927
Epoch 50/1000, Train Loss: 0.6368, Validation Loss: 15.5271
Epoch 51/1000, Train Loss: 0.6402, Validation Loss: 1.7048
Epoch 52/1000, Train Loss: 0.6285, Validation Loss: 1.0324
Epoch 53/1000, Train Loss: 0.6108, Validation Loss: 1.0809
Epoch 54/1000, Train Loss: 0.6173, Validation Loss: 2.7766
Epoch 55/1000, Train Loss: 0.6604, Validation Loss: 5.2110
Epoch 56/1000, Train Loss: 0.6169, Validation Loss: 2.3349
Epoch 57/1000, Train Loss: 0.6081, Validation Loss: 4.6444
Epoch 58/1000, Train Loss: 1.3540, Validation Loss: 0.7132
Epoch 59/1000, Train Loss: 0.6377, Validation Loss: 0.7920
Epoch 60/1000, Train Loss: 0.6018, Validation Loss: 1.6465
Epoch 61/1000, Train Loss: 0.6041, Validation Loss: 1.7990
Epoch 62/1000, Train Loss: 0.5981, Validation Loss: 19.4816
Epoch 63/1000, Train Loss: 0.5890, Validation Loss: 0.8128
Epoch 64/1000, Train Loss: 0.5995, Validation Loss: 0.9943
Epoch 65/1000, Train Loss: 0.6312, Validation Loss: 3.0873
Epoch 66/1000, Train Loss: 0.5872, Validation Loss: 1.1611
Epoch 67/1000, Train Loss: 0.5832, Validation Loss: 0.7693
Epoch 68/1000, Train Loss: 0.5846, Validation Loss: 2.8461
Epoch 69/1000, Train Loss: 0.5808, Validation Loss: 1.1074
Epoch 70/1000, Train Loss: 0.5759, Validation Loss: 1.8192
Epoch 71/1000, Train Loss: 0.5892, Validation Loss: 1.8921
Epoch 72/1000, Train Loss: 0.5984, Validation Loss: 1.5202
Epoch 73/1000, Train Loss: 1.1919, Validation Loss: 9.9979
Epoch 74/1000, Train Loss: 0.6119, Validation Loss: 1.7390
Epoch 75/1000, Train Loss: 0.5765, Validation Loss: 2.1290
Epoch 76/1000, Train Loss: 0.5681, Validation Loss: 1.2240
Epoch 77/1000, Train Loss: 0.5753, Validation Loss: 1.8510
Epoch 78/1000, Train Loss: 0.6008, Validation Loss: 1.9617
Epoch 79/1000, Train Loss: 0.5636, Validation Loss: 0.9590
Epoch 80/1000, Train Loss: 0.6248, Validation Loss: 2.6686
