Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-qfm1xi1e
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3195, Validation Loss: 1.2987
Epoch 2/1000, Train Loss: 1.2492, Validation Loss: 1.2912
Epoch 3/1000, Train Loss: 1.1433, Validation Loss: 1.1296
Epoch 4/1000, Train Loss: 1.1158, Validation Loss: 1.2765
Epoch 5/1000, Train Loss: 1.0669, Validation Loss: 2.4737
Epoch 6/1000, Train Loss: 1.0229, Validation Loss: 1.2695
Epoch 7/1000, Train Loss: 1.0116, Validation Loss: 1.2813
Epoch 8/1000, Train Loss: 0.9915, Validation Loss: 1.0493
Epoch 9/1000, Train Loss: 0.9602, Validation Loss: 3.3611
Epoch 10/1000, Train Loss: 0.9774, Validation Loss: 1.8378
Epoch 11/1000, Train Loss: 0.9741, Validation Loss: 1.1727
Epoch 12/1000, Train Loss: 0.9458, Validation Loss: 1.4019
Epoch 13/1000, Train Loss: 0.9271, Validation Loss: 2.0888
Epoch 14/1000, Train Loss: 0.8897, Validation Loss: 1.1974
Epoch 15/1000, Train Loss: 0.8768, Validation Loss: 1.0244
Epoch 16/1000, Train Loss: 0.8649, Validation Loss: 1.8509
Epoch 17/1000, Train Loss: 0.8605, Validation Loss: 1.0603
Epoch 18/1000, Train Loss: 0.9162, Validation Loss: 1.8191
Epoch 19/1000, Train Loss: 0.8464, Validation Loss: 1.0324
Epoch 20/1000, Train Loss: 0.8281, Validation Loss: 2.1778
Epoch 21/1000, Train Loss: 0.8071, Validation Loss: 1.4897
Epoch 22/1000, Train Loss: 0.8102, Validation Loss: 2.4847
Epoch 23/1000, Train Loss: 0.7764, Validation Loss: 1.4470
Epoch 24/1000, Train Loss: 0.7579, Validation Loss: 1.0241
Epoch 25/1000, Train Loss: 0.7489, Validation Loss: 7.9965
Epoch 26/1000, Train Loss: 0.7267, Validation Loss: 1.1318
Epoch 27/1000, Train Loss: 0.7400, Validation Loss: 1.1248
Epoch 28/1000, Train Loss: 0.7198, Validation Loss: 1.4765
Epoch 29/1000, Train Loss: 0.7319, Validation Loss: 0.9262
Epoch 30/1000, Train Loss: 0.7087, Validation Loss: 0.7911
Epoch 31/1000, Train Loss: 0.7089, Validation Loss: 0.9535
Epoch 32/1000, Train Loss: 0.7150, Validation Loss: 1.7473
Epoch 33/1000, Train Loss: 0.7077, Validation Loss: 0.7088
Epoch 34/1000, Train Loss: 0.6989, Validation Loss: 2.8242
Epoch 35/1000, Train Loss: 0.7135, Validation Loss: 1.5673
Epoch 36/1000, Train Loss: 0.6862, Validation Loss: 1.7956
Epoch 37/1000, Train Loss: 0.6882, Validation Loss: 0.9536
Epoch 38/1000, Train Loss: 0.7099, Validation Loss: 3.3477
Epoch 39/1000, Train Loss: 0.6704, Validation Loss: 2.1700
Epoch 40/1000, Train Loss: 0.6793, Validation Loss: 1.6153
Epoch 41/1000, Train Loss: 0.6772, Validation Loss: 1.5171
Epoch 42/1000, Train Loss: 0.7431, Validation Loss: 2.1790
Epoch 43/1000, Train Loss: 0.6766, Validation Loss: 0.8990
Epoch 44/1000, Train Loss: 0.6700, Validation Loss: 3.6658
Epoch 45/1000, Train Loss: 0.6795, Validation Loss: 3.5107
Epoch 46/1000, Train Loss: 0.6784, Validation Loss: 4.6860
Epoch 47/1000, Train Loss: 0.6685, Validation Loss: 1.6725
Epoch 48/1000, Train Loss: 0.6599, Validation Loss: 3.0404
Epoch 49/1000, Train Loss: 0.6739, Validation Loss: 2.3774
Epoch 50/1000, Train Loss: 0.6448, Validation Loss: 1.4975
Epoch 51/1000, Train Loss: 0.6709, Validation Loss: 2.8982
Epoch 52/1000, Train Loss: 0.6584, Validation Loss: 1.3782
Epoch 53/1000, Train Loss: 0.6553, Validation Loss: 2.7331
Epoch 54/1000, Train Loss: 0.6503, Validation Loss: 1.1559
Epoch 55/1000, Train Loss: 0.6511, Validation Loss: 1.7542
Epoch 56/1000, Train Loss: 0.6416, Validation Loss: 3.1414
Epoch 57/1000, Train Loss: 0.6476, Validation Loss: 1.7694
Epoch 58/1000, Train Loss: 0.6472, Validation Loss: 2.5294
Epoch 59/1000, Train Loss: 0.6554, Validation Loss: 2.8320
Epoch 60/1000, Train Loss: 0.6592, Validation Loss: 2.2262
Epoch 61/1000, Train Loss: 0.6419, Validation Loss: 2.2705
Epoch 62/1000, Train Loss: 0.6481, Validation Loss: 2.3417
Epoch 63/1000, Train Loss: 0.7102, Validation Loss: 2.9709
Epoch 64/1000, Train Loss: 0.6506, Validation Loss: 1.0372
Epoch 65/1000, Train Loss: 0.6397, Validation Loss: 2.8671
Epoch 66/1000, Train Loss: 0.6299, Validation Loss: 5.7392
Epoch 67/1000, Train Loss: 0.6429, Validation Loss: 0.8483
Epoch 68/1000, Train Loss: 0.6597, Validation Loss: 1.3710
Epoch 69/1000, Train Loss: 0.6358, Validation Loss: 0.9831
Epoch 70/1000, Train Loss: 0.6428, Validation Loss: 1.7047
Epoch 71/1000, Train Loss: 0.6386, Validation Loss: 3.3406
Epoch 72/1000, Train Loss: 0.6371, Validation Loss: 3.2188
Epoch 73/1000, Train Loss: 0.6192, Validation Loss: 1.4717
Epoch 74/1000, Train Loss: 0.6378, Validation Loss: 1.1277
Epoch 75/1000, Train Loss: 0.6222, Validation Loss: 1.2322
Epoch 76/1000, Train Loss: 0.6373, Validation Loss: 2.1723
Epoch 77/1000, Train Loss: 0.6226, Validation Loss: 2.9971
Epoch 78/1000, Train Loss: 0.6300, Validation Loss: 2.4927
Epoch 79/1000, Train Loss: 0.6316, Validation Loss: 0.6535
Epoch 80/1000, Train Loss: 0.6187, Validation Loss: 1.6963
Epoch 81/1000, Train Loss: 0.6344, Validation Loss: 1.2136
Epoch 82/1000, Train Loss: 0.6458, Validation Loss: 1.7575
Epoch 83/1000, Train Loss: 0.6253, Validation Loss: 1.7183
Epoch 84/1000, Train Loss: 0.6214, Validation Loss: 2.6590
Epoch 85/1000, Train Loss: 0.6244, Validation Loss: 1.4623
Epoch 86/1000, Train Loss: 0.6224, Validation Loss: 1.1855
Epoch 87/1000, Train Loss: 0.6116, Validation Loss: 2.3346
Epoch 88/1000, Train Loss: 0.6147, Validation Loss: 2.7391
Epoch 89/1000, Train Loss: 0.6134, Validation Loss: 1.6371
Epoch 90/1000, Train Loss: 0.6086, Validation Loss: 2.9412
Epoch 91/1000, Train Loss: 0.6111, Validation Loss: 2.9633
Epoch 92/1000, Train Loss: 0.6274, Validation Loss: 3.2761
Epoch 93/1000, Train Loss: 0.6033, Validation Loss: 1.3791
Epoch 94/1000, Train Loss: 0.6050, Validation Loss: 3.5715
Epoch 95/1000, Train Loss: 0.6459, Validation Loss: 0.9065
Epoch 96/1000, Train Loss: 0.6072, Validation Loss: 2.7471
Epoch 97/1000, Train Loss: 0.6039, Validation Loss: 1.0266
Epoch 98/1000, Train Loss: 0.5982, Validation Loss: 4.1314
Epoch 99/1000, Train Loss: 0.6345, Validation Loss: 2.3800
Epoch 100/1000, Train Loss: 0.6205, Validation Loss: 1.7512
Epoch 101/1000, Train Loss: 0.6032, Validation Loss: 2.3927
Epoch 102/1000, Train Loss: 0.6034, Validation Loss: 1.2234
Epoch 103/1000, Train Loss: 0.6052, Validation Loss: 2.3520
Epoch 104/1000, Train Loss: 0.6034, Validation Loss: 6.7414
Epoch 105/1000, Train Loss: 0.6047, Validation Loss: 3.6666
Epoch 106/1000, Train Loss: 0.6028, Validation Loss: 2.0578
Epoch 107/1000, Train Loss: 0.6033, Validation Loss: 5.2666
Epoch 108/1000, Train Loss: 0.6085, Validation Loss: 1.7323
Epoch 109/1000, Train Loss: 0.5995, Validation Loss: 3.4479
Epoch 110/1000, Train Loss: 0.6007, Validation Loss: 4.6355
Epoch 111/1000, Train Loss: 0.5961, Validation Loss: 2.1699
Epoch 112/1000, Train Loss: 0.5952, Validation Loss: 1.5892
Epoch 113/1000, Train Loss: 0.6070, Validation Loss: 1.4610
Epoch 114/1000, Train Loss: 0.5985, Validation Loss: 2.5660
Epoch 115/1000, Train Loss: 0.5973, Validation Loss: 3.3878
Epoch 116/1000, Train Loss: 1.0053, Validation Loss: 2.3422
Epoch 117/1000, Train Loss: 0.5879, Validation Loss: 1.2678
Epoch 118/1000, Train Loss: 0.5887, Validation Loss: 2.6870
Epoch 119/1000, Train Loss: 0.5960, Validation Loss: 5.4153
Epoch 120/1000, Train Loss: 0.5988, Validation Loss: 2.6627
Epoch 121/1000, Train Loss: 0.5937, Validation Loss: 2.6565
Epoch 122/1000, Train Loss: 0.5867, Validation Loss: 1.4319
Epoch 123/1000, Train Loss: 0.5922, Validation Loss: 2.0578
Epoch 124/1000, Train Loss: 0.5915, Validation Loss: 0.8817
Epoch 125/1000, Train Loss: 0.5963, Validation Loss: 2.6831
Epoch 126/1000, Train Loss: 0.5910, Validation Loss: 1.4537
Epoch 127/1000, Train Loss: 0.5902, Validation Loss: 2.0757
Epoch 128/1000, Train Loss: 0.5804, Validation Loss: 0.9486
Epoch 129/1000, Train Loss: 0.5858, Validation Loss: 3.9073
Epoch 130/1000, Train Loss: 0.6687, Validation Loss: 0.8146
Epoch 131/1000, Train Loss: 0.5768, Validation Loss: 1.3941
Epoch 132/1000, Train Loss: 0.5858, Validation Loss: 2.3561
Epoch 133/1000, Train Loss: 0.5960, Validation Loss: 1.9518
Epoch 134/1000, Train Loss: 0.5729, Validation Loss: 0.9326
Epoch 135/1000, Train Loss: 0.5833, Validation Loss: 1.0458
Epoch 136/1000, Train Loss: 0.5901, Validation Loss: 4.0262
Epoch 137/1000, Train Loss: 0.5824, Validation Loss: 2.3553
Epoch 138/1000, Train Loss: 0.5958, Validation Loss: 3.9887
Epoch 139/1000, Train Loss: 0.5835, Validation Loss: 1.6875
Epoch 140/1000, Train Loss: 0.6029, Validation Loss: 1.0485
Epoch 141/1000, Train Loss: 0.5856, Validation Loss: 4.2955
Epoch 142/1000, Train Loss: 0.5810, Validation Loss: 0.8007
Epoch 143/1000, Train Loss: 0.5818, Validation Loss: 2.1233
Epoch 144/1000, Train Loss: 0.5873, Validation Loss: 0.6859
Epoch 145/1000, Train Loss: 0.5905, Validation Loss: 3.6443
Epoch 146/1000, Train Loss: 0.5838, Validation Loss: 2.3903
Epoch 147/1000, Train Loss: 0.5795, Validation Loss: 2.9263
Epoch 148/1000, Train Loss: 0.5794, Validation Loss: 4.1199
Epoch 149/1000, Train Loss: 0.5755, Validation Loss: 2.6655
Epoch 150/1000, Train Loss: 0.5857, Validation Loss: 0.9844
Epoch 151/1000, Train Loss: 0.5670, Validation Loss: 0.8798
Epoch 152/1000, Train Loss: 0.5840, Validation Loss: 0.7257
Epoch 153/1000, Train Loss: 0.5741, Validation Loss: 2.0984
Epoch 154/1000, Train Loss: 0.6101, Validation Loss: 3.3148
Epoch 155/1000, Train Loss: 0.5847, Validation Loss: 1.1798
Epoch 156/1000, Train Loss: 0.5764, Validation Loss: 1.2652
Epoch 157/1000, Train Loss: 0.5712, Validation Loss: 1.3331
Epoch 158/1000, Train Loss: 0.5743, Validation Loss: 1.7685
Epoch 159/1000, Train Loss: 0.5803, Validation Loss: 3.7419
Epoch 160/1000, Train Loss: 0.5771, Validation Loss: 0.6842
Epoch 161/1000, Train Loss: 0.5776, Validation Loss: 2.0508
Epoch 162/1000, Train Loss: 0.5824, Validation Loss: 0.6535
Epoch 163/1000, Train Loss: 0.5773, Validation Loss: 1.0454
Epoch 164/1000, Train Loss: 0.5734, Validation Loss: 4.4708
Epoch 165/1000, Train Loss: 0.6004, Validation Loss: 254.7172
Epoch 166/1000, Train Loss: 0.5909, Validation Loss: 2.4083
Epoch 167/1000, Train Loss: 0.5624, Validation Loss: 3.1450
Epoch 168/1000, Train Loss: 0.5681, Validation Loss: 1.1860
Epoch 169/1000, Train Loss: 0.5799, Validation Loss: 1.4286
Epoch 170/1000, Train Loss: 0.5725, Validation Loss: 2.2905
Epoch 171/1000, Train Loss: 0.5665, Validation Loss: 0.8262
Epoch 172/1000, Train Loss: 0.5737, Validation Loss: 0.6860
Epoch 173/1000, Train Loss: 0.5675, Validation Loss: 4.2249
Epoch 174/1000, Train Loss: 0.5636, Validation Loss: 0.8595
Epoch 175/1000, Train Loss: 0.5698, Validation Loss: 2.5423
Epoch 176/1000, Train Loss: 0.5757, Validation Loss: 1.7098
Epoch 177/1000, Train Loss: 0.5756, Validation Loss: 2.3486
Epoch 178/1000, Train Loss: 0.5779, Validation Loss: 0.8012
Epoch 179/1000, Train Loss: 0.5798, Validation Loss: 1.9969
Epoch 180/1000, Train Loss: 0.5657, Validation Loss: 1.2829
Epoch 181/1000, Train Loss: 0.5739, Validation Loss: 2.9223
Epoch 182/1000, Train Loss: 0.5896, Validation Loss: 1.0076
Epoch 183/1000, Train Loss: 0.5724, Validation Loss: 0.9877
Epoch 184/1000, Train Loss: 0.5759, Validation Loss: 4.0105
Epoch 185/1000, Train Loss: 0.7346, Validation Loss: 0.9285
Epoch 186/1000, Train Loss: 0.5651, Validation Loss: 0.6647
