Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-1czkjy5z
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.7052, Validation Loss: 3.5920
Epoch 2/1000, Train Loss: 1.3408, Validation Loss: 1.7980
Epoch 3/1000, Train Loss: 1.2776, Validation Loss: 1.4185
Epoch 4/1000, Train Loss: 1.2083, Validation Loss: 2.1508
Epoch 5/1000, Train Loss: 1.2988, Validation Loss: 1.2234
Epoch 6/1000, Train Loss: 1.1957, Validation Loss: 3.1087
Epoch 7/1000, Train Loss: 1.1791, Validation Loss: 1.5464
Epoch 8/1000, Train Loss: 1.0951, Validation Loss: 1.1552
Epoch 9/1000, Train Loss: 1.0780, Validation Loss: 4.6396
Epoch 10/1000, Train Loss: 1.0676, Validation Loss: 1.0850
Epoch 11/1000, Train Loss: 1.2906, Validation Loss: 1.2294
Epoch 12/1000, Train Loss: 1.0753, Validation Loss: 1.5452
Epoch 13/1000, Train Loss: 1.0465, Validation Loss: 1.7598
Epoch 14/1000, Train Loss: 1.0572, Validation Loss: 3.7227
Epoch 15/1000, Train Loss: 1.0268, Validation Loss: 2.4796
Epoch 16/1000, Train Loss: 1.0078, Validation Loss: 1.3734
Epoch 17/1000, Train Loss: 36.8751, Validation Loss: 1.8177
Epoch 18/1000, Train Loss: 0.9913, Validation Loss: 4.3185
Epoch 19/1000, Train Loss: 1.0276, Validation Loss: 4.3246
Epoch 20/1000, Train Loss: 0.9783, Validation Loss: 0.8831
Epoch 21/1000, Train Loss: 0.9831, Validation Loss: 2.6960
Epoch 22/1000, Train Loss: 1.7791, Validation Loss: 2.4294
Epoch 23/1000, Train Loss: 0.9538, Validation Loss: 3.0208
Epoch 24/1000, Train Loss: 0.9498, Validation Loss: 1.7213
Epoch 25/1000, Train Loss: 0.9852, Validation Loss: 1.3903
Epoch 26/1000, Train Loss: 0.9344, Validation Loss: 2.4233
Epoch 27/1000, Train Loss: 3.3550, Validation Loss: 1.4398
Epoch 28/1000, Train Loss: 3.3728, Validation Loss: 1.5591
Epoch 29/1000, Train Loss: 0.9676, Validation Loss: 4.5978
Epoch 30/1000, Train Loss: 0.9322, Validation Loss: 4.3719
Epoch 31/1000, Train Loss: 0.9190, Validation Loss: 4.4746
Epoch 32/1000, Train Loss: 14.6436, Validation Loss: 3.1408
Epoch 33/1000, Train Loss: 1.1858, Validation Loss: 2.7347
Epoch 34/1000, Train Loss: 0.8714, Validation Loss: 2.3764
Epoch 35/1000, Train Loss: 0.9238, Validation Loss: 7.1459
Epoch 36/1000, Train Loss: 7.3385, Validation Loss: 1.7473
Epoch 37/1000, Train Loss: 0.8788, Validation Loss: 1.1095
Epoch 38/1000, Train Loss: 1.2473, Validation Loss: 4.7766
Epoch 39/1000, Train Loss: 3.3031, Validation Loss: 2.6593
Epoch 40/1000, Train Loss: 0.9025, Validation Loss: 202.9522
Epoch 41/1000, Train Loss: 1.6795, Validation Loss: 3.1528
Epoch 42/1000, Train Loss: 0.8857, Validation Loss: 1.7557
Epoch 43/1000, Train Loss: 0.9973, Validation Loss: 2.0064
Epoch 44/1000, Train Loss: 0.9132, Validation Loss: 2.2795
Epoch 45/1000, Train Loss: 0.8797, Validation Loss: 4.8734
Epoch 46/1000, Train Loss: 0.9205, Validation Loss: 0.9676
Epoch 47/1000, Train Loss: 0.8868, Validation Loss: 1.5202
Epoch 48/1000, Train Loss: 0.8810, Validation Loss: 1.4037
Epoch 49/1000, Train Loss: 0.9399, Validation Loss: 2.8074
Epoch 50/1000, Train Loss: 0.8863, Validation Loss: 1.2546
Epoch 51/1000, Train Loss: 0.8362, Validation Loss: 2.6853
Epoch 52/1000, Train Loss: 0.8325, Validation Loss: 2.1025
Epoch 53/1000, Train Loss: 0.8304, Validation Loss: 2.1768
Epoch 54/1000, Train Loss: 0.8192, Validation Loss: 1.3902
Epoch 55/1000, Train Loss: 0.8571, Validation Loss: 2.0118
Epoch 56/1000, Train Loss: 0.8108, Validation Loss: 2.1802
Epoch 57/1000, Train Loss: 0.8123, Validation Loss: 1.8371
Epoch 58/1000, Train Loss: 198.0063, Validation Loss: 1.0734
Epoch 59/1000, Train Loss: 0.8521, Validation Loss: 3.8202
Epoch 60/1000, Train Loss: 0.8039, Validation Loss: 1.9629
Epoch 61/1000, Train Loss: 0.8083, Validation Loss: 4.6486
Epoch 62/1000, Train Loss: 10.5084, Validation Loss: 2.0544
Epoch 63/1000, Train Loss: 0.8061, Validation Loss: 3.2453
Epoch 64/1000, Train Loss: 0.7882, Validation Loss: 2.8863
Epoch 65/1000, Train Loss: 0.7995, Validation Loss: 1.4892
Epoch 66/1000, Train Loss: 2.1490, Validation Loss: 2.8888
Epoch 67/1000, Train Loss: 0.8048, Validation Loss: 3.5783
Epoch 68/1000, Train Loss: 0.8703, Validation Loss: 1.8748
Epoch 69/1000, Train Loss: 0.8059, Validation Loss: 7.1300
Epoch 70/1000, Train Loss: 2.4753, Validation Loss: 20.8860
Epoch 71/1000, Train Loss: 0.8060, Validation Loss: 3.1235
