Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-7px6txgy
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3106, Validation Loss: 2.7650
Epoch 2/1000, Train Loss: 1.2714, Validation Loss: 1.4104
Epoch 3/1000, Train Loss: 1.1370, Validation Loss: 2.7346
Epoch 4/1000, Train Loss: 1.0868, Validation Loss: 5.9633
Epoch 5/1000, Train Loss: 1.0345, Validation Loss: 2.0626
Epoch 6/1000, Train Loss: 1.0061, Validation Loss: 1.3864
Epoch 7/1000, Train Loss: 0.9954, Validation Loss: 1.1892
Epoch 8/1000, Train Loss: 0.9587, Validation Loss: 14.4668
Epoch 9/1000, Train Loss: 0.9414, Validation Loss: 3.2211
Epoch 10/1000, Train Loss: 0.9532, Validation Loss: 2.9099
Epoch 11/1000, Train Loss: 0.9225, Validation Loss: 3.0635
Epoch 12/1000, Train Loss: 0.9114, Validation Loss: 1.7135
Epoch 13/1000, Train Loss: 0.8671, Validation Loss: 1.9453
Epoch 14/1000, Train Loss: 0.8519, Validation Loss: 1.2735
Epoch 15/1000, Train Loss: 0.8436, Validation Loss: 1.7321
Epoch 16/1000, Train Loss: 0.8573, Validation Loss: 0.9692
Epoch 17/1000, Train Loss: 0.8056, Validation Loss: 1.1191
Epoch 18/1000, Train Loss: 0.7959, Validation Loss: 2.4602
Epoch 19/1000, Train Loss: 0.7773, Validation Loss: 2.1955
Epoch 20/1000, Train Loss: 0.7531, Validation Loss: 2.4156
Epoch 21/1000, Train Loss: 0.7531, Validation Loss: 1.6262
Epoch 22/1000, Train Loss: 0.7439, Validation Loss: 1.5705
Epoch 23/1000, Train Loss: 0.7226, Validation Loss: 0.7622
Epoch 24/1000, Train Loss: 0.7488, Validation Loss: 2.7515
Epoch 25/1000, Train Loss: 0.7228, Validation Loss: 1.1426
Epoch 26/1000, Train Loss: 0.7062, Validation Loss: 2.1545
Epoch 27/1000, Train Loss: 0.7686, Validation Loss: 2.9404
Epoch 28/1000, Train Loss: 0.7042, Validation Loss: 1.7641
Epoch 29/1000, Train Loss: 0.6929, Validation Loss: 1.6291
Epoch 30/1000, Train Loss: 0.6875, Validation Loss: 2.7315
Epoch 31/1000, Train Loss: 0.6924, Validation Loss: 0.9372
Epoch 32/1000, Train Loss: 0.6755, Validation Loss: 0.6758
Epoch 33/1000, Train Loss: 0.6730, Validation Loss: 1.1919
Epoch 34/1000, Train Loss: 0.6722, Validation Loss: 3.9107
Epoch 35/1000, Train Loss: 0.6693, Validation Loss: 1.0459
Epoch 36/1000, Train Loss: 0.6596, Validation Loss: 2.5599
Epoch 37/1000, Train Loss: 0.6842, Validation Loss: 2.1141
Epoch 38/1000, Train Loss: 0.6584, Validation Loss: 2.5072
Epoch 39/1000, Train Loss: 0.6516, Validation Loss: 1.0548
Epoch 40/1000, Train Loss: 0.6454, Validation Loss: 2.1363
Epoch 41/1000, Train Loss: 0.6442, Validation Loss: 0.9429
Epoch 42/1000, Train Loss: 0.6445, Validation Loss: 2.4212
Epoch 43/1000, Train Loss: 0.6380, Validation Loss: 2.6043
Epoch 44/1000, Train Loss: 0.6416, Validation Loss: 3.2746
Epoch 45/1000, Train Loss: 0.6299, Validation Loss: 0.6702
Epoch 46/1000, Train Loss: 0.6374, Validation Loss: 3.5871
Epoch 47/1000, Train Loss: 0.6208, Validation Loss: 1.0260
Epoch 48/1000, Train Loss: 0.6294, Validation Loss: 1.7245
Epoch 49/1000, Train Loss: 0.6209, Validation Loss: 0.8566
Epoch 50/1000, Train Loss: 0.6208, Validation Loss: 1.0034
