Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-1lm7pgi2
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.7298, Validation Loss: 2.0797
Epoch 2/1000, Train Loss: 1.2546, Validation Loss: 1.1684
Epoch 3/1000, Train Loss: 1.1157, Validation Loss: 7.5036
Epoch 4/1000, Train Loss: 1.0810, Validation Loss: 1.4391
Epoch 5/1000, Train Loss: 1.0229, Validation Loss: 5.5337
Epoch 6/1000, Train Loss: 1.0025, Validation Loss: 1.5520
Epoch 7/1000, Train Loss: 0.9642, Validation Loss: 21.4945
Epoch 8/1000, Train Loss: 0.9537, Validation Loss: 2.4095
Epoch 9/1000, Train Loss: 0.9698, Validation Loss: 2.3168
Epoch 10/1000, Train Loss: 0.9384, Validation Loss: 11.9224
Epoch 11/1000, Train Loss: 0.9184, Validation Loss: 6.5508
Epoch 12/1000, Train Loss: 0.8976, Validation Loss: 0.8354
Epoch 13/1000, Train Loss: 0.8874, Validation Loss: 2.7096
Epoch 14/1000, Train Loss: 1.6164, Validation Loss: 3.3511
Epoch 15/1000, Train Loss: 0.8407, Validation Loss: 1.3154
Epoch 16/1000, Train Loss: 0.8352, Validation Loss: 0.9467
Epoch 17/1000, Train Loss: 0.8400, Validation Loss: 0.9670
Epoch 18/1000, Train Loss: 0.8061, Validation Loss: 2.1865
Epoch 19/1000, Train Loss: 0.8244, Validation Loss: 0.9056
Epoch 20/1000, Train Loss: 0.8209, Validation Loss: 1.2774
Epoch 21/1000, Train Loss: 0.7765, Validation Loss: 2.4771
Epoch 22/1000, Train Loss: 0.7802, Validation Loss: 1.4162
Epoch 23/1000, Train Loss: 0.8204, Validation Loss: 0.8498
Epoch 24/1000, Train Loss: 0.7642, Validation Loss: 1.3224
Epoch 25/1000, Train Loss: 0.7332, Validation Loss: 0.8993
Epoch 26/1000, Train Loss: 0.8218, Validation Loss: 2.0523
Epoch 27/1000, Train Loss: 0.7459, Validation Loss: 0.7272
Epoch 28/1000, Train Loss: 0.7344, Validation Loss: 3.1002
Epoch 29/1000, Train Loss: 0.6958, Validation Loss: 0.8697
Epoch 30/1000, Train Loss: 0.7297, Validation Loss: 3.0309
Epoch 31/1000, Train Loss: 0.7014, Validation Loss: 2.1024
Epoch 32/1000, Train Loss: 0.6929, Validation Loss: 11.2352
Epoch 33/1000, Train Loss: 0.6922, Validation Loss: 0.8305
Epoch 34/1000, Train Loss: 0.6924, Validation Loss: 8.3036
