Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-wrnmj2mq
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 23.4840, Validation Loss: 1.7473
Epoch 2/1000, Train Loss: 1.4901, Validation Loss: 1.7587
Epoch 3/1000, Train Loss: 1.3160, Validation Loss: 1.6940
Epoch 4/1000, Train Loss: 1.2524, Validation Loss: 1.8915
Epoch 5/1000, Train Loss: 1.2212, Validation Loss: 1.5808
Epoch 6/1000, Train Loss: 1.1380, Validation Loss: 1.2845
Epoch 7/1000, Train Loss: 1.1447, Validation Loss: 1.1365
Epoch 8/1000, Train Loss: 1.0658, Validation Loss: 1.1164
Epoch 9/1000, Train Loss: 1.0647, Validation Loss: 1.2292
Epoch 10/1000, Train Loss: 1.0420, Validation Loss: 1.0250
Epoch 11/1000, Train Loss: 0.9998, Validation Loss: 1.2297
Epoch 12/1000, Train Loss: 1.0014, Validation Loss: 2.7100
Epoch 13/1000, Train Loss: 1.0028, Validation Loss: 1.8536
Epoch 14/1000, Train Loss: 0.9548, Validation Loss: 0.9336
Epoch 15/1000, Train Loss: 0.9376, Validation Loss: 1.2670
Epoch 16/1000, Train Loss: 0.9744, Validation Loss: 2.3452
Epoch 17/1000, Train Loss: 0.9338, Validation Loss: 2.6506
Epoch 18/1000, Train Loss: 0.9539, Validation Loss: 2.2876
Epoch 19/1000, Train Loss: 0.9499, Validation Loss: 1.1936
Epoch 20/1000, Train Loss: 1.0509, Validation Loss: 2.5408
Epoch 21/1000, Train Loss: 0.9680, Validation Loss: 10.7595
Epoch 22/1000, Train Loss: 0.9573, Validation Loss: 0.9620
Epoch 23/1000, Train Loss: 15.0895, Validation Loss: 2.3426
Epoch 24/1000, Train Loss: 1.0278, Validation Loss: 1.3061
Epoch 25/1000, Train Loss: 0.9750, Validation Loss: 3.2394
Epoch 26/1000, Train Loss: 1.0505, Validation Loss: 1.4234
Epoch 27/1000, Train Loss: 0.9264, Validation Loss: 1.3528
Epoch 28/1000, Train Loss: 0.9719, Validation Loss: 2.1645
Epoch 29/1000, Train Loss: 23.5884, Validation Loss: 1.2456
Epoch 30/1000, Train Loss: 0.9964, Validation Loss: 1.9370
Epoch 31/1000, Train Loss: 1.0165, Validation Loss: 2.7022
Epoch 32/1000, Train Loss: 1.0383, Validation Loss: 1.0713
Epoch 33/1000, Train Loss: 0.9366, Validation Loss: 1.5171
Epoch 34/1000, Train Loss: 0.9393, Validation Loss: 1.1009
Epoch 35/1000, Train Loss: 0.9147, Validation Loss: 1.9084
Epoch 36/1000, Train Loss: 0.9404, Validation Loss: 1.0349
Epoch 37/1000, Train Loss: 0.9881, Validation Loss: 1.0931
Epoch 38/1000, Train Loss: 0.8747, Validation Loss: 1.1191
Epoch 39/1000, Train Loss: 0.9434, Validation Loss: 3.5619
Epoch 40/1000, Train Loss: 0.9245, Validation Loss: 3.2454
Epoch 41/1000, Train Loss: 0.8916, Validation Loss: 1.3150
Epoch 42/1000, Train Loss: 0.9405, Validation Loss: 1.3632
Epoch 43/1000, Train Loss: 0.9364, Validation Loss: 2.4436
Epoch 44/1000, Train Loss: 0.8863, Validation Loss: 1.3412
Epoch 45/1000, Train Loss: 0.9987, Validation Loss: 0.9406
Epoch 46/1000, Train Loss: 0.9683, Validation Loss: 1.2875
Epoch 47/1000, Train Loss: 0.9457, Validation Loss: 1.2416
Epoch 48/1000, Train Loss: 0.9265, Validation Loss: 0.8438
Epoch 49/1000, Train Loss: 0.9005, Validation Loss: 0.8552
