Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ntx0ewht
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.7700, Validation Loss: 3.3436
Epoch 2/1000, Train Loss: 1.4387, Validation Loss: 2.5497
Epoch 3/1000, Train Loss: 1.3271, Validation Loss: 1.9369
Epoch 4/1000, Train Loss: 1.2585, Validation Loss: 1.7702
Epoch 5/1000, Train Loss: 1.2291, Validation Loss: 1.7744
Epoch 6/1000, Train Loss: 1.2010, Validation Loss: 1.2227
Epoch 7/1000, Train Loss: 54.8952, Validation Loss: 1.5529
Epoch 8/1000, Train Loss: 1.1455, Validation Loss: 3.4090
Epoch 9/1000, Train Loss: 3.0069, Validation Loss: 1.3550
Epoch 10/1000, Train Loss: 1.1277, Validation Loss: 2.3265
Epoch 11/1000, Train Loss: 1.9173, Validation Loss: 2.0850
Epoch 12/1000, Train Loss: 1.0553, Validation Loss: 1.5054
Epoch 13/1000, Train Loss: 1.1041, Validation Loss: 1.2363
Epoch 14/1000, Train Loss: 1.1279, Validation Loss: 0.8434
Epoch 15/1000, Train Loss: 1.0794, Validation Loss: 0.9079
Epoch 16/1000, Train Loss: 5.4340, Validation Loss: 3.1994
Epoch 17/1000, Train Loss: 1.0344, Validation Loss: 3.7892
Epoch 18/1000, Train Loss: 5.5690, Validation Loss: 3.2738
Epoch 19/1000, Train Loss: 1.0481, Validation Loss: 4.1148
Epoch 20/1000, Train Loss: 2.3551, Validation Loss: 1.4447
Epoch 21/1000, Train Loss: 1.0347, Validation Loss: 2.9360
Epoch 22/1000, Train Loss: 1.0921, Validation Loss: 4.3971
Epoch 23/1000, Train Loss: 0.9700, Validation Loss: 1.5603
Epoch 24/1000, Train Loss: 1.0210, Validation Loss: 7.0966
Epoch 25/1000, Train Loss: 0.9775, Validation Loss: 1.8491
Epoch 26/1000, Train Loss: 2.0782, Validation Loss: 2.4681
Epoch 27/1000, Train Loss: 2.2446, Validation Loss: 2.8491
Epoch 28/1000, Train Loss: 0.9783, Validation Loss: 3.8730
Epoch 29/1000, Train Loss: 0.9768, Validation Loss: 1.1172
Epoch 30/1000, Train Loss: 1.0346, Validation Loss: 1.5821
Epoch 31/1000, Train Loss: 1.1977, Validation Loss: 6.4725
Epoch 32/1000, Train Loss: 0.9653, Validation Loss: 3.2819
Epoch 33/1000, Train Loss: 0.9508, Validation Loss: 1.0204
Epoch 34/1000, Train Loss: 18.7542, Validation Loss: 1.4527
Epoch 35/1000, Train Loss: 0.9551, Validation Loss: 1.3771
Epoch 36/1000, Train Loss: 0.9611, Validation Loss: 4.0304
Epoch 37/1000, Train Loss: 0.9448, Validation Loss: 2.4619
Epoch 38/1000, Train Loss: 0.9210, Validation Loss: 2.0947
Epoch 39/1000, Train Loss: 5.6369, Validation Loss: 1.5806
Epoch 40/1000, Train Loss: 1.2407, Validation Loss: 1.5670
Epoch 41/1000, Train Loss: 0.9355, Validation Loss: 2.3261
Epoch 42/1000, Train Loss: 5.0681, Validation Loss: 1.1180
Epoch 43/1000, Train Loss: 0.9300, Validation Loss: 2.5893
Epoch 44/1000, Train Loss: 2.2148, Validation Loss: 282780.5170
Epoch 45/1000, Train Loss: 0.9610, Validation Loss: 2.5875
Epoch 46/1000, Train Loss: 1.2887, Validation Loss: 2.5889
Epoch 47/1000, Train Loss: 0.9009, Validation Loss: 0.8544
Epoch 48/1000, Train Loss: 4.2144, Validation Loss: 2.0323
Epoch 49/1000, Train Loss: 0.8994, Validation Loss: 3.8481
Epoch 50/1000, Train Loss: 13.6833, Validation Loss: 1.6457
Epoch 51/1000, Train Loss: 0.9095, Validation Loss: 1.2389
Epoch 52/1000, Train Loss: 0.9120, Validation Loss: 4.1536
Epoch 53/1000, Train Loss: 1.9097, Validation Loss: 1.1221
Epoch 54/1000, Train Loss: 0.8966, Validation Loss: 6.1588
Epoch 55/1000, Train Loss: 0.9181, Validation Loss: 1.0853
Epoch 56/1000, Train Loss: 840.7858, Validation Loss: 1.3222
Epoch 57/1000, Train Loss: 0.8854, Validation Loss: 4.4117
Epoch 58/1000, Train Loss: 0.8907, Validation Loss: 1.1407
Epoch 59/1000, Train Loss: 0.9079, Validation Loss: 1.5826
Epoch 60/1000, Train Loss: 1.0073, Validation Loss: 1.7357
Epoch 61/1000, Train Loss: 0.9111, Validation Loss: 1.0556
Epoch 62/1000, Train Loss: 0.8757, Validation Loss: 0.7817
Epoch 63/1000, Train Loss: 0.8872, Validation Loss: 4.0579
Epoch 64/1000, Train Loss: 10.7925, Validation Loss: 2.2378
Epoch 65/1000, Train Loss: 3.8177, Validation Loss: 2.4673
Epoch 66/1000, Train Loss: 0.8696, Validation Loss: 3.9569
Epoch 67/1000, Train Loss: 1.0696, Validation Loss: 1.6470
Epoch 68/1000, Train Loss: 0.8538, Validation Loss: 1.0666
Epoch 69/1000, Train Loss: 0.9724, Validation Loss: 1.7667
Epoch 70/1000, Train Loss: 0.8779, Validation Loss: 2.2532
Epoch 71/1000, Train Loss: 0.8723, Validation Loss: 0.9202
Epoch 72/1000, Train Loss: 7.3190, Validation Loss: 1.1796
Epoch 73/1000, Train Loss: 0.9155, Validation Loss: 1.0445
Epoch 74/1000, Train Loss: 0.8776, Validation Loss: 3.4954
Epoch 75/1000, Train Loss: 1.0854, Validation Loss: 1.8259
Epoch 76/1000, Train Loss: 50.2993, Validation Loss: 4.2567
Epoch 77/1000, Train Loss: 0.8877, Validation Loss: 1.6251
Epoch 78/1000, Train Loss: 1.0345, Validation Loss: 0.8297
Epoch 79/1000, Train Loss: 0.8606, Validation Loss: 3.8080
Epoch 80/1000, Train Loss: 0.8961, Validation Loss: 1.2176
