Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-t1ha1wu9
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.8322, Validation Loss: 1.7084
Epoch 2/1000, Train Loss: 1.2400, Validation Loss: 1.9663
Epoch 3/1000, Train Loss: 1.1957, Validation Loss: 2.0861
Epoch 4/1000, Train Loss: 1.1366, Validation Loss: 2.5183
Epoch 5/1000, Train Loss: 1.0911, Validation Loss: 2.9390
Epoch 6/1000, Train Loss: 8.6061, Validation Loss: 3.2861
Epoch 7/1000, Train Loss: 1.0173, Validation Loss: 1.4598
Epoch 8/1000, Train Loss: 1.0499, Validation Loss: 1.1977
Epoch 9/1000, Train Loss: 1.0177, Validation Loss: 1.1818
Epoch 10/1000, Train Loss: 0.9655, Validation Loss: 1.3967
Epoch 11/1000, Train Loss: 0.9291, Validation Loss: 16.2758
Epoch 12/1000, Train Loss: 43.4423, Validation Loss: 1.2264
Epoch 13/1000, Train Loss: 0.9150, Validation Loss: 3.2821
Epoch 14/1000, Train Loss: 1.2659, Validation Loss: 11.5044
Epoch 15/1000, Train Loss: 0.8419, Validation Loss: 4.0588
Epoch 16/1000, Train Loss: 0.8414, Validation Loss: 1.1722
Epoch 17/1000, Train Loss: 0.8269, Validation Loss: 6.2434
Epoch 18/1000, Train Loss: 0.8168, Validation Loss: 3.5246
Epoch 19/1000, Train Loss: 0.7893, Validation Loss: 2.9702
Epoch 20/1000, Train Loss: 0.7822, Validation Loss: 1.5032
Epoch 21/1000, Train Loss: 0.8800, Validation Loss: 1.2404
Epoch 22/1000, Train Loss: 0.7774, Validation Loss: 2.5193
Epoch 23/1000, Train Loss: 0.8191, Validation Loss: 2.2880
Epoch 24/1000, Train Loss: 0.7576, Validation Loss: 15.3413
Epoch 25/1000, Train Loss: 0.7513, Validation Loss: 3.0721
Epoch 26/1000, Train Loss: 0.7376, Validation Loss: 1.4766
Epoch 27/1000, Train Loss: 0.7437, Validation Loss: 1.8920
Epoch 28/1000, Train Loss: 0.7973, Validation Loss: 2.0309
Epoch 29/1000, Train Loss: 0.7358, Validation Loss: 2.8436
Epoch 30/1000, Train Loss: 14.0639, Validation Loss: 4.5122
Epoch 31/1000, Train Loss: 0.7328, Validation Loss: 1.1969
Epoch 32/1000, Train Loss: 0.7210, Validation Loss: 7.9938
Epoch 33/1000, Train Loss: 0.7071, Validation Loss: 2.6459
Epoch 34/1000, Train Loss: 0.7095, Validation Loss: 1.5946
Epoch 35/1000, Train Loss: 0.7163, Validation Loss: 4.9079
Epoch 36/1000, Train Loss: 0.6965, Validation Loss: 2.7690
Epoch 37/1000, Train Loss: 0.7006, Validation Loss: 2.0645
Epoch 38/1000, Train Loss: 0.6931, Validation Loss: 4.2993
Epoch 39/1000, Train Loss: 0.7642, Validation Loss: 1.6090
Epoch 40/1000, Train Loss: 0.7021, Validation Loss: 11.0012
Epoch 41/1000, Train Loss: 0.7262, Validation Loss: 2.1443
Epoch 42/1000, Train Loss: 0.6947, Validation Loss: 1.0560
Epoch 43/1000, Train Loss: 0.6806, Validation Loss: 0.9709
Epoch 44/1000, Train Loss: 0.6755, Validation Loss: 2.6670
Epoch 45/1000, Train Loss: 0.8450, Validation Loss: 1.9391
Epoch 46/1000, Train Loss: 1.1050, Validation Loss: 0.6954
Epoch 47/1000, Train Loss: 0.6757, Validation Loss: 5.3700
Epoch 48/1000, Train Loss: 0.6725, Validation Loss: 1.0010
Epoch 49/1000, Train Loss: 0.6738, Validation Loss: 2.9642
Epoch 50/1000, Train Loss: 0.6718, Validation Loss: 3.5186
Epoch 51/1000, Train Loss: 0.6475, Validation Loss: 17.4516
Epoch 52/1000, Train Loss: 0.6762, Validation Loss: 1.1372
Epoch 53/1000, Train Loss: 0.6460, Validation Loss: 1.6555
Epoch 54/1000, Train Loss: 0.6615, Validation Loss: 0.6249
Epoch 55/1000, Train Loss: 0.6501, Validation Loss: 3.3366
Epoch 56/1000, Train Loss: 0.6565, Validation Loss: 3.2200
Epoch 57/1000, Train Loss: 0.6950, Validation Loss: 1.2858
Epoch 58/1000, Train Loss: 0.6458, Validation Loss: 0.7445
Epoch 59/1000, Train Loss: 0.6541, Validation Loss: 0.9411
Epoch 60/1000, Train Loss: 0.6572, Validation Loss: 2.2304
Epoch 61/1000, Train Loss: 0.7242, Validation Loss: 4.4283
Epoch 62/1000, Train Loss: 0.6558, Validation Loss: 4.9149
Epoch 63/1000, Train Loss: 0.6458, Validation Loss: 1.7991
Epoch 64/1000, Train Loss: 0.6503, Validation Loss: 1.1271
Epoch 65/1000, Train Loss: 0.6458, Validation Loss: 4.6452
Epoch 66/1000, Train Loss: 0.6451, Validation Loss: 3.7347
Epoch 67/1000, Train Loss: 0.9741, Validation Loss: 6.3162
Epoch 68/1000, Train Loss: 0.6331, Validation Loss: 2.0531
Epoch 69/1000, Train Loss: 0.6276, Validation Loss: 3.4521
Epoch 70/1000, Train Loss: 0.6419, Validation Loss: 1.4209
Epoch 71/1000, Train Loss: 0.6386, Validation Loss: 2.8977
Epoch 72/1000, Train Loss: 0.6342, Validation Loss: 0.7970
Epoch 73/1000, Train Loss: 0.6503, Validation Loss: 1.2452
Epoch 74/1000, Train Loss: 0.7226, Validation Loss: 3.4825
Epoch 75/1000, Train Loss: 0.6339, Validation Loss: 3.9469
Epoch 76/1000, Train Loss: 0.6569, Validation Loss: 3.1459
Epoch 77/1000, Train Loss: 0.6386, Validation Loss: 10.7415
Epoch 78/1000, Train Loss: 0.6377, Validation Loss: 1.1688
Epoch 79/1000, Train Loss: 0.6326, Validation Loss: 2.0591
Epoch 80/1000, Train Loss: 0.6655, Validation Loss: 1.0179
Epoch 81/1000, Train Loss: 0.6265, Validation Loss: 1.5223
Epoch 82/1000, Train Loss: 0.6252, Validation Loss: 1.6057
Epoch 83/1000, Train Loss: 0.6312, Validation Loss: 0.8863
Epoch 84/1000, Train Loss: 0.6317, Validation Loss: 1.0397
Epoch 85/1000, Train Loss: 0.6231, Validation Loss: 1.7346
Epoch 86/1000, Train Loss: 0.6159, Validation Loss: 5.2743
Epoch 87/1000, Train Loss: 0.6383, Validation Loss: 2.3236
Epoch 88/1000, Train Loss: 0.6366, Validation Loss: 1.0197
Epoch 89/1000, Train Loss: 0.6272, Validation Loss: 1.2026
Epoch 90/1000, Train Loss: 0.6184, Validation Loss: 7.8370
Epoch 91/1000, Train Loss: 0.6299, Validation Loss: 0.9505
Epoch 92/1000, Train Loss: 0.6321, Validation Loss: 1.5982
Epoch 93/1000, Train Loss: 0.6219, Validation Loss: 3.5183
Epoch 94/1000, Train Loss: 0.6140, Validation Loss: 1.1428
Epoch 95/1000, Train Loss: 0.6509, Validation Loss: 2.3921
Epoch 96/1000, Train Loss: 0.6211, Validation Loss: 2.0697
Epoch 97/1000, Train Loss: 0.6124, Validation Loss: 2.0290
Epoch 98/1000, Train Loss: 0.6178, Validation Loss: 1.4057
Epoch 99/1000, Train Loss: 0.6219, Validation Loss: 4.6136
Epoch 100/1000, Train Loss: 0.6176, Validation Loss: 1.1057
Epoch 101/1000, Train Loss: 0.6121, Validation Loss: 1.1139
Epoch 102/1000, Train Loss: 0.6728, Validation Loss: 2.5449
Epoch 103/1000, Train Loss: 0.6131, Validation Loss: 1.8728
Epoch 104/1000, Train Loss: 0.8059, Validation Loss: 0.9133
Epoch 105/1000, Train Loss: 0.6262, Validation Loss: 0.8815
Epoch 106/1000, Train Loss: 0.6107, Validation Loss: 1.5614
Epoch 107/1000, Train Loss: 0.6018, Validation Loss: 1.4709
Epoch 108/1000, Train Loss: 0.5992, Validation Loss: 1.2950
Epoch 109/1000, Train Loss: 0.6030, Validation Loss: 0.7513
Epoch 110/1000, Train Loss: 0.6117, Validation Loss: 1.7106
Epoch 111/1000, Train Loss: 0.6413, Validation Loss: 4.3003
Epoch 112/1000, Train Loss: 0.6170, Validation Loss: 1.4371
Epoch 113/1000, Train Loss: 0.6163, Validation Loss: 1.0650
Epoch 114/1000, Train Loss: 0.6129, Validation Loss: 0.8206
Epoch 115/1000, Train Loss: 0.6085, Validation Loss: 0.7561
