Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ga3stc8o
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.9125, Validation Loss: 3.1815
Epoch 2/1000, Train Loss: 1.4811, Validation Loss: 6.4285
Epoch 3/1000, Train Loss: 1.3986, Validation Loss: 2.8780
Epoch 4/1000, Train Loss: 1.3038, Validation Loss: 1.6321
Epoch 5/1000, Train Loss: 1.2745, Validation Loss: 2.9722
Epoch 6/1000, Train Loss: 13.1927, Validation Loss: 1.2768
Epoch 7/1000, Train Loss: 116.5997, Validation Loss: 1.0525
Epoch 8/1000, Train Loss: 1.1769, Validation Loss: 1.3860
Epoch 9/1000, Train Loss: 6.2455, Validation Loss: 1.8918
Epoch 10/1000, Train Loss: 1.1815, Validation Loss: 1.4946
Epoch 11/1000, Train Loss: 1.1225, Validation Loss: 1.7947
Epoch 12/1000, Train Loss: 1.7256, Validation Loss: 6.5807
Epoch 13/1000, Train Loss: 1.0940, Validation Loss: 1.0886
Epoch 14/1000, Train Loss: 1.1058, Validation Loss: 359.4358
Epoch 15/1000, Train Loss: 2179.9332, Validation Loss: 1.8677
Epoch 16/1000, Train Loss: 1.3926, Validation Loss: 1.2644
Epoch 17/1000, Train Loss: 1.1943, Validation Loss: 2.0718
Epoch 18/1000, Train Loss: 3.9524, Validation Loss: 1.6865
Epoch 19/1000, Train Loss: 8.3076, Validation Loss: 1.4315
Epoch 20/1000, Train Loss: 1.1549, Validation Loss: 1.1011
Epoch 21/1000, Train Loss: 1.0908, Validation Loss: 1.6585
Epoch 22/1000, Train Loss: 2.2380, Validation Loss: 1.3460
Epoch 23/1000, Train Loss: 1.0726, Validation Loss: 4.0430
Epoch 24/1000, Train Loss: 1.1422, Validation Loss: 0.9836
Epoch 25/1000, Train Loss: 1.0827, Validation Loss: 1.0162
Epoch 26/1000, Train Loss: 1.0477, Validation Loss: 1.2951
Epoch 27/1000, Train Loss: 56.7094, Validation Loss: 1.7623
Epoch 28/1000, Train Loss: 1.0354, Validation Loss: 3.7698
Epoch 29/1000, Train Loss: 1.0407, Validation Loss: 4.1535
Epoch 30/1000, Train Loss: 1.3030, Validation Loss: 1.4797
Epoch 31/1000, Train Loss: 1.4011, Validation Loss: 3.6836
Epoch 32/1000, Train Loss: 1.0005, Validation Loss: 0.9786
Epoch 33/1000, Train Loss: 1.4712, Validation Loss: 4.4342
Epoch 34/1000, Train Loss: 0.9898, Validation Loss: 1.9694
Epoch 35/1000, Train Loss: 14.3456, Validation Loss: 2.5199
Epoch 36/1000, Train Loss: 0.9831, Validation Loss: 5.8515
Epoch 37/1000, Train Loss: 1.0240, Validation Loss: 2.7726
Epoch 38/1000, Train Loss: 0.9871, Validation Loss: 2.1524
