Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-fc8eog0q
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.9840, Validation Loss: 1.5515
Epoch 2/1000, Train Loss: 1.5392, Validation Loss: 1.4246
Epoch 3/1000, Train Loss: 1.3491, Validation Loss: 3.5651
Epoch 4/1000, Train Loss: 1.3810, Validation Loss: 2.7636
Epoch 5/1000, Train Loss: 1.1555, Validation Loss: 1.9177
Epoch 6/1000, Train Loss: 1.1306, Validation Loss: 1.6890
Epoch 7/1000, Train Loss: 1.0334, Validation Loss: 2.6475
Epoch 8/1000, Train Loss: 1.0272, Validation Loss: 0.9717
Epoch 9/1000, Train Loss: 1.0030, Validation Loss: 2.5674
Epoch 10/1000, Train Loss: 0.9536, Validation Loss: 2.8028
Epoch 11/1000, Train Loss: 0.9986, Validation Loss: 2.0009
Epoch 12/1000, Train Loss: 0.9639, Validation Loss: 3.0113
Epoch 13/1000, Train Loss: 0.9805, Validation Loss: 1.2622
Epoch 14/1000, Train Loss: 0.9410, Validation Loss: 1.7163
Epoch 15/1000, Train Loss: 0.9207, Validation Loss: 1.0477
Epoch 16/1000, Train Loss: 0.9274, Validation Loss: 3.4219
Epoch 17/1000, Train Loss: 0.8702, Validation Loss: 1.5355
Epoch 18/1000, Train Loss: 1.0082, Validation Loss: 1.6112
Epoch 19/1000, Train Loss: 0.8816, Validation Loss: 2.2677
Epoch 20/1000, Train Loss: 0.8904, Validation Loss: 1.3893
Epoch 21/1000, Train Loss: 0.8570, Validation Loss: 2.9167
Epoch 22/1000, Train Loss: 0.8485, Validation Loss: 1.8631
Epoch 23/1000, Train Loss: 0.8515, Validation Loss: 1.1327
Epoch 24/1000, Train Loss: 0.8097, Validation Loss: 2.4979
Epoch 25/1000, Train Loss: 0.7882, Validation Loss: 1.3612
Epoch 26/1000, Train Loss: 0.7905, Validation Loss: 1.5567
Epoch 27/1000, Train Loss: 0.8030, Validation Loss: 4.3118
Epoch 28/1000, Train Loss: 0.7927, Validation Loss: 1.0161
Epoch 29/1000, Train Loss: 0.7618, Validation Loss: 1.5305
Epoch 30/1000, Train Loss: 0.7992, Validation Loss: 1.6315
Epoch 31/1000, Train Loss: 0.7776, Validation Loss: 1.3532
Epoch 32/1000, Train Loss: 0.8143, Validation Loss: 3.3196
Epoch 33/1000, Train Loss: 0.7495, Validation Loss: 0.8442
Epoch 34/1000, Train Loss: 0.8187, Validation Loss: 2.3190
Epoch 35/1000, Train Loss: 0.8025, Validation Loss: 0.7245
Epoch 36/1000, Train Loss: 0.7464, Validation Loss: 1.8266
Epoch 37/1000, Train Loss: 0.7435, Validation Loss: 0.7715
Epoch 38/1000, Train Loss: 0.7466, Validation Loss: 1.1151
Epoch 39/1000, Train Loss: 0.8060, Validation Loss: 2.3674
Epoch 40/1000, Train Loss: 0.8896, Validation Loss: 1.3506
Epoch 41/1000, Train Loss: 0.7420, Validation Loss: 0.8614
Epoch 42/1000, Train Loss: 0.7763, Validation Loss: 2.5986
Epoch 43/1000, Train Loss: 0.7836, Validation Loss: 1.6120
Epoch 44/1000, Train Loss: 0.8034, Validation Loss: 0.9425
Epoch 45/1000, Train Loss: 0.7304, Validation Loss: 0.9781
Epoch 46/1000, Train Loss: 0.7474, Validation Loss: 2.2726
