Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-fsropp9w
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 10.8611, Validation Loss: 2.3149
Epoch 2/1000, Train Loss: 1.5595, Validation Loss: 2.5311
Epoch 3/1000, Train Loss: 1.4601, Validation Loss: 1.2549
Epoch 4/1000, Train Loss: 1.4804, Validation Loss: 3.9884
Epoch 5/1000, Train Loss: 1.3714, Validation Loss: 1.0868
Epoch 6/1000, Train Loss: 1.2566, Validation Loss: 1.2650
Epoch 7/1000, Train Loss: 1.3070, Validation Loss: 1.7198
Epoch 8/1000, Train Loss: 1.2830, Validation Loss: 1.6834
Epoch 9/1000, Train Loss: 2.0096, Validation Loss: 2.8342
Epoch 10/1000, Train Loss: 1.2159, Validation Loss: 1.6049
Epoch 11/1000, Train Loss: 76.4911, Validation Loss: 3.4344
Epoch 12/1000, Train Loss: 1.1250, Validation Loss: 1.8304
Epoch 13/1000, Train Loss: 49.2088, Validation Loss: 3.1955
Epoch 14/1000, Train Loss: 1.1250, Validation Loss: 3.0542
Epoch 15/1000, Train Loss: 1.0482, Validation Loss: 5.7649
Epoch 16/1000, Train Loss: 1.0131, Validation Loss: 1.1923
Epoch 17/1000, Train Loss: 14.6293, Validation Loss: 5.8831
Epoch 18/1000, Train Loss: 1.0584, Validation Loss: 5.7161
Epoch 19/1000, Train Loss: 1.0086, Validation Loss: 0.8445
Epoch 20/1000, Train Loss: 3.9032, Validation Loss: 5.9032
Epoch 21/1000, Train Loss: 0.9971, Validation Loss: 0.9251
Epoch 22/1000, Train Loss: 0.9834, Validation Loss: 2.5509
Epoch 23/1000, Train Loss: 5.9108, Validation Loss: 3.5731
Epoch 24/1000, Train Loss: 1.0187, Validation Loss: 1.6463
Epoch 25/1000, Train Loss: 0.9326, Validation Loss: 5.3335
Epoch 26/1000, Train Loss: 0.9346, Validation Loss: 1.3557
Epoch 27/1000, Train Loss: 0.9257, Validation Loss: 2.4223
