Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-8upet6nw
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 12.4128, Validation Loss: 2.1442
Epoch 2/1000, Train Loss: 1.6136, Validation Loss: 2.6581
Epoch 3/1000, Train Loss: 1.3789, Validation Loss: 4.2326
Epoch 4/1000, Train Loss: 1.3316, Validation Loss: 4.0601
Epoch 5/1000, Train Loss: 1.2522, Validation Loss: 1.8647
Epoch 6/1000, Train Loss: 1.2466, Validation Loss: 1.9394
Epoch 7/1000, Train Loss: 1.1848, Validation Loss: 2.2345
Epoch 8/1000, Train Loss: 1.1390, Validation Loss: 1.0299
Epoch 9/1000, Train Loss: 1.1391, Validation Loss: 3.2136
Epoch 10/1000, Train Loss: 1.1166, Validation Loss: 0.9845
Epoch 11/1000, Train Loss: 1.1003, Validation Loss: 1.2449
Epoch 12/1000, Train Loss: 1.1257, Validation Loss: 3.8221
Epoch 13/1000, Train Loss: 1.0866, Validation Loss: 1.6478
Epoch 14/1000, Train Loss: 1.1517, Validation Loss: 6.6317
Epoch 15/1000, Train Loss: 1.0946, Validation Loss: 1.0697
Epoch 16/1000, Train Loss: 1.0534, Validation Loss: 0.8767
Epoch 17/1000, Train Loss: 1.0506, Validation Loss: 1.3088
Epoch 18/1000, Train Loss: 1.3139, Validation Loss: 2.1726
Epoch 19/1000, Train Loss: 1.0732, Validation Loss: 1.2555
Epoch 20/1000, Train Loss: 1.2903, Validation Loss: 1.3355
Epoch 21/1000, Train Loss: 1.1355, Validation Loss: 1.0251
Epoch 22/1000, Train Loss: 1.0060, Validation Loss: 2.4016
Epoch 23/1000, Train Loss: 1.0000, Validation Loss: 1.7232
Epoch 24/1000, Train Loss: 1.1139, Validation Loss: 2.7840
Epoch 25/1000, Train Loss: 1.0360, Validation Loss: 1.0851
Epoch 26/1000, Train Loss: 0.9328, Validation Loss: 2.4166
Epoch 27/1000, Train Loss: 0.9871, Validation Loss: 2.7607
Epoch 28/1000, Train Loss: 0.9454, Validation Loss: 1.5102
Epoch 29/1000, Train Loss: 1.0136, Validation Loss: 1.6936
Epoch 30/1000, Train Loss: 1.0661, Validation Loss: 1.7359
Epoch 31/1000, Train Loss: 0.9117, Validation Loss: 1.2898
Epoch 32/1000, Train Loss: 0.8852, Validation Loss: 2.7091
Epoch 33/1000, Train Loss: 6.1883, Validation Loss: 2.0343
Epoch 34/1000, Train Loss: 0.8987, Validation Loss: 2.1776
Epoch 35/1000, Train Loss: 0.9021, Validation Loss: 1.5106
Epoch 36/1000, Train Loss: 0.8684, Validation Loss: 2.5736
Epoch 37/1000, Train Loss: 0.8922, Validation Loss: 8.1075
Epoch 38/1000, Train Loss: 0.9078, Validation Loss: 1.0780
Epoch 39/1000, Train Loss: 0.8961, Validation Loss: 1.1118
Epoch 40/1000, Train Loss: 0.8986, Validation Loss: 2.0355
Epoch 41/1000, Train Loss: 0.9305, Validation Loss: 1.7806
Epoch 42/1000, Train Loss: 0.8290, Validation Loss: 1.4781
Epoch 43/1000, Train Loss: 0.8493, Validation Loss: 1.2435
