Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-s47fe77g
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.1942, Validation Loss: 3.9761
Epoch 2/1000, Train Loss: 1.4529, Validation Loss: 1.1259
Epoch 3/1000, Train Loss: 1.3424, Validation Loss: 1.4608
Epoch 4/1000, Train Loss: 1.2871, Validation Loss: 2.6952
Epoch 5/1000, Train Loss: 1.1908, Validation Loss: 1.5894
Epoch 6/1000, Train Loss: 1.7533, Validation Loss: 2.0601
Epoch 7/1000, Train Loss: 1.2297, Validation Loss: 1.4083
Epoch 8/1000, Train Loss: 1.2306, Validation Loss: 1.3561
Epoch 9/1000, Train Loss: 1.1223, Validation Loss: 2.5784
Epoch 10/1000, Train Loss: 1.5475, Validation Loss: 1.5582
Epoch 11/1000, Train Loss: 1.1360, Validation Loss: 1.1200
Epoch 12/1000, Train Loss: 1.1360, Validation Loss: 1.7787
Epoch 13/1000, Train Loss: 1.0728, Validation Loss: 0.8949
Epoch 14/1000, Train Loss: 1.1253, Validation Loss: 1.9509
Epoch 15/1000, Train Loss: 1.0534, Validation Loss: 0.9637
Epoch 16/1000, Train Loss: 1.2459, Validation Loss: 1.2744
Epoch 17/1000, Train Loss: 1.1330, Validation Loss: 1.2140
Epoch 18/1000, Train Loss: 1.0726, Validation Loss: 1.1018
Epoch 19/1000, Train Loss: 1.0485, Validation Loss: 2.1435
Epoch 20/1000, Train Loss: 1.1400, Validation Loss: 1.1878
Epoch 21/1000, Train Loss: 1.0392, Validation Loss: 1.2720
Epoch 22/1000, Train Loss: 1.0481, Validation Loss: 1.0598
Epoch 23/1000, Train Loss: 1.3147, Validation Loss: 0.8738
Epoch 24/1000, Train Loss: 1.0499, Validation Loss: 1.5730
Epoch 25/1000, Train Loss: 1.1219, Validation Loss: 1.9602
Epoch 26/1000, Train Loss: 1.0790, Validation Loss: 1.4331
Epoch 27/1000, Train Loss: 1.0191, Validation Loss: 1.2948
Epoch 28/1000, Train Loss: 1.1333, Validation Loss: 0.9728
Epoch 29/1000, Train Loss: 1.0045, Validation Loss: 1.7430
Epoch 30/1000, Train Loss: 0.9965, Validation Loss: 2.9011
Epoch 31/1000, Train Loss: 1.0152, Validation Loss: 0.8272
Epoch 32/1000, Train Loss: 1.0280, Validation Loss: 1.1799
Epoch 33/1000, Train Loss: 1.4665, Validation Loss: 1.9506
Epoch 34/1000, Train Loss: 1.1615, Validation Loss: 1.7304
Epoch 35/1000, Train Loss: 1.0256, Validation Loss: 2.5164
Epoch 36/1000, Train Loss: 0.9796, Validation Loss: 1.0366
Epoch 37/1000, Train Loss: 0.9863, Validation Loss: 1.9532
Epoch 38/1000, Train Loss: 1.0215, Validation Loss: 0.9959
Epoch 39/1000, Train Loss: 1.1505, Validation Loss: 1.6494
Epoch 40/1000, Train Loss: 0.9918, Validation Loss: 1.2174
Epoch 41/1000, Train Loss: 1.0549, Validation Loss: 3.6250
Epoch 42/1000, Train Loss: 0.9779, Validation Loss: 0.8910
Epoch 43/1000, Train Loss: 1.0183, Validation Loss: 1.2932
Epoch 44/1000, Train Loss: 1.0563, Validation Loss: 1.2467
Epoch 45/1000, Train Loss: 2.5548, Validation Loss: 1.0669
Epoch 46/1000, Train Loss: 0.9789, Validation Loss: 1.0711
Epoch 47/1000, Train Loss: 0.9815, Validation Loss: 0.9288
Epoch 48/1000, Train Loss: 1.0253, Validation Loss: 0.9032
Epoch 49/1000, Train Loss: 0.9780, Validation Loss: 1.3449
Epoch 50/1000, Train Loss: 1.0555, Validation Loss: 1.8909
Epoch 51/1000, Train Loss: 0.9825, Validation Loss: 1.1238
Epoch 52/1000, Train Loss: 0.9642, Validation Loss: 1.3033
Epoch 53/1000, Train Loss: 72.0728, Validation Loss: 1.4826
Epoch 54/1000, Train Loss: 1.0542, Validation Loss: 3.0337
Epoch 55/1000, Train Loss: 1.0393, Validation Loss: 0.9603
Epoch 56/1000, Train Loss: 0.9605, Validation Loss: 1.5993
Epoch 57/1000, Train Loss: 0.9588, Validation Loss: 3.4506
Epoch 58/1000, Train Loss: 0.9890, Validation Loss: 1.2426
Epoch 59/1000, Train Loss: 1.0114, Validation Loss: 1.0331
Epoch 60/1000, Train Loss: 1.0842, Validation Loss: 1.3940
Epoch 61/1000, Train Loss: 0.9987, Validation Loss: 1.2279
Epoch 62/1000, Train Loss: 0.9756, Validation Loss: 2.1951
Epoch 63/1000, Train Loss: 1.1086, Validation Loss: 0.9079
Epoch 64/1000, Train Loss: 1.1143, Validation Loss: 1.2584
Epoch 65/1000, Train Loss: 0.9929, Validation Loss: 1.4010
Epoch 66/1000, Train Loss: 0.9850, Validation Loss: 2.0320
Epoch 67/1000, Train Loss: 1.0271, Validation Loss: 1.5139
Epoch 68/1000, Train Loss: 0.9862, Validation Loss: 2.0256
Epoch 69/1000, Train Loss: 0.9740, Validation Loss: 1.9896
Epoch 70/1000, Train Loss: 0.9834, Validation Loss: 1.6971
Epoch 71/1000, Train Loss: 1.2927, Validation Loss: 1.2694
Epoch 72/1000, Train Loss: 0.9619, Validation Loss: 0.8966
