Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-4k9e43gs
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.8329, Validation Loss: 2.1716
Epoch 2/1000, Train Loss: 1.3898, Validation Loss: 1.5244
Epoch 3/1000, Train Loss: 1.2664, Validation Loss: 4.3808
Epoch 4/1000, Train Loss: 1.2112, Validation Loss: 2.7702
Epoch 5/1000, Train Loss: 1.1912, Validation Loss: 1.3162
Epoch 6/1000, Train Loss: 1.0689, Validation Loss: 2.9733
Epoch 7/1000, Train Loss: 1.0901, Validation Loss: 3.1745
Epoch 8/1000, Train Loss: 1.1046, Validation Loss: 4.0517
Epoch 9/1000, Train Loss: 1.0215, Validation Loss: 2.6990
Epoch 10/1000, Train Loss: 1.0441, Validation Loss: 2.0112
Epoch 11/1000, Train Loss: 1.0273, Validation Loss: 2.1436
Epoch 12/1000, Train Loss: 1.0307, Validation Loss: 2.0043
Epoch 13/1000, Train Loss: 1.0251, Validation Loss: 2.5875
Epoch 14/1000, Train Loss: 0.9841, Validation Loss: 2.2027
Epoch 15/1000, Train Loss: 1.0602, Validation Loss: 1.5993
Epoch 16/1000, Train Loss: 0.9946, Validation Loss: 3.0799
Epoch 17/1000, Train Loss: 1.1038, Validation Loss: 2.2505
Epoch 18/1000, Train Loss: 1.0621, Validation Loss: 1.5212
Epoch 19/1000, Train Loss: 1.0009, Validation Loss: 2.2150
Epoch 20/1000, Train Loss: 0.9452, Validation Loss: 2.6657
Epoch 21/1000, Train Loss: 0.9679, Validation Loss: 2.8282
Epoch 22/1000, Train Loss: 1.0270, Validation Loss: 1.8834
Epoch 23/1000, Train Loss: 1.0273, Validation Loss: 0.8565
Epoch 24/1000, Train Loss: 0.9528, Validation Loss: 1.8595
Epoch 25/1000, Train Loss: 0.9090, Validation Loss: 3.1353
Epoch 26/1000, Train Loss: 0.9449, Validation Loss: 1.0285
Epoch 27/1000, Train Loss: 1.7633, Validation Loss: 1.2431
Epoch 28/1000, Train Loss: 0.9557, Validation Loss: 0.9950
Epoch 29/1000, Train Loss: 0.9140, Validation Loss: 2.2222
Epoch 30/1000, Train Loss: 0.9195, Validation Loss: 1.4933
Epoch 31/1000, Train Loss: 0.9570, Validation Loss: 0.9604
Epoch 32/1000, Train Loss: 0.9292, Validation Loss: 0.8113
Epoch 33/1000, Train Loss: 0.8758, Validation Loss: 1.4131
Epoch 34/1000, Train Loss: 0.8792, Validation Loss: 5.2318
Epoch 35/1000, Train Loss: 0.8767, Validation Loss: 1.3326
Epoch 36/1000, Train Loss: 0.9254, Validation Loss: 2.3215
Epoch 37/1000, Train Loss: 0.9885, Validation Loss: 1.2226
Epoch 38/1000, Train Loss: 0.8616, Validation Loss: 0.8508
Epoch 39/1000, Train Loss: 0.9469, Validation Loss: 1.5972
Epoch 40/1000, Train Loss: 0.8745, Validation Loss: 1.9481
Epoch 41/1000, Train Loss: 0.8711, Validation Loss: 1.0627
Epoch 42/1000, Train Loss: 32.4315, Validation Loss: 0.8580
Epoch 43/1000, Train Loss: 0.8398, Validation Loss: 0.8320
Epoch 44/1000, Train Loss: 0.8548, Validation Loss: 0.8325
Epoch 45/1000, Train Loss: 0.8292, Validation Loss: 1.9032
Epoch 46/1000, Train Loss: 0.8278, Validation Loss: 2.7303
Epoch 47/1000, Train Loss: 1.3052, Validation Loss: 2.3122
Epoch 48/1000, Train Loss: 1.0981, Validation Loss: 0.8101
Epoch 49/1000, Train Loss: 0.8082, Validation Loss: 1.2613
Epoch 50/1000, Train Loss: 0.8017, Validation Loss: 5.2333
Epoch 51/1000, Train Loss: 0.8524, Validation Loss: 2.8885
Epoch 52/1000, Train Loss: 0.8435, Validation Loss: 3.7941
Epoch 53/1000, Train Loss: 0.7875, Validation Loss: 1.6043
Epoch 54/1000, Train Loss: 0.7868, Validation Loss: 1.2734
Epoch 55/1000, Train Loss: 0.8212, Validation Loss: 1.6252
Epoch 56/1000, Train Loss: 0.8540, Validation Loss: 1.3754
Epoch 57/1000, Train Loss: 0.7930, Validation Loss: 5.7315
Epoch 58/1000, Train Loss: 1.0561, Validation Loss: 2.4735
Epoch 59/1000, Train Loss: 0.8105, Validation Loss: 4.0290
Epoch 60/1000, Train Loss: 0.8319, Validation Loss: 2.0764
Epoch 61/1000, Train Loss: 0.8032, Validation Loss: 1.2090
Epoch 62/1000, Train Loss: 0.8495, Validation Loss: 1.8507
Epoch 63/1000, Train Loss: 0.8468, Validation Loss: 2.0690
Epoch 64/1000, Train Loss: 0.7873, Validation Loss: 6.1431
Epoch 65/1000, Train Loss: 0.8022, Validation Loss: 1.3662
Epoch 66/1000, Train Loss: 0.8317, Validation Loss: 4.4753
Epoch 67/1000, Train Loss: 0.8182, Validation Loss: 1.2179
Epoch 68/1000, Train Loss: 0.8162, Validation Loss: 5.1370
Epoch 69/1000, Train Loss: 1.5272, Validation Loss: 3.0526
Epoch 70/1000, Train Loss: 0.7903, Validation Loss: 1.8346
Epoch 71/1000, Train Loss: 0.7866, Validation Loss: 2.7116
Epoch 72/1000, Train Loss: 0.8137, Validation Loss: 2.5107
Epoch 73/1000, Train Loss: 0.7883, Validation Loss: 0.7811
Epoch 74/1000, Train Loss: 0.7655, Validation Loss: 3.9574
Epoch 75/1000, Train Loss: 0.8033, Validation Loss: 2.3143
Epoch 76/1000, Train Loss: 0.7963, Validation Loss: 3.9197
Epoch 77/1000, Train Loss: 16.8170, Validation Loss: 1.6828
Epoch 78/1000, Train Loss: 2.4068, Validation Loss: 1.3721
Epoch 79/1000, Train Loss: 0.8148, Validation Loss: 0.9146
Epoch 80/1000, Train Loss: 0.8133, Validation Loss: 1.1402
Epoch 81/1000, Train Loss: 0.7664, Validation Loss: 1.3449
Epoch 82/1000, Train Loss: 0.7554, Validation Loss: 2.2315
Epoch 83/1000, Train Loss: 0.7604, Validation Loss: 2.7078
Epoch 84/1000, Train Loss: 0.7690, Validation Loss: 1.5887
Epoch 85/1000, Train Loss: 0.7419, Validation Loss: 1.5173
Epoch 86/1000, Train Loss: 0.8969, Validation Loss: 2.7399
Epoch 87/1000, Train Loss: 0.7551, Validation Loss: 1.1375
Epoch 88/1000, Train Loss: 0.7839, Validation Loss: 1.0618
Epoch 89/1000, Train Loss: 0.7455, Validation Loss: 2.1576
Epoch 90/1000, Train Loss: 1.0432, Validation Loss: 2.5322
Epoch 91/1000, Train Loss: 0.8104, Validation Loss: 8.7448
Epoch 92/1000, Train Loss: 0.7788, Validation Loss: 1.3837
Epoch 93/1000, Train Loss: 0.7572, Validation Loss: 1.4452
Epoch 94/1000, Train Loss: 0.7932, Validation Loss: 1.4671
Epoch 95/1000, Train Loss: 0.7734, Validation Loss: 1.6796
Epoch 96/1000, Train Loss: 0.7541, Validation Loss: 1.1761
Epoch 97/1000, Train Loss: 0.7799, Validation Loss: 1.5583
Epoch 98/1000, Train Loss: 0.7525, Validation Loss: 1.6420
Epoch 99/1000, Train Loss: 0.8133, Validation Loss: 1.3456
Epoch 100/1000, Train Loss: 0.7427, Validation Loss: 2.9791
Epoch 101/1000, Train Loss: 0.7303, Validation Loss: 1.7607
Epoch 102/1000, Train Loss: 0.7841, Validation Loss: 3.3036
Epoch 103/1000, Train Loss: 0.9829, Validation Loss: 0.7764
Epoch 104/1000, Train Loss: 0.7483, Validation Loss: 2.7666
Epoch 105/1000, Train Loss: 0.7654, Validation Loss: 0.9581
Epoch 106/1000, Train Loss: 0.7161, Validation Loss: 1.6095
Epoch 107/1000, Train Loss: 0.7333, Validation Loss: 0.8924
Epoch 108/1000, Train Loss: 0.7201, Validation Loss: 1.1141
Epoch 109/1000, Train Loss: 0.7478, Validation Loss: 1.4978
Epoch 110/1000, Train Loss: 0.6961, Validation Loss: 2.1660
Epoch 111/1000, Train Loss: 0.7163, Validation Loss: 1.4844
Epoch 112/1000, Train Loss: 0.7195, Validation Loss: 1.3363
