Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ytn6cc0n
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.8496, Validation Loss: 1.6487
Epoch 2/1000, Train Loss: 1.3124, Validation Loss: 1.9563
Epoch 3/1000, Train Loss: 1.2638, Validation Loss: 1.1547
Epoch 4/1000, Train Loss: 1.1812, Validation Loss: 1.8495
Epoch 5/1000, Train Loss: 1.1271, Validation Loss: 1.2071
Epoch 6/1000, Train Loss: 1.0400, Validation Loss: 4.2749
Epoch 7/1000, Train Loss: 1.1319, Validation Loss: 2.6958
Epoch 8/1000, Train Loss: 1.0132, Validation Loss: 1.7935
Epoch 9/1000, Train Loss: 0.9517, Validation Loss: 42.0012
Epoch 10/1000, Train Loss: 0.9354, Validation Loss: 3.7443
Epoch 11/1000, Train Loss: 1.6263, Validation Loss: 5.0276
Epoch 12/1000, Train Loss: 0.8951, Validation Loss: 1.5952
Epoch 13/1000, Train Loss: 0.8655, Validation Loss: 1.2576
Epoch 14/1000, Train Loss: 1.7084, Validation Loss: 0.9347
Epoch 15/1000, Train Loss: 0.8230, Validation Loss: 2.0783
Epoch 16/1000, Train Loss: 0.8031, Validation Loss: 4.0630
Epoch 17/1000, Train Loss: 0.7878, Validation Loss: 1.0343
Epoch 18/1000, Train Loss: 0.7786, Validation Loss: 2.4563
Epoch 19/1000, Train Loss: 0.7772, Validation Loss: 1.4865
Epoch 20/1000, Train Loss: 0.7752, Validation Loss: 3.0366
Epoch 21/1000, Train Loss: 0.7440, Validation Loss: 0.9159
Epoch 22/1000, Train Loss: 0.7556, Validation Loss: 1.3181
Epoch 23/1000, Train Loss: 0.7456, Validation Loss: 3.6980
Epoch 24/1000, Train Loss: 0.7404, Validation Loss: 1.4450
Epoch 25/1000, Train Loss: 0.7612, Validation Loss: 14.2417
Epoch 26/1000, Train Loss: 0.7319, Validation Loss: 0.8285
Epoch 27/1000, Train Loss: 0.7141, Validation Loss: 29.1573
Epoch 28/1000, Train Loss: 0.9052, Validation Loss: 1.7750
Epoch 29/1000, Train Loss: 0.7424, Validation Loss: 1.4271
Epoch 30/1000, Train Loss: 0.7271, Validation Loss: 0.9137
Epoch 31/1000, Train Loss: 0.7034, Validation Loss: 1.0661
