Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-9pdfdg17
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6124, Validation Loss: 5.8260
Epoch 2/1000, Train Loss: 1.2337, Validation Loss: 3.2615
Epoch 3/1000, Train Loss: 1.1157, Validation Loss: 3.4961
Epoch 4/1000, Train Loss: 1.0785, Validation Loss: 2.6046
Epoch 5/1000, Train Loss: 1.0335, Validation Loss: 2.0272
Epoch 6/1000, Train Loss: 0.9880, Validation Loss: 2.2039
Epoch 7/1000, Train Loss: 0.9675, Validation Loss: 1.4498
Epoch 8/1000, Train Loss: 17.1435, Validation Loss: 1.3179
Epoch 9/1000, Train Loss: 0.9373, Validation Loss: 27.5323
Epoch 10/1000, Train Loss: 2.0378, Validation Loss: 1.7975
Epoch 11/1000, Train Loss: 0.9095, Validation Loss: 2.5044
Epoch 12/1000, Train Loss: 0.8612, Validation Loss: 82.3765
Epoch 13/1000, Train Loss: 0.8432, Validation Loss: 2.7013
Epoch 14/1000, Train Loss: 1.0717, Validation Loss: 3.2427
Epoch 15/1000, Train Loss: 0.8114, Validation Loss: 3.4231
Epoch 16/1000, Train Loss: 0.8246, Validation Loss: 2.7101
Epoch 17/1000, Train Loss: 0.8063, Validation Loss: 1.6739
Epoch 18/1000, Train Loss: 1.9096, Validation Loss: 1.1149
Epoch 19/1000, Train Loss: 0.7726, Validation Loss: 1.3586
Epoch 20/1000, Train Loss: 0.7856, Validation Loss: 2.4597
Epoch 21/1000, Train Loss: 0.7530, Validation Loss: 1.8961
Epoch 22/1000, Train Loss: 0.7457, Validation Loss: 2.6885
Epoch 23/1000, Train Loss: 0.7392, Validation Loss: 1.0549
Epoch 24/1000, Train Loss: 0.7197, Validation Loss: 1.4644
Epoch 25/1000, Train Loss: 0.7253, Validation Loss: 4.8071
Epoch 26/1000, Train Loss: 0.7092, Validation Loss: 10.2410
Epoch 27/1000, Train Loss: 0.7083, Validation Loss: 1.8379
Epoch 28/1000, Train Loss: 0.7079, Validation Loss: 2.2801
Epoch 29/1000, Train Loss: 0.7050, Validation Loss: 1.6404
Epoch 30/1000, Train Loss: 0.8141, Validation Loss: 3.5927
Epoch 31/1000, Train Loss: 0.6963, Validation Loss: 3.6054
Epoch 32/1000, Train Loss: 0.6959, Validation Loss: 3.1247
Epoch 33/1000, Train Loss: 1.2733, Validation Loss: 2.0332
Epoch 34/1000, Train Loss: 0.7240, Validation Loss: 1.3924
Epoch 35/1000, Train Loss: 0.6868, Validation Loss: 1.8524
Epoch 36/1000, Train Loss: 0.7009, Validation Loss: 1.0766
Epoch 37/1000, Train Loss: 0.6821, Validation Loss: 1.0478
Epoch 38/1000, Train Loss: 0.6754, Validation Loss: 0.7470
Epoch 39/1000, Train Loss: 0.6700, Validation Loss: 0.8506
Epoch 40/1000, Train Loss: 0.6625, Validation Loss: 8.3676
Epoch 41/1000, Train Loss: 0.7828, Validation Loss: 1.6826
Epoch 42/1000, Train Loss: 0.6666, Validation Loss: 1.4055
Epoch 43/1000, Train Loss: 0.6714, Validation Loss: 4.1271
Epoch 44/1000, Train Loss: 0.7356, Validation Loss: 5.6664
Epoch 45/1000, Train Loss: 0.6535, Validation Loss: 6.8757
Epoch 46/1000, Train Loss: 0.6909, Validation Loss: 1.2720
Epoch 47/1000, Train Loss: 0.6668, Validation Loss: 4.0713
Epoch 48/1000, Train Loss: 0.6953, Validation Loss: 4.5924
Epoch 49/1000, Train Loss: 0.6569, Validation Loss: 3.7951
Epoch 50/1000, Train Loss: 0.6582, Validation Loss: 2.1327
Epoch 51/1000, Train Loss: 0.6414, Validation Loss: 1.7713
