Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-zv2nfmvk
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 31.5525, Validation Loss: 1.5951
Epoch 2/1000, Train Loss: 1.5207, Validation Loss: 2.0150
Epoch 3/1000, Train Loss: 1.3240, Validation Loss: 1.6210
Epoch 4/1000, Train Loss: 1.2810, Validation Loss: 1.5601
Epoch 5/1000, Train Loss: 1.2689, Validation Loss: 1.3435
Epoch 6/1000, Train Loss: 1.2013, Validation Loss: 2.8295
Epoch 7/1000, Train Loss: 1.1720, Validation Loss: 1.1947
Epoch 8/1000, Train Loss: 1.1410, Validation Loss: 2.8307
Epoch 9/1000, Train Loss: 1.1601, Validation Loss: 1.5161
Epoch 10/1000, Train Loss: 1.1174, Validation Loss: 1.9939
Epoch 11/1000, Train Loss: 1.0861, Validation Loss: 1.3259
Epoch 12/1000, Train Loss: 1.0568, Validation Loss: 1.3748
Epoch 13/1000, Train Loss: 1.0761, Validation Loss: 2.3595
Epoch 14/1000, Train Loss: 1.0330, Validation Loss: 3.0449
Epoch 15/1000, Train Loss: 1.0984, Validation Loss: 0.8927
Epoch 16/1000, Train Loss: 1.0510, Validation Loss: 2.2454
Epoch 17/1000, Train Loss: 1.0286, Validation Loss: 1.0490
Epoch 18/1000, Train Loss: 1.0052, Validation Loss: 5.7985
Epoch 19/1000, Train Loss: 1.0637, Validation Loss: 1.0674
Epoch 20/1000, Train Loss: 12.5356, Validation Loss: 2.7821
Epoch 21/1000, Train Loss: 1.0932, Validation Loss: 2.0183
Epoch 22/1000, Train Loss: 1.6733, Validation Loss: 1.5232
Epoch 23/1000, Train Loss: 1.0136, Validation Loss: 2.9031
Epoch 24/1000, Train Loss: 1.0443, Validation Loss: 1.7431
Epoch 25/1000, Train Loss: 1.0646, Validation Loss: 2.3165
Epoch 26/1000, Train Loss: 0.9419, Validation Loss: 1.0392
Epoch 27/1000, Train Loss: 0.9958, Validation Loss: 1.1825
Epoch 28/1000, Train Loss: 0.9605, Validation Loss: 2.2626
Epoch 29/1000, Train Loss: 0.9523, Validation Loss: 1.5244
Epoch 30/1000, Train Loss: 0.9959, Validation Loss: 0.8725
Epoch 31/1000, Train Loss: 0.9884, Validation Loss: 1.1234
Epoch 32/1000, Train Loss: 0.8720, Validation Loss: 0.9408
Epoch 33/1000, Train Loss: 0.9070, Validation Loss: 0.8047
Epoch 34/1000, Train Loss: 0.9107, Validation Loss: 3.8374
Epoch 35/1000, Train Loss: 0.9228, Validation Loss: 2.1321
Epoch 36/1000, Train Loss: 8.1721, Validation Loss: 2.5521
Epoch 37/1000, Train Loss: 0.8929, Validation Loss: 1.0278
Epoch 38/1000, Train Loss: 1.1419, Validation Loss: 1.1458
Epoch 39/1000, Train Loss: 0.9422, Validation Loss: 3.1721
Epoch 40/1000, Train Loss: 0.8636, Validation Loss: 1.5892
Epoch 41/1000, Train Loss: 0.8788, Validation Loss: 1.6376
Epoch 42/1000, Train Loss: 0.8890, Validation Loss: 1.0071
Epoch 43/1000, Train Loss: 0.8875, Validation Loss: 1.4350
Epoch 44/1000, Train Loss: 35.4504, Validation Loss: 4.7798
Epoch 45/1000, Train Loss: 1.4688, Validation Loss: 1.1989
Epoch 46/1000, Train Loss: 0.8499, Validation Loss: 1.2734
Epoch 47/1000, Train Loss: 0.8699, Validation Loss: 2.1572
Epoch 48/1000, Train Loss: 0.8860, Validation Loss: 9.8125
Epoch 49/1000, Train Loss: 0.8071, Validation Loss: 1.5008
Epoch 50/1000, Train Loss: 0.8340, Validation Loss: 1.1406
Epoch 51/1000, Train Loss: 0.8132, Validation Loss: 1.0590
Epoch 52/1000, Train Loss: 0.7338, Validation Loss: 1.6127
Epoch 53/1000, Train Loss: 0.8027, Validation Loss: 2.8503
Epoch 54/1000, Train Loss: 3.0887, Validation Loss: 3.7344
Epoch 55/1000, Train Loss: 122.0346, Validation Loss: 3.0519
Epoch 56/1000, Train Loss: 1.0054, Validation Loss: 1.0279
Epoch 57/1000, Train Loss: 0.8008, Validation Loss: 1.7263
Epoch 58/1000, Train Loss: 0.8329, Validation Loss: 3.6574
Epoch 59/1000, Train Loss: 0.7664, Validation Loss: 1.5804
Epoch 60/1000, Train Loss: 0.7632, Validation Loss: 1.1399
Epoch 61/1000, Train Loss: 0.7570, Validation Loss: 0.8448
Epoch 62/1000, Train Loss: 0.7687, Validation Loss: 0.9007
Epoch 63/1000, Train Loss: 0.7404, Validation Loss: 1.7988
Epoch 64/1000, Train Loss: 0.7348, Validation Loss: 101.9946
Epoch 65/1000, Train Loss: 0.7934, Validation Loss: 1.3424
Epoch 66/1000, Train Loss: 0.7143, Validation Loss: 2.5982
Epoch 67/1000, Train Loss: 0.7345, Validation Loss: 4.4245
Epoch 68/1000, Train Loss: 0.7468, Validation Loss: 1.2222
Epoch 69/1000, Train Loss: 0.7276, Validation Loss: 0.8387
Epoch 70/1000, Train Loss: 0.7210, Validation Loss: 2.2607
Epoch 71/1000, Train Loss: 0.8950, Validation Loss: 2.9608
Epoch 72/1000, Train Loss: 0.6991, Validation Loss: 1.3830
Epoch 73/1000, Train Loss: 0.7238, Validation Loss: 1.6581
Epoch 74/1000, Train Loss: 0.7989, Validation Loss: 0.7313
Epoch 75/1000, Train Loss: 0.7037, Validation Loss: 3.4147
Epoch 76/1000, Train Loss: 0.7068, Validation Loss: 2.6150
Epoch 77/1000, Train Loss: 0.6875, Validation Loss: 2.9152
Epoch 78/1000, Train Loss: 0.7722, Validation Loss: 1.6346
Epoch 79/1000, Train Loss: 0.6920, Validation Loss: 1.8171
Epoch 80/1000, Train Loss: 0.8869, Validation Loss: 2.0085
Epoch 81/1000, Train Loss: 0.6922, Validation Loss: 1.5768
Epoch 82/1000, Train Loss: 0.7045, Validation Loss: 2.4386
Epoch 83/1000, Train Loss: 0.7269, Validation Loss: 0.7378
Epoch 84/1000, Train Loss: 0.6768, Validation Loss: 4.2744
Epoch 85/1000, Train Loss: 1.4621, Validation Loss: 2.0750
Epoch 86/1000, Train Loss: 0.6979, Validation Loss: 0.9890
Epoch 87/1000, Train Loss: 0.7236, Validation Loss: 3.9121
Epoch 88/1000, Train Loss: 0.6786, Validation Loss: 1.1563
Epoch 89/1000, Train Loss: 0.6647, Validation Loss: 3.1826
Epoch 90/1000, Train Loss: 0.7027, Validation Loss: 0.7249
Epoch 91/1000, Train Loss: 0.6619, Validation Loss: 1.3699
Epoch 92/1000, Train Loss: 540.6820, Validation Loss: 1.0456
Epoch 93/1000, Train Loss: 0.8028, Validation Loss: 2.8225
Epoch 94/1000, Train Loss: 0.7059, Validation Loss: 1.6275
Epoch 95/1000, Train Loss: 0.6683, Validation Loss: 2.5423
Epoch 96/1000, Train Loss: 0.6718, Validation Loss: 1.6760
Epoch 97/1000, Train Loss: 0.6903, Validation Loss: 4.4331
Epoch 98/1000, Train Loss: 1.1375, Validation Loss: 1.9750
Epoch 99/1000, Train Loss: 0.7052, Validation Loss: 1.9499
Epoch 100/1000, Train Loss: 0.6714, Validation Loss: 6.0775
Epoch 101/1000, Train Loss: 0.6569, Validation Loss: 3.1286
Epoch 102/1000, Train Loss: 0.6707, Validation Loss: 1.0970
Epoch 103/1000, Train Loss: 0.7051, Validation Loss: 1.0723
Epoch 104/1000, Train Loss: 1.3183, Validation Loss: 2.9354
