Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-quro6m9z
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.8046, Validation Loss: 1.4037
Epoch 2/1000, Train Loss: 1.3663, Validation Loss: 1.6147
Epoch 3/1000, Train Loss: 1.2997, Validation Loss: 1.7206
Epoch 4/1000, Train Loss: 1.2126, Validation Loss: 1.4000
Epoch 5/1000, Train Loss: 1.2272, Validation Loss: 2.7333
Epoch 6/1000, Train Loss: 1.2266, Validation Loss: 1.4192
Epoch 7/1000, Train Loss: 1.2372, Validation Loss: 1.7948
Epoch 8/1000, Train Loss: 1.1668, Validation Loss: 1.6591
Epoch 9/1000, Train Loss: 1.1149, Validation Loss: 2.2562
Epoch 10/1000, Train Loss: 1.1155, Validation Loss: 1.4841
Epoch 11/1000, Train Loss: 1.0857, Validation Loss: 1.1573
Epoch 12/1000, Train Loss: 1.0542, Validation Loss: 1.4294
Epoch 13/1000, Train Loss: 1.0534, Validation Loss: 2.3133
Epoch 14/1000, Train Loss: 1.0074, Validation Loss: 1.6850
Epoch 15/1000, Train Loss: 1.0378, Validation Loss: 1.1200
Epoch 16/1000, Train Loss: 1.1035, Validation Loss: 1.0180
Epoch 17/1000, Train Loss: 1.0169, Validation Loss: 1.0067
Epoch 18/1000, Train Loss: 1.0259, Validation Loss: 1.0326
Epoch 19/1000, Train Loss: 0.9655, Validation Loss: 1.1199
Epoch 20/1000, Train Loss: 0.9670, Validation Loss: 1.9740
Epoch 21/1000, Train Loss: 0.9874, Validation Loss: 1.9597
Epoch 22/1000, Train Loss: 1.3143, Validation Loss: 2.9556
Epoch 23/1000, Train Loss: 0.9583, Validation Loss: 1.2340
Epoch 24/1000, Train Loss: 0.9561, Validation Loss: 1.6456
Epoch 25/1000, Train Loss: 0.8996, Validation Loss: 1.1411
Epoch 26/1000, Train Loss: 0.9681, Validation Loss: 2.9334
Epoch 27/1000, Train Loss: 0.9351, Validation Loss: 1.8638
Epoch 28/1000, Train Loss: 0.8709, Validation Loss: 1.2658
Epoch 29/1000, Train Loss: 0.9749, Validation Loss: 3.8453
Epoch 30/1000, Train Loss: 0.8523, Validation Loss: 0.8320
Epoch 31/1000, Train Loss: 0.8587, Validation Loss: 1.2343
Epoch 32/1000, Train Loss: 0.8782, Validation Loss: 5.0806
Epoch 33/1000, Train Loss: 0.9192, Validation Loss: 4.0619
Epoch 34/1000, Train Loss: 0.8752, Validation Loss: 9.2545
Epoch 35/1000, Train Loss: 0.8446, Validation Loss: 1.4942
Epoch 36/1000, Train Loss: 0.8273, Validation Loss: 2.7405
Epoch 37/1000, Train Loss: 0.8378, Validation Loss: 2.1242
Epoch 38/1000, Train Loss: 0.8105, Validation Loss: 3.8953
Epoch 39/1000, Train Loss: 0.8352, Validation Loss: 1.9313
Epoch 40/1000, Train Loss: 0.8215, Validation Loss: 1.4276
Epoch 41/1000, Train Loss: 0.8337, Validation Loss: 1.6037
Epoch 42/1000, Train Loss: 0.7976, Validation Loss: 1.5882
Epoch 43/1000, Train Loss: 0.7943, Validation Loss: 1.4195
Epoch 44/1000, Train Loss: 1.0996, Validation Loss: 1.9649
Epoch 45/1000, Train Loss: 0.8219, Validation Loss: 2.1229
Epoch 46/1000, Train Loss: 0.7976, Validation Loss: 1.4518
Epoch 47/1000, Train Loss: 0.8069, Validation Loss: 1.2325
Epoch 48/1000, Train Loss: 0.7851, Validation Loss: 1.1295
Epoch 49/1000, Train Loss: 0.7722, Validation Loss: 3.8367
Epoch 50/1000, Train Loss: 0.8692, Validation Loss: 4.5942
Epoch 51/1000, Train Loss: 0.7997, Validation Loss: 1.8251
Epoch 52/1000, Train Loss: 0.7736, Validation Loss: 3.4112
Epoch 53/1000, Train Loss: 0.7641, Validation Loss: 1.4432
Epoch 54/1000, Train Loss: 0.7634, Validation Loss: 1.4520
Epoch 55/1000, Train Loss: 0.8063, Validation Loss: 10.6188
Epoch 56/1000, Train Loss: 0.7795, Validation Loss: 0.8981
Epoch 57/1000, Train Loss: 0.7809, Validation Loss: 1.2816
Epoch 58/1000, Train Loss: 0.7422, Validation Loss: 3.1457
Epoch 59/1000, Train Loss: 0.7450, Validation Loss: 1.6231
Epoch 60/1000, Train Loss: 0.7713, Validation Loss: 1.2018
Epoch 61/1000, Train Loss: 0.7858, Validation Loss: 2.1117
Epoch 62/1000, Train Loss: 0.7611, Validation Loss: 2.0087
Epoch 63/1000, Train Loss: 1.1855, Validation Loss: 1.1766
Epoch 64/1000, Train Loss: 0.7359, Validation Loss: 2.3840
Epoch 65/1000, Train Loss: 0.7839, Validation Loss: 0.9309
Epoch 66/1000, Train Loss: 0.7686, Validation Loss: 1.9094
Epoch 67/1000, Train Loss: 0.7531, Validation Loss: 2.2478
Epoch 68/1000, Train Loss: 0.8046, Validation Loss: 0.8118
Epoch 69/1000, Train Loss: 0.7457, Validation Loss: 0.8810
Epoch 70/1000, Train Loss: 0.7334, Validation Loss: 0.7269
Epoch 71/1000, Train Loss: 0.7553, Validation Loss: 0.6812
Epoch 72/1000, Train Loss: 0.7293, Validation Loss: 1.6612
Epoch 73/1000, Train Loss: 0.7310, Validation Loss: 0.8590
Epoch 74/1000, Train Loss: 0.8025, Validation Loss: 7.4536
Epoch 75/1000, Train Loss: 0.7300, Validation Loss: 1.7900
Epoch 76/1000, Train Loss: 0.7574, Validation Loss: 0.9315
Epoch 77/1000, Train Loss: 0.7536, Validation Loss: 1.2686
Epoch 78/1000, Train Loss: 0.7288, Validation Loss: 4.0886
Epoch 79/1000, Train Loss: 0.7379, Validation Loss: 5.7153
Epoch 80/1000, Train Loss: 0.7436, Validation Loss: 1.1978
Epoch 81/1000, Train Loss: 0.7749, Validation Loss: 1.8149
Epoch 82/1000, Train Loss: 0.7412, Validation Loss: 1.6407
Epoch 83/1000, Train Loss: 0.7223, Validation Loss: 2.8176
Epoch 84/1000, Train Loss: 0.7299, Validation Loss: 2.3486
Epoch 85/1000, Train Loss: 1.0175, Validation Loss: 2.2821
Epoch 86/1000, Train Loss: 0.7489, Validation Loss: 1.4513
Epoch 87/1000, Train Loss: 0.7146, Validation Loss: 5.6143
Epoch 88/1000, Train Loss: 0.7514, Validation Loss: 1.1259
Epoch 89/1000, Train Loss: 0.7117, Validation Loss: 3.0431
Epoch 90/1000, Train Loss: 0.7080, Validation Loss: 1.9378
Epoch 91/1000, Train Loss: 0.7464, Validation Loss: 1.0675
Epoch 92/1000, Train Loss: 0.7022, Validation Loss: 0.8481
Epoch 93/1000, Train Loss: 0.8049, Validation Loss: 0.9257
Epoch 94/1000, Train Loss: 0.7276, Validation Loss: 1.1924
Epoch 95/1000, Train Loss: 0.7137, Validation Loss: 12.3187
Epoch 96/1000, Train Loss: 0.7404, Validation Loss: 0.7116
Epoch 97/1000, Train Loss: 0.7103, Validation Loss: 3.8500
Epoch 98/1000, Train Loss: 0.7267, Validation Loss: 0.8751
Epoch 99/1000, Train Loss: 0.7285, Validation Loss: 1.9026
Epoch 100/1000, Train Loss: 0.7467, Validation Loss: 2.3028
Epoch 101/1000, Train Loss: 0.7306, Validation Loss: 2.3391
Epoch 102/1000, Train Loss: 0.7156, Validation Loss: 1.4057
Epoch 103/1000, Train Loss: 0.7099, Validation Loss: 2.4895
Epoch 104/1000, Train Loss: 0.7532, Validation Loss: 0.8524
Epoch 105/1000, Train Loss: 0.7438, Validation Loss: 1.0600
Epoch 106/1000, Train Loss: 0.7139, Validation Loss: 0.8659
Epoch 107/1000, Train Loss: 0.9320, Validation Loss: 0.9273
Epoch 108/1000, Train Loss: 0.7255, Validation Loss: 1.7012
Epoch 109/1000, Train Loss: 0.7162, Validation Loss: 2.8184
Epoch 110/1000, Train Loss: 0.7027, Validation Loss: 3.9783
Epoch 111/1000, Train Loss: 0.7824, Validation Loss: 1.2448
Epoch 112/1000, Train Loss: 0.7222, Validation Loss: 1.6185
Epoch 113/1000, Train Loss: 0.7189, Validation Loss: 1.4883
Epoch 114/1000, Train Loss: 0.7058, Validation Loss: 0.9751
Epoch 115/1000, Train Loss: 0.7145, Validation Loss: 0.9230
Epoch 116/1000, Train Loss: 0.7372, Validation Loss: 6.6625
Epoch 117/1000, Train Loss: 0.7026, Validation Loss: 1.2196
Epoch 118/1000, Train Loss: 0.7179, Validation Loss: 2.4648
Epoch 119/1000, Train Loss: 0.6920, Validation Loss: 8.6543
Epoch 120/1000, Train Loss: 0.7554, Validation Loss: 3.3896
Epoch 121/1000, Train Loss: 0.7107, Validation Loss: 1.4442
Epoch 122/1000, Train Loss: 0.7257, Validation Loss: 7.7830
