Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-s7ck83nh
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 26.2593, Validation Loss: 4.1913
Epoch 2/1000, Train Loss: 3.1064, Validation Loss: 3.0323
Epoch 3/1000, Train Loss: 1.8900, Validation Loss: 2.6712
Epoch 4/1000, Train Loss: 1.6200, Validation Loss: 2.0396
Epoch 5/1000, Train Loss: 3.0702, Validation Loss: 6.0601
Epoch 6/1000, Train Loss: 6.3466, Validation Loss: 6.0580
Epoch 7/1000, Train Loss: 6.3985, Validation Loss: 6.1809
Epoch 8/1000, Train Loss: 7.2633, Validation Loss: 6.0894
Epoch 9/1000, Train Loss: 6.2535, Validation Loss: 6.0572
Epoch 10/1000, Train Loss: 16476.9306, Validation Loss: 6.1223
Epoch 11/1000, Train Loss: 17.6827, Validation Loss: 6.1123
Epoch 12/1000, Train Loss: 8.3181, Validation Loss: 6.1247
Epoch 13/1000, Train Loss: 7.7416, Validation Loss: 6.0775
Epoch 14/1000, Train Loss: 124.5010, Validation Loss: 6.0645
Epoch 15/1000, Train Loss: 6.2104, Validation Loss: 6.3616
Epoch 16/1000, Train Loss: 60.9825, Validation Loss: 6.0747
Epoch 17/1000, Train Loss: 6.2329, Validation Loss: 6.0662
Epoch 18/1000, Train Loss: 937.4172, Validation Loss: 6.2415
Epoch 19/1000, Train Loss: 6.2357, Validation Loss: 6.0565
Epoch 20/1000, Train Loss: 13.2048, Validation Loss: 6.3206
Epoch 21/1000, Train Loss: 6.2399, Validation Loss: 6.0592
Epoch 22/1000, Train Loss: 6.2496, Validation Loss: 6.3678
Epoch 23/1000, Train Loss: 6.7428, Validation Loss: 6.0950
Epoch 24/1000, Train Loss: 7.4639, Validation Loss: 6.4161
Epoch 25/1000, Train Loss: 123.6277, Validation Loss: 6.5538
Epoch 26/1000, Train Loss: 8.8233, Validation Loss: 6.0589
Epoch 27/1000, Train Loss: 203.2151, Validation Loss: 6.7191
Epoch 28/1000, Train Loss: 277.2003, Validation Loss: 6.2762
Epoch 29/1000, Train Loss: 6.6370, Validation Loss: 6.4874
Epoch 30/1000, Train Loss: 16.6519, Validation Loss: 6.0879
Epoch 31/1000, Train Loss: 6.2189, Validation Loss: 6.6588
Epoch 32/1000, Train Loss: 6.2965, Validation Loss: 6.0588
Epoch 33/1000, Train Loss: 6.3392, Validation Loss: 6.2458
Epoch 34/1000, Train Loss: 6.2390, Validation Loss: 6.3160
Epoch 35/1000, Train Loss: 13.4602, Validation Loss: 6.0718
Epoch 36/1000, Train Loss: 6.2626, Validation Loss: 6.0628
Epoch 37/1000, Train Loss: 15.7052, Validation Loss: 6.2134
Epoch 38/1000, Train Loss: 7.1869, Validation Loss: 6.2224
Epoch 39/1000, Train Loss: 6.2516, Validation Loss: 6.0948
Epoch 40/1000, Train Loss: 6.2424, Validation Loss: 6.2360
Epoch 41/1000, Train Loss: 995.8467, Validation Loss: 6.2005
Epoch 42/1000, Train Loss: 56.3842, Validation Loss: 6.1372
Epoch 43/1000, Train Loss: 6.2475, Validation Loss: 6.0758
Epoch 44/1000, Train Loss: 6.2263, Validation Loss: 6.1281
Epoch 45/1000, Train Loss: 645.8343, Validation Loss: 6.0797
Epoch 46/1000, Train Loss: 8.3841, Validation Loss: 6.0655
Epoch 47/1000, Train Loss: 6.2413, Validation Loss: 6.0948
Epoch 48/1000, Train Loss: 7.1878, Validation Loss: 6.0712
Epoch 49/1000, Train Loss: 9.8722, Validation Loss: 6.1184
Epoch 50/1000, Train Loss: 278.9916, Validation Loss: 6.0578
Epoch 51/1000, Train Loss: 6.2397, Validation Loss: 6.3036
Epoch 52/1000, Train Loss: 15014.8010, Validation Loss: 6.0586
Epoch 53/1000, Train Loss: 6.2515, Validation Loss: 6.4174
Epoch 54/1000, Train Loss: 42.3710, Validation Loss: 6.0992
Epoch 55/1000, Train Loss: 45.5689, Validation Loss: 6.0902
Epoch 56/1000, Train Loss: 6.2493, Validation Loss: 8.0494
Epoch 57/1000, Train Loss: 6042.9831, Validation Loss: 6.4478
Epoch 58/1000, Train Loss: 6.2461, Validation Loss: 6.6740
Epoch 59/1000, Train Loss: 6.8714, Validation Loss: 6.6823
Epoch 60/1000, Train Loss: 6.4966, Validation Loss: 6.1313
Epoch 61/1000, Train Loss: 1733.3992, Validation Loss: 6.1270
Epoch 62/1000, Train Loss: 6.2642, Validation Loss: 6.1354
Epoch 63/1000, Train Loss: 18.7398, Validation Loss: 6.0635
Epoch 64/1000, Train Loss: 6.2308, Validation Loss: 6.0992
Epoch 65/1000, Train Loss: 84.4394, Validation Loss: 6.2247
Epoch 66/1000, Train Loss: 6.2893, Validation Loss: 6.0595
Epoch 67/1000, Train Loss: 273.8029, Validation Loss: 6.0805
Epoch 68/1000, Train Loss: 6.2475, Validation Loss: 6.0642
Epoch 69/1000, Train Loss: 6.2320, Validation Loss: 6.1322
Epoch 70/1000, Train Loss: 46.4897, Validation Loss: 6.0985
Epoch 71/1000, Train Loss: 6.2599, Validation Loss: 6.5604
Epoch 72/1000, Train Loss: 30.3127, Validation Loss: 6.0577
Epoch 73/1000, Train Loss: 6.6432, Validation Loss: 6.0780
Epoch 74/1000, Train Loss: 6.3546, Validation Loss: 6.0635
Epoch 75/1000, Train Loss: 6.3139, Validation Loss: 6.0655
Epoch 76/1000, Train Loss: 45.4666, Validation Loss: 6.6370
Epoch 77/1000, Train Loss: 17796.0573, Validation Loss: 6.4093
Epoch 78/1000, Train Loss: 6.2958, Validation Loss: 6.1603
Epoch 79/1000, Train Loss: 11.6849, Validation Loss: 6.0797
Epoch 80/1000, Train Loss: 6.2446, Validation Loss: 6.0865
Epoch 81/1000, Train Loss: 7.9286, Validation Loss: 6.2901
Epoch 82/1000, Train Loss: 6.2191, Validation Loss: 6.2019
Epoch 83/1000, Train Loss: 28.7393, Validation Loss: 6.1484
Epoch 84/1000, Train Loss: 6.2524, Validation Loss: 6.0614
Epoch 85/1000, Train Loss: 518.5069, Validation Loss: 6.0565
Epoch 86/1000, Train Loss: 6.2589, Validation Loss: 6.0684
Epoch 87/1000, Train Loss: 6.9031, Validation Loss: 6.3526
Epoch 88/1000, Train Loss: 6.4013, Validation Loss: 6.0568
Epoch 89/1000, Train Loss: 3689.7302, Validation Loss: 6.0606
Epoch 90/1000, Train Loss: 6.2359, Validation Loss: 6.0800
Epoch 91/1000, Train Loss: 6.2675, Validation Loss: 6.1859
Epoch 92/1000, Train Loss: 10.7348, Validation Loss: 6.0610
Epoch 93/1000, Train Loss: 6.2912, Validation Loss: 6.0584
Epoch 94/1000, Train Loss: 7.1996, Validation Loss: 6.0775
Epoch 95/1000, Train Loss: 6.2457, Validation Loss: 6.0598
Epoch 96/1000, Train Loss: 6.7088, Validation Loss: 6.6706
Epoch 97/1000, Train Loss: 6.3339, Validation Loss: 6.1311
Epoch 98/1000, Train Loss: 362.8706, Validation Loss: 6.1309
Epoch 99/1000, Train Loss: 10.1164, Validation Loss: 6.3029
Epoch 100/1000, Train Loss: 6.2877, Validation Loss: 6.2139
Epoch 101/1000, Train Loss: 7.3064, Validation Loss: 6.4444
Epoch 102/1000, Train Loss: 24.6769, Validation Loss: 6.0570
Epoch 103/1000, Train Loss: 6.2654, Validation Loss: 6.0578
Epoch 104/1000, Train Loss: 6.3387, Validation Loss: 7.0148
Epoch 105/1000, Train Loss: 7.0277, Validation Loss: 6.2547
Epoch 106/1000, Train Loss: 14528.1721, Validation Loss: 6.1457
Epoch 107/1000, Train Loss: 126.3730, Validation Loss: 6.1812
Epoch 108/1000, Train Loss: 7.1061, Validation Loss: 6.0574
Epoch 109/1000, Train Loss: 7.6247, Validation Loss: 6.3088
Epoch 110/1000, Train Loss: 6.2686, Validation Loss: 6.1025
Epoch 111/1000, Train Loss: 25.8578, Validation Loss: 6.1061
Epoch 112/1000, Train Loss: 6.5604, Validation Loss: 6.0659
Epoch 113/1000, Train Loss: 6.2902, Validation Loss: 6.1987
Epoch 114/1000, Train Loss: 7.8445, Validation Loss: 6.3571
Epoch 115/1000, Train Loss: 6.5260, Validation Loss: 6.1933
Epoch 116/1000, Train Loss: 8.6314, Validation Loss: 6.0963
Epoch 117/1000, Train Loss: 6.2473, Validation Loss: 6.0636
Epoch 118/1000, Train Loss: 10.6960, Validation Loss: 6.1626
Epoch 119/1000, Train Loss: 22.0937, Validation Loss: 6.5167
Epoch 120/1000, Train Loss: 6.2336, Validation Loss: 6.4102
Epoch 121/1000, Train Loss: 10.4212, Validation Loss: 6.0628
Epoch 122/1000, Train Loss: 9.6528, Validation Loss: 6.0569
Epoch 123/1000, Train Loss: 7.0875, Validation Loss: 6.0645
Epoch 124/1000, Train Loss: 13.1627, Validation Loss: 6.2361
Epoch 125/1000, Train Loss: 6.2730, Validation Loss: 6.3402
Epoch 126/1000, Train Loss: 39.6391, Validation Loss: 6.0848
Epoch 127/1000, Train Loss: 6.2948, Validation Loss: 6.1852
Epoch 128/1000, Train Loss: 6.2877, Validation Loss: 6.1571
Epoch 129/1000, Train Loss: 10.1958, Validation Loss: 6.0667
Epoch 130/1000, Train Loss: 8.2518, Validation Loss: 6.2687
Epoch 131/1000, Train Loss: 8.0175, Validation Loss: 6.2956
Epoch 132/1000, Train Loss: 7.7688, Validation Loss: 6.0564
Epoch 133/1000, Train Loss: 117.3377, Validation Loss: 6.0775
Epoch 134/1000, Train Loss: 10.2014, Validation Loss: 6.0666
Epoch 135/1000, Train Loss: 15731.8350, Validation Loss: 6.3214
Epoch 136/1000, Train Loss: 6.2511, Validation Loss: 6.0569
Epoch 137/1000, Train Loss: 12.5806, Validation Loss: 6.0952
Epoch 138/1000, Train Loss: 7.6512, Validation Loss: 6.7849
Epoch 139/1000, Train Loss: 109.5478, Validation Loss: 6.0984
Epoch 140/1000, Train Loss: 6.2478, Validation Loss: 6.2998
Epoch 141/1000, Train Loss: 6.6705, Validation Loss: 6.0697
Epoch 142/1000, Train Loss: 7.9386, Validation Loss: 6.5801
Epoch 143/1000, Train Loss: 284.4109, Validation Loss: 6.0565
Epoch 144/1000, Train Loss: 6.2252, Validation Loss: 6.3174
Epoch 145/1000, Train Loss: 6.6111, Validation Loss: 6.0925
Epoch 146/1000, Train Loss: 26.5803, Validation Loss: 6.4590
Epoch 147/1000, Train Loss: 6.2905, Validation Loss: 6.2469
Epoch 148/1000, Train Loss: 6.2463, Validation Loss: 6.1149
Epoch 149/1000, Train Loss: 7.5416, Validation Loss: 6.1378
Epoch 150/1000, Train Loss: 6.3813, Validation Loss: 6.0740
Epoch 151/1000, Train Loss: 6.2779, Validation Loss: 6.5964
Epoch 152/1000, Train Loss: 805.7580, Validation Loss: 6.1442
Epoch 153/1000, Train Loss: 6.2702, Validation Loss: 6.2238
Epoch 154/1000, Train Loss: 33.7104, Validation Loss: 6.1109
Epoch 155/1000, Train Loss: 6.2848, Validation Loss: 6.1727
Epoch 156/1000, Train Loss: 231.9750, Validation Loss: 6.0861
Epoch 157/1000, Train Loss: 6.2044, Validation Loss: 6.1278
Epoch 158/1000, Train Loss: 6.4574, Validation Loss: 6.1388
Epoch 159/1000, Train Loss: 6.3182, Validation Loss: 6.0716
Epoch 160/1000, Train Loss: 6.3758, Validation Loss: 6.1154
Epoch 161/1000, Train Loss: 115.4619, Validation Loss: 6.7107
Epoch 162/1000, Train Loss: 7.0784, Validation Loss: 7.2397
Epoch 163/1000, Train Loss: 668.8812, Validation Loss: 6.3427
Epoch 164/1000, Train Loss: 6.2631, Validation Loss: 6.7046
Epoch 165/1000, Train Loss: 7.1769, Validation Loss: 6.0580
Epoch 166/1000, Train Loss: 123.5344, Validation Loss: 6.0564
Epoch 167/1000, Train Loss: 6.2745, Validation Loss: 6.1549
Epoch 168/1000, Train Loss: 9.2633, Validation Loss: 6.3583
Epoch 169/1000, Train Loss: 21743.2957, Validation Loss: 6.9282
Epoch 170/1000, Train Loss: 6.2718, Validation Loss: 6.4296
Epoch 171/1000, Train Loss: 6.5378, Validation Loss: 6.1655
Epoch 172/1000, Train Loss: 6.2263, Validation Loss: 6.0568
Epoch 173/1000, Train Loss: 6.2947, Validation Loss: 6.1121
Epoch 174/1000, Train Loss: 9.0342, Validation Loss: 6.5406
Epoch 175/1000, Train Loss: 147.7240, Validation Loss: 6.2407
Epoch 176/1000, Train Loss: 8.3257, Validation Loss: 6.1427
Epoch 177/1000, Train Loss: 54.3041, Validation Loss: 6.0681
Epoch 178/1000, Train Loss: 6.2396, Validation Loss: 6.4809
Epoch 179/1000, Train Loss: 6.2524, Validation Loss: 6.0790
Epoch 180/1000, Train Loss: 338.3611, Validation Loss: 6.1058
Epoch 181/1000, Train Loss: 41.8156, Validation Loss: 6.0965
Epoch 182/1000, Train Loss: 8.1830, Validation Loss: 6.4318
Epoch 183/1000, Train Loss: 6.2701, Validation Loss: 6.0665
Epoch 184/1000, Train Loss: 14.8936, Validation Loss: 6.1446
Epoch 185/1000, Train Loss: 6.3823, Validation Loss: 6.2519
Epoch 186/1000, Train Loss: 7.5066, Validation Loss: 6.4845
Epoch 187/1000, Train Loss: 11419.3065, Validation Loss: 6.3718
Epoch 188/1000, Train Loss: 6.5495, Validation Loss: 6.1926
Epoch 189/1000, Train Loss: 6.2471, Validation Loss: 6.2540
Epoch 190/1000, Train Loss: 7.2107, Validation Loss: 6.0587
Epoch 191/1000, Train Loss: 6.2605, Validation Loss: 6.3820
Epoch 192/1000, Train Loss: 137.0827, Validation Loss: 6.1746
Epoch 193/1000, Train Loss: 6.2204, Validation Loss: 6.1421
Epoch 194/1000, Train Loss: 770.1698, Validation Loss: 6.0597
Epoch 195/1000, Train Loss: 6.2317, Validation Loss: 6.1361
Epoch 196/1000, Train Loss: 266.1560, Validation Loss: 6.0788
Epoch 197/1000, Train Loss: 14.5548, Validation Loss: 6.0981
Epoch 198/1000, Train Loss: 8.4976, Validation Loss: 6.2195
Epoch 199/1000, Train Loss: 6.2055, Validation Loss: 6.0608
Epoch 200/1000, Train Loss: 6.2581, Validation Loss: 6.1075
Epoch 201/1000, Train Loss: 6.4836, Validation Loss: 6.2148
Epoch 202/1000, Train Loss: 6.2770, Validation Loss: 6.0563
Epoch 203/1000, Train Loss: 1871.3220, Validation Loss: 7.2661
Epoch 204/1000, Train Loss: 6.2445, Validation Loss: 6.2838
Epoch 205/1000, Train Loss: 6.7211, Validation Loss: 6.0699
Epoch 206/1000, Train Loss: 133.5449, Validation Loss: 6.0734
Epoch 207/1000, Train Loss: 455.0943, Validation Loss: 6.0565
Epoch 208/1000, Train Loss: 6.2880, Validation Loss: 6.0567
Epoch 209/1000, Train Loss: 175.3101, Validation Loss: 6.0638
Epoch 210/1000, Train Loss: 6.2555, Validation Loss: 6.1467
Epoch 211/1000, Train Loss: 6.2316, Validation Loss: 6.3481
Epoch 212/1000, Train Loss: 7.7427, Validation Loss: 6.8239
Epoch 213/1000, Train Loss: 6.2398, Validation Loss: 6.1119
Epoch 214/1000, Train Loss: 6.2366, Validation Loss: 6.2633
Epoch 215/1000, Train Loss: 9568.6464, Validation Loss: 6.2550
Epoch 216/1000, Train Loss: 17.3386, Validation Loss: 6.0943
Epoch 217/1000, Train Loss: 6.2325, Validation Loss: 6.0651
Epoch 218/1000, Train Loss: 16.2404, Validation Loss: 6.3426
Epoch 219/1000, Train Loss: 6.7127, Validation Loss: 6.1062
Epoch 220/1000, Train Loss: 6.2501, Validation Loss: 6.3656
Epoch 221/1000, Train Loss: 34.5363, Validation Loss: 6.0760
Epoch 222/1000, Train Loss: 12.6007, Validation Loss: 6.0604
Epoch 223/1000, Train Loss: 6.2854, Validation Loss: 6.1347
Epoch 224/1000, Train Loss: 6.2710, Validation Loss: 6.4295
Epoch 225/1000, Train Loss: 6.3934, Validation Loss: 6.8187
Epoch 226/1000, Train Loss: 6.3120, Validation Loss: 6.2983
Epoch 227/1000, Train Loss: 39.6921, Validation Loss: 6.1591
Epoch 228/1000, Train Loss: 6.2172, Validation Loss: 6.0635
Epoch 229/1000, Train Loss: 6.2342, Validation Loss: 6.0742
Epoch 230/1000, Train Loss: 6.2475, Validation Loss: 6.0610
Epoch 231/1000, Train Loss: 6.3869, Validation Loss: 6.0593
Epoch 232/1000, Train Loss: 6.2254, Validation Loss: 6.1357
Epoch 233/1000, Train Loss: 126.2183, Validation Loss: 6.0570
Epoch 234/1000, Train Loss: 6.2763, Validation Loss: 6.0564
Epoch 235/1000, Train Loss: 6.6600, Validation Loss: 6.0567
Epoch 236/1000, Train Loss: 6.7313, Validation Loss: 6.2777
Epoch 237/1000, Train Loss: 6.4138, Validation Loss: 6.0595
Epoch 238/1000, Train Loss: 6.4252, Validation Loss: 6.0587
Epoch 239/1000, Train Loss: 24.5230, Validation Loss: 6.0897
Epoch 240/1000, Train Loss: 6.2677, Validation Loss: 6.0794
Epoch 241/1000, Train Loss: 6.6094, Validation Loss: 6.2172
Epoch 242/1000, Train Loss: 8.7854, Validation Loss: 6.0686
Epoch 243/1000, Train Loss: 88.3090, Validation Loss: 6.1832
Epoch 244/1000, Train Loss: 6.3233, Validation Loss: 6.0577
Epoch 245/1000, Train Loss: 24.6722, Validation Loss: 6.4061
Epoch 246/1000, Train Loss: 6.2341, Validation Loss: 6.0883
Epoch 247/1000, Train Loss: 6.2132, Validation Loss: 6.1875
Epoch 248/1000, Train Loss: 99.8901, Validation Loss: 6.3929
Epoch 249/1000, Train Loss: 13.3695, Validation Loss: 6.0715
Epoch 250/1000, Train Loss: 6.2465, Validation Loss: 6.1181
Epoch 251/1000, Train Loss: 6.4591, Validation Loss: 6.6474
Epoch 252/1000, Train Loss: 248.5718, Validation Loss: 6.0967
Epoch 253/1000, Train Loss: 6.9376, Validation Loss: 6.1199
Epoch 254/1000, Train Loss: 8.3897, Validation Loss: 6.1749
Epoch 255/1000, Train Loss: 6.5173, Validation Loss: 6.0811
Epoch 256/1000, Train Loss: 6.8311, Validation Loss: 6.1235
Epoch 257/1000, Train Loss: 6.2369, Validation Loss: 6.0625
Epoch 258/1000, Train Loss: 11.2730, Validation Loss: 6.7272
Epoch 259/1000, Train Loss: 6.2493, Validation Loss: 6.0577
Epoch 260/1000, Train Loss: 30.4509, Validation Loss: 6.2997
Epoch 261/1000, Train Loss: 6.6202, Validation Loss: 6.0701
Epoch 262/1000, Train Loss: 18.3973, Validation Loss: 6.0803
Epoch 263/1000, Train Loss: 6.2272, Validation Loss: 6.0826
Epoch 264/1000, Train Loss: 6.2477, Validation Loss: 6.0571
Epoch 265/1000, Train Loss: 6.9892, Validation Loss: 6.1895
Epoch 266/1000, Train Loss: 6.2271, Validation Loss: 6.0680
Epoch 267/1000, Train Loss: 6.2516, Validation Loss: 6.2302
Epoch 268/1000, Train Loss: 12.4267, Validation Loss: 6.0587
Epoch 269/1000, Train Loss: 504.9407, Validation Loss: 6.3183
Epoch 270/1000, Train Loss: 6.4015, Validation Loss: 6.3984
Epoch 271/1000, Train Loss: 8.1398, Validation Loss: 6.6743
Epoch 272/1000, Train Loss: 6.2591, Validation Loss: 6.3901
Epoch 273/1000, Train Loss: 211.6442, Validation Loss: 6.0725
Epoch 274/1000, Train Loss: 6.2381, Validation Loss: 6.0580
Epoch 275/1000, Train Loss: 6.3456, Validation Loss: 6.0948
Epoch 276/1000, Train Loss: 6.2426, Validation Loss: 6.2906
Epoch 277/1000, Train Loss: 6.2422, Validation Loss: 6.0568
Epoch 278/1000, Train Loss: 7.8472, Validation Loss: 6.0574
Epoch 279/1000, Train Loss: 6.2700, Validation Loss: 6.0725
Epoch 280/1000, Train Loss: 7.0393, Validation Loss: 6.1012
Epoch 281/1000, Train Loss: 6.2252, Validation Loss: 7.1920
Epoch 282/1000, Train Loss: 119.1109, Validation Loss: 6.1510
Epoch 283/1000, Train Loss: 19.4244, Validation Loss: 6.1772
Epoch 284/1000, Train Loss: 6.2257, Validation Loss: 6.0651
Epoch 285/1000, Train Loss: 6.2329, Validation Loss: 6.0640
Epoch 286/1000, Train Loss: 7.2842, Validation Loss: 6.5680
Epoch 287/1000, Train Loss: 15.2489, Validation Loss: 6.1776
Epoch 288/1000, Train Loss: 6.2390, Validation Loss: 6.1241
Epoch 289/1000, Train Loss: 45682.5192, Validation Loss: 6.0597
Epoch 290/1000, Train Loss: 6.2157, Validation Loss: 6.2119
Epoch 291/1000, Train Loss: 18.2343, Validation Loss: 6.0718
Epoch 292/1000, Train Loss: 49.6887, Validation Loss: 6.1352
Epoch 293/1000, Train Loss: 6.2084, Validation Loss: 6.1650
Epoch 294/1000, Train Loss: 17.6166, Validation Loss: 6.0610
Epoch 295/1000, Train Loss: 6.2899, Validation Loss: 6.0564
Epoch 296/1000, Train Loss: 22.4583, Validation Loss: 6.4846
Epoch 297/1000, Train Loss: 54.6086, Validation Loss: 9.1324
Epoch 298/1000, Train Loss: 218.8086, Validation Loss: 6.0728
Epoch 299/1000, Train Loss: 6.2213, Validation Loss: 6.0564
Epoch 300/1000, Train Loss: 348.0508, Validation Loss: 6.0729
Epoch 301/1000, Train Loss: 6.2400, Validation Loss: 6.0999
Epoch 302/1000, Train Loss: 6.2910, Validation Loss: 6.1100
Epoch 303/1000, Train Loss: 6.2772, Validation Loss: 6.1404
Epoch 304/1000, Train Loss: 8.3200, Validation Loss: 6.1519
Epoch 305/1000, Train Loss: 75.2678, Validation Loss: 6.1128
Epoch 306/1000, Train Loss: 6.2440, Validation Loss: 6.0602
Epoch 307/1000, Train Loss: 11.2325, Validation Loss: 6.0645
Epoch 308/1000, Train Loss: 6.2439, Validation Loss: 6.2203
Epoch 309/1000, Train Loss: 591.8970, Validation Loss: 6.3225
Epoch 310/1000, Train Loss: 6.2496, Validation Loss: 6.2042
Epoch 311/1000, Train Loss: 6.2436, Validation Loss: 6.0681
Epoch 312/1000, Train Loss: 1065.0477, Validation Loss: 6.3026
Epoch 313/1000, Train Loss: 6.2675, Validation Loss: 6.0577
Epoch 314/1000, Train Loss: 8.0452, Validation Loss: 6.2661
Epoch 315/1000, Train Loss: 54.1016, Validation Loss: 6.0625
Epoch 316/1000, Train Loss: 6.2084, Validation Loss: 6.1569
Epoch 317/1000, Train Loss: 6.5806, Validation Loss: 6.4118
Epoch 318/1000, Train Loss: 6.2670, Validation Loss: 6.0593
Epoch 319/1000, Train Loss: 7.9813, Validation Loss: 6.5693
Epoch 320/1000, Train Loss: 6.2625, Validation Loss: 6.1564
Epoch 321/1000, Train Loss: 6.2437, Validation Loss: 7.2517
Epoch 322/1000, Train Loss: 18.3036, Validation Loss: 6.2545
Epoch 323/1000, Train Loss: 6.2467, Validation Loss: 6.2001
Epoch 324/1000, Train Loss: 24.5495, Validation Loss: 6.3397
Epoch 325/1000, Train Loss: 6.5641, Validation Loss: 6.0587
Epoch 326/1000, Train Loss: 6.2923, Validation Loss: 6.0826
Epoch 327/1000, Train Loss: 6.7446, Validation Loss: 6.5321
Epoch 328/1000, Train Loss: 6.2294, Validation Loss: 6.0834
Epoch 329/1000, Train Loss: 12.0624, Validation Loss: 7.9404
Epoch 330/1000, Train Loss: 9.3899, Validation Loss: 6.1783
Epoch 331/1000, Train Loss: 6.2345, Validation Loss: 6.0585
Epoch 332/1000, Train Loss: 6.2135, Validation Loss: 6.0612
Epoch 333/1000, Train Loss: 6.7633, Validation Loss: 6.0628
