Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-buu54t8i
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 40.4133, Validation Loss: 2.4546
Epoch 2/1000, Train Loss: 2.0756, Validation Loss: 1.7062
Epoch 3/1000, Train Loss: 1.7552, Validation Loss: 2.0492
Epoch 4/1000, Train Loss: 1.6521, Validation Loss: 3.4894
Epoch 5/1000, Train Loss: 1.7849, Validation Loss: 4.0423
Epoch 6/1000, Train Loss: 1.4376, Validation Loss: 3.1830
Epoch 7/1000, Train Loss: 1.5006, Validation Loss: 1.0931
Epoch 8/1000, Train Loss: 1.3938, Validation Loss: 1.5727
Epoch 9/1000, Train Loss: 1.2846, Validation Loss: 1.1787
Epoch 10/1000, Train Loss: 1.1629, Validation Loss: 1.9196
Epoch 11/1000, Train Loss: 1.2650, Validation Loss: 1.0911
Epoch 12/1000, Train Loss: 1.2960, Validation Loss: 4.1486
Epoch 13/1000, Train Loss: 1.2321, Validation Loss: 2.4380
Epoch 14/1000, Train Loss: 1.2155, Validation Loss: 1.1914
Epoch 15/1000, Train Loss: 1.1453, Validation Loss: 1.8471
Epoch 16/1000, Train Loss: 1.0784, Validation Loss: 1.6003
Epoch 17/1000, Train Loss: 1.1260, Validation Loss: 1.8369
Epoch 18/1000, Train Loss: 0.9958, Validation Loss: 1.4242
Epoch 19/1000, Train Loss: 1.1865, Validation Loss: 7.4889
Epoch 20/1000, Train Loss: 1.0331, Validation Loss: 1.5951
Epoch 21/1000, Train Loss: 0.9716, Validation Loss: 1.1438
Epoch 22/1000, Train Loss: 1.0262, Validation Loss: 1.4393
Epoch 23/1000, Train Loss: 0.9879, Validation Loss: 2.2473
Epoch 24/1000, Train Loss: 0.9986, Validation Loss: 1.1607
Epoch 25/1000, Train Loss: 1.4833, Validation Loss: 8.6158
Epoch 26/1000, Train Loss: 2.5509, Validation Loss: 2.0218
Epoch 27/1000, Train Loss: 1.0931, Validation Loss: 13.9134
Epoch 28/1000, Train Loss: 1.0225, Validation Loss: 0.9935
Epoch 29/1000, Train Loss: 0.9260, Validation Loss: 1.4810
Epoch 30/1000, Train Loss: 0.9414, Validation Loss: 0.9210
Epoch 31/1000, Train Loss: 0.9224, Validation Loss: 1.1864
Epoch 32/1000, Train Loss: 1.0837, Validation Loss: 0.9772
