Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-vxixk088
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.9658, Validation Loss: 1.5614
Epoch 2/1000, Train Loss: 1.4693, Validation Loss: 2.0146
Epoch 3/1000, Train Loss: 201.1470, Validation Loss: 2.9562
Epoch 4/1000, Train Loss: 1.3289, Validation Loss: 4.5464
Epoch 5/1000, Train Loss: 1.5443, Validation Loss: 5.1157
Epoch 6/1000, Train Loss: 1.4074, Validation Loss: 2.0650
Epoch 7/1000, Train Loss: 1.8175, Validation Loss: 4.4323
Epoch 8/1000, Train Loss: 1.2748, Validation Loss: 1.1597
Epoch 9/1000, Train Loss: 1.3253, Validation Loss: 6.8847
Epoch 10/1000, Train Loss: 1.7354, Validation Loss: 4.4734
Epoch 11/1000, Train Loss: 9.6722, Validation Loss: 2.9967
Epoch 12/1000, Train Loss: 1.1116, Validation Loss: 1.3012
Epoch 13/1000, Train Loss: 1.2119, Validation Loss: 4.8701
Epoch 14/1000, Train Loss: 1.4838, Validation Loss: 2.1865
Epoch 15/1000, Train Loss: 1.9844, Validation Loss: 1.3790
Epoch 16/1000, Train Loss: 1.7526, Validation Loss: 1.8917
Epoch 17/1000, Train Loss: 1.1249, Validation Loss: 2.1694
Epoch 18/1000, Train Loss: 1.2799, Validation Loss: 2.0558
Epoch 19/1000, Train Loss: 1.0878, Validation Loss: 4.0974
Epoch 20/1000, Train Loss: 7.2427, Validation Loss: 2.5447
Epoch 21/1000, Train Loss: 1.3273, Validation Loss: 15.3219
Epoch 22/1000, Train Loss: 1.0602, Validation Loss: 1.2597
Epoch 23/1000, Train Loss: 1.3873, Validation Loss: 2.0142
Epoch 24/1000, Train Loss: 1.7597, Validation Loss: 6.1145
Epoch 25/1000, Train Loss: 4.6178, Validation Loss: 1.0352
Epoch 26/1000, Train Loss: 1.1631, Validation Loss: 4.5512
Epoch 27/1000, Train Loss: 1.0679, Validation Loss: 2.6072
Epoch 28/1000, Train Loss: 1.1066, Validation Loss: 7.0247
Epoch 29/1000, Train Loss: 1.1419, Validation Loss: 4.2001
Epoch 30/1000, Train Loss: 30.8017, Validation Loss: 0.8706
Epoch 31/1000, Train Loss: 1.0676, Validation Loss: 7.1752
Epoch 32/1000, Train Loss: 1.1888, Validation Loss: 2.2265
Epoch 33/1000, Train Loss: 140.5170, Validation Loss: 1.2714
Epoch 34/1000, Train Loss: 1.0844, Validation Loss: 8.0192
Epoch 35/1000, Train Loss: 1.0104, Validation Loss: 3.2990
Epoch 36/1000, Train Loss: 1.2080, Validation Loss: 6.9612
Epoch 37/1000, Train Loss: 1.0264, Validation Loss: 1.4470
Epoch 38/1000, Train Loss: 1.1563, Validation Loss: 1.8589
Epoch 39/1000, Train Loss: 1.2880, Validation Loss: 1.9150
Epoch 40/1000, Train Loss: 1.7952, Validation Loss: 1.3147
Epoch 41/1000, Train Loss: 0.9999, Validation Loss: 1.8711
Epoch 42/1000, Train Loss: 2.2258, Validation Loss: 1.4101
Epoch 43/1000, Train Loss: 1.0672, Validation Loss: 1.7738
Epoch 44/1000, Train Loss: 1.0285, Validation Loss: 4.8057
Epoch 45/1000, Train Loss: 1.0457, Validation Loss: 4.7485
Epoch 46/1000, Train Loss: 2.6899, Validation Loss: 1.9451
Epoch 47/1000, Train Loss: 52.2591, Validation Loss: 2.2228
Epoch 48/1000, Train Loss: 0.9696, Validation Loss: 1.3743
Epoch 49/1000, Train Loss: 1.0284, Validation Loss: 1.6769
Epoch 50/1000, Train Loss: 2.4858, Validation Loss: 8.5700
Epoch 51/1000, Train Loss: 1.0447, Validation Loss: 1.1582
Epoch 52/1000, Train Loss: 182.3584, Validation Loss: 2.2911
Epoch 53/1000, Train Loss: 1.0449, Validation Loss: 8.2050
Epoch 54/1000, Train Loss: 1.0059, Validation Loss: 1.9856
Epoch 55/1000, Train Loss: 1.2889, Validation Loss: 6.7408
Epoch 56/1000, Train Loss: 1.2877, Validation Loss: 2.4823
Epoch 57/1000, Train Loss: 77.2433, Validation Loss: 2.0926
Epoch 58/1000, Train Loss: 1.0206, Validation Loss: 21.3636
Epoch 59/1000, Train Loss: 0.9696, Validation Loss: 1.3785
Epoch 60/1000, Train Loss: 1.0569, Validation Loss: 4.8753
Epoch 61/1000, Train Loss: 1.5054, Validation Loss: 5.2648
Epoch 62/1000, Train Loss: 1.0643, Validation Loss: 2.4736
Epoch 63/1000, Train Loss: 1.0359, Validation Loss: 1.6458
Epoch 64/1000, Train Loss: 1.3526, Validation Loss: 3.0510
Epoch 65/1000, Train Loss: 0.9745, Validation Loss: 1.1553
Epoch 66/1000, Train Loss: 1.0208, Validation Loss: 0.8377
Epoch 67/1000, Train Loss: 1.0438, Validation Loss: 3.4507
