Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-x81k56zu
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.2451, Validation Loss: 1.9830
Epoch 2/1000, Train Loss: 1.3002, Validation Loss: 1.7181
Epoch 3/1000, Train Loss: 1.2019, Validation Loss: 1.5567
Epoch 4/1000, Train Loss: 1.1537, Validation Loss: 2.2111
Epoch 5/1000, Train Loss: 1.2539, Validation Loss: 3.1265
Epoch 6/1000, Train Loss: 1.0638, Validation Loss: 1.4137
Epoch 7/1000, Train Loss: 1.0298, Validation Loss: 1.9516
Epoch 8/1000, Train Loss: 1.0177, Validation Loss: 1.9871
Epoch 9/1000, Train Loss: 1.1882, Validation Loss: 1.0314
Epoch 10/1000, Train Loss: 0.9824, Validation Loss: 0.9007
Epoch 11/1000, Train Loss: 1.2362, Validation Loss: 0.8252
Epoch 12/1000, Train Loss: 0.9317, Validation Loss: 4.4919
Epoch 13/1000, Train Loss: 0.9018, Validation Loss: 1.0298
Epoch 14/1000, Train Loss: 0.8906, Validation Loss: 2.1197
Epoch 15/1000, Train Loss: 0.8683, Validation Loss: 1.4742
Epoch 16/1000, Train Loss: 0.8511, Validation Loss: 1.5445
Epoch 17/1000, Train Loss: 7.4159, Validation Loss: 1.7524
Epoch 18/1000, Train Loss: 0.8497, Validation Loss: 2.2964
Epoch 19/1000, Train Loss: 0.8328, Validation Loss: 1.1415
Epoch 20/1000, Train Loss: 0.9291, Validation Loss: 1.2502
Epoch 21/1000, Train Loss: 0.8278, Validation Loss: 6.9563
Epoch 22/1000, Train Loss: 0.8148, Validation Loss: 3.0881
Epoch 23/1000, Train Loss: 0.8717, Validation Loss: 1.5172
Epoch 24/1000, Train Loss: 0.8572, Validation Loss: 2.1248
Epoch 25/1000, Train Loss: 0.8438, Validation Loss: 0.7930
Epoch 26/1000, Train Loss: 0.8117, Validation Loss: 2.5979
Epoch 27/1000, Train Loss: 0.8165, Validation Loss: 2.2951
Epoch 28/1000, Train Loss: 0.8183, Validation Loss: 3.0454
Epoch 29/1000, Train Loss: 0.8129, Validation Loss: 2.9843
Epoch 30/1000, Train Loss: 0.8115, Validation Loss: 2.9832
