Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-bk34qrbb
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.1615, Validation Loss: 1.1688
Epoch 2/1000, Train Loss: 1.7190, Validation Loss: 5.7276
Epoch 3/1000, Train Loss: 1.4313, Validation Loss: 1.4058
Epoch 4/1000, Train Loss: 1.3188, Validation Loss: 1.0872
Epoch 5/1000, Train Loss: 1.2146, Validation Loss: 1.7977
Epoch 6/1000, Train Loss: 1.1402, Validation Loss: 2.2591
Epoch 7/1000, Train Loss: 1.0502, Validation Loss: 2.7287
Epoch 8/1000, Train Loss: 1.0071, Validation Loss: 1.3108
Epoch 9/1000, Train Loss: 0.9474, Validation Loss: 0.9597
Epoch 10/1000, Train Loss: 0.9431, Validation Loss: 1.7560
Epoch 11/1000, Train Loss: 0.9099, Validation Loss: 2.3661
Epoch 12/1000, Train Loss: 0.9043, Validation Loss: 1.2611
Epoch 13/1000, Train Loss: 0.8720, Validation Loss: 0.8054
Epoch 14/1000, Train Loss: 0.8615, Validation Loss: 2.6974
Epoch 15/1000, Train Loss: 0.8740, Validation Loss: 1.2324
Epoch 16/1000, Train Loss: 0.8577, Validation Loss: 1.0873
Epoch 17/1000, Train Loss: 0.8232, Validation Loss: 1.0330
Epoch 18/1000, Train Loss: 0.8355, Validation Loss: 0.7989
Epoch 19/1000, Train Loss: 0.8254, Validation Loss: 2.1693
Epoch 20/1000, Train Loss: 0.7938, Validation Loss: 1.4228
Epoch 21/1000, Train Loss: 0.8074, Validation Loss: 2.2504
Epoch 22/1000, Train Loss: 0.7839, Validation Loss: 0.8020
Epoch 23/1000, Train Loss: 0.7768, Validation Loss: 4.0560
Epoch 24/1000, Train Loss: 0.7610, Validation Loss: 1.2473
Epoch 25/1000, Train Loss: 0.7506, Validation Loss: 2.5043
Epoch 26/1000, Train Loss: 0.7448, Validation Loss: 5.7116
Epoch 27/1000, Train Loss: 0.7206, Validation Loss: 2.3610
Epoch 28/1000, Train Loss: 0.7341, Validation Loss: 1.1589
Epoch 29/1000, Train Loss: 0.7202, Validation Loss: 1.7697
Epoch 30/1000, Train Loss: 0.7251, Validation Loss: 1.4594
Epoch 31/1000, Train Loss: 0.7207, Validation Loss: 0.9415
Epoch 32/1000, Train Loss: 0.6974, Validation Loss: 1.2725
Epoch 33/1000, Train Loss: 0.6977, Validation Loss: 2.1684
Epoch 34/1000, Train Loss: 0.6944, Validation Loss: 0.7065
Epoch 35/1000, Train Loss: 0.6818, Validation Loss: 0.8550
Epoch 36/1000, Train Loss: 0.6698, Validation Loss: 0.7282
Epoch 37/1000, Train Loss: 0.6768, Validation Loss: 1.1562
Epoch 38/1000, Train Loss: 0.6680, Validation Loss: 0.8543
Epoch 39/1000, Train Loss: 0.6528, Validation Loss: 2.8938
Epoch 40/1000, Train Loss: 0.6495, Validation Loss: 2.4916
Epoch 41/1000, Train Loss: 0.6407, Validation Loss: 0.6112
Epoch 42/1000, Train Loss: 0.6416, Validation Loss: 0.5808
Epoch 43/1000, Train Loss: 0.6487, Validation Loss: 1.4892
Epoch 44/1000, Train Loss: 0.6377, Validation Loss: 1.1914
Epoch 45/1000, Train Loss: 0.6273, Validation Loss: 0.7749
Epoch 46/1000, Train Loss: 0.6261, Validation Loss: 1.7624
Epoch 47/1000, Train Loss: 0.6291, Validation Loss: 0.8378
Epoch 48/1000, Train Loss: 0.6198, Validation Loss: 1.4746
Epoch 49/1000, Train Loss: 0.6092, Validation Loss: 0.8734
Epoch 50/1000, Train Loss: 0.6004, Validation Loss: 1.4369
Epoch 51/1000, Train Loss: 0.6049, Validation Loss: 0.7374
Epoch 52/1000, Train Loss: 0.6033, Validation Loss: 3.8736
Epoch 53/1000, Train Loss: 0.5986, Validation Loss: 0.8015
Epoch 54/1000, Train Loss: 0.5952, Validation Loss: 0.6681
Epoch 55/1000, Train Loss: 0.6039, Validation Loss: 0.9889
Epoch 56/1000, Train Loss: 0.5885, Validation Loss: 0.8284
Epoch 57/1000, Train Loss: 0.5773, Validation Loss: 0.7980
Epoch 58/1000, Train Loss: 0.5783, Validation Loss: 0.6004
Epoch 59/1000, Train Loss: 0.5861, Validation Loss: 0.8016
Epoch 60/1000, Train Loss: 0.5769, Validation Loss: 0.9978
Epoch 61/1000, Train Loss: 0.5734, Validation Loss: 0.7899
Epoch 62/1000, Train Loss: 0.5700, Validation Loss: 1.3381
Epoch 63/1000, Train Loss: 0.5631, Validation Loss: 1.8559
Epoch 64/1000, Train Loss: 0.5591, Validation Loss: 0.7987
Epoch 65/1000, Train Loss: 0.5631, Validation Loss: 1.3573
Epoch 66/1000, Train Loss: 0.5571, Validation Loss: 0.8260
Epoch 67/1000, Train Loss: 0.5551, Validation Loss: 1.0299
Epoch 68/1000, Train Loss: 0.5591, Validation Loss: 0.6683
Epoch 69/1000, Train Loss: 0.5587, Validation Loss: 0.9406
Epoch 70/1000, Train Loss: 0.5534, Validation Loss: 0.6000
Epoch 71/1000, Train Loss: 0.5486, Validation Loss: 2.0067
Epoch 72/1000, Train Loss: 0.5417, Validation Loss: 0.8234
Epoch 73/1000, Train Loss: 0.5487, Validation Loss: 1.1377
Epoch 74/1000, Train Loss: 0.5348, Validation Loss: 0.5324
Epoch 75/1000, Train Loss: 0.5372, Validation Loss: 1.4722
Epoch 76/1000, Train Loss: 0.5366, Validation Loss: 0.5511
Epoch 77/1000, Train Loss: 0.5317, Validation Loss: 0.6173
Epoch 78/1000, Train Loss: 0.5299, Validation Loss: 0.6307
Epoch 79/1000, Train Loss: 0.5290, Validation Loss: 1.3225
Epoch 80/1000, Train Loss: 0.5274, Validation Loss: 1.5583
Epoch 81/1000, Train Loss: 0.5312, Validation Loss: 0.5777
Epoch 82/1000, Train Loss: 0.5237, Validation Loss: 0.5625
Epoch 83/1000, Train Loss: 0.5263, Validation Loss: 0.5338
Epoch 84/1000, Train Loss: 0.5236, Validation Loss: 1.1022
Epoch 85/1000, Train Loss: 0.5247, Validation Loss: 0.9998
Epoch 86/1000, Train Loss: 0.5159, Validation Loss: 0.7413
Epoch 87/1000, Train Loss: 0.5258, Validation Loss: 0.9041
Epoch 88/1000, Train Loss: 0.5117, Validation Loss: 1.1931
Epoch 89/1000, Train Loss: 0.5160, Validation Loss: 1.7622
Epoch 90/1000, Train Loss: 0.5141, Validation Loss: 0.5468
Epoch 91/1000, Train Loss: 0.5123, Validation Loss: 0.7198
Epoch 92/1000, Train Loss: 0.5143, Validation Loss: 0.8318
Epoch 93/1000, Train Loss: 0.5102, Validation Loss: 0.6672
Epoch 94/1000, Train Loss: 0.5080, Validation Loss: 1.3211
Epoch 95/1000, Train Loss: 0.5107, Validation Loss: 1.4446
Epoch 96/1000, Train Loss: 0.5030, Validation Loss: 1.3471
Epoch 97/1000, Train Loss: 0.5069, Validation Loss: 1.1391
