Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-f9qgov9h
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.8314, Validation Loss: 1.3299
Epoch 2/1000, Train Loss: 1.4167, Validation Loss: 2.1699
Epoch 3/1000, Train Loss: 1.2673, Validation Loss: 2.5071
Epoch 4/1000, Train Loss: 1.2307, Validation Loss: 2.0301
Epoch 5/1000, Train Loss: 1.1764, Validation Loss: 6.2924
Epoch 6/1000, Train Loss: 1.1477, Validation Loss: 1.0695
Epoch 7/1000, Train Loss: 1.2026, Validation Loss: 1.5488
Epoch 8/1000, Train Loss: 1.1188, Validation Loss: 0.9714
Epoch 9/1000, Train Loss: 1.1080, Validation Loss: 1.1561
Epoch 10/1000, Train Loss: 1.0853, Validation Loss: 1.4411
Epoch 11/1000, Train Loss: 1.1341, Validation Loss: 2.1573
Epoch 12/1000, Train Loss: 1.0836, Validation Loss: 3.1312
Epoch 13/1000, Train Loss: 1.2167, Validation Loss: 3.7353
Epoch 14/1000, Train Loss: 1.3948, Validation Loss: 2.9215
Epoch 15/1000, Train Loss: 1.0391, Validation Loss: 0.9360
Epoch 16/1000, Train Loss: 1.0415, Validation Loss: 3.2791
Epoch 17/1000, Train Loss: 1.0106, Validation Loss: 1.8837
Epoch 18/1000, Train Loss: 1.0152, Validation Loss: 3.3393
Epoch 19/1000, Train Loss: 0.9991, Validation Loss: 1.3033
Epoch 20/1000, Train Loss: 0.9567, Validation Loss: 1.7445
Epoch 21/1000, Train Loss: 0.9841, Validation Loss: 1.2857
Epoch 22/1000, Train Loss: 0.9529, Validation Loss: 0.9224
Epoch 23/1000, Train Loss: 0.9509, Validation Loss: 6.4846
Epoch 24/1000, Train Loss: 0.9316, Validation Loss: 2.0642
Epoch 25/1000, Train Loss: 1.2824, Validation Loss: 2.0154
Epoch 26/1000, Train Loss: 0.9365, Validation Loss: 1.0533
Epoch 27/1000, Train Loss: 0.9094, Validation Loss: 5.3268
Epoch 28/1000, Train Loss: 0.9030, Validation Loss: 0.9054
Epoch 29/1000, Train Loss: 0.8605, Validation Loss: 2.6713
Epoch 30/1000, Train Loss: 0.9667, Validation Loss: 1.0952
Epoch 31/1000, Train Loss: 0.8993, Validation Loss: 1.2022
Epoch 32/1000, Train Loss: 0.8578, Validation Loss: 0.8526
Epoch 33/1000, Train Loss: 0.8667, Validation Loss: 0.9420
Epoch 34/1000, Train Loss: 0.8960, Validation Loss: 1.9095
Epoch 35/1000, Train Loss: 0.8625, Validation Loss: 0.7443
Epoch 36/1000, Train Loss: 0.8466, Validation Loss: 0.8246
Epoch 37/1000, Train Loss: 0.9148, Validation Loss: 1.9078
Epoch 38/1000, Train Loss: 0.9318, Validation Loss: 1.1818
Epoch 39/1000, Train Loss: 0.8520, Validation Loss: 2.0636
Epoch 40/1000, Train Loss: 0.8411, Validation Loss: 0.9073
Epoch 41/1000, Train Loss: 0.8449, Validation Loss: 0.9439
Epoch 42/1000, Train Loss: 0.8429, Validation Loss: 2.6289
Epoch 43/1000, Train Loss: 1.5203, Validation Loss: 0.6897
Epoch 44/1000, Train Loss: 0.8226, Validation Loss: 4.2819
Epoch 45/1000, Train Loss: 1.0856, Validation Loss: 0.9644
Epoch 46/1000, Train Loss: 0.8317, Validation Loss: 1.7567
Epoch 47/1000, Train Loss: 0.8314, Validation Loss: 1.0502
Epoch 48/1000, Train Loss: 0.8322, Validation Loss: 1.6873
Epoch 49/1000, Train Loss: 0.8096, Validation Loss: 1.4881
Epoch 50/1000, Train Loss: 0.8224, Validation Loss: 4.8337
Epoch 51/1000, Train Loss: 0.8745, Validation Loss: 6.6230
Epoch 52/1000, Train Loss: 0.8305, Validation Loss: 1.6464
Epoch 53/1000, Train Loss: 0.8008, Validation Loss: 0.9814
Epoch 54/1000, Train Loss: 0.8258, Validation Loss: 1.2828
Epoch 55/1000, Train Loss: 0.7946, Validation Loss: 0.9219
Epoch 56/1000, Train Loss: 0.8063, Validation Loss: 3.7698
Epoch 57/1000, Train Loss: 0.7965, Validation Loss: 1.2889
Epoch 58/1000, Train Loss: 0.8315, Validation Loss: 1.9976
