Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-ypdttr04
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 18.1050, Validation Loss: 2.2387
Epoch 2/1000, Train Loss: 1.8686, Validation Loss: 1.5115
Epoch 3/1000, Train Loss: 1.6885, Validation Loss: 1.6777
Epoch 4/1000, Train Loss: 1.5379, Validation Loss: 2.7140
Epoch 5/1000, Train Loss: 1.4113, Validation Loss: 1.4240
Epoch 6/1000, Train Loss: 1.3679, Validation Loss: 1.6506
Epoch 7/1000, Train Loss: 1.5819, Validation Loss: 1.7749
Epoch 8/1000, Train Loss: 1.3331, Validation Loss: 1.1914
Epoch 9/1000, Train Loss: 1.2879, Validation Loss: 1.7185
Epoch 10/1000, Train Loss: 1.2253, Validation Loss: 1.1777
Epoch 11/1000, Train Loss: 1.2666, Validation Loss: 1.7305
Epoch 12/1000, Train Loss: 1.1669, Validation Loss: 1.0720
Epoch 13/1000, Train Loss: 1.5312, Validation Loss: 1.3410
Epoch 14/1000, Train Loss: 1.2990, Validation Loss: 1.1406
Epoch 15/1000, Train Loss: 82.6746, Validation Loss: 2.0963
Epoch 16/1000, Train Loss: 1.2144, Validation Loss: 1.5148
Epoch 17/1000, Train Loss: 1.1597, Validation Loss: 1.0807
Epoch 18/1000, Train Loss: 1.2188, Validation Loss: 1.2079
Epoch 19/1000, Train Loss: 1.1344, Validation Loss: 0.9883
Epoch 20/1000, Train Loss: 30.0220, Validation Loss: 0.9707
Epoch 21/1000, Train Loss: 1.1103, Validation Loss: 1.1916
Epoch 22/1000, Train Loss: 52458.8634, Validation Loss: 0.9122
Epoch 23/1000, Train Loss: 1.0721, Validation Loss: 0.9343
Epoch 24/1000, Train Loss: 2.0041, Validation Loss: 1.5294
Epoch 25/1000, Train Loss: 1.0996, Validation Loss: 1.7906
Epoch 26/1000, Train Loss: 1.0707, Validation Loss: 1.0897
Epoch 27/1000, Train Loss: 1.0334, Validation Loss: 1.3374
Epoch 28/1000, Train Loss: 1.1924, Validation Loss: 1.5896
Epoch 29/1000, Train Loss: 1.2002, Validation Loss: 1.2095
Epoch 30/1000, Train Loss: 1.0552, Validation Loss: 2.0393
Epoch 31/1000, Train Loss: 1.0082, Validation Loss: 1.0630
Epoch 32/1000, Train Loss: 4.9120, Validation Loss: 6.4685
Epoch 33/1000, Train Loss: 6.5579, Validation Loss: 6.1633
Epoch 34/1000, Train Loss: 3.6452, Validation Loss: 1.5805
Epoch 35/1000, Train Loss: 1.1505, Validation Loss: 1.2287
Epoch 36/1000, Train Loss: 1.2581, Validation Loss: 1.9060
Epoch 37/1000, Train Loss: 1.0472, Validation Loss: 1.0855
Epoch 38/1000, Train Loss: 1.2782, Validation Loss: 1.9338
Epoch 39/1000, Train Loss: 1.6927, Validation Loss: 1.0583
Epoch 40/1000, Train Loss: 1.1564, Validation Loss: 1.1533
Epoch 41/1000, Train Loss: 1627.2075, Validation Loss: 1.7594
Epoch 42/1000, Train Loss: 3.0995, Validation Loss: 1.0646
Epoch 43/1000, Train Loss: 6.4677, Validation Loss: 2.7520
Epoch 44/1000, Train Loss: 24.4561, Validation Loss: 1.9235
Epoch 45/1000, Train Loss: 1.0918, Validation Loss: 2.0682
Epoch 46/1000, Train Loss: 1.1778, Validation Loss: 1.7741
Epoch 47/1000, Train Loss: 8.8976, Validation Loss: 1.0901
Epoch 48/1000, Train Loss: 1.1100, Validation Loss: 1.9857
Epoch 49/1000, Train Loss: 1.1585, Validation Loss: 1.2031
Epoch 50/1000, Train Loss: 1.1099, Validation Loss: 1.1986
Epoch 51/1000, Train Loss: 84.9144, Validation Loss: 1.8551
Epoch 52/1000, Train Loss: 1.1835, Validation Loss: 1.1749
Epoch 53/1000, Train Loss: 1.0870, Validation Loss: 2.0319
Epoch 54/1000, Train Loss: 1.1503, Validation Loss: 1.6929
Epoch 55/1000, Train Loss: 1.1768, Validation Loss: 0.9106
Epoch 56/1000, Train Loss: 1.0734, Validation Loss: 1.0866
Epoch 57/1000, Train Loss: 1.4542, Validation Loss: 1.1461
Epoch 58/1000, Train Loss: 1.0925, Validation Loss: 1.3615
Epoch 59/1000, Train Loss: 3416.9375, Validation Loss: 1.4458
Epoch 60/1000, Train Loss: 1.2144, Validation Loss: 1.6093
Epoch 61/1000, Train Loss: 1.0337, Validation Loss: 2.5591
Epoch 62/1000, Train Loss: 1.0947, Validation Loss: 1.2517
Epoch 63/1000, Train Loss: 1.0474, Validation Loss: 1.8318
Epoch 64/1000, Train Loss: 1.5629, Validation Loss: 1.3346
Epoch 65/1000, Train Loss: 1.0664, Validation Loss: 1.3227
Epoch 66/1000, Train Loss: 1.0284, Validation Loss: 1.2127
Epoch 67/1000, Train Loss: 1.1241, Validation Loss: 2.1195
Epoch 68/1000, Train Loss: 1.0146, Validation Loss: 1.2454
Epoch 69/1000, Train Loss: 1.4760, Validation Loss: 1.7803
Epoch 70/1000, Train Loss: 1.0123, Validation Loss: 1.4307
Epoch 71/1000, Train Loss: 1.0757, Validation Loss: 3.3263
Epoch 72/1000, Train Loss: 70.6124, Validation Loss: 4.1863
Epoch 73/1000, Train Loss: 1.7808, Validation Loss: 4.3877
Epoch 74/1000, Train Loss: 1.1173, Validation Loss: 0.9949
Epoch 75/1000, Train Loss: 1.0053, Validation Loss: 0.8809
Epoch 76/1000, Train Loss: 1.0317, Validation Loss: 1.8834
Epoch 77/1000, Train Loss: 8.7539, Validation Loss: 6.0885
Epoch 78/1000, Train Loss: 6.3855, Validation Loss: 6.1131
Epoch 79/1000, Train Loss: 5.0132, Validation Loss: 4.6470
Epoch 80/1000, Train Loss: 1.5848, Validation Loss: 3.6079
Epoch 81/1000, Train Loss: 1.2015, Validation Loss: 2.5575
Epoch 82/1000, Train Loss: 1.1242, Validation Loss: 1.2128
Epoch 83/1000, Train Loss: 1.0593, Validation Loss: 1.3805
Epoch 84/1000, Train Loss: 13.1502, Validation Loss: 1.5142
Epoch 85/1000, Train Loss: 1.0350, Validation Loss: 0.9316
Epoch 86/1000, Train Loss: 1.0332, Validation Loss: 1.3919
Epoch 87/1000, Train Loss: 1.0368, Validation Loss: 1.0389
Epoch 88/1000, Train Loss: 2.2310, Validation Loss: 1.7284
Epoch 89/1000, Train Loss: 1.0007, Validation Loss: 1.6581
Epoch 90/1000, Train Loss: 0.9749, Validation Loss: 1.3990
Epoch 91/1000, Train Loss: 0.9780, Validation Loss: 2.1624
Epoch 92/1000, Train Loss: 110.0241, Validation Loss: 6.1778
Epoch 93/1000, Train Loss: 7.3354, Validation Loss: 6.2485
Epoch 94/1000, Train Loss: 3.4073, Validation Loss: 1.7549
Epoch 95/1000, Train Loss: 1.0528, Validation Loss: 1.8074
Epoch 96/1000, Train Loss: 1.0039, Validation Loss: 0.9110
Epoch 97/1000, Train Loss: 1.0334, Validation Loss: 0.9262
Epoch 98/1000, Train Loss: 1.0371, Validation Loss: 1.1387
Epoch 99/1000, Train Loss: 0.9899, Validation Loss: 0.9793
